Region;District;Liczba budynków z przeznaczenia mieszkalnych na 1 km2;Liczba budynków z przeznaczenia mieszkalnych i innych zamieszkanych na 1 nieruchomość/Ogółem;Liczba budynków z przeznaczenia mieszkalnych i innych zamieszkanych na 1 nieruchomość/Wieś;Liczba budynków z przeznaczenia mieszkalnych i innych zamieszkanych na 1 nieruchomość/Miasta poniżej 20 000 mieszkańców;Liczba budynków z przeznaczenia mieszkalnych i innych zamieszkanych na 1 nieruchomość/Miasta powyżej 20 000 mieszkańców;Liczba ludności na 1 budynek/Ogółem;Liczba ludności na 1 budynek/Wieś;Liczba ludności na 1 budynek/Miasta poniżej 20 000 mieszkańców;Liczba ludności na 1 budynek/Miasta powyżej 20 000 mieszkańców;Liczba ludności na 1 nieruchomość zamieszkaną/Miasta poniżej 20 000 mieszkanców;Liczba ludności na 1 nieruchomość zamieszkaną/Miasta powyżej 20 000 mieszkańców;Na 100 budynków zamieszkanych było/Z przeznaczenia mieszkalnych/Ogółem;Na 100 budynków zamieszkanych było/Służących głównie dla innych celów/Ogółem;Na 100 budynków zamieszkanych było/Gospodarczych, tymczasowych i ruchomych/Ogółem;Na 100 budynków zamieszkanych było/Z przeznaczenia mieszkalnych/Wieś;Na 100 budynków zamieszkanych było/Służących głównie dla innych celów/Wieś;Na 100 budynków zamieszkanych było/Gospodarczych, tymczasowych i ruchomych/Wieś;Na 100 budynków zamieszkanych było/Z przeznaczenia mieszkalnych/Miasta poniżej 20 000 mieszkańców;Na 100 budynków zamieszkanych było/Służących głównie dla innych celów/Miasta poniżej 20 000 mieszkańców;Na 100 budynków zamieszkanych było/Gospodarczych, tymczasowych i ruchomych/Miasta poniżej 20 000 mieszkańców;Na 100 budynków zamieszkanych było/Z przeznaczenia mieszkalnych/Miasta powyżej 20 000 mieszkańców;Na 100 budynków zamieszkanych było/Służących głównie dla innych celów/Miasta powyżej 20 000 mieszkańców;Na 100 budynków zamieszkanych było/Gospodarczych, tymczasowych i ruchomych/Miasta powyżej 20 000 mieszkańców;Na 100 budynków z przeznaczenia mieszkalnych było niezamieszkanych/Ogółem;Na 100 budynków z przeznaczenia mieszkalnych było niezamieszkanych/Wieś;Na 100 budynków z przeznaczenia mieszkalnych było niezamieszkanych/Miasta poniżej 20 000 mieszkańców;Na 100 budynków z przeznaczenia mieszkalnych było niezamieszkanych/Miasta powyżej 20 000 mieszkańców;Na 100 mieszkań było niezamieszkanych/Ogółem;Na 100 mieszkań było niezamieszkanych/Wieś;Na 100 mieszkań było niezamieszkanych/Miasta poniżej 20 000 mieszkańców;Na 100 mieszkań było niezamieszkanych/Miasta powyżej 20 000 mieszkańców
POZNAŃSKIE;INOWROCŁAWSKI;6,04;1,3;1,32;1,12;1,3;12,02;10,06;12,76;19,21;14,35;24,77;98,61;1,23;0,16;98,69;1,16;0,15;97,7;1,15;1,15;98,5;1,5;0;0,61;0,64;0,39;0,56;0,41;0,49;0,64;0,27
POZNAŃSKIE;JAROCIŃSKI;7,64;1,21;1,24;1,08;0;9,74;9,32;12,04;0;12,97;0;98,58;1,38;0,04;98,83;1,13;0,04;97,24;2,76;0;0;0;0;0,2;0,17;0,35;0;0,18;0,16;0,27;0
POZNAŃSKIE;KOŚCIAŃSKI;7,83;1,17;1,2;1,08;0;10,08;9,57;12,08;0;13,03;0;98,65;1,18;0,17;99,07;0,8;0,13;97,01;2,68;0,31;0;0;0;0,17;0,18;0,11;0;0,19;0,14;0,31;0
POZNAŃSKIE;KOŹMIŃSKI;8,25;1,12;1,16;1,04;0;9,08;9,36;8,34;0;8,67;0;98,21;1,68;0,11;98,07;1,78;0,15;98,57;1,43;0;0;0;0;0,19;0,15;0,29;0;0,15;0,15;0,15;0
POZNAŃSKIE;KROTOSZYŃSKI;0,35;1,09;1,1;1,07;0;8,57;8,06;9,53;0;10,17;0;98,33;1,51;0,16;98,88;1,06;0,06;97,3;2,37;0,33;0;0;0;0,37;0,15;0,79;0;0,45;0,16;0,77;0
POZNAŃSKIE;KĘPIŃSKI;9,23;1,1;1,11;1,08;0;7,98;7,36;11,21;0;12,08;0;98,71;1,29;0;98,89;1,11;0;97,02;2,98;0;0;0;0;0,09;0,07;0,32;0;0,1;0,07;0,25;0
POZNAŃSKIE;LESZCZYŃSKI;81,28;1,14;1,16;1,08;0;8,74;7,46;12,17;0;13,15;0;98,09;1,75;0,16;98,7;1,17;0,13;96,45;3,31;0,24;0;0;0;0,29;0,27;0,37;0;0,24;0,21;0,28;0
POZNAŃSKIE;MIĘDZYCHODZKI;4,73;1,24;1,29;1,11;0;8,38;8,34;8,54;0;9,34;0;98,25;1,67;0,08;98,82;1,11;0,07;96,24;3,64;0,12;0;0;0;0,84;0,5;2,04;0;0,86;0,4;1,98;0
POZNAŃSKIE;MOGILEŃSKI;6,28;1,23;1,27;1,1;0;10,46;9,52;13,95;0;15,32;0;98,47;1,32;0,21;98,53;1,22;0,25;98,19;1,71;0,1;0;0;0;0,07;0,06;0,1;0;0,1;0,11;0,1;0
POZNAŃSKIE;NOWOTOMYSKI;8,26;1,09;1,09;1,06;0;7,19;6,79;9,71;0;10,27;0;99,32;0,68;0;99,65;0,35;0;97,18;2,82;0;0;0;0;0,16;0,13;0,32;0;0,21;0,23;0,14;0
POZNAŃSKIE;OBORNICKI;5,64;1,21;1,22;1,19;0;8,85;8,64;9,68;0;11,46;0;98,28;1,67;0,05;98,5;1,46;0,04;97,43;2,49;0,08;0;0;0;0,21;0,08;0,71;0;0,44;0,08;1,34;0
POZNAŃSKIE;ODOLANOWSKI;10,37;1,05;1,05;1,04;0;6,59;6,41;7,86;0;8,18;0;99,36;0,64;0;99,42;0,58;0;98,93;1,07;0;0;0;0;0,12;0,14;0;0;0,11;0,12;0,07;0
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI);10,55;1,23;1,17;1,54;0;10,86;9,01;18,02;0;27,65;0;98,6;1,2;0,2;98,98;0,82;0,2;97,14;2,64;0,22;0;0;0;0,18;0,17;0,23;0;0,18;0,11;0,29;0
POZNAŃSKIE;OSTRZESZOWSKI;8,95;1,07;1,07;1,04;0;7,75;7,39;9,48;0;9,89;0;98,9;1,02;0,08;99,04;0,91;0,05;98,23;1,55;0,22;0;0;0;0,12;0,07;0,34;0;0,11;0,07;0,22;0
POZNAŃSKIE;PLESZEWSKI;7,82;1,24;1,25;1,16;0;9,99;9,45;12,92;0;14,95;0;98,41;1,46;0,13;98,98;0,86;0,16;95,26;4,74;0;0;0;0;0,26;0,22;0,53;0;0,23;0,22;0,24;0
POZNAŃSKIE;POZNAŃ (MIASTO);137,88;1,47;0;0;1,47;35,65;0;0;35,65;0;52,5;98,48;1,39;0,13;0;0;0;0;0;0;98,48;1,39;0,13;0,21;0;0;0,21;0,09;0;0;0,09
POZNAŃSKIE;POZNAŃSKI WSCHODNI;6,29;1,28;1,32;1,11;0;12,02;12,31;10,41;0;11,5;0;97,34;2,22;0,44;97,47;2,04;0,49;96,59;3,25;0,16;0;0;0;0,26;0,2;0,64;0;0,14;0,09;0,39;0
POZNAŃSKIE;POZNAŃSKI ZACHODNI;7,2;1,24;1,25;1,06;0;9,76;9,77;9,4;0;9,83;0;99,14;0,71;0,15;99,25;0,59;0,16;96,59;3,41;0;0;0;0;0,09;0;1,98;0;0,05;0;0,97;0
POZNAŃSKIE;RAWICKI;12,67;1,1;1,13;1,05;0;7,51;7,22;8,15;0;8,53;0;99,12;0,85;0,03;99,46;0,49;0,05;98,33;1,67;0;0;0;0;0,26;0,2;0,4;0;0,25;0,25;0,24;0
POZNAŃSKIE;STRZELNEŃSKI;5,59;1,39;1,38;1,41;0;11,43;11,29;12,08;0;16,84;0;98,02;1,66;0,32;98,31;1,48;0,21;96,81;2,43;0,76;0;0;0;0,49;0,29;1,39;0;0,28;0,16;0,61;0
POZNAŃSKIE;SZAMOTULSKI;5,98;1,24;1,29;1,09;0;10,01;9,68;11,09;0;12,09;0;98,8;1,05;0,15;99,35;0,55;0,1;96,98;2,69;0,33;0;0;0;0,23;0,22;0,27;0;0,2;0,14;0,33;0
POZNAŃSKIE;SZUBIŃSKI;5,76;1,2;1,22;1,14;0;8,32;8,47;9,25;0;10,54;0;98,67;1,26;0,07;99,05;0,88;0,07;97,21;2,7;0,09;0;0;0;0,34;0,26;0,64;0;0,29;0,28;0,31;0
POZNAŃSKIE;WITKOWSKI;5,25;1,25;1,28;1,13;0;9,7;9,8;9,12;0;10,27;0;98,85;1,02;0,13;99,02;0,87;0,11;97,81;1,97;0,22;0;0;0;0,13;0,15;0;0;0,12;0,12;0,11;0
POZNAŃSKIE;WOLSZTYŃSKI;8,82;1,07;1,08;1,06;0;6,71;6,48;8,23;0;8,69;0;99,1;0,86;0,04;99,32;0,63;0,05;97,68;2,32;0;0;0;0;0,08;0,08;0,11;0;0,29;0,1;1,06;0
POZNAŃSKIE;WRZESIŃSKI;6,32;1,3;1,3;1,29;0;11,33;10,48;15,82;0;20,42;0;97,69;2,12;0,19;98,2;1,77;0,03;94,97;3,99;1,04;0;0;0;0,28;0,27;0,36;0;0,21;0,15;0,36;0
POZNAŃSKIE;WYRZYSKI;5,94;1,23;1,26;1,13;0;8,91;8,63;9,92;0;11,15;0;97,99;1,81;0,2;98,49;1,26;0,25;96,2;3,8;0;0;0;0;0,29;0,2;0,61;0;0,22;0,13;0,44;0
POZNAŃSKIE;WĄGROWIECKI;5,31;1,27;1,29;1,18;0;9,68;9,46;10,66;0;12,58;0;97,92;1,89;0,19;98,25;1,57;0,18;96,41;3,3;0,29;0;0;0;0,11;0,09;0,2;0;0,13;0,12;0,17;0
POZNAŃSKIE;ŚMIGIELSKI;8,43;1,13;1,15;1,04;0;8,04;7,99;8,31;0;8,66;0;98,86;1,08;0,06;98,99;0,99;0,02;98,06;1,64;0,3;0;0;0;0,04;0,05;0;0;0,07;0,05;0,15;0
POZNAŃSKIE;ŚREDZKI;5,65;1,31;1,34;1,16;0;10,9;10,36;13,17;0;15,3;0;98,2;1,62;0,18;98,89;1,03;0,08;95,35;4,08;0,57;0;0;0;0,31;0,27;0,47;0;0,24;0,19;0,37;0
POZNAŃSKIE;ŚREMSKI;6,81;1,19;1,2;1,14;0;9,06;8,64;10,58;0;11,93;0;98,8;1,06;0,14;99,06;0,82;0,12;97,89;1,89;0,22;0;0;0;0,7;0,57;1,17;0;0,43;0,4;0,49;0
POZNAŃSKIE;ŻNIŃSKI;5,87;1,21;1,22;1,17;0;9,29;8,82;11,66;0;13,61;0;98,26;1,33;0,41;98,62;0,89;0,49;96,44;3,56;0;0;0;0;0,21;0,11;0,7;0;0,16;0,1;0,34;0
STANISŁAWOWSKIE;BOHORODCZAŃSKI;12,24;1,02;1,02;1;0;5,12;5,08;5,52;0;5,52;0;97,88;0,27;1,85;97,78;0,28;1,94;99,79;0,21;0;0;0;0;0,51;0,54;0;0;0,51;0,53;0;0
STANISŁAWOWSKIE;DOLIŃSKI;7,55;1,02;1,03;1,01;0;5,39;5,28;6,14;0;6,19;0;99,66;0,15;0,19;99,73;0,13;0,14;99,15;0,32;0,53;0;0;0;0,58;0,56;0,69;0;0,56;0,56;0,56;0
STANISŁAWOWSKIE;HORODEŃSKI;19,23;1,02;1,02;1,01;0;4,95;4,83;6,03;0;6,1;0;98,93;0,15;0,92;98,87;0,14;0,99;99,45;0,31;0,24;0;0;0;0,18;0,19;0,12;0;0,16;0,17;0,09;0
STANISŁAWOWSKIE;KAŁUSKI;13,71;1,02;1,02;1,04;0;5,42;5,33;6,87;0;7,11;0;99,64;0,11;0,25;99,69;0,08;0,23;98,86;0,62;0,52;0;0;0;0,33;0,28;1,24;0;0,36;0,26;1,62;0
STANISŁAWOWSKIE;KOSOWSKI (KOSÓW HUCULSKI);9,33;1,01;1;1,03;0;4,62;4,52;5,44;0;5,52;0;99,4;0,08;0,52;99,42;0,05;0,53;99,16;0,39;0,45;0;0;0;1,05;0,85;2,69;0;1,06;0,83;2,75;0
STANISŁAWOWSKIE;KOŁOMYJSKI;24,63;1,03;1,01;0;1,1;5,59;5,04;0;7,63;0;8,38;99,68;0,14;0,18;99,69;0,08;0,23;0;0;0;99,64;0,26;0,1;0,58;0,44;0;1,1;0,65;0,41;0;1,26
STANISŁAWOWSKIE;NADWÓRNIAŃSKI;8,42;1,01;1,01;1,02;0;4,89;4,72;6,09;0;6,2;0;99,45;0,1;0,45;99,47;0,07;0,46;99,29;0,3;0,41;0;0;0;1,21;1,29;0,61;0;1,16;1,27;0,49;0
STANISŁAWOWSKIE;PECZENIŻYŃSKI;19,85;1;1;1,01;0;4,43;4,38;4,78;0;4,8;0;99,6;0,17;0,23;99,6;0,15;0,25;99,6;0,32;0,08;0;0;0;1,59;1,62;1,42;0;1,66;1,66;1,67;0
STANISŁAWOWSKIE;ROHATYŃSKI;15,72;1,01;1,01;1,01;0;5,67;5,6;6,37;0;6,43;0;94,03;0,13;5,84;93,68;0,06;6,26;97,45;0,78;1,77;0;0;0;0,45;0,39;0,96;0;0,43;0,36;0,89;0
STANISŁAWOWSKIE;SKOLSKI;6,58;1,02;1,02;1,09;0;5,77;5,56;7,89;0;8,46;0;98,97;0,07;0,96;98,89;0,05;1,06;99,74;0,26;0;0;0;0;1,27;1,1;2,95;0;1,74;1,04;5,83;0
STANISŁAWOWSKIE;STANISŁAWOWSKI;22,31;1,05;1,01;1,07;1,44;6,58;5,36;8,02;15;8,57;21,56;95,74;0,66;3,6;94,85;0,62;4,53;98,76;1,04;0,2;99,2;0,53;0,27;0,16;0,13;0,28;0,21;0,24;0,14;0,38;0,41
STANISŁAWOWSKIE;STRYJSKI;15,49;1,05;1,02;0;1,16;7,07;5,76;0;11,34;0;13,21;98,9;0,19;0,91;98,9;0,08;1,02;0;0;0;98,88;0,54;0,58;0,55;0,67;0;0,17;0,48;0,68;0;0,18
STANISŁAWOWSKIE;TURCZAŃSKI;9;1,01;1,01;1,02;0;5,83;5,56;8,68;0;8,87;0;99,22;0,14;0,64;99,2;0,12;0,68;99,39;0,35;0,26;0;0;0;0,66;0,65;0,78;0;0,63;0,64;0,55;0
STANISŁAWOWSKIE;TŁUMACKI;21,21;1,02;1,02;1,01;0;5,15;5,05;5,97;0;6,04;0;99,01;0,1;0,89;98,99;0,07;0,94;99,21;0,28;0,51;0;0;0;0,35;0,3;0,79;0;0,33;0,28;0,63;0
STANISŁAWOWSKIE;ŚNIATYŃSKI;27,71;1,01;1,01;1,01;0;4,74;4,62;5,41;0;5,47;0;99,75;0,07;0,18;99,74;0,06;0,2;99,81;0,11;0,08;0;0;0;0,46;0,45;0,49;0;0,53;0,42;1,01;0
STANISŁAWOWSKIE;ŻYDACZOWSKI;14,28;1,03;1,03;1,01;0;5,77;5,68;6,26;0;6,31;0;99,33;0,15;0,52;99,35;0,08;0,57;99,26;0,54;0,2;0;0;0;0,78;0,66;1,42;0;0,75;0,66;1,17;0
TARNOPOLSKIE;BORSZCZOWSKI;19,85;1,03;1,03;1,02;0;4,66;4,57;5,69;0;5,77;0;99,45;0,05;0,5;99,47;0,03;0,5;99,12;0,31;0,57;0;0;0;0,59;0,54;1,26;0;0,66;0,56;1,61;0
TARNOPOLSKIE;BRODZKI;11,88;1,02;1,01;1,06;0;5,8;5,47;8,9;0;9,53;0;89,03;0,15;10,82;87,94;0,13;11,93;99,59;0,33;0,08;0;0;0;0,3;0,28;0,41;0;0,37;0,27;0,78;0
TARNOPOLSKIE;BRZEŻAŃSKI;12,7;1,03;1,02;1,04;0;6,01;5,75;7,81;0;8,15;0;93,89;0,1;6,01;93,17;0,08;6,75;99,06;0,21;0,73;0;0;0;0,15;0,16;0,05;0;0,23;0,18;0,47;0
TARNOPOLSKIE;BUCZACKI;17,57;1,03;1,03;1,02;0;5,35;5,16;6,8;0;6,91;0;95,8;0,27;3,93;95,87;0,26;3,87;95,3;0,35;4,35;0;0;0;0,3;0,32;0,12;0;0,44;0,35;0,94;0
TARNOPOLSKIE;CZORTKOWSKI;18,6;1,02;1,02;1,03;0;5,33;5,17;7,08;0;7,3;0;99,41;0,07;0,52;99,43;0,03;0,54;99,19;0,45;0,36;0;0;0;0,29;0,28;0,36;0;0,28;0,27;0,38;0
TARNOPOLSKIE;HUSIATYŃSKI;18,61;1,03;1,03;1,02;0;5,24;5,1;6,57;0;6,68;0;98,42;0,05;1,53;98,37;0,05;1,58;98,89;0,13;0,98;0;0;0;0,53;0,55;0,33;0;0,49;0,5;0,44;0
TARNOPOLSKIE;KAMIONECKI;12,36;1,02;1,02;1,02;0;5,88;5,75;6,5;0;6,59;0;95,54;0,2;4,26;95,04;0,09;4,87;98,05;0,72;1,23;0;0;0;0,18;0,17;0,21;0;0,31;0,16;0,92;0
TARNOPOLSKIE;PODHAJECKI;14,4;1,02;1,02;1,02;0;5,18;5,09;7,24;0;7,36;0;94,7;0,07;5,23;94,51;0,05;5,44;98,95;0,6;0,45;0;0;0;0,51;0,27;5,46;0;0,46;0,25;3,44;0
TARNOPOLSKIE;PRZEMYŚLAŃSKI;15,29;1,02;1,02;1,01;0;6,61;5,52;6,52;0;6,59;0;99,1;0,18;0,72;99,13;0,17;0,7;98,77;0,31;0,92;0;0;0;0,62;0,61;0,7;0;0,61;0,63;0,5;0
TARNOPOLSKIE;RADZIECHOWSKI;9,8;1,02;1,02;1,01;0;5,97;5,84;7,15;0;7,21;0;95,43;0,09;4,48;95,16;0,07;4,77;98,03;0,28;1,69;0;0;0;0,66;0,65;0,76;0;0,69;0,55;0,96;0
TARNOPOLSKIE;SKAŁACKI;17,01;1,01;1,01;1,03;0;5,4;5,17;7,25;0;7,46;0;98,48;0,1;1,42;98,39;0,09;1,52;99,24;0,23;0,53;0;0;0;0,15;0,16;0,06;0;0,14;0,15;0,07;0
TARNOPOLSKIE;TARNOPOLSKI;16,49;1,02;1,01;1,02;1,08;6,28;5,45;7,13;11,16;7,25;12,02;95,78;0,17;4,05;95,1;0,14;4,76;99,56;0;0,44;99,28;0,4;0,32;0,16;0,11;1,32;0,25;0,35;0,1;2,37;0,77
TARNOPOLSKIE;TREMBOWELSKI;18,82;1,01;1,01;1,01;0;5,44;5,4;5,65;0;5,68;0;98,35;0,15;1,5;98,27;0,08;1,65;98,83;0,54;0,63;0;0;0;0,35;0,33;0,44;0;0,33;0,3;0,52;0
TARNOPOLSKIE;ZALESZCZYCKI;18,67;1,03;1,03;1,01;0;4,96;4,84;7,86;0;7,92;0;99,06;0,27;0,67;99,07;0,24;0,69;99,02;0,98;0;0;0;0;0,47;0,45;0,98;0;0,43;0,43;0,55;0
TARNOPOLSKIE;ZBARASKI;15,94;1,02;1,02;1,01;0;5,47;5,34;6,61;0;6,65;0;98,19;0,15;1,66;98,02;0,15;1,83;99,68;0,16;0,16;0;0;0;0,47;0,46;0,63;0;0,63;0,45;1,79;0
TARNOPOLSKIE;ZBOROWSKI;13,76;1,01;1,01;1;0;5,35;5,27;5,81;0;5,84;0;92,19;0,29;7,52;92,52;0,27;7,21;90,36;0,39;9,25;0;0;0;0,33;0,33;0,32;0;0,37;0,33;0,52;0
TARNOPOLSKIE;ZŁOCZOWSKI;15,38;1,02;1,02;1,05;0;5,8;5,48;8,19;0;8,56;0;98,17;0,14;1,69;98,05;0,12;1,83;99,08;0,23;0,69;0;0;0;0;0;0;0;0;0;0;0
WARSZAWSKIE;BŁOŃSKI;10,78;1,14;1,1;1,26;1,32;9,84;7,87;12,55;26,97;15,72;35,15;97,83;0,49;1,68;97,63;0,36;2,01;98,37;0,99;0,64;98,99;1,01;0;1,22;1,13;1,23;2,25;1,68;0,86;1,77;3,53
WARSZAWSKIE;CIECHANOWSKI;6,24;1,13;1,11;1,39;0;8,7;8,12;13,28;0;18,48;0;97,4;0,14;2,46;97,21;0,11;2,68;98,89;0,33;0,78;0;0;0;0,27;0,25;0,44;0;0,34;0,17;1;0
WARSZAWSKIE;GOSTYNIŃSKI;8,52;1,08;1,07;1,26;0;8,17;7,75;11,87;0;14,89;0;98,93;0,15;0,92;99,05;0,09;0,86;97,9;0,76;1,34;0;0;0;0,5;0,41;1,34;0;0,51;0,48;0,68;0
WARSZAWSKIE;GRÓJECKI;8,23;1,09;1,07;1,31;0;9,03;8,11;18,07;0;23,49;0;97,49;0,38;2,13;97,45;0,3;2,25;97,92;1,16;0,92;0;0;0;0,18;0,11;0,86;0;0,19;0,13;0,42;0
WARSZAWSKIE;KUTNOWSKI;9,34;1,21;1,17;1,58;0;11,48;10,32;18,28;0;28,81;0;98,44;0,59;0,97;98,46;0,45;1,09;98,34;1,42;0,24;0;0;0;0,36;0,26;0,96;0;0,44;0,38;0,61;0
WARSZAWSKIE;LIPNOWSKI;6,92;1,11;1,11;1,19;0;8,6;8,26;12,36;0;14,57;0;99,28;0,17;0,55;99,39;0,09;0,52;98,12;1;0,88;0;0;0;0,42;0,33;1,45;0;0,41;0,26;1,3;0
WARSZAWSKIE;MAKOWSKI (MAKÓW MAZOWIECKI);6,64;1,04;1,03;1,14;0;7,42;6,91;12,05;0;13,55;0;97,12;0,15;2,73;96,9;0,14;2,96;99,11;0,25;0,64;0;0;0;0,44;0,26;2,01;0;0,32;0,21;0,78;0
WARSZAWSKIE;MIŃSKI;9,62;1,08;1,05;1,4;0;7,88;7,22;13,99;0;19,78;0;99,64;0,19;0,17;99,69;0,12;0,19;99,16;0,84;0;0;0;0;0,92;0,82;1,83;0;1,03;0,68;2,26;0
WARSZAWSKIE;MŁAWSKI;6,94;1,1;1,07;1,38;0;8,48;7,87;12,71;0;17,55;0;98,19;0,27;1,54;98,08;0,18;1,74;98,88;0,9;0,22;0;0;0;0,4;0,42;0,23;0;0,28;0,28;0,27;0
WARSZAWSKIE;NIESZAWSKI;8,94;1,14;1,11;1,38;0;8,83;8,71;9,49;0;12,98;0;99,12;0,23;0,65;99,13;0,16;0,71;99,07;0,64;0,29;0;0;0;1,14;0,42;5,11;0;5,37;0,68;20,26;0
WARSZAWSKIE;PRZASNYCKI;5,43;1,05;1,04;1,14;0;7,05;6,66;10,59;0;12,06;0;94,53;0,29;5,18;94,14;0,17;5,69;98;1,38;0,62;0;0;0;0,42;0,32;1,26;0;0,45;0,27;1,27;0
WARSZAWSKIE;PUŁTUSKI;7,57;1,09;1,07;1,26;0;8,86;7,47;15,54;0;19,52;0;95,69;0,17;4,14;94,97;0,11;4,92;99,13;0,48;0,39;0;0;0;0,52;0,39;1,1;0;1,05;0,4;1,27;0
WARSZAWSKIE;PŁOCKI;6,94;1,15;1,1;1,22;1,82;10,52;8,93;12,46;22,07;15,08;39,99;94,94;0,39;4,67;94,65;0,1;5,25;99,71;0;0,29;95,72;2,74;1,54;0,36;0,3;0,58;0,8;0,48;0,21;0,43;1,15
WARSZAWSKIE;PŁOŃSKI;5,59;1,1;1,08;1,49;0;9,18;8,59;17,83;0;26,49;0;91,42;0,41;8,17;91,15;0,2;8,65;95,36;3,48;1,16;0;0;0;0,12;0,13;0;0;0,12;0,12;0,1;0
WARSZAWSKIE;RADZYMIŃSKI;9,06;1,05;1,04;1,17;0;7,71;7,11;15,48;0;17,71;0;99,68;0,11;0,21;99,76;0,03;0,21;98,67;1,03;0,3;0;0;0;3,35;3,28;4,17;0;2,8;2,62;3,63;0
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);7,78;1,07;1,06;1,21;0;7,64;7,07;15,77;0;18,99;0;92,16;0,24;7,6;91,76;0,2;8,04;97,9;0,7;1,4;0;0;0;0,39;0,37;0,57;0;0,36;0,34;0,43;0
WARSZAWSKIE;RYPIŃSKI;7,28;1,11;1,09;1,29;0;8,62;8,11;13,85;0;17,77;0;99,24;0,15;0,61;99,3;0,14;0,56;98,65;0,25;1,1;0;0;0;0,51;0,4;1,59;0;0,32;0,28;0,52;0
WARSZAWSKIE;SIERPECKI;6,89;1,16;1,15;1,3;0;9,08;8,5;13,92;0;18,03;0;98,67;0,16;1,17;98,63;0,1;1,27;99,01;0,62;0,37;0;0;0;0,23;0,18;0,62;0;0,21;0,12;0,6;0
WARSZAWSKIE;SKIERNIEWICKI;9,85;1,11;1,06;1,67;0;8,14;7,1;15,11;0;25,23;0;95,82;0,17;4,01;95,43;0,18;4,39;98,42;0,1;1,48;0;0;0;0,52;0,46;0,9;0;0,78;0,4;1,64;0
WARSZAWSKIE;SOCHACZEWSKI;7,49;1,06;1,05;1,29;0;7,24;6,93;15,13;0;19,35;0;89,74;0,23;10,03;89,87;0,15;9,98;86,57;2,09;11,34;0;0;0;0,23;0,21;0,68;0;0,38;0,24;1,73;0
WARSZAWSKIE;WARSZAWSKI;13,09;1,2;1,17;1,4;0;8,76;7,87;14,05;0;18,09;0;98,25;0,75;1;98,45;0,4;1,15;97,06;2,84;0,1;0;0;0;8,35;7,93;10,79;0;7,33;7,15;7,85;0
WARSZAWSKIE;WŁOCŁAWSKI;8,42;1,26;1,17;1,2;1,7;11,14;9,4;10,7;16,57;12,79;28,15;98,26;0,62;1,12;98,26;0,43;1,31;98,42;0,76;0,82;98,11;1,11;0,78;0,43;0,18;1,02;0;0,34;0,11;1,05;0
WARSZAWSKIE;ŁOWICKI;10,31;1,06;1,03;1,66;0;7,24;6,54;15,42;0;25,74;0;94,92;0,54;4,54;94,64;0,43;4,93;98,24;1,76;0;0;0;0;0,33;0,28;0,89;0;0,47;0,31;1,08;0
WOŁYŃSKIE;DUBIEŃSKI;8,81;1,02;1,02;1,07;0;6,01;5,87;7,93;0;8,47;0;95,71;0,03;4,26;95,46;0,01;4,53;99,25;0,29;0,46;0;0;0;0,11;0,1;0,25;0;0,35;0,1;0,24;0
WOŁYŃSKIE;HOROCHOWSKI;7,44;1,02;1,02;1;0;5,79;5,72;7,3;0;7,32;0;85,93;0,05;14,02;85,28;0,04;14,68;99,84;0,16;0;0;0;0;0,25;0,26;0;0;0,37;0,4;0;0
WOŁYŃSKIE;KOWELSKI;5,27;1,02;1,01;1;1,16;5,8;5,44;7;9,89;7,01;11,49;95,07;0,04;4,89;94,96;0,04;5;100;0;0;94,73;0,09;5,18;1,11;1,2;0,13;0,3;1,1;1,19;0,12;0,12
WOŁYŃSKIE;KRZEMIENIECKI;12,91;1,06;1,05;1,1;0;5,74;5,55;7,34;0;7,97;0;98,51;0,04;1,45;98,39;0,01;1,6;99,51;0,26;0,23;0;0;0;0,27;0,2;0,81;0;0,36;0,24;1,09;0
WOŁYŃSKIE;LUBOMELSKI;4,54;1,01;1,01;1;0;5,43;5,34;7,46;0;7,49;0;99,15;0,04;0,81;99,12;0,03;0,85;99,78;0,22;0;0;0;0;5,67;5,91;0,22;0;5,78;6,05;0,37;0
WOŁYŃSKIE;OSTROGSKI;11,39;1,03;1,02;1,12;0;6,08;5,57;8,77;0;9,83;0;99,73;0,04;0,23;99,74;0,05;0,21;99,66;0;0,34;0;0;0;0,1;0,06;0,34;0;0,12;0,06;0,32;0
WOŁYŃSKIE;RÓWIEŃSKI;8,13;1,04;1,02;1,08;1,27;6,35;5,93;7,62;12,98;8,23;16,62;99,25;0,04;0,71;99,19;0,01;0,8;99,76;0,24;0;99,66;0,3;0,04;0,32;0,23;0,62;1,6;0,31;0,24;0,58;0,72
WOŁYŃSKIE;WŁODZIMIERSKI;7,38;1,03;1,02;1,09;0;5,85;5,6;7,49;0;8,13;0;94,48;0,07;5,45;93,9;0,04;6,06;98,2;0,3;1,5;0;0;0;0,56;0,61;0,26;0;0,54;0,58;0,32;0
WOŁYŃSKIE;ŁUCKI;6,25;1,03;1,02;1,02;1,13;6,38;5,98;6,79;12,28;6,9;13,79;91,32;0,05;8,63;90,4;0,03;9,57;97,68;0,5;1,82;100;0;0;0,23;0,18;2,32;0,75;0,28;0,18;0,65;0,81
