Region;District;Pszenica;Żyto;Jęczmień;Owies;Gryka;Proso;Kukurydza;Mieszanki zbóż na ziarno (jęczmień i owies);Mieszanki zbóż na ziarno (inne);Groch;Fasola, Bób, Soczewica;Peluszka, wyka, bobik;Łubin;Seradela;Koniczyna;Pozostałe pastawne oraz mieszanki;Ziemniaki;Buraki Cukrowe;Len;Konopie;Rzepak i rzepik ozimy i jary;Chmiel;Cykoria
KRAKOWSKIE;NOWOSĄDECKI;3955.0;6852.0;4852.0;12670.0;2.0;2.0;0.0;563.0;22.0;116.0;85.0;115.0;39.0;1.0;5211.0;96.0;7017.0;0.0;215.0;25.0;1.0;0.0;0.0
KRAKOWSKIE;NOWOTARSKI;58.0;2922.0;5728.0;26500.0;0.0;0.0;0.0;480.0;28.0;158.0;27.0;0.0;238.0;0.0;5896.0;14.0;10058.0;0.0;242.0;3.0;0.0;0.0;0.0
KRAKOWSKIE;OŚWIĘCIMSKI;1139.0;5504.0;836.0;4241.0;0.0;2.0;0.0;101.0;16.0;2.0;26.0;17.0;25.0;0.0;1636.0;213.0;4245.0;0.0;0.0;0.0;0.0;0.0;0.0
KRAKOWSKIE;PILZNEŃSKI;5432.0;9498.0;2216.0;5364.0;7.0;86.0;0.0;105.0;28.0;51.0;48.0;52.0;462.0;36.0;2582.0;43.0;5453.0;0.0;10.0;5.0;1.0;0.0;0.0
KRAKOWSKIE;ROPCZYCKI;5968.0;11493.0;3578.0;6065.0;39.0;140.0;1.0;77.0;204.0;24.0;73.0;98.0;535.0;26.0;2998.0;202.0;6872.0;184.0;20.0;9.0;6.0;0.0;0.0
KRAKOWSKIE;TARNOWSKI;7273.0;11998.0;3622.0;7353.0;54.0;94.0;10.0;105.0;65.0;39.0;68.0;104.0;291.0;26.0;4717.0;137.0;7427.0;131.0;6.0;1.0;0.0;9.0;0.0
KRAKOWSKIE;WADOWICKI;3324.0;8657.0;672.0;9061.0;0.0;1.0;0.0;75.0;20.0;15.0;2.0;32.0;101.0;1.0;5203.0;85.0;7352.0;0.0;0.0;0.0;5.0;0.0;13.0
KRAKOWSKIE;WIELICKI;4898.0;6416.0;1524.0;4333.0;2.0;13.0;0.0;45.0;34.0;21.0;7.0;90.0;47.0;4.0;2898.0;80.0;4116.0;0.0;0.0;40.0;4.0;0.0;0.0
KRAKOWSKIE;ŻYWIECKI;693.0;3734.0;2388.0;11781.0;0.0;0.0;0.0;125.0;92.0;1.0;3.0;2.0;22.0;0.0;6033.0;31.0;8186.0;0.0;66.0;0.0;0.0;0.0;0.0
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);2800.0;20903.0;2782.0;8169.0;967.0;591.0;4.0;177.0;37.0;569.0;26.0;507.0;2784.0;2764.0;1643.0;638.0;8985.0;45.0;376.0;143.0;162.0;0.0;0.0
