Region;District;Konie (sztuki);Byd≥o rogate (sztuki);Trzoda chlewna (sztuki);Owce i kozy (sztuki)
LUBELSKIE;KONSTANTYNOWSKI;14905.0;21880.0;19248.0;13717.0
LUBELSKIE;KRASNOSTAWSKI;24208.0;41671.0;24212.0;1621.0
LUBELSKIE;LUBARTOWSKI;16406.0;30051.0;23100.0;1403.0
LUBELSKIE;LUBELSKI;26588.0;57866.0;40795.0;4979.0
LUBELSKIE;LUBLIN (MIASTO);1272.0;1115.0;1318.0;118.0
LUBELSKIE;PU£AWSKI;18868.0;37580.0;26940.0;1986.0
LUBELSKIE;RADZY—SKI;18351.0;28257.0;20833.0;6804.0
LUBELSKIE;SIEDLECKI;15526.0;32470.0;19207.0;4240.0
LUBELSKIE;SOKO£OWSKI;16596.0;31476.0;20952.0;4821.0
LUBELSKIE;TOMASZOWSKI;21634.0;30169.0;16697.0;1119.0
LUBELSKIE;W GROWSKI;14513.0;36335.0;19527.0;1310.0
LUBELSKIE;W£ODAWSKI;23101.0;43790.0;26049.0;4017.0
LUBELSKIE;ZAMOJSKI;25126.0;40899.0;21514.0;1084.0
LUBELSKIE;£UKOWSKI;19443.0;38050.0;28849.0;4254.0
LWOWSKIE;BRZOZOWSKI;7984.0;32428.0;6795.0;659.0
LWOWSKIE;B”BRECKI;14126.0;29069.0;13055.0;641.0
LWOWSKIE;DOBROMILSKI;8915.0;29829.0;5534.0;1024.0
LWOWSKIE;DROHOBYCKI;19012.0;44718.0;13392.0;2846.0
LWOWSKIE;GR”DECKI;12533.0;24312.0;8912.0;940.0
LWOWSKIE;JAROS£AWSKI;21514.0;45239.0;15781.0;816.0
LWOWSKIE;JAWOROWSKI;16129.0;29615.0;10879.0;1930.0
LWOWSKIE;KOLBUSZOWSKI;9029.0;32857.0;6314.0;48.0
LWOWSKIE;KROåNIE—SKI;6980.0;33569.0;8651.0;1565.0
LWOWSKIE;LESKI;13675.0;46107.0;9059.0;4301.0
LWOWSKIE;LUBACZOWSKI;14900.0;27129.0;13819.0;3567.0
LWOWSKIE;LWOWSKI;23505.0;48697.0;15069.0;387.0
LWOWSKIE;LW”W (MIASTO);1688.0;1176.0;296.0;139.0
