Region;District;Polish;% Polish;Ukrainian;% Ukrainian;Ruthenian;% Ruthenian;Belarusian;% Belarusian;Russian;% Russian;German;% German;Jewish;% Jewish;Hebrew;% Hebrew;Other and unknown: total;% Other: total;Minorities total (excluding Polish nationality);% Minorities total
KRAKOWSKIE;BOCHEŃSKI;;;;;;;;;;;;;;;;;;;;
KRAKOWSKIE;BRZESKI (BRZESKO);;;;;;;;;;;;;;;;;;;;
KRAKOWSKIE;CHRZANOWSKI;;;;;;;;;;;;;;;;;;;;
KRAKOWSKIE;DĄBROWSKI;;;;;;;;;;;;;;;;;;;;
KRAKOWSKIE;GORLICKI;;;;;;;;;;;;;;;;;;;;
KRAKOWSKIE;JASIELSKI;;;;;;;;;;;;;;;;;;;;
KRAKOWSKIE;KRAKOWSKI;;;;;;;;;;;;;;;;;;;;
KRAKOWSKIE;KRAKÓW (MIASTO);;;;;;;;;;;;;;;;;;;;
KRAKOWSKIE;LIMANOWSKI;;;;;;;;;;;;;;;;;;;;
KRAKOWSKIE;MIELECKI;;;;;;;;;;;;;;;;;;;;
KRAKOWSKIE;MYŚLENICKI;;;;;;;;;;;;;;;;;;;;
KRAKOWSKIE;NOWOSĄDECKI;;;;;;;;;;;;;;;;;;;;
KRAKOWSKIE;NOWOTARSKI;;;;;;;;;;;;;;;;;;;;
KRAKOWSKIE;ROPCZYCKI;;;;;;;;;;;;;;;;;;;;
KRAKOWSKIE;TARNOWSKI;;;;;;;;;;;;;;;;;;;;
KRAKOWSKIE;WADOWICKI;;;;;;;;;;;;;;;;;;;;
KRAKOWSKIE;ŻYWIECKI;;;;;;;;;;;;;;;;;;;;
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);106467;0,915719127;2129;0,018311458;121;0,001040717;176;0,00151377;164;0,001410559;6;5,16058E-05;6506;0,05595789;555;0,004773537;142;0,001221337;9799;0,084280873
LUBELSKIE;BIŁGORAJSKI;106100;0,907217553;2510;0,02146198;217;0,001855478;11;9,40565E-05;65;0,000555788;7;5,98541E-05;7837;0,06701097;150;0,001282588;54;0,000461732;10851;0,092782447
LUBELSKIE;CHEŁMSKI;120805;0,744148084;9554;0,058851793;3549;0,021861525;350;0,002155969;563;0,00346803;6893;0,042460269;19061;0,117414069;1400;0,008623876;165;0,001016385;41535;0,255851916
LUBELSKIE;GARWOLIŃSKI;140024;0,875467357;66;0,00041265;2;1,25045E-05;5;3,12613E-05;20;0,000125045;1212;0,007577747;17670;0,110477548;871;0,005445724;72;0,000450163;19918;0,124532643
LUBELSKIE;HRUBIESZOWSKI;101394;0,780211916;16214;0,124764345;2852;0,021945721;58;0,000446301;412;0,003170279;365;0,002808621;8209;0,063167048;331;0,002546996;122;0,000938772;28563;0,219788084
LUBELSKIE;JANOWSKI;142113;0,930558284;1006;0,006587305;3;0,000019644;3;0,000019644;18;0,000117864;2;0,000013096;8831;0,057825535;449;0,002940059;293;0,001918569;10605;0,069441716
LUBELSKIE;KRASNOSTAWSKI;123204;0,91834316;868;0,006469935;186;0,001386415;58;0,000432323;100;0,000745384;6;4,47231E-05;9137;0,068105755;521;0,003883452;79;0,000588854;10955;0,08165684
LUBELSKIE;LUBARTOWSKI;99918;0,92524377;557;0,005157837;71;0,000657462;9;8,33403E-05;13;0,00012038;1486;0,013760406;5755;0,053291478;152;0,001407525;30;0,000277801;8073;0,07475623
LUBELSKIE;LUBELSKI;151946;0,929321965;55;0,000336387;2;1,22323E-05;6;3,66968E-05;11;6,72775E-05;850;0,005198713;10225;0,062537461;196;0,001198762;211;0,001290504;11556;0,070678035
LUBELSKIE;LUBLIN (MIASTO);73534;0,654887118;221;0,001968206;6;5,34355E-05;19;0,000169212;156;0,001389322;101;0,000899497;36549;0,325502071;1452;0,01293138;247;0,00219976;38751;0,345112882
LUBELSKIE;PUŁAWSKI;150022;0,870869058;129;0,000748838;4;2,32198E-05;15;8,70741E-05;68;0,000394736;14;8,12692E-05;21074;0,122333355;717;0,004162144;224;0,001300307;22245;0,129130942
LUBELSKIE;RADZYŃSKI;84174;0,849478751;313;0,003158776;13;0,000131195;12;0,000121103;46;0,000464229;669;0,006751506;10724;0,108225938;3063;0,030911605;75;0,000756895;14915;0,150521249
LUBELSKIE;SIEDLECKI;129414;0,854719934;114;0,000752918;18;0,000118882;84;0,000554781;169;0,001116167;510;0,003368315;19979;0,131952104;943;0,006228081;180;0,001188817;21997;0,145280066
LUBELSKIE;SOKOŁOWSKI;75376;0,897878474;39;0,000464568;0;0;6;0,000071472;22;0,000262064;69;0,000821928;8117;0,096689657;144;0,001715327;176;0,002096511;8573;0,102121526
LUBELSKIE;TOMASZOWSKI;86612;0,715068855;17940;0,148112678;2812;0,023215878;41;0,000338496;348;0,002873089;3;0,000024768;12593;0,103967835;720;0,005944322;55;0,00045408;34512;0,284931145
LUBELSKIE;WĘGROWSKI;79709;0,897745191;34;0,000382935;0;0;8;9,01023E-05;7;7,88395E-05;1201;0,013526603;7638;0,086025139;117;0,001317746;74;0,000833446;9079;0,102254809
LUBELSKIE;WŁODAWSKI;86866;0,764894423;9077;0,079927091;586;0,005159995;412;0,003627846;402;0,003539792;2268;0,019970766;13537;0,119199408;360;0,003169963;58;0,000510716;26700;0,235105577
LUBELSKIE;ZAMOJSKI;130530;0,872830128;2302;0,015393051;230;0,001537968;11;0,000073555;242;0,00161821;16;0,000106989;15417;0,103090646;722;0,004827881;78;0,000521572;19018;0,127169872
LUBELSKIE;ŁUKOWSKI;120991;0,937311652;28;0,000216915;0;0;11;8,52165E-05;9;6,97226E-05;187;0,00144868;7151;0,055398465;664;0,005143977;42;0,000325372;8092;0,062688348
LWOWSKIE;BRZOZOWSKI;;;;;;;;;;;;;;;;;;;;
LWOWSKIE;BÓBRECKI;;;;;;;;;;;;;;;;;;;;
LWOWSKIE;DOBROMILSKI;;;;;;;;;;;;;;;;;;;;
LWOWSKIE;DROHOBYCKI;;;;;;;;;;;;;;;;;;;;
LWOWSKIE;GRÓDECKI;;;;;;;;;;;;;;;;;;;;
LWOWSKIE;JAROSŁAWSKI;;;;;;;;;;;;;;;;;;;;
LWOWSKIE;JAWOROWSKI;;;;;;;;;;;;;;;;;;;;
LWOWSKIE;KOLBUSZOWSKI;;;;;;;;;;;;;;;;;;;;
LWOWSKIE;KROŚNIEŃSKI;;;;;;;;;;;;;;;;;;;;
LWOWSKIE;LESKI;;;;;;;;;;;;;;;;;;;;
LWOWSKIE;LUBACZOWSKI;;;;;;;;;;;;;;;;;;;;
LWOWSKIE;LWOWSKI;;;;;;;;;;;;;;;;;;;;
LWOWSKIE;LWÓW (MIASTO);;;;;;;;;;;;;;;;;;;;
