Region;District;Indirect Occupation - Total;Indirect Occupation - A. Agriculture and forestry;Indirect Occupation - B. Mining and industry;Indirect Occupation - C. Trade and insurance;Indirect Occupation - D. Transport and communication;Indirect Occupation - E. Public service, liberal professions;Indirect Occupation - F. Army;Indirect Occupation - G. Domestic service;Indirect Occupation - H. Unemployed;Indirect Occupation - N. Not further specified
POZNA—SKIE;åMIGIELSKI;18326;14750;1486;286;207;264;11;368;635;319
POZNA—SKIE;åREDZKI;22502;16383;2052;532;462;445;30;664;1235;699
POZNA—SKIE;åREMSKI;26092;18231;2860;748;518;521;98;854;1503;759
POZNA—SKIE;ØNI—SKI;18019;13389;1771;482;292;329;28;480;715;533
STANIS£AWOWSKIE;BOHORODCZA—SKI;36947;34842;976;376;54;295;2;162;91;149
STANIS£AWOWSKIE;DOLI—SKI;58287;49268;3855;1212;288;885;25;511;645;1598
STANIS£AWOWSKIE;HORODE—SKI;52283;47296;1439;833;104;584;7;318;322;1380
STANIS£AWOWSKIE;KA£USKI;52616;48082;1764;855;158;569;6;370;423;389
STANIS£AWOWSKIE;KOSOWSKI (KOS”W HUCULSKI);45557;39163;2416;1047;193;546;12;287;363;1530
STANIS£AWOWSKIE;KO£OMYJSKI;64283;50929;3626;2453;1012;1543;170;1194;2046;1310
STANIS£AWOWSKIE;NADW”RNIA—SKI;44328;37179;2370;810;374;530;12;356;338;2359
STANIS£AWOWSKIE;PECZENIØY—SKI;26352;23691;1058;368;75;263;4;102;142;649
STANIS£AWOWSKIE;ROHATY—SKI;64310;59154;1622;1105;364;743;6;361;384;571
STANIS£AWOWSKIE;SKOLSKI;29011;25312;1613;487;288;411;6;274;295;325
STANIS£AWOWSKIE;STANIS£AWOWSKI;70739;46929;5040;3912;4281;2688;265;2023;3615;1986
STANIS£AWOWSKIE;STRYJSKI;37488;26204;2931;1785;1776;1216;169;914;1658;835
STANIS£AWOWSKIE;TURCZA—SKI;48074;43994;1595;802;176;552;3;293;330;329
STANIS£AWOWSKIE;T£UMACKI;65219;59202;1708;1003;296;709;17;330;457;1497
STANIS£AWOWSKIE;åNIATY—SKI;53123;48331;1495;972;260;577;20;366;473;629
STANIS£AWOWSKIE;ØYDACZOWSKI;46402;41468;1580;765;196;694;14;379;727;579
TARNOPOLSKIE;BORSZCZOWSKI;58025;52193;1681;1525;212;837;104;441;419;613
TARNOPOLSKIE;BRODZKI;45097;38143;2191;1559;375;695;88;508;642;896
TARNOPOLSKIE;BRZEØA—SKI;55145;48729;1636;1285;337;930;110;557;854;707
TARNOPOLSKIE;BUCZACKI;71872;64515;2527;1430;315;965;9;447;778;886
TARNOPOLSKIE;CZORTKOWSKI;40520;34511;1534;1021;649;757;66;442;873;667
TARNOPOLSKIE;HUSIATY—SKI;52961;47067;1625;1557;369;727;17;411;333;855
TARNOPOLSKIE;KAMIONECKI;40886;36257;1661;976;183;600;13;269;368;559
TARNOPOLSKIE;PODHAJECKI;53354;50404;985;656;97;453;9;199;237;314
TARNOPOLSKIE;PRZEMYåLA—SKI;46999;42694;1349;849;256;797;15;340;213;486
TARNOPOLSKIE;RADZIECHOWSKI;39423;34703;1708;1029;129;489;12;236;256;861
TARNOPOLSKIE;SKA£ACKI;49907;44040;1578;1380;320;687;52;413;327;1110
TARNOPOLSKIE;TARNOPOLSKI;74007;59322;3341;2780;1166;1831;206;1192;2428;1741
TARNOPOLSKIE;TREMBOWELSKI;45251;40404;1546;844;145;587;31;303;388;1003
TARNOPOLSKIE;ZALESZCZYCKI;39615;35738;1346;791;135;539;25;261;416;364
TARNOPOLSKIE;ZBARASKI;39206;35596;1030;696;130;586;4;294;227;643
TARNOPOLSKIE;ZBOROWSKI;45264;42065;945;685;139;331;9;154;133;803
TARNOPOLSKIE;Z£OCZOWSKI;62905;53797;2307;1524;576;1115;167;631;1070;1718
WARSZAWSKIE;B£O—SKI;56789;34777;10046;2215;1384;1493;225;1372;2796;2481
WARSZAWSKIE;CIECHANOWSKI;32732;25857;2352;826;263;570;165;721;1147;831
WARSZAWSKIE;GOSTYNI—SKI;43774;36475;3151;874;182;617;20;604;762;1089
WARSZAWSKIE;GR”JECKI;61214;49088;4683;2315;430;909;74;1065;1312;1338
WARSZAWSKIE;KUTNOWSKI;43981;30434;5078;1948;1488;890;104;1322;1354;1363
WARSZAWSKIE;LIPNOWSKI;45624;38143;2381;976;422;706;33;811;970;1182
WARSZAWSKIE;MAKOWSKI (MAK”W MAZOWIECKI);32646;27743;1910;875;139;464;30;297;571;617
WARSZAWSKIE;MI—SKI;49392;39941;3549;1735;570;880;128;550;1154;885
WARSZAWSKIE;M£AWSKI;43013;34415;2685;1148;454;771;25;786;1402;1327
WARSZAWSKIE;NIESZAWSKI;47923;37766;3423;1204;829;881;64;1088;1173;1495
WARSZAWSKIE;PRZASNYCKI;29734;25854;1358;477;153;448;37;335;472;600
WARSZAWSKIE;PU£TUSKI;51050;38395;4352;2113;590;857;288;967;1467;2021
WARSZAWSKIE;P£OCKI;51137;35064;4722;2486;575;1836;187;1656;2897;1714
WARSZAWSKIE;P£O—SKI;36581;29840;2442;994;408;568;37;684;737;871
WARSZAWSKIE;RADZYMI—SKI;37617;31004;2539;1095;345;671;71;410;769;713
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);43446;37059;2441;937;152;723;35;562;653;884
WARSZAWSKIE;RYPI—SKI;35933;30068;2215;769;153;548;20;637;735;788
WARSZAWSKIE;SIERPECKI;34375;27166;2625;1267;387;538;29;578;849;936
WARSZAWSKIE;SKIERNIEWICKI;32627;25366;1878;758;1334;695;143;519;1150;784
WARSZAWSKIE;SOCHACZEWSKI;34247;29731;1680;623;257;527;29;478;464;458
WARSZAWSKIE;WARSZAWSKI;;;;;;;;;;
WARSZAWSKIE;W£OC£AWSKI;53898;30404;9183;3493;1103;1825;323;2515;2911;2141
WARSZAWSKIE;£OWICKI;51258;42544;2724;1064;983;843;40;638;1290;1132
WO£Y—SKIE;DUBIE—SKI;124941;113260;5028;2696;338;1226;124;761;792;716
WO£Y—SKIE;HOROCHOWSKI;45416;42294;1293;863;47;351;4;246;156;162
WO£Y—SKIE;KOWELSKI;98728;87714;2600;3137;1719;1145;101;720;1089;503
WO£Y—SKIE;KRZEMIENIECKI;132793;120364;4481;3195;347;1781;39;773;1211;602
WO£Y—SKIE;LUBOMELSKI;35229;33125;618;639;124;289;45;127;172;90
WO£Y—SKIE;OSTROGSKI;31242;25626;1721;1509;139;831;41;489;646;240
WO£Y—SKIE;R”WIE—SKI;187717;160176;9822;7115;1510;2984;218;1851;2405;1636
WO£Y—SKIE;W£ODZIMIERSKI;59728;53154;2225;1530;333;680;136;531;573;566
WO£Y—SKIE;£UCKI;110020;96064;4567;3741;529;2095;187;985;1117;735
£”DZKIE;BRZEZI—SKI;59154;38782;9041;2711;1990;1374;96;1261;2072;1827
£”DZKIE;KALISKI;84703;56287;10438;4204;1258;2029;246;2564;4617;3060
£”DZKIE;KOLSKI;57144;44780;4580;2016;780;820;42;1309;1411;1406
£”DZKIE;KONI—SKI;51020;40895;3785;1193;582;730;132;917;1278;1508
£”DZKIE;PIOTRKOWSKI;104220;78113;11873;3494;2024;2084;180;1862;2496;2094
£”DZKIE;RADOMSZCZA—SKI;89304;75360;6628;2030;759;1137;73;1265;946;1106
£”DZKIE;SIERADZKI;79966;62353;9350;2386;485;1277;54;1137;1566;1358
£”DZKIE;S£UPECKI;44983;36696;2618;932;227;659;63;760;1381;1647
£”DZKIE;TURECKI;55093;47031;4288;1153;107;626;32;630;660;566
£”DZKIE;WIELU—SKI;95345;83190;4886;2482;285;1007;71;962;1026;1436
£”DZKIE;£ASKI;75604;51207;17034;2341;470;1180;72;1188;1215;897
£”DZKIE;£”DZKI;55537;33552;13705;1874;916;1050;115;1033;1907;1385
£”DZKIE;£”Dè (MIASTO);191656;2049;110781;27879;7040;10365;1459;13894;13826;4363
£”DZKIE;£ CZYCKI;61155;46457;6964;2105;547;988;62;1371;1510;1151
åL•SKIE;BIELSKI (BIELSKO);;;;;;;;;;
åL•SKIE;BIELSKO (MIASTO);;;;;;;;;;
åL•SKIE;CIESZY—SKI;;;;;;;;;;
