Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki
POLESKIE;STOLIŃSKI;1 921;52 282;10 763;22 632;102 393
POLESKIE;ŁUNINIECKI;1 470;136 680;13 026;23 157;460 350
POMORSKIE;BRODNICKI;18 983;182 746;50 404;47 379;1 520 438
POMORSKIE;CHEŁMIŃSKI;69 196;132 675;76 185;61 283;860 034
POMORSKIE;CHOJNICKI;14 061;222 799;18 759;82 567;1 153 007
POMORSKIE;DZIAŁDOWSKI;1 629;51 504;12 663;20 272;730 464
POMORSKIE;GNIEWSKI;42 299;49 554;42 764;49 976;540 041
POMORSKIE;GRUDZIĄDZ (MIASTO);;;;;
POMORSKIE;GRUDZIĄDZKI;62 412;120 285;80 655;104 076;792 592
POMORSKIE;KARTUSKI;8 439;45 250;18 232;154 190;1 206 688
POMORSKIE;KOŚCIERSKI;10 735;148 435;14 599;90 470;1 215 376
POMORSKIE;LUBAWSKI;12 106;132 082;66 597;79 274;1 307 642
POMORSKIE;PUCKI;13 955;50 828;17 667;73 927;480 330
POMORSKIE;STAROGARDZKI;26 475;124 411;33 726;65 993;1 136 514
POMORSKIE;SĘPOLEŃSKI;6 037;206 007;41 443;99 229;638 553
POMORSKIE;TCZEWSKI;41 320;44 757;32 330;60 082;363 889
POMORSKIE;TORUŃ (MIASTO);;;;;
POMORSKIE;TORUŃSKI;52 894;163 398;79 896;68 789;1 008 780
POMORSKIE;TUCHOLSKI;11 579;168 816;32 794;43 651;748 199
POMORSKIE;WEJHEROWSKI;1 854;51 718;9 568;68 443;706 307
POMORSKIE;WĄBRZESKI;41 336;146 158;59 979;59 328;1 059 728
POMORSKIE;ŚWIECKI;30 588;260 914;60 636;75 527;1 857 259
POZNAŃSKIE;BYDGOSKI;59 803;357 923;87 121;104 460;1 473 322
POZNAŃSKIE;BYDGOSZCZ (MIASTO);;;;;
POZNAŃSKIE;CHODZIESKI;8 938;253 047;40 009;51 555;953 500
POZNAŃSKIE;CZARNKOWSKI;4 561;124 080;14 281;27 020;975 044
POZNAŃSKIE;GNIEŹNIEŃSKI;16 288;208 194;67 889;80 558;1 988 530
POZNAŃSKIE;GOSTYŃSKI;71 545;187 548;61 325;119 560;1 590 474
POZNAŃSKIE;GRODZISKI;22 781;208 099;45 791;46 426;1 371 741
POZNAŃSKIE;INOWROCŁAWSKI;105 165;288 900;145 543;64 672;1 447 400
POZNAŃSKIE;JAROCIŃSKI;31 247;210 251;48 668;84 354;1 188 399
POZNAŃSKIE;KOŚCIAŃSKI;33 537;272 617;87 460;74 613;1 323 888
POZNAŃSKIE;KOŹMIŃSKI;60 204;123 874;41 908;109 603;701 181
POZNAŃSKIE;KROTOSZYŃSKI;26 913;87 349;23 584;70 400;624 536
POZNAŃSKIE;KĘPIŃSKI;15 301;128 759;20 078;106 356;889 480
POZNAŃSKIE;LESZCZYŃSKI;34 323;318 192;53 205;113 909;1 138 230
POZNAŃSKIE;MIĘDZYCHODZKI;8 240;198 113;18 848;47 698;821 957
POZNAŃSKIE;MOGILEŃSKI;27 373;245 221;74 545;75 455;1 243 814
POZNAŃSKIE;NOWOTOMYSKI;21 709;252 833;20 459;58 740;1 493 622
POZNAŃSKIE;OBORNICKI;26 165;349 255;64 078;98 821;1 727 727
POZNAŃSKIE;ODOLANOWSKI;11 997;118 338;12 435;61 985;793 211
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI);13 253;88 164;15 148;48 198;571 083
POZNAŃSKIE;OSTRZESZOWSKI;6 880;92 812;9 920;45 774;587 704
POZNAŃSKIE;PLESZEWSKI;40 126;138 065;29 991;86 180;785 240
POZNAŃSKIE;POZNAŃ (MIASTO);;;;;
POZNAŃSKIE;POZNAŃSKI WSCHODNI;15 764;246 687;63 235;72 110;1 255 759
POZNAŃSKIE;POZNAŃSKI ZACHODNI;24 850;270 724;58 883;74 822;1 416 795
POZNAŃSKIE;RAWICKI;44 619;165 828;36 568;79 012;589 321
POZNAŃSKIE;STRZELNEŃSKI;47 861;96 384;100 729;41 088;751 902
POZNAŃSKIE;SZAMOTULSKI;54 815;333 509;88 668;131 747;1 698 701
POZNAŃSKIE;SZUBIŃSKI;29 701;222 684;59 227;64 913;1 317 270
POZNAŃSKIE;WITKOWSKI;20 429;155 838;51 528;49 246;933 011
POZNAŃSKIE;WOLSZTYŃSKI;11 855;228 554;29 033;47 972;1 179 908
POZNAŃSKIE;WRZESIŃSKI;22 800;175 747;49 804;41 823;1 017 620
POZNAŃSKIE;WYRZYSKI;47 336;334 419;97 083;102 416;1 822 328
POZNAŃSKIE;WĄGROWIECKI;33 351;380 190;82 437;86 558;1 663 385
POZNAŃSKIE;ŚMIGIELSKI;25 623;205 494;37 576;66 587;1 025 241
POZNAŃSKIE;ŚREDZKI;40 979;329 208;98 256;87 346;1 446 407
POZNAŃSKIE;ŚREMSKI;29 652;284 317;75 034;92 380;1 277 920
POZNAŃSKIE;ŻNIŃSKI;41 345;211 421;81 914;85 183;1 040 452
STANISŁAWOWSKIE;BOHORODCZAŃSKI;4 091;13 859;5 954;20 945;414 436
STANISŁAWOWSKIE;DOLIŃSKI;6 220;26 598;7 201;24 589;269 382
STANISŁAWOWSKIE;HORODEŃSKI;50 172;41 424;44 605;30 629;1 251 947
STANISŁAWOWSKIE;KAŁUSKI;16 250;16 791;33 429;33 622;783 859
STANISŁAWOWSKIE;KOSOWSKI (KOSÓW HUCULSKI);3 124;2 501;3 091;9 555;261 483
STANISŁAWOWSKIE;KOŁOMYJSKI;18 714;27 725;17 045;41 780;556 802
STANISŁAWOWSKIE;NADWÓRNIAŃSKI;1 010;4 770;1 744;11 769;364 055
STANISŁAWOWSKIE;PECZENIŻYŃSKI;707;1 615;2 652;8 313;203 050
STANISŁAWOWSKIE;ROHATYŃSKI;36 663;49 828;48 734;63 635;1 456 405
STANISŁAWOWSKIE;SKOLSKI;1 625;3 693;8 901;68 672;482 119
STANISŁAWOWSKIE;STANISŁAWOWSKI;13 057;11 030;13 896;25 079;950 912
STANISŁAWOWSKIE;STRYJSKI;12 227;10 240;9 465;48 534;570 708
STANISŁAWOWSKIE;TURCZAŃSKI;5 383;3 905;5 598;109 671;201 984
STANISŁAWOWSKIE;TŁUMACKI;23 307;37 987;30 162;66 532;1 061 410
STANISŁAWOWSKIE;ŚNIATYŃSKI;14 124;22 972;25 071;33 294;731 766
STANISŁAWOWSKIE;ŻYDACZOWSKI;15 654;21 506;10 273;36 938;719 800
TARNOPOLSKIE;BORSZCZOWSKI;47 934;57 119;35 860;37 238;715 359
TARNOPOLSKIE;BRODZKI;54 404;26 153;45 614;54 944;778 542
TARNOPOLSKIE;BRZEŻAŃSKI;49 270;59 521;52 302;43 325;1 401 812
TARNOPOLSKIE;BUCZACKI;41 359;76 628;45 312;49 621;1 417 979
TARNOPOLSKIE;CZORTKOWSKI;44 662;51 012;20 189;15 589;894 022
TARNOPOLSKIE;HUSIATYŃSKI;43 194;50 902;34 309;15 294;1 292 544
TARNOPOLSKIE;KAMIONECKI;38 509;31 803;25 240;35 328;416 402
TARNOPOLSKIE;PODHAJECKI;16 687;22 942;20 238;26 151;809 244
TARNOPOLSKIE;PRZEMYŚLAŃSKI;31 910;30 590;46 902;44 335;571 887
TARNOPOLSKIE;RADZIECHOWSKI;41 985;51 798;40 533;47 104;534 694
TARNOPOLSKIE;SKAŁACKI;55 559;41 025;53 978;34 775;874 076
TARNOPOLSKIE;TARNOPOLSKI;35 608;83 006;73 964;81 211;1 225 769
TARNOPOLSKIE;TREMBOWELSKI;24 277;35 014;38 915;30 627;754 865
TARNOPOLSKIE;ZALESZCZYCKI;43 318;54 932;27 773;20 037;829 065
TARNOPOLSKIE;ZBARASKI;52 393;52 187;45 397;50 567;1 146 875
TARNOPOLSKIE;ZBOROWSKI;39 673;74 442;48 518;88 587;738 799
TARNOPOLSKIE;ZŁOCZOWSKI;36 677;45 416;57 144;101 054;612 626
WARSZAWSKIE;BŁOŃSKI;50 350;215 176;54 836;93 167;1 293 801
WARSZAWSKIE;CIECHANOWSKI;74 073;191 062;63 904;129 164;1 300 264
WARSZAWSKIE;GOSTYNIŃSKI;59 466;175 179;35 955;130 026;1 060 015
WARSZAWSKIE;GRÓJECKI;78 866;274 485;51 169;213 330;2 035 026
WARSZAWSKIE;KUTNOWSKI;115 144;157 496;112 061;139 567;904 792
WARSZAWSKIE;LIPNOWSKI;79 046;252 792;106 315;193 772;1 433 196
WARSZAWSKIE;MAKOWSKI (MAKÓW MAZOWIECKI);16 355;162 601;13 562;100 850;1 054 517
WARSZAWSKIE;MIŃSKI;9 865;153 851;39 276;177 358;1 292 107
WARSZAWSKIE;MŁAWSKI;25 695;227 498;63 754;113 640;1 769 818
WARSZAWSKIE;NIESZAWSKI;110 186;349 044;113 273;95 950;1 550 614
WARSZAWSKIE;PRZASNYCKI;63 319;169 150;40 032;103 014;1 119 260
WARSZAWSKIE;PUŁTUSKI;77 804;189 681;36 872;100 822;1 448 910
WARSZAWSKIE;PŁOCKI;84 681;242 848;83 528;169 698;1 798 232
WARSZAWSKIE;PŁOŃSKI;43 626;185 104;62 408;138 272;1 637 594
WARSZAWSKIE;RADZYMIŃSKI;5 324;132 112;20 379;89 629;1 343 520
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);28 703;276 277;44 688;188 540;1 595 560
WARSZAWSKIE;RYPIŃSKI;52 806;230 840;100 755;189 952;1 560 861
WARSZAWSKIE;SIERPECKI;39 699;173 394;38 884;94 369;1 824 318
WARSZAWSKIE;SKIERNIEWICKI;24 422;188 595;38 290;143 215;1 358 472
WARSZAWSKIE;SOCHACZEWSKI;55 784;177 980;35 425;113 046;1 246 229
WARSZAWSKIE;WARSZAWSKI;27 515;161 361;83 797;151 484;1 641 695
WARSZAWSKIE;WŁOCŁAWSKI;104 535;217 957;103 403;142 608;1 359 480
WARSZAWSKIE;ŁOWICKI;58 378;178 183;75 372;246 024;1 380 854
WOŁYŃSKIE;DUBIEŃSKI;171 391;400 882;117 210;250 671;1 330 472
WOŁYŃSKIE;HOROCHOWSKI;100 095;2 011 915;63 407;146 999;875 851
WOŁYŃSKIE;KOWELSKI;37 619;155 830;21 174;80 952;894 425
WOŁYŃSKIE;KRZEMIENIECKI;92 579;305 098;52 721;150 056;826 264
WOŁYŃSKIE;LUBOMELSKI;23 393;88 184;15 925;65 503;313 244
WOŁYŃSKIE;OSTROGSKI;85 069;154 368;36 634;103 605;227 625
WOŁYŃSKIE;RÓWIEŃSKI;86 460;393 196;110 024;209 733;1 599 138
WOŁYŃSKIE;WŁODZIMIERSKI;95 004;203 606;70 483;141 691;824 254
