Region;District;Total population
STANIS£AWOWSKIE;NADW”RNIA—SKI;78404
STANIS£AWOWSKIE;PECZENIØY—SKI;43085
STANIS£AWOWSKIE;ROHATY—SKI;109534
STANIS£AWOWSKIE;SKOLSKI;48050
STANIS£AWOWSKIE;STANIS£AWOWSKI;133085
STANIS£AWOWSKIE;STRYJSKI;72543
STANIS£AWOWSKIE;TURCZA—SKI;76645
STANIS£AWOWSKIE;T£UMACKI;104675
STANIS£AWOWSKIE;åNIATY—SKI;79224
STANIS£AWOWSKIE;ØYDACZOWSKI;77024
TARNOPOLSKIE;BORSZCZOWSKI;94767
TARNOPOLSKIE;BRODZKI;74856
TARNOPOLSKIE;BRZEØA—SKI;93724
TARNOPOLSKIE;BUCZACKI;116660
TARNOPOLSKIE;CZORTKOWSKI;69020
TARNOPOLSKIE;HUSIATY—SKI;85991
TARNOPOLSKIE;KAMIONECKI;68943
TARNOPOLSKIE;PODHAJECKI;81998
TARNOPOLSKIE;PRZEMYåLA—SKI;79599
TARNOPOLSKIE;RADZIECHOWSKI;68508
TARNOPOLSKIE;SKA£ACKI;85326
TARNOPOLSKIE;TARNOPOLSKI;125652
TARNOPOLSKIE;TREMBOWELSKI;72304
TARNOPOLSKIE;ZALESZCZYCKI;66762
TARNOPOLSKIE;ZBARASKI;65390
TARNOPOLSKIE;ZBOROWSKI;71941
TARNOPOLSKIE;Z£OCZOWSKI;107079
WARSZAWSKIE;B£O—SKI;115594
WARSZAWSKIE;CIECHANOWSKI;68398
WARSZAWSKIE;GOSTYNI—SKI;84815
WARSZAWSKIE;GR”JECKI;127058
WARSZAWSKIE;KUTNOWSKI;99403
WARSZAWSKIE;LIPNOWSKI;93418
WARSZAWSKIE;MAKOWSKI (MAK”W MAZOWIECKI);58303
WARSZAWSKIE;MI—SKI;95897
WARSZAWSKIE;M£AWSKI;88860
WARSZAWSKIE;NIESZAWSKI;101987
WARSZAWSKIE;PRZASNYCKI;56312
WARSZAWSKIE;PU£TUSKI;106511
WARSZAWSKIE;P£OCKI;109751
WARSZAWSKIE;P£O—SKI;74426
WARSZAWSKIE;RADZYMI—SKI;72609
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);83487
WARSZAWSKIE;RYPI—SKI;78360
WARSZAWSKIE;SIERPECKI;68915
WARSZAWSKIE;SKIERNIEWICKI;63476
WARSZAWSKIE;SOCHACZEWSKI;63976
WARSZAWSKIE;WARSZAWSKI;
WARSZAWSKIE;W£OC£AWSKI;124821
WARSZAWSKIE;£OWICKI;94796
WO£Y—SKIE;DUBIE—SKI;220221
WO£Y—SKIE;HOROCHOWSKI;77706
WO£Y—SKIE;KOWELSKI;169708
WO£Y—SKIE;KRZEMIENIECKI;221936
WO£Y—SKIE;LUBOMELSKI;56264
WO£Y—SKIE;OSTROGSKI;56595
WO£Y—SKIE;R”WIE—SKI;338134
WO£Y—SKIE;W£ODZIMIERSKI;101412
WO£Y—SKIE;£UCKI;195931
£”DZKIE;BRZEZI—SKI;125529
£”DZKIE;KALISKI;180320
£”DZKIE;KOLSKI;115508
£”DZKIE;KONI—SKI;99073
£”DZKIE;PIOTRKOWSKI;197285
£”DZKIE;RADOMSZCZA—SKI;169847
£”DZKIE;SIERADZKI;155425
£”DZKIE;S£UPECKI;92848
£”DZKIE;TURECKI;102139
£”DZKIE;WIELU—SKI;181361
£”DZKIE;£ASKI;149404
£”DZKIE;£”DZKI;109634
£”DZKIE;£”Dè (MIASTO);451974
£”DZKIE;£ CZYCKI;122422
åL•SKIE;BIELSKI (BIELSKO);
åL•SKIE;BIELSKO (MIASTO);
åL•SKIE;CIESZY—SKI;
