District;Region;Large Land Estates/Number of estates/From 100 to 200;Large Land Estates/Total area/From 100 to 200;Large Land Estates/Arable land/From 100 to 200;Large Land Estates/Meadows/From 100 to 200;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 100 to 200;Large Land Estates/Orchards/From 100 to 200;Large Land Estates/Vegetable gardens/From 100 to 200;Large Land Estates/Parks/From 100 to 200;Large Land Estates/Land under forest use/From 100 to 200;Large Land Estates/Ponds and lakes/From 100 to 200;Large Land Estates/Under buildings and roads/From 100 to 200;Large Land Estates/Unproductive land/From 100 to 200;Large Land Estates/Number of estates/From 200 to 300;Large Land Estates/Total area/From 200 to 300;Large Land Estates/Arable land/From 200 to 300;Large Land Estates/Meadows/From 200 to 300;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 200 to 300;Large Land Estates/Orchards/From 200 to 300;Large Land Estates/Vegetable gardens/From 200 to 300;Large Land Estates/Parks/From 200 to 300;Large Land Estates/Land under forest use/From 200 to 300;Large Land Estates/Ponds and lakes/From 200 to 300;Large Land Estates/Under buildings and roads/From 200 to 300;Large Land Estates/Unproductive land/From 200 to 300;Large Land Estates/Number of estates/From 300 to 400;Large Land Estates/Total area/From 300 to 400;Large Land Estates/Arable land/From 300 to 400;Large Land Estates/Meadows/From 300 to 400;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 300 to 400;Large Land Estates/Orchards/From 300 to 400;Large Land Estates/Vegetable gardens/From 300 to 400;Large Land Estates/Parks/From 300 to 400;Large Land Estates/Land under forest use/From 300 to 400;Large Land Estates/Ponds and lakes/From 300 to 400;Large Land Estates/Under buildings and roads/From 300 to 400;Large Land Estates/Unproductive land/From 300 to 400;Large Land Estates/Number of estates/From 400 to 500;Large Land Estates/Total area/From 400 to 500;Large Land Estates/Arable land/From 400 to 500;Large Land Estates/Meadows/From 400 to 500;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 400 to 500;Large Land Estates/Orchards/From 400 to 500;Large Land Estates/Vegetable gardens/From 400 to 500;Large Land Estates/Parks/From 400 to 500;Large Land Estates/Land under forest use/From 400 to 500;Large Land Estates/Ponds and lakes/From 400 to 500;Large Land Estates/Under buildings and roads/From 400 to 500;Large Land Estates/Unproductive land/From 400 to 500;Large Land Estates/Number of estates/From 50 to 100;Large Land Estates/Total area/From 50 to 100;Large Land Estates/Arable land/From 50 to 100;Large Land Estates/Meadows/From 50 to 100;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 50 to 100;Large Land Estates/Orchards/From 50 to 100;Large Land Estates/Vegetable gardens/From 50 to 100;Large Land Estates/Parks/From 50 to 100;Large Land Estates/Land under forest use/From 50 to 100;Large Land Estates/Ponds and lakes/From 50 to 100;Large Land Estates/Under buildings and roads/From 50 to 100;Large Land Estates/Unproductive land/From 50 to 100;Large Land Estates/Number of estates/From 500 to 1000;Large Land Estates/Total area/From 500 to 1000;Large Land Estates/Arable land/From 500 to 1000;Large Land Estates/Meadows/From 500 to 1000;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 500 to 1000;Large Land Estates/Orchards/From 500 to 1000;Large Land Estates/Vegetable gardens/From 500 to 1000;Large Land Estates/Parks/From 500 to 1000;Large Land Estates/Land under forest use/From 500 to 1000;Large Land Estates/Ponds and lakes/From 500 to 1000;Large Land Estates/Under buildings and roads/From 500 to 1000;Large Land Estates/Unproductive land/From 500 to 1000;Large Land Estates/Number of estates/Over 1000;Large Land Estates/Total area/Over 1000;Large Land Estates/Arable land/Over 1000;Large Land Estates/Meadows/Over 1000;Large Land Estates/Permanent pastures, mountain meadows, and heaths/Over 1000;Large Land Estates/Orchards/Over 1000;Large Land Estates/Vegetable gardens/Over 1000;Large Land Estates/Parks/Over 1000;Large Land Estates/Land under forest use/Over 1000;Large Land Estates/Ponds and lakes/Over 1000;Large Land Estates/Under buildings and roads/Over 1000;Large Land Estates/Unproductive land/Over 1000;Large Land Estates/Number of estates/Together;Large Land Estates/Total area/Together;Large Land Estates/Arable land/Together;Large Land Estates/Meadows/Together;Large Land Estates/Permanent pastures, mountain meadows, and heaths/Together;Large Land Estates/Orchards/Together;Large Land Estates/Vegetable gardens/Together;Large Land Estates/Parks/Together;Large Land Estates/Land under forest use/Together;Large Land Estates/Ponds and lakes/Together;Large Land Estates/Under buildings and roads/Together;Large Land Estates/Unproductive land/Together
OLKUSKI;KIELECKIE;5.0;712.0;348.0;11.0;6.0;6.0;4.0;2.0;210.0;2.0;11.0;112.0;8.0;1908.0;838.0;43.0;10.0;18.0;9.0;3.0;850.0;1.0;14.0;122.0;2.0;676.0;526.0;0.0;10.0;2.0;4.0;2.0;109.0;0.0;19.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;422.0;253.0;9.0;67.0;5.0;2.0;2.0;39.0;4.0;8.0;33.0;4.0;2698.0;1073.0;83.0;158.0;9.0;6.0;8.0;992.0;17.0;58.0;294.0;7.0;9008.0;2398.0;121.0;208.0;17.0;39.0;29.0;5148.0;16.0;63.0;969.0;32.0;15424.0;5436.0;267.0;459.0;57.0;64.0;46.0;7348.0;40.0;173.0;1534.0
OPATOWSKI;KIELECKIE;17.0;2615.0;1945.0;175.0;74.0;33.0;14.0;4.0;244.0;14.0;48.0;64.0;16.0;3917.0;2483.0;147.0;115.0;38.0;11.0;4.0;791.0;12.0;78.0;238.0;9.0;3241.0;2005.0;126.0;95.0;19.0;11.0;7.0;618.0;21.0;75.0;264.0;5.0;2222.0;1627.0;135.0;98.0;17.0;7.0;3.0;240.0;9.0;57.0;29.0;14.0;1029.0;728.0;43.0;80.0;20.0;6.0;3.0;19.0;13.0;52.0;65.0;16.0;11067.0;6938.0;365.0;267.0;57.0;37.0;13.0;2992.0;14.0;195.0;189.0;11.0;22370.0;6964.0;672.0;528.0;86.0;32.0;20.0;13222.0;171.0;169.0;506.0;88.0;46461.0;22690.0;1663.0;1257.0;270.0;118.0;54.0;18126.0;254.0;674.0;1355.0
OPOCZYŃSKI;KIELECKIE;10.0;1582.0;881.0;148.0;102.0;27.0;7.0;10.0;227.0;96.0;52.0;32.0;8.0;2039.0;1065.0;203.0;145.0;26.0;8.0;6.0;352.0;91.0;65.0;78.0;7.0;2445.0;1093.0;104.0;282.0;23.0;4.0;14.0;596.0;35.0;47.0;247.0;2.0;838.0;496.0;39.0;30.0;12.0;2.0;1.0;208.0;14.0;34.0;2.0;11.0;750.0;456.0;66.0;78.0;11.0;5.0;1.0;57.0;23.0;17.0;36.0;15.0;10174.0;4174.0;768.0;326.0;96.0;24.0;28.0;4381.0;122.0;111.0;144.0;4.0;13190.0;2158.0;353.0;281.0;20.0;10.0;8.0;9658.0;43.0;143.0;516.0;57.0;31018.0;10323.0;1681.0;1244.0;215.0;60.0;68.0;15479.0;424.0;469.0;1055.0
PIŃCZOWSKI;KIELECKIE;25.0;3556.0;2727.0;338.0;180.0;34.0;18.0;20.0;77.0;29.0;82.0;51.0;14.0;3420.0;2298.0;274.0;161.0;37.0;22.0;6.0;487.0;11.0;60.0;64.0;12.0;4042.0;3058.0;380.0;166.0;28.0;18.0;13.0;178.0;15.0;100.0;86.0;4.0;1767.0;1324.0;155.0;86.0;8.0;11.0;6.0;102.0;20.0;51.0;4.0;8.0;525.0;371.0;61.0;18.0;5.0;3.0;0.0;6.0;10.0;22.0;29.0;9.0;6169.0;4242.0;721.0;248.0;38.0;27.0;34.0;445.0;37.0;164.0;213.0;5.0;13484.0;5226.0;973.0;403.0;79.0;24.0;27.0;6059.0;161.0;110.0;422.0;77.0;32963.0;19246.0;2902.0;1262.0;229.0;123.0;106.0;7354.0;283.0;589.0;869.0
RADOMSKI;KIELECKIE;14.0;2019.0;1297.0;188.0;97.0;45.0;9.0;1.0;195.0;91.0;34.0;62.0;11.0;2524.0;1496.0;180.0;173.0;41.0;14.0;0.0;261.0;32.0;53.0;274.0;8.0;2814.0;1737.0;281.0;191.0;28.0;12.0;4.0;282.0;159.0;25.0;95.0;7.0;3146.0;1787.0;353.0;103.0;61.0;26.0;22.0;476.0;122.0;105.0;91.0;12.0;780.0;408.0;123.0;119.0;13.0;3.0;0.0;43.0;20.0;20.0;31.0;15.0;11137.0;5085.0;1145.0;539.0;104.0;31.0;60.0;3547.0;259.0;161.0;206.0;1.0;2202.0;704.0;129.0;20.0;12.0;1.0;10.0;1223.0;10.0;67.0;26.0;68.0;24622.0;12514.0;2399.0;1242.0;304.0;96.0;97.0;6027.0;693.0;465.0;785.0
SANDOMIERSKI;KIELECKIE;22.0;3656.0;2760.0;266.0;150.0;81.0;22.0;12.0;143.0;34.0;84.0;104.0;8.0;1894.0;1458.0;89.0;21.0;23.0;21.0;3.0;186.0;10.0;33.0;50.0;4.0;1324.0;905.0;72.0;105.0;9.0;7.0;3.0;149.0;3.0;16.0;55.0;5.0;2167.0;1393.0;149.0;96.0;8.0;3.0;8.0;409.0;31.0;52.0;18.0;10.0;742.0;564.0;51.0;48.0;7.0;3.0;1.0;34.0;0.0;21.0;13.0;7.0;4891.0;2490.0;359.0;409.0;15.0;6.0;47.0;1232.0;106.0;94.0;133.0;4.0;19212.0;4310.0;403.0;468.0;60.0;22.0;15.0;12630.0;160.0;336.0;808.0;60.0;33886.0;13880.0;1389.0;1297.0;203.0;84.0;89.0;14783.0;344.0;636.0;1181.0
STOPNICKI;KIELECKIE;20.0;2720.0;1498.0;230.0;217.0;40.0;7.0;14.0;392.0;112.0;69.0;141.0;17.0;4145.0;2257.0;276.0;460.0;46.0;17.0;16.0;677.0;202.0;88.0;106.0;7.0;2244.0;1345.0;154.0;171.0;12.0;5.0;9.0;223.0;20.0;34.0;271.0;5.0;2266.0;1072.0;119.0;101.0;17.0;10.0;10.0;801.0;60.0;31.0;45.0;15.0;1043.0;595.0;121.0;69.0;26.0;2.0;12.0;37.0;92.0;27.0;62.0;5.0;3544.0;1147.0;103.0;172.0;12.0;6.0;6.0;1731.0;280.0;49.0;38.0;5.0;14376.0;4656.0;767.0;1434.0;37.0;64.0;31.0;6760.0;243.0;294.0;90.0;74.0;30338.0;12570.0;1770.0;2624.0;190.0;111.0;98.0;10621.0;1009.0;592.0;753.0
WŁOSZCZOWSKI;KIELECKIE;8.0;1232.0;528.0;96.0;64.0;13.0;2.0;1.0;407.0;6.0;15.0;100.0;6.0;1445.0;839.0;108.0;63.0;11.0;5.0;3.0;256.0;10.0;18.0;132.0;3.0;1082.0;412.0;111.0;59.0;4.0;3.0;2.0;430.0;5.0;12.0;44.0;3.0;1380.0;211.0;57.0;225.0;5.0;2.0;0.0;721.0;6.0;22.0;131.0;3.0;232.0;122.0;35.0;8.0;2.0;1.0;0.0;43.0;3.0;4.0;14.0;9.0;6127.0;1637.0;252.0;689.0;12.0;16.0;10.0;2982.0;141.0;64.0;324.0;13.0;35331.0;7193.0;1577.0;1608.0;83.0;70.0;25.0;22538.0;416.0;455.0;1366.0;45.0;46829.0;10942.0;2236.0;2716.0;130.0;99.0;41.0;27377.0;587.0;590.0;2111.0
BIALSKI (BIAŁA KRAKOWSKA);KRAKOWSKIE;6.0;882.0;467.0;28.0;31.0;4.0;3.0;1.0;158.0;152.0;21.0;17.0;2.0;450.0;248.0;8.0;87.0;2.0;0.0;0.0;61.0;37.0;3.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;227.0;154.0;8.0;10.0;1.0;1.0;0.0;28.0;20.0;3.0;2.0;2.0;1643.0;539.0;48.0;92.0;8.0;3.0;8.0;823.0;93.0;15.0;14.0;3.0;10769.0;1621.0;267.0;387.0;2.0;17.0;4.0;7273.0;993.0;167.0;38.0;17.0;13971.0;3029.0;359.0;607.0;17.0;24.0;13.0;8343.0;1295.0;209.0;75.0
BOCHEŃSKI;KRAKOWSKIE;9.0;1410.0;667.0;136.0;48.0;6.0;4.0;3.0;503.0;2.0;19.0;22.0;3.0;693.0;249.0;65.0;5.0;6.0;1.0;3.0;351.0;1.0;7.0;5.0;1.0;326.0;137.0;24.0;17.0;1.0;0.0;0.0;144.0;0.0;1.0;2.0;3.0;1322.0;714.0;32.0;21.0;7.0;3.0;1.0;510.0;5.0;29.0;0.0;7.0;561.0;308.0;41.0;30.0;8.0;2.0;1.0;136.0;8.0;13.0;14.0;3.0;2279.0;1167.0;109.0;55.0;19.0;6.0;9.0;865.0;15.0;9.0;25.0;1.0;1332.0;582.0;204.0;122.0;9.0;0.0;0.0;386.0;0.0;6.0;23.0;27.0;7923.0;3824.0;611.0;298.0;56.0;16.0;17.0;2895.0;31.0;84.0;91.0
BRZESKI (BRZESKO);KRAKOWSKIE;9.0;1366.0;737.0;90.0;55.0;7.0;3.0;14.0;406.0;6.0;15.0;33.0;5.0;1304.0;381.0;213.0;27.0;5.0;5.0;5.0;649.0;1.0;5.0;13.0;2.0;729.0;215.0;165.0;0.0;9.0;2.0;0.0;266.0;49.0;17.0;6.0;3.0;1387.0;591.0;54.0;60.0;4.0;2.0;6.0;609.0;2.0;15.0;44.0;4.0;319.0;201.0;11.0;9.0;7.0;1.0;1.0;49.0;12.0;3.0;25.0;2.0;1421.0;550.0;40.0;213.0;4.0;0.0;0.0;601.0;1.0;3.0;9.0;5.0;13356.0;2361.0;695.0;206.0;8.0;43.0;26.0;9556.0;13.0;106.0;342.0;30.0;19882.0;5036.0;1268.0;570.0;44.0;56.0;52.0;12136.0;84.0;164.0;472.0
CHRZANOWSKI;KRAKOWSKIE;5.0;772.0;327.0;70.0;53.0;5.0;3.0;1.0;244.0;1.0;7.0;61.0;1.0;203.0;93.0;0.0;5.0;3.0;2.0;3.0;93.0;2.0;2.0;0.0;1.0;400.0;180.0;3.0;51.0;2.0;1.0;12.0;139.0;2.0;3.0;7.0;1.0;416.0;121.0;35.0;15.0;1.0;0.0;0.0;209.0;30.0;1.0;4.0;2.0;136.0;77.0;4.0;27.0;1.0;4.0;0.0;22.0;0.0;1.0;0.0;6.0;4459.0;1139.0;418.0;148.0;22.0;5.0;22.0;2593.0;31.0;50.0;31.0;4.0;20876.0;1809.0;715.0;480.0;16.0;9.0;24.0;16744.0;82.0;409.0;588.0;20.0;27262.0;3746.0;1245.0;779.0;50.0;24.0;62.0;20044.0;148.0;473.0;691.0
DĄBROWSKI;KRAKOWSKIE;7.0;1034.0;405.0;90.0;86.0;7.0;3.0;2.0;412.0;3.0;6.0;20.0;5.0;1239.0;458.0;142.0;38.0;3.0;12.0;2.0;545.0;2.0;10.0;27.0;5.0;1871.0;647.0;439.0;86.0;12.0;9.0;7.0;577.0;14.0;20.0;60.0;3.0;1370.0;624.0;210.0;74.0;3.0;8.0;0.0;430.0;1.0;8.0;12.0;11.0;865.0;588.0;88.0;88.0;14.0;1.0;9.0;15.0;4.0;40.0;18.0;2.0;1444.0;618.0;144.0;118.0;1.0;3.0;3.0;510.0;4.0;18.0;25.0;3.0;5575.0;2793.0;1007.0;233.0;14.0;10.0;21.0;1419.0;11.0;31.0;36.0;36.0;13398.0;6133.0;2120.0;723.0;54.0;46.0;44.0;3908.0;39.0;133.0;198.0
GORLICKI;KRAKOWSKIE;9.0;1289.0;311.0;45.0;67.0;7.0;4.0;1.0;833.0;1.0;9.0;11.0;8.0;1975.0;665.0;54.0;69.0;6.0;2.0;2.0;1114.0;1.0;13.0;49.0;4.0;1428.0;117.0;31.0;39.0;5.0;1.0;0.0;1225.0;0.0;3.0;7.0;4.0;1756.0;481.0;63.0;20.0;5.0;2.0;4.0;1123.0;6.0;7.0;45.0;13.0;933.0;298.0;41.0;47.0;14.0;2.0;1.0;448.0;0.0;13.0;69.0;2.0;1232.0;240.0;29.0;22.0;5.0;5.0;9.0;811.0;102.0;9.0;0.0;2.0;2716.0;491.0;61.0;56.0;0.0;7.0;0.0;2088.0;0.0;7.0;6.0;42.0;11329.0;2603.0;324.0;320.0;42.0;23.0;17.0;7642.0;110.0;61.0;187.0
GRYBOWSKI;KRAKOWSKIE;8.0;1192.0;626.0;55.0;52.0;6.0;1.0;14.0;421.0;2.0;9.0;6.0;6.0;1583.0;786.0;43.0;90.0;7.0;5.0;3.0;602.0;1.0;16.0;30.0;1.0;342.0;130.0;9.0;6.0;2.0;2.0;0.0;191.0;0.0;1.0;1.0;1.0;444.0;193.0;8.0;11.0;2.0;0.0;0.0;224.0;0.0;4.0;2.0;9.0;705.0;335.0;21.0;27.0;6.0;2.0;0.0;282.0;0.0;10.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1447.0;258.0;16.0;31.0;4.0;8.0;14.0;1071.0;12.0;11.0;22.0;26.0;5713.0;2328.0;152.0;217.0;27.0;18.0;31.0;2791.0;15.0;51.0;83.0
JASIELSKI;KRAKOWSKIE;12.0;2460.0;1103.0;180.0;55.0;17.0;7.0;19.0;1033.0;4.0;18.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;968.0;538.0;56.0;16.0;3.0;2.0;7.0;336.0;0.0;10.0;0.0;2.0;886.0;249.0;48.0;29.0;7.0;2.0;0.0;546.0;0.0;4.0;1.0;6.0;441.0;181.0;42.0;41.0;4.0;6.0;2.0;146.0;4.0;9.0;6.0;4.0;2547.0;813.0;101.0;81.0;8.0;6.0;35.0;1467.0;10.0;9.0;17.0;3.0;11147.0;4139.0;1516.0;807.0;171.0;7.0;9.0;4324.0;7.0;55.0;112.0;30.0;18449.0;7023.0;1943.0;1029.0;210.0;30.0;72.0;7852.0;25.0;105.0;160.0
KRAKOWSKI;KRAKOWSKIE;12.0;1856.0;1345.0;227.0;77.0;21.0;12.0;6.0;105.0;10.0;35.0;18.0;4.0;963.0;706.0;166.0;10.0;3.0;15.0;16.0;15.0;5.0;22.0;5.0;9.0;3122.0;2299.0;317.0;65.0;15.0;14.0;4.0;283.0;23.0;24.0;78.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;194.0;123.0;29.0;18.0;9.0;2.0;1.0;2.0;3.0;5.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2909.0;1389.0;189.0;80.0;22.0;2.0;14.0;1162.0;6.0;29.0;16.0;30.0;9044.0;5862.0;928.0;250.0;70.0;45.0;41.0;1567.0;47.0;115.0;119.0
KRAKÓW (MIASTO);KRAKOWSKIE;1.0;191.0;142.0;44.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;191.0;142.0;44.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0
LIMANOWSKI;KRAKOWSKIE;5.0;753.0;300.0;19.0;19.0;4.0;3.0;0.0;382.0;0.0;17.0;9.0;3.0;737.0;257.0;17.0;18.0;2.0;4.0;4.0;427.0;0.0;3.0;5.0;2.0;626.0;179.0;12.0;2.0;7.0;1.0;1.0;420.0;0.0;2.0;2.0;3.0;1398.0;453.0;51.0;41.0;8.0;2.0;1.0;799.0;3.0;14.0;26.0;2.0;137.0;57.0;9.0;9.0;7.0;0.0;0.0;48.0;2.0;2.0;3.0;1.0;647.0;44.0;1.0;13.0;0.0;1.0;2.0;527.0;1.0;0.0;58.0;4.0;11039.0;106.0;22.0;57.0;10.0;2.0;7.0;10557.0;0.0;121.0;157.0;20.0;15337.0;1396.0;131.0;159.0;38.0;13.0;15.0;13160.0;6.0;159.0;260.0
MIELECKI;KRAKOWSKIE;14.0;2015.0;1112.0;63.0;164.0;9.0;5.0;5.0;545.0;4.0;32.0;76.0;9.0;2228.0;1695.0;108.0;190.0;22.0;12.0;6.0;104.0;8.0;57.0;26.0;4.0;1408.0;436.0;107.0;65.0;5.0;0.0;0.0;732.0;2.0;9.0;52.0;1.0;411.0;268.0;119.0;17.0;0.0;1.0;0.0;0.0;0.0;2.0;4.0;9.0;626.0;394.0;47.0;46.0;3.0;0.0;2.0;107.0;9.0;11.0;7.0;8.0;5321.0;1267.0;366.0;86.0;4.0;2.0;1.0;3522.0;5.0;53.0;15.0;5.0;12932.0;1588.0;860.0;246.0;13.0;9.0;11.0;9797.0;100.0;194.0;114.0;50.0;24941.0;6760.0;1670.0;814.0;56.0;29.0;25.0;14807.0;128.0;358.0;294.0
MYŚLENICKI;KRAKOWSKIE;2.0;245.0;71.0;7.0;10.0;1.0;0.0;0.0;150.0;1.0;1.0;4.0;1.0;283.0;106.0;13.0;7.0;0.0;0.0;2.0;147.0;0.0;2.0;6.0;4.0;1415.0;324.0;33.0;122.0;5.0;3.0;2.0;905.0;1.0;5.0;15.0;2.0;896.0;306.0;16.0;2.0;7.0;0.0;0.0;551.0;0.0;5.0;9.0;3.0;222.0;111.0;17.0;45.0;2.0;0.0;0.0;46.0;0.0;1.0;0.0;2.0;1429.0;154.0;7.0;45.0;6.0;5.0;2.0;1199.0;1.0;7.0;3.0;2.0;12022.0;722.0;84.0;254.0;3.0;4.0;0.0;10509.0;0.0;64.0;382.0;16.0;16512.0;1794.0;177.0;485.0;24.0;12.0;6.0;13507.0;3.0;85.0;419.0
NOWOSĄDECKI;KRAKOWSKIE;7.0;1036.0;650.0;24.0;77.0;7.0;1.0;2.0;226.0;0.0;11.0;38.0;8.0;1932.0;808.0;52.0;110.0;13.0;1.0;1.0;889.0;1.0;9.0;48.0;1.0;305.0;53.0;6.0;0.0;1.0;1.0;0.0;243.0;0.0;1.0;0.0;1.0;499.0;212.0;2.0;8.0;1.0;0.0;1.0;267.0;0.0;2.0;6.0;13.0;1003.0;475.0;20.0;75.0;12.0;3.0;0.0;336.0;1.0;54.0;27.0;2.0;1612.0;231.0;20.0;16.0;1.0;0.0;1.0;1321.0;0.0;1.0;21.0;3.0;12781.0;1078.0;140.0;187.0;7.0;10.0;7.0;11297.0;0.0;42.0;13.0;35.0;19168.0;3507.0;264.0;473.0;42.0;16.0;12.0;14579.0;2.0;120.0;153.0
NOWOTARSKI;KRAKOWSKIE;2.0;271.0;47.0;13.0;7.0;0.0;1.0;1.0;196.0;0.0;3.0;3.0;2.0;476.0;25.0;1.0;2.0;1.0;1.0;0.0;435.0;2.0;4.0;5.0;1.0;346.0;239.0;33.0;74.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;443.0;63.0;19.0;51.0;0.0;0.0;0.0;308.0;0.0;0.0;2.0;1.0;74.0;14.0;14.0;9.0;5.0;0.0;0.0;31.0;0.0;1.0;0.0;4.0;2632.0;259.0;80.0;172.0;2.0;0.0;0.0;1966.0;0.0;3.0;150.0;3.0;11222.0;36.0;93.0;616.0;0.0;4.0;40.0;9957.0;41.0;41.0;394.0;14.0;15464.0;683.0;253.0;931.0;8.0;6.0;41.0;12893.0;43.0;52.0;554.0
OŚWIĘCIMSKI;KRAKOWSKIE;1.0;124.0;58.0;17.0;12.0;2.0;0.0;0.0;0.0;32.0;3.0;0.0;6.0;1595.0;821.0;107.0;55.0;10.0;6.0;1.0;207.0;336.0;23.0;29.0;1.0;373.0;196.0;11.0;27.0;1.0;2.0;0.0;27.0;59.0;4.0;46.0;1.0;453.0;238.0;26.0;10.0;6.0;2.0;0.0;123.0;45.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1921.0;597.0;151.0;50.0;6.0;10.0;10.0;266.0;777.0;54.0;0.0;2.0;4320.0;1092.0;373.0;178.0;9.0;3.0;4.0;831.0;1740.0;39.0;51.0;14.0;8786.0;3002.0;685.0;332.0;34.0;23.0;15.0;1454.0;2989.0;126.0;126.0
PILZNEŃSKI;KRAKOWSKIE;7.0;980.0;510.0;41.0;28.0;6.0;2.0;3.0;359.0;5.0;13.0;13.0;7.0;1747.0;788.0;84.0;29.0;32.0;6.0;15.0;733.0;14.0;20.0;26.0;3.0;1054.0;394.0;24.0;29.0;2.0;4.0;0.0;591.0;1.0;4.0;5.0;4.0;1846.0;435.0;60.0;55.0;16.0;0.0;0.0;1249.0;0.0;5.0;26.0;6.0;390.0;211.0;12.0;26.0;4.0;1.0;0.0;122.0;4.0;8.0;2.0;3.0;2433.0;653.0;61.0;45.0;13.0;5.0;13.0;1594.0;4.0;10.0;35.0;2.0;3386.0;268.0;119.0;14.0;3.0;5.0;2.0;2884.0;23.0;4.0;64.0;32.0;11836.0;3259.0;401.0;226.0;76.0;23.0;33.0;7532.0;51.0;64.0;171.0
PODGÓRSKI;KRAKOWSKIE;16.0;2280.0;1510.0;231.0;87.0;52.0;16.0;28.0;264.0;21.0;35.0;36.0;3.0;633.0;322.0;49.0;9.0;18.0;2.0;3.0;222.0;1.0;4.0;3.0;1.0;349.0;2.0;0.0;0.0;0.0;0.0;0.0;347.0;0.0;0.0;0.0;1.0;406.0;206.0;21.0;22.0;3.0;3.0;2.0;141.0;1.0;1.0;6.0;11.0;777.0;471.0;130.0;59.0;12.0;12.0;2.0;65.0;3.0;18.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.0;4445.0;2511.0;431.0;177.0;85.0;33.0;35.0;1039.0;26.0;58.0;50.0
ROPCZYCKI;KRAKOWSKIE;5.0;779.0;537.0;61.0;42.0;12.0;1.0;1.0;88.0;8.0;14.0;15.0;6.0;1471.0;797.0;101.0;26.0;4.0;5.0;6.0;522.0;0.0;7.0;3.0;5.0;1695.0;825.0;42.0;120.0;10.0;3.0;4.0;629.0;2.0;8.0;52.0;1.0;447.0;251.0;18.0;16.0;3.0;0.0;0.0;156.0;0.0;1.0;2.0;7.0;551.0;300.0;22.0;8.0;4.0;2.0;4.0;151.0;3.0;13.0;44.0;3.0;2180.0;622.0;53.0;39.0;1.0;4.0;1.0;1412.0;0.0;25.0;23.0;3.0;6820.0;1719.0;214.0;151.0;16.0;34.0;23.0;4587.0;4.0;49.0;23.0;30.0;13943.0;5051.0;511.0;402.0;50.0;49.0;39.0;7545.0;17.0;117.0;162.0
SPISKO-ORAWSKI;KRAKOWSKIE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;71.0;38.0;12.0;6.0;0.0;0.0;0.0;10.0;0.0;0.0;5.0;1.0;872.0;339.0;116.0;20.0;0.0;0.0;0.0;371.0;0.0;0.0;26.0;1.0;1883.0;609.0;114.0;123.0;0.0;40.0;0.0;917.0;0.0;0.0;80.0;3.0;2826.0;986.0;242.0;149.0;0.0;40.0;0.0;1298.0;0.0;0.0;111.0
