Region;District;Liczba ludności/Ogółem;Liczba ludności/Mniej niż 2 ha;Liczba ludności/2 - 5 ha;Liczba ludności/5 - 10 ha;Liczba ludności/10 - 15 ha;Liczba ludności/15 - 50 ha;Liczba ludności/50 ha i więcej;Liczba ludności/Niewiadoma;Liczba zespołów/Ogółem;Liczba zespołów/Mniej niż 2 ha;Liczba zespołów/2 - 5 ha;Liczba zespołów/5 - 10 ha;Liczba zespołów/10 - 15 ha;Liczba zespołów/15 - 50 ha;Liczba zespołów/50 ha i więcej;Liczba zespołów/Niewiadoma
M. ST. WARSZAWA;PÓŁNOCNO-WARSZAWSKI;;;;;;;;;;;;;;;;
M. ST. WARSZAWA;ŚRÓDMIEJSKO-WARSZAWSKI;2508.0;374.0;354.0;134.0;26;176;676;768.0;1070.0;116.0;105.0;51.0;19;80;336;363.0
NOWOGRÓDZKIE;BARANOWICKI;117150.0;12738.0;45038.0;35947.0;8602;4839;419;9567.0;24241.0;3133.0;9683.0;6823.0;1500;859;132;2111.0
NOWOGRÓDZKIE;LIDZKI;134038.0;8158.0;42078.0;45483.0;14384;12421;1109;10405.0;27380.0;2072.0;9074.0;8831.0;2639;2201;265;2298.0
NOWOGRÓDZKIE;NIEŚWIESKI;88751.0;6880.0;32444.0;31900.0;8580;4382;281;4284.0;17558.0;1694.0;6764.0;5884.0;1494;769;82;871.0
NOWOGRÓDZKIE;NOWOGRÓDZKI;121985.0;14317.0;51457.0;35304.0;7342;5005;436;8124.0;24594.0;3504.0;10661.0;6490.0;1291;877;123;1648.0
NOWOGRÓDZKIE;STOŁPECKI;78443.0;6127.0;27324.0;26889.0;8099;4476;248;5280.0;15409.0;1503.0;5732.0;4934.0;1370;760;65;1045.0
NOWOGRÓDZKIE;SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE);86578.0;7889.0;34806.0;26196.0;5899;4084;446;7258.0;42274.0;3725.0;16955.0;12862.0;2934;2054;215;3529.0
NOWOGRÓDZKIE;SŁONIMSKI;96256.0;6095.0;30041.0;35914.0;10699;6081;258;7168.0;19613.0;1480.0;6528.0;6971.0;1927;1035;79;1593.0
NOWOGRÓDZKIE;WOŁOŻYŃSKI;96369.0;12020.0;41546.0;28283.0;6172;4418;375;3555.0;18772.0;2788.0;8288.0;4988.0;1027;755;89;837.0
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);137161.0;12576.0;40427.0;46420.0;16054,8954;10325,0883;327,0163011;11031.0;29322.0;3227.0;9340.0;9549.0;3018,442053;1751,218543;82,33940397;2354.0
POLESKIE;DROHICKI;83305.0;6473.0;26171.0;26926.0;9179;7113;300;7143.0;39662.0;2984.0;12355.0;12900.0;4418;3516;149;3340.0
POLESKIE;IWACEWICKI;68431.0;8952.0;26008.0;18373.0;4588,617302;2483,203667;57,1790318;7969.0;13807.0;2006.0;5313.0;3405.0;788,6414938;432,8788382;17,47966805;1844.0
POLESKIE;KOBRYŃSKI;91709.0;5620.0;23816.0;28839.0;12511,26373;11989,83549;622,9007878;8310.0;19321.0;1487.0;5528.0;5953.0;2342,241643;2120,895783;141,8625737;1748.0
POLESKIE;KOSZYRSKI;85411.0;7172.0;27903.0;26341.0;10079;7185;301;6430.0;41412.0;3462.0;13464.0;12702.0;4936;3584;159;3105.0
POLESKIE;PIŃSKI;135129.0;21245.0;49487.0;35145.0;10766,77661;8816,617559;570,6058328;9098.0;26598.0;4882.0;10162.0;6366.0;1707,248844;1350,72659;285,0245665;1845.0
POLESKIE;PRUŻAŃSKI;88229.0;6342.0;26763.0;31285.0;9051,540742;5832,318675;253,1405823;8702.0;18129.0;1551.0;5903.0;6049.0;1627,638836;983,6599924;64,70117114;1950.0
POLESKIE;STOLIŃSKI;99454.0;17887.0;37440.0;23327.0;7311,744603;6991,522211;249,7331857;6247.0;18295.0;3808.0;7070.0;3915.0;1170,662286;1087,979851;43,35786246;1200.0
POLESKIE;ŁUNINIECKI;81161.0;13562.0;28604.0;18285.0;6027,953849;5322,425401;175,6207504;9184.0;15024.0;2770.0;5425.0;3152.0;976,5232558;826,8372093;35,63953488;1838.0
POMORSKIE;BRODNICKI;;;;;;;;;;;;;;;;
POMORSKIE;CHEŁMIŃSKI;;;;;;;;;;;;;;;;
POMORSKIE;CHOJNICKI;;;;;;;;;;;;;;;;
POMORSKIE;DZIAŁDOWSKI;;;;;;;;;;;;;;;;
POMORSKIE;GDYNIA (MIASTO);;;;;;;;;;;;;;;;
POMORSKIE;GRUDZIĄDZ (MIASTO);;;;;;;;;;;;;;;;
POMORSKIE;GRUDZIĄDZKI;;;;;;;;;;;;;;;;
POMORSKIE;KARTUSKI;;;;;;;;;;;;;;;;
POMORSKIE;KOŚCIERSKI;;;;;;;;;;;;;;;;
POMORSKIE;LUBAWSKI;;;;;;;;;;;;;;;;
POMORSKIE;MORSKI;;;;;;;;;;;;;;;;
POMORSKIE;STAROGARDZKI;;;;;;;;;;;;;;;;
POMORSKIE;SĘPOLEŃSKI;;;;;;;;;;;;;;;;
POMORSKIE;TCZEWSKI;;;;;;;;;;;;;;;;
POMORSKIE;TORUŃ (MIASTO);;;;;;;;;;;;;;;;
POMORSKIE;TORUŃSKI;;;;;;;;;;;;;;;;
POMORSKIE;TUCHOLSKI;;;;;;;;;;;;;;;;
POMORSKIE;WĄBRZESKI;;;;;;;;;;;;;;;;
POMORSKIE;ŚWIECKI;;;;;;;;;;;;;;;;
POZNAŃSKIE;BYDGOSKI;;;;;;;;;;;;;;;;
POZNAŃSKIE;BYDGOSZCZ (MIASTO);;;;;;;;;;;;;;;;
POZNAŃSKIE;CHODZIESKI;;;;;;;;;;;;;;;;
POZNAŃSKIE;CZARNKOWSKI;;;;;;;;;;;;;;;;
POZNAŃSKIE;GNIEZNO (MIASTO);;;;;;;;;;;;;;;;
POZNAŃSKIE;GNIEŹNIEŃSKI;;;;;;;;;;;;;;;;
POZNAŃSKIE;GOSTYŃSKI;;;;;;;;;;;;;;;;
POZNAŃSKIE;INOWROCŁAW (MIASTO);;;;;;;;;;;;;;;;
POZNAŃSKIE;INOWROCŁAWSKI;;;;;;;;;;;;;;;;
POZNAŃSKIE;JAROCIŃSKI;;;;;;;;;;;;;;;;
POZNAŃSKIE;KOŚCIAŃSKI;;;;;;;;;;;;;;;;
POZNAŃSKIE;KROTOSZYŃSKI;;;;;;;;;;;;;;;;
POZNAŃSKIE;KĘPIŃSKI;;;;;;;;;;;;;;;;
POZNAŃSKIE;LESZCZYŃSKI;;;;;;;;;;;;;;;;
POZNAŃSKIE;MIĘDZYCHODZKI;;;;;;;;;;;;;;;;
POZNAŃSKIE;MOGILEŃSKI;;;;;;;;;;;;;;;;
POZNAŃSKIE;NOWOTOMYSKI;;;;;;;;;;;;;;;;
