Region;District;Powierzchnia lasów (ha)
TARNOPOLSKIE;BRODZKI;34 478
TARNOPOLSKIE;BRZEŻAŃSKI;24 411
TARNOPOLSKIE;BUCZACKI;20 735
TARNOPOLSKIE;CZORTKOWSKI;9 647
TARNOPOLSKIE;KAMIONECKI;25 857
TARNOPOLSKIE;KOPYCZYNIECKI;10 908
TARNOPOLSKIE;PODHAJECKI;13 077
TARNOPOLSKIE;PRZEMYŚLAŃSKI;20 547
TARNOPOLSKIE;RADZIECHOWSKI;23 154
TARNOPOLSKIE;SKAŁACKI;8 112
TARNOPOLSKIE;TARNOPOLSKI;7 845
TARNOPOLSKIE;TREMBOWELSKI;8 193
TARNOPOLSKIE;ZALESZCZYCKI;8 340
TARNOPOLSKIE;ZBARASKI;4 007
TARNOPOLSKIE;ZBOROWSKI;9 848
TARNOPOLSKIE;ZŁOCZOWSKI;24 475
WARSZAWSKIE;BŁOŃSKI;11 192
WARSZAWSKIE;CIECHANOWSKI;9 034
WARSZAWSKIE;GOSTYNIŃSKI;26 576
WARSZAWSKIE;GRÓJECKI;16 580
WARSZAWSKIE;KUTNOWSKI;3 736
WARSZAWSKIE;LIPNOWSKI;25 105
WARSZAWSKIE;MAKOWSKI (MAKÓW MAZOWIECKI);22 536
WARSZAWSKIE;MIŃSKI;17 858
WARSZAWSKIE;MŁAWSKI;10 599
WARSZAWSKIE;NIESZAWSKI;3 892
WARSZAWSKIE;PRZASNYCKI;29 022
WARSZAWSKIE;PUŁTUSKI;25 485
WARSZAWSKIE;PŁOCKI;7 098
WARSZAWSKIE;PŁOŃSKI;6 297
WARSZAWSKIE;RADZYMIŃSKI;19 889
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);22 697
WARSZAWSKIE;RYPIŃSKI;14 305
WARSZAWSKIE;SIERPECKI;6 399
WARSZAWSKIE;SKIERNIEWICKI;12 051
WARSZAWSKIE;SOCHACZEWSKI;15 875
WARSZAWSKIE;WARSZAWSKI;32 847
WARSZAWSKIE;WŁOCŁAWSKI;20 295
WARSZAWSKIE;ŁOWICKI;10 166
WOŁYŃSKIE;DUBIEŃSKI;46 408
WOŁYŃSKIE;HOROCHOWSKI;22 951
WOŁYŃSKIE;KOSTOPOLSKI;139 363
WOŁYŃSKIE;KOWELSKI;106 689
WOŁYŃSKIE;KRZEMIENIECKI;29 893
WOŁYŃSKIE;LUBOMELSKI;44 103
WOŁYŃSKIE;RÓWIEŃSKI;51 066
WOŁYŃSKIE;WŁODZIMIERSKI;32 567
WOŁYŃSKIE;ZDOŁBUNOWSKI;25 499
WOŁYŃSKIE;ŁUCKI;96 962
ZIEMIA WILEŃSKA;BRASŁAWSKI;54 249
ZIEMIA WILEŃSKA;DZIŚNIEŃSKI;47 411
ZIEMIA WILEŃSKA;MOŁODECZAŃSKI;26 011
ZIEMIA WILEŃSKA;OSZMIAŃSKI;44 721
ZIEMIA WILEŃSKA;POSTAWSKI;49 899
ZIEMIA WILEŃSKA;WILEJSKI;69 780
ZIEMIA WILEŃSKA;WILEŃSKO-TROCKI;143 745
ZIEMIA WILEŃSKA;WILNO (MIASTO);460
ZIEMIA WILEŃSKA;ŚWIĘCIAŃSKI;88 294
ŁÓDZKIE;BRZEZIŃSKI;17 041
ŁÓDZKIE;KALISKI;23 109
ŁÓDZKIE;KOLSKI;9 482
ŁÓDZKIE;KONIŃSKI;16 488
ŁÓDZKIE;PIOTRKOWSKI;42 610
ŁÓDZKIE;RADOMSZCZAŃSKI;50 149
ŁÓDZKIE;SIERADZKI;27 588
ŁÓDZKIE;SŁUPECKI;12 987
ŁÓDZKIE;TURECKI;14 370
ŁÓDZKIE;WIELUŃSKI;42 872
ŁÓDZKIE;ŁASKI;27 821
ŁÓDZKIE;ŁÓDZKI;11 129
ŁÓDZKIE;ŁÓDŹ (MIASTO);37
ŁÓDZKIE;ŁĘCZYCKI;9 223
ŚLĄSKIE;BIELSKI (BIELSKO);7 838
ŚLĄSKIE;BIELSKO (MIASTO);1
ŚLĄSKIE;CIESZYŃSKI;22 163
ŚLĄSKIE;KATOWICE (MIASTO);642
ŚLĄSKIE;KATOWICKI;3 788
ŚLĄSKIE;KRÓLEWSKA HUTA;0
ŚLĄSKIE;LUBLINIECKI;35 143
ŚLĄSKIE;PSZCZYŃSKI;32 337
ŚLĄSKIE;RYBNICKI;19 943
ŚLĄSKIE;TARNOGÓRSKI;13 101
ŚLĄSKIE;ŚWIĘTOCHŁOWICKI;230
