Region;District;Konie (sztuki);Bydło rogate (sztuki);Trzoda chlewna (sztuki);Owce (sztuki);Kozy (sztuki)
KIELECKIE;ZAWIERCIAŃSKI;6605.0;23476.0;5102.0;763.0;X
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);2848.0;21033.0;14139.0;550.0;X
KRAKOWSKIE;BOCHEŃSKI;9264.0;37829.0;21477.0;184.0;X
KRAKOWSKIE;BRZESKI (BRZESKO);9675.0;37625.0;19290.0;387.0;X
KRAKOWSKIE;CHRZANOWSKI;4442.0;18618.0;8807.0;342.0;X
KRAKOWSKIE;DĄBROWSKI;10367.0;31532.0;16946.0;98.0;X
KRAKOWSKIE;GORLICKI;7935.0;39095.0;12240.0;2089.0;X
KRAKOWSKIE;GRYBOWSKI;3867.0;26281.0;8847.0;1479.0;X
KRAKOWSKIE;JASIELSKI;9555.0;35355.0;15213.0;1396.0;X
KRAKOWSKIE;KRAKOWSKI;9699.0;32129.0;14881.0;320.0;X
KRAKOWSKIE;KRAKÓW (MIASTO);2137.0;1836.0;2040.0;15.0;X
KRAKOWSKIE;LIMANOWSKI;5014.0;38717.0;9348.0;2397.0;X
KRAKOWSKIE;MAKOWSKI (MAKÓW PODHALAŃSKI);5282.0;30972.0;7607.0;633.0;X
KRAKOWSKIE;MIELECKI;11961.0;36055.0;19852.0;75.0;X
KRAKOWSKIE;MYŚLENICKI;2682.0;15129.0;4932.0;405.0;X
KRAKOWSKIE;NOWOSĄDECKI;8700.0;46146.0;16465.0;6972.0;X
KRAKOWSKIE;NOWOTARSKI;13575.0;59483.0;17628.0;24333.0;X
KRAKOWSKIE;OŚWIĘCIMSKI;3014.0;13439.0;10839.0;48.0;X
KRAKOWSKIE;PILZNEŃSKI;7192.0;23724.0;10015.0;226.0;X
KRAKOWSKIE;ROPCZYCKI;11606.0;34988.0;16287.0;134.0;X
KRAKOWSKIE;TARNOWSKI;9814.0;34002.0;15895.0;225.0;X
KRAKOWSKIE;WADOWICKI;4796.0;34281.0;20182.0;141.0;X
KRAKOWSKIE;WIELICKI;4442.0;21800.0;9969.0;222.0;X
KRAKOWSKIE;ŻYWIECKI;4706.0;39845.0;14969.0;2657.0;X
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);14585.0;25281.0;19000.0;8798.0;X
LUBELSKIE;BIŁGORAJSKI;18975.0;38835.0;24973.0;1359.0;X
LUBELSKIE;CHEŁMSKI;26649.0;40671.0;33780.0;1073.0;X
LUBELSKIE;GARWOLIŃSKI;21116.0;47759.0;41669.0;3123.0;X
LUBELSKIE;HRUBIESZOWSKI;29175.0;33514.0;33437.0;2009.0;X
LUBELSKIE;JANOWSKI;23961.0;53427.0;39605.0;1926.0;X
LUBELSKIE;KONSTANTYNOWSKI;15428.0;21801.0;21777.0;12626.0;X
LUBELSKIE;KRASNOSTAWSKI;25550.0;42288.0;36845.0;1399.0;X
LUBELSKIE;LUBARTOWSKI;16622.0;31166.0;31208.0;1305.0;X
LUBELSKIE;LUBELSKI;29580.0;64151.0;71342.0;5226.0;X
LUBELSKIE;PUŁAWSKI;21260.0;44146.0;40110.0;1748.0;X
LUBELSKIE;RADZYŃSKI;20056.0;30834.0;29381.0;7856.0;X
LUBELSKIE;SIEDLECKI;17834.0;32557.0;27109.0;6010.0;X
LUBELSKIE;SOKOŁOWSKI;15454.0;28685.0;21582.0;4791.0;X
LUBELSKIE;TOMASZOWSKI;23204.0;34407.0;31069.0;1374.0;X
LUBELSKIE;WĘGROWSKI;14815.0;32336.0;20517.0;1696.0;X
LUBELSKIE;WŁODAWSKI;23020.0;41635.0;27179.0;3383.0;X
LUBELSKIE;ZAMOJSKI;26232.0;45997.0;40017.0;934.0;X
LUBELSKIE;ŁUKOWSKI;19492.0;36193.0;28036.0;3300.0;X
LWOWSKIE;BRZOZOWSKI;8449.0;31436.0;9848.0;328.0;X
LWOWSKIE;BÓBRECKI;14111.0;28009.0;21067.0;268.0;X
LWOWSKIE;DOBROMILSKI;9677.0;28287.0;7362.0;422.0;X
LWOWSKIE;DROHOBYCKI;18761.0;38360.0;14397.0;2595.0;X
LWOWSKIE;GRÓDECKI;12863.0;23724.0;12791.0;942.0;X
LWOWSKIE;JAROSŁAWSKI;23581.0;46055.0;25342.0;437.0;X
LWOWSKIE;JAWOROWSKI;17619.0;29614.0;16463.0;2696.0;X
LWOWSKIE;KOLBUSZOWSKI;9501.0;32138.0;8294.0;34.0;X
LWOWSKIE;KROŚNIEŃSKI;7539.0;34383.0;12894.0;1307.0;X
LWOWSKIE;LESKI;14567.0;44834.0;13330.0;6214.0;X
LWOWSKIE;LUBACZOWSKI;16190.0;28913.0;23768.0;4119.0;X
LWOWSKIE;LWOWSKI;22643.0;46184.0;23381.0;218.0;X
LWOWSKIE;LWÓW (MIASTO);1618.0;1456.0;651.0;45.0;X
LWOWSKIE;MOŚCISKI;15952.0;27797.0;11622.0;579.0;X
LWOWSKIE;NIŻAŃSKI;9039.0;24806.0;12988.0;323.0;X
LWOWSKIE;PRZEMYSKI;17650.0;39424.0;16571.0;504.0;X
LWOWSKIE;PRZEWORSKI;8081.0;23369.0;12319.0;230.0;X
LWOWSKIE;RAWSKI (RAWA RUSKA);19726.0;32308.0;28318.0;5134.0;X
LWOWSKIE;RUDECKI;14205.0;22990.0;14134.0;52.0;X
LWOWSKIE;RZESZOWSKI;13938.0;51992.0;24215.0;397.0;X
LWOWSKIE;SAMBORSKI;18751.0;32821.0;13404.0;65.0;X
LWOWSKIE;SANOCKI;15064.0;38966.0;11666.0;2656.0;X
LWOWSKIE;SOKALSKI;25128.0;28450.0;41558.0;16242.0;X
LWOWSKIE;STAROSAMBORSKI;7252.0;18748.0;4965.0;3216.0;X
LWOWSKIE;STRZYŻOWSKI;7715.0;26748.0;11042.0;316.0;X
LWOWSKIE;TARNOBRZESKI;12359.0;29918.0;20670.0;202.0;X
LWOWSKIE;ŁAŃCUCKI;13183.0;35817.0;16825.0;456.0;X
LWOWSKIE;ŻÓŁKIEWSKI;18134.0;28999.0;24551.0;1120.0;X
M. ST. WARSZAWA;M. ST. WARSZAWA;;;;;
NOWOGRÓDZKIE;BARANOWICKI;26493.0;44292.0;27125.0;22839.0;X
NOWOGRÓDZKIE;LIDZKI;52775.0;91573.0;46648.0;52517.0;X
NOWOGRÓDZKIE;NIEŚWIESKI;21912.0;32976.0;27085.0;29531.0;X
NOWOGRÓDZKIE;NOWOGRÓDZKI;25828.0;43929.0;31152.0;24471.0;X
NOWOGRÓDZKIE;STOŁPECKI;13792.0;25115.0;19040.0;15668.0;X
NOWOGRÓDZKIE;SŁONIMSKI;21667.0;33981.0;17782.0;24849.0;X
NOWOGRÓDZKIE;WOŁOŻYŃSKI;20680.0;40089.0;29706.0;21479.0;X
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);31170.0;56861.0;46179.0;33964.0;X
POLESKIE;DROHICKI;15371.0;35409.0;19412.0;26456.0;X
POLESKIE;KOBRYŃSKI;18946.0;62494.0;30296.0;37830.0;X
POLESKIE;KOSOWSKI (KOSÓW POLESKI);13295.0;28660.0;18409.0;14305.0;X
POLESKIE;KOSZYRSKI;10792.0;46124.0;17331.0;38994.0;X
POLESKIE;PIŃSKI;26447.0;64695.0;30638.0;38897.0;X
POLESKIE;PRUŻAŃSKI;18131.0;33481.0;23982.0;24457.0;X
POLESKIE;SARNEŃSKI;23653.0;75989.0;44843.0;20604.0;X
POLESKIE;STOLIŃSKI;20708.0;48605.0;20898.0;13457.0;X
POLESKIE;ŁUNINIECKI;16500.0;41924.0;20523.0;23452.0;X
POMORSKIE;BRODNICKI;13116.0;32029.0;35757.0;11673.0;X
POMORSKIE;CHEŁMIŃSKI;10348.0;23866.0;32903.0;18155.0;X
POMORSKIE;CHOJNICKI;8770.0;24625.0;27229.0;16362.0;X
POMORSKIE;DZIAŁDOWSKI;5511.0;14588.0;13348.0;3553.0;X
POMORSKIE;GNIEWSKI;5695.0;11795.0;16527.0;3865.0;X
POMORSKIE;GRUDZIĄDZ (MIASTO);548.0;303.0;641.0;0.0;X
POMORSKIE;GRUDZIĄDZKI;12241.0;26280.0;33605.0;4480.0;X
POMORSKIE;KARTUSKI;10515.0;26605.0;31503.0;2994.0;X
POMORSKIE;KOŚCIERSKI;8888.0;22050.0;29102.0;3600.0;X
POMORSKIE;LUBAWSKI;13202.0;32011.0;34278.0;2149.0;X
POMORSKIE;MORSKI;10307.0;26595.0;31768.0;3831.0;X
POMORSKIE;STAROGARDZKI;9110.0;20707.0;27271.0;1898.0;X
POMORSKIE;SĘPOLEŃSKI;6127.0;19135.0;26003.0;5333.0;X
POMORSKIE;TCZEWSKI;5011.0;9624.0;13432.0;2408.0;X
POMORSKIE;TORUŃ (MIASTO);642.0;330.0;1126.0;1.0;X
POMORSKIE;TORUŃSKI;10335.0;25275.0;28748.0;3279.0;X
POMORSKIE;TUCHOLSKI;6023.0;15202.0;20482.0;2486.0;X
POMORSKIE;WĄBRZESKI;11964.0;26516.0;30395.0;1806.0;X
POMORSKIE;ŚWIECKI;15943.0;34774.0;53735.0;3023.0;X
POZNAŃSKIE;BYDGOSKI;11828.0;30084.0;40573.0;9319.0;X
POZNAŃSKIE;BYDGOSZCZ (MIASTO);1419.0;909.0;1900.0;179.0;X
POZNAŃSKIE;CHODZIESKI;8877.0;23362.0;30992.0;6862.0;X
POZNAŃSKIE;CZARNKOWSKI;5616.0;14049.0;19557.0;2318.0;X
POZNAŃSKIE;GNIEZNO (MIASTO);600.0;191.0;1036.0;0.0;X
POZNAŃSKIE;GNIEŹNIEŃSKI;13327.0;36713.0;55567.0;7999.0;X
POZNAŃSKIE;GOSTYŃSKI;8561.0;25061.0;29126.0;5183.0;X
POZNAŃSKIE;GRODZISKI;4971.0;15007.0;18000.0;2697.0;X
POZNAŃSKIE;INOWROCŁAW (MIASTO);499.0;316.0;1145.0;28.0;X
POZNAŃSKIE;INOWROCŁAWSKI;11565.0;32878.0;32858.0;10497.0;X
POZNAŃSKIE;JAROCIŃSKI;8744.0;25292.0;28956.0;9366.0;X
POZNAŃSKIE;KOŚCIAŃSKI;7421.0;24162.0;25706.0;4776.0;X
POZNAŃSKIE;KOŹMIŃSKI;6776.0;20820.0;20734.0;3599.0;X
POZNAŃSKIE;KROTOSZYŃSKI;5991.0;19936.0;19969.0;1406.0;X
POZNAŃSKIE;KĘPIŃSKI;8505.0;23855.0;26819.0;3331.0;X
POZNAŃSKIE;LESZCZYŃSKI;8140.0;27089.0;30286.0;3352.0;X
POZNAŃSKIE;MIĘDZYCHODZKI;5683.0;15128.0;19072.0;1869.0;X
POZNAŃSKIE;MOGILEŃSKI;10469.0;26720.0;33399.0;4768.0;X
POZNAŃSKIE;NOWOTOMYSKI;7728.0;22272.0;32438.0;4709.0;X
POZNAŃSKIE;OBORNICKI;11195.0;32072.0;52816.0;8497.0;X
POZNAŃSKIE;ODOLANOWSKI;5340.0;22367.0;19019.0;150.0;X
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI);4710.0;13785.0;14352.0;1860.0;X
POZNAŃSKIE;OSTRZESZOWSKI;5272.0;16935.0;15105.0;502.0;X
POZNAŃSKIE;PLESZEWSKI;6224.0;18214.0;21604.0;4483.0;X
POZNAŃSKIE;POZNAŃ (MIASTO);2392.0;893.0;2069.0;29.0;X
POZNAŃSKIE;POZNAŃSKI;14275.0;36991.0;51734.0;5137.0;X
POZNAŃSKIE;RAWICKI;6151.0;22486.0;23588.0;624.0;X
POZNAŃSKIE;STRZELNEŃSKI;7645.0;20795.0;20879.0;9159.0;X
POZNAŃSKIE;SZAMOTULSKI;11212.0;28482.0;38895.0;8675.0;X
POZNAŃSKIE;SZUBIŃSKI;9856.0;27342.0;35806.0;7489.0;X
POZNAŃSKIE;WOLSZTYŃSKI;7024.0;24058.0;27206.0;2334.0;X
POZNAŃSKIE;WRZESIŃSKI;8741.0;24111.0;31123.0;2547.0;X
POZNAŃSKIE;WYRZYSKI;13383.0;35485.0;48160.0;22376.0;X
POZNAŃSKIE;WĄGROWIECKI;12147.0;31550.0;50056.0;7645.0;X
POZNAŃSKIE;ŚMIGIELSKI;6384.0;21526.0;23017.0;4359.0;X
POZNAŃSKIE;ŚREDZKI;10718.0;28496.0;36253.0;5489.0;X
POZNAŃSKIE;ŚREMSKI;10212.0;27769.0;34513.0;4046.0;X
POZNAŃSKIE;ŻNIŃSKI;9287.0;24481.0;37585.0;6070.0;X
STANISŁAWOWSKIE;BOHORODCZAŃSKI;6726.0;17575.0;9603.0;1674.0;X
STANISŁAWOWSKIE;DOLIŃSKI;10772.0;41588.0;11292.0;11335.0;X
STANISŁAWOWSKIE;HORODEŃSKI;19055.0;19798.0;22504.0;15966.0;X
STANISŁAWOWSKIE;KAŁUSKI;10752.0;32149.0;15822.0;3249.0;X
STANISŁAWOWSKIE;KOSOWSKI (KOSÓW HUCULSKI);7095.0;27606.0;12996.0;39886.0;X
STANISŁAWOWSKIE;KOŁOMYJSKI;13933.0;25193.0;22493.0;3177.0;X
STANISŁAWOWSKIE;NADWÓRNIAŃSKI;8473.0;25016.0;12380.0;12948.0;X
STANISŁAWOWSKIE;PECZENIŻYŃSKI;4098.0;12674.0;7742.0;5288.0;X
STANISŁAWOWSKIE;ROHATYŃSKI;20780.0;38196.0;28887.0;795.0;X
STANISŁAWOWSKIE;SKOLSKI;6273.0;22672.0;5558.0;9628.0;X
STANISŁAWOWSKIE;STANISŁAWOWSKI;13067.0;30610.0;21335.0;193.0;X
STANISŁAWOWSKIE;STRYJSKI;7301.0;22348.0;9273.0;156.0;X
STANISŁAWOWSKIE;TURCZAŃSKI;12323.0;38435.0;9521.0;9417.0;X
STANISŁAWOWSKIE;TŁUMACKI;15858.0;30158.0;25998.0;3448.0;X
STANISŁAWOWSKIE;ŚNIATYŃSKI;10251.0;18808.0;20338.0;6415.0;X
STANISŁAWOWSKIE;ŻYDACZOWSKI;12004.0;31154.0;13378.0;217.0;X
TARNOPOLSKIE;BORSZCZOWSKI;18830.0;25358.0;37153.0;20548.0;X
TARNOPOLSKIE;BRODZKI;14661.0;26526.0;32566.0;4029.0;X
TARNOPOLSKIE;BRZEŻAŃSKI;18641.0;26310.0;19348.0;2410.0;X
TARNOPOLSKIE;BUCZACKI;20636.0;33958.0;25003.0;2934.0;X
TARNOPOLSKIE;CZORTKOWSKI;12884.0;19296.0;23951.0;1934.0;X
TARNOPOLSKIE;KAMIONECKI;13999.0;23679.0;25052.0;1139.0;X
TARNOPOLSKIE;KOPYCZYNIECKI;16404.0;25006.0;33334.0;1326.0;X
TARNOPOLSKIE;PODHAJECKI;19054.0;28902.0;22399.0;1440.0;X
TARNOPOLSKIE;PRZEMYŚLAŃSKI;15335.0;26807.0;18612.0;714.0;X
TARNOPOLSKIE;RADZIECHOWSKI;14342.0;22257.0;29879.0;9591.0;X
TARNOPOLSKIE;SKAŁACKI;17953.0;23605.0;28521.0;1121.0;X
TARNOPOLSKIE;TARNOPOLSKI;23211.0;33260.0;28975.0;1067.0;X
TARNOPOLSKIE;TREMBOWELSKI;13098.0;19433.0;15432.0;236.0;X
TARNOPOLSKIE;ZALESZCZYCKI;11795.0;15747.0;20943.0;12185.0;X
TARNOPOLSKIE;ZBARASKI;16056.0;19827.0;18196.0;4724.0;X
TARNOPOLSKIE;ZBOROWSKI;16192.0;26458.0;26702.0;1625.0;X
TARNOPOLSKIE;ZŁOCZOWSKI;17207.0;33174.0;26007.0;1433.0;X
WARSZAWSKIE;BŁOŃSKI;11839.0;24375.0;13351.0;292.0;X
WARSZAWSKIE;CIECHANOWSKI;16612.0;32986.0;17269.0;2200.0;X
WARSZAWSKIE;GOSTYNIŃSKI;11923.0;30574.0;17165.0;2519.0;X
WARSZAWSKIE;GRÓJECKI;20982.0;47756.0;43944.0;2701.0;X
WARSZAWSKIE;KUTNOWSKI;14353.0;32239.0;19742.0;2646.0;X
WARSZAWSKIE;LIPNOWSKI;17957.0;42703.0;29049.0;7126.0;X
WARSZAWSKIE;MAKOWSKI (MAKÓW MAZOWIECKI);13474.0;22294.0;12378.0;2690.0;X
WARSZAWSKIE;MIŃSKI;12553.0;30488.0;19907.0;1764.0;X
WARSZAWSKIE;MŁAWSKI;18670.0;41077.0;23583.0;1956.0;X
WARSZAWSKIE;NIESZAWSKI;17155.0;34345.0;28062.0;8630.0;X
WARSZAWSKIE;PRZASNYCKI;13567.0;26727.0;11420.0;2413.0;X
WARSZAWSKIE;PUŁTUSKI;17290.0;34962.0;19787.0;2326.0;X
WARSZAWSKIE;PŁOCKI;19987.0;37489.0;24486.0;3438.0;X
WARSZAWSKIE;PŁOŃSKI;15622.0;31910.0;22287.0;4673.0;X
WARSZAWSKIE;RADZYMIŃSKI;9620.0;20808.0;9272.0;271.0;X
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);12911.0;28583.0;23919.0;6055.0;X
WARSZAWSKIE;RYPIŃSKI;15460.0;37993.0;29431.0;5466.0;X
WARSZAWSKIE;SIERPECKI;14982.0;34067.0;19719.0;2460.0;X
WARSZAWSKIE;SKIERNIEWICKI;8370.0;18864.0;10149.0;2191.0;X
WARSZAWSKIE;SOCHACZEWSKI;10944.0;25506.0;14915.0;422.0;X
WARSZAWSKIE;WARSZAWSKI;16554.0;26635.0;16859.0;343.0;X
WARSZAWSKIE;WŁOCŁAWSKI;16239.0;32354.0;24907.0;8600.0;X
WARSZAWSKIE;ŁOWICKI;16024.0;33758.0;14690.0;3070.0;X
WOŁYŃSKIE;DUBIEŃSKI;55317.0;59205.0;57279.0;4342.0;X
WOŁYŃSKIE;HOROCHOWSKI;32341.0;34771.0;35382.0;3025.0;X
WOŁYŃSKIE;KOSTOPOLSKI;25822.0;61543.0;37327.0;13995.0;X
WOŁYŃSKIE;KOWELSKI;46829.0;93031.0;48271.0;31627.0;X
WOŁYŃSKIE;KRZEMIENIECKI;55108.0;55970.0;41672.0;17689.0;X
WOŁYŃSKIE;LUBOMELSKI;17732.0;36415.0;21460.0;16528.0;X
WOŁYŃSKIE;RÓWIEŃSKI;51157.0;60672.0;58140.0;13338.0;X
WOŁYŃSKIE;WŁODZIMIERSKI;34984.0;41196.0;35835.0;4661.0;X
WOŁYŃSKIE;ZDOŁBUNOWSKI;24836.0;25884.0;27642.0;5021.0;X
WOŁYŃSKIE;ŁUCKI;53906.0;77270.0;54286.0;9676.0;X
ZIEMIA WILEŃSKA;BRASŁAWSKI;28936.0;47333.0;22842.0;30839.0;X
ZIEMIA WILEŃSKA;DZIŚNIEŃSKI;31819.0;52854.0;28694.0;35079.0;X
ZIEMIA WILEŃSKA;MOŁODECZAŃSKI;15482.0;28716.0;25427.0;17598.0;X
ZIEMIA WILEŃSKA;OSZMIAŃSKI;18727.0;35643.0;25620.0;20001.0;X
ZIEMIA WILEŃSKA;POSTAWSKI;23056.0;37469.0;18104.0;23184.0;X
ZIEMIA WILEŃSKA;WILEJSKI;22262.0;45774.0;34239.0;20060.0;X
ZIEMIA WILEŃSKA;WILEŃSKO-TROCKI;37527.0;69798.0;47822.0;33739.0;X
ZIEMIA WILEŃSKA;WILNO (MIASTO);1274.0;1334.0;873.0;48.0;X
ZIEMIA WILEŃSKA;ŚWIĘCIAŃSKI;26709.0;45240.0;24773.0;28971.0;X
ŁÓDZKIE;BRZEZIŃSKI;12322.0;29672.0;20018.0;2003.0;X
ŁÓDZKIE;KALISKI;18297.0;49196.0;34033.0;2783.0;X
ŁÓDZKIE;KOLSKI;16488.0;37343.0;31425.0;2388.0;X
ŁÓDZKIE;KONIŃSKI;14885.0;39604.0;33973.0;3487.0;X
ŁÓDZKIE;PIOTRKOWSKI;22911.0;49330.0;30466.0;6261.0;X
ŁÓDZKIE;RADOMSZCZAŃSKI;22390.0;46857.0;23696.0;6271.0;X
ŁÓDZKIE;SIERADZKI;19029.0;43883.0;25467.0;1727.0;X
ŁÓDZKIE;SŁUPECKI;13826.0;34874.0;34287.0;3285.0;X
ŁÓDZKIE;TURECKI;14995.0;37294.0;24362.0;1923.0;X
ŁÓDZKIE;WIELUŃSKI;19607.0;46576.0;20804.0;2391.0;X
ŁÓDZKIE;ŁASKI;15186.0;32371.0;11651.0;1922.0;X
ŁÓDZKIE;ŁÓDZKI;11229.0;28160.0;15417.0;1564.0;X
ŁÓDZKIE;ŁÓDŹ (MIASTO);4778.0;2469.0;1873.0;50.0;X
ŁÓDZKIE;ŁĘCZYCKI;18738.0;40997.0;26174.0;921.0;X
ŚLĄSKIE;BIELSKI (BIELSKO);2594.0;14642.0;10831.0;3.0;X
ŚLĄSKIE;BIELSKO (MIASTO);279.0;133.0;156.0;0.0;X
ŚLĄSKIE;CIESZYŃSKI;3638.0;24189.0;22433.0;2734.0;X
ŚLĄSKIE;KATOWICE (MIASTO);1301.0;444.0;3966.0;1.0;X
ŚLĄSKIE;KATOWICKI;2308.0;2298.0;8835.0;22.0;X
ŚLĄSKIE;KRÓLEWSKA HUTA;731.0;121.0;1629.0;0.0;X
ŚLĄSKIE;LUBLINIECKI;3762.0;14303.0;8856.0;102.0;X
ŚLĄSKIE;PSZCZYŃSKI;7750.0;36176.0;27385.0;170.0;X
ŚLĄSKIE;RYBNICKI;7999.0;32046.0;30126.0;241.0;X
ŚLĄSKIE;TARNOGÓRSKI;1266.0;4107.0;4704.0;33.0;X
ŚLĄSKIE;ŚWIĘTOCHŁOWICKI;1807.0;1125.0;7446.0;12.0;X
