Region;District;Konie (sztuki);Bydło rogate (sztuki);Trzoda chlewna (sztuki);Owce (sztuki);Kozy (sztuki)
LWOWSKIE;SOKALSKI;24814.0;30780.0;32820.0;18550.0;95.0
LWOWSKIE;STAROSAMBORSKI;7040.0;20327.0;4162.0;4447.0;364.0
LWOWSKIE;STRZYŻOWSKI;6986.0;27354.0;8588.0;69.0;629.0
LWOWSKIE;TARNOBRZESKI;1150.0;29892.0;20017.0;197.0;153.0
LWOWSKIE;ŁAŃCUCKI;13015.0;37434.0;14902.0;1150.0;282.0
LWOWSKIE;ŻÓŁKIEWSKI;17087.0;30748.0;22223.0;641.0;63.0
M. ST. WARSZAWA;POŁUDNIOWO-WARSZAWSKI;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;
M. ST. WARSZAWA;PÓŁNOCNO-WARSZAWSKI;;;;;
NOWOGRÓDZKIE;BARANOWICKI;27006.0;48651.0;29209.0;27656.0;228.0
NOWOGRÓDZKIE;LIDZKI;37013.0;74945.0;47176.0;55864.0;55.0
NOWOGRÓDZKIE;NIEŚWIESKI;23077.0;41047.0;36573.0;39043.0;38.0
NOWOGRÓDZKIE;NOWOGRÓDZKI;28182.0;54723.0;34178.0;36418.0;61.0
NOWOGRÓDZKIE;STOŁPECKI;16705.0;33896.0;28159.0;23954.0;32.0
NOWOGRÓDZKIE;SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE);21685.0;40319.0;17852.0;33963.0;2.0
NOWOGRÓDZKIE;SŁONIMSKI;24391.0;45842.0;26501.0;50846.0;150.0
NOWOGRÓDZKIE;WOŁOŻYŃSKI;22471.0;45045.0;37545.0;33268.0;76.0
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);33883.0;70370.0;39647.0;55105.0;229.0
POLESKIE;DROHICKI;16309.0;44338.0;30640.0;47606.0;12.0
POLESKIE;KOBRYŃSKI;19261.0;68919.0;31937.0;58638.0;333.0
POLESKIE;KOSOWSKI (KOSÓW POLESKI);14885.0;37817.0;18059.0;26524.0;56.0
POLESKIE;KOSZYRSKI;13146.0;57132.0;18941.0;59766.0;18.0
POLESKIE;PIŃSKI;30243.0;82289.0;43850.0;70188.0;188.0
POLESKIE;PRUŻAŃSKI;19054.0;41504.0;21337.0;42759.0;213.0
POLESKIE;SARNEŃSKI;23252.0;84112.0;42994.0;24379.0;131.0
POLESKIE;STOLIŃSKI;22791.0;64789.0;32936.0;20781.0;171.0
POLESKIE;ŁUNINIECKI;19605.0;55692.0;29545.0;39025.0;157.0
