Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VR;Kategoria VPR;Kategoria VIR;Kategoria VIPR;Kategoria VIIR;Kategoria VIIPR;Kategoria VIIIR;Kategoria VIIIPR
Białostocka;OSTROŁĘCKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;10.0;0.0;30.0;1.0;450.0;32.0
Wielkopolska;OSTRZESZOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;7.0;2.0;22.0;0.0;301.0;19.0
Wileńska;OSZMIAŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;5.0;4.0;54.0;11.0;385.0;47.0
Krakowska;OŚWIĘCIMSKI;1.0;0.0;0.0;0.0;2.0;0.0;5.0;0.0;5.0;0.0;5.0;0.0;25.0;0.0;327.0;18.0
Lwowska;PECZENIŻYŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;8.0;0.0;13.0;2.0;229.0;11.0
Krakowska;PILZNEŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;7.0;0.0;163.0;9.0
Łódzka;PIOTRKOWSKI;1.0;0.0;2.0;1.0;4.0;0.0;10.0;3.0;33.0;2.0;116.0;2.0;184.0;8.0;991.0;23.0
Kielecka;PIŃCZOWSKI;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;3.0;0.0;16.0;2.0;25.0;2.0;689.0;55.0
Poleska;PIŃSKI;0.0;0.0;0.0;0.0;1.0;0.0;6.0;0.0;9.0;0.0;37.0;8.0;58.0;9.0;734.0;72.0
Wielkopolska;PLESZEWSKI;0.0;0.0;0.0;0.0;2.0;0.0;6.0;0.0;12.0;0.0;27.0;0.0;25.0;0.0;294.0;10.0
Lwowska;PODHAJECKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;17.0;0.0;8.0;0.0;219.0;6.0
Wielkopolska;POZNAŃ (MIASTO);2.0;0.0;3.0;0.0;9.0;0.0;71.0;4.0;97.0;7.0;123.0;6.0;316.0;16.0;2009.0;176.0
Wielkopolska;POZNAŃSKI;2.0;0.0;1.0;0.0;2.0;0.0;24.0;0.0;25.0;0.0;49.0;1.0;69.0;1.0;630.0;47.0
Poleska;PRUŻAŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;4.0;0.0;11.0;2.0;28.0;3.0;303.0;46.0
Warrszawa Okręgowa;PRZASNYCKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;12.0;0.0;18.0;1.0;257.0;14.0
Lwowska;PRZEMYSKI;0.0;0.0;0.0;0.0;2.0;0.0;4.0;0.0;22.0;0.0;26.0;1.0;91.0;5.0;1030.0;19.0
Lwowska;PRZEMYŚLAŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;25.0;0.0;37.0;0.0;344.0;10.0
Lwowska;PRZEWORSKI;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;8.0;2.0;2.0;0.0;184.0;4.0
Śląska;PSZCZYŃSKI;6.0;0.0;5.0;0.0;6.0;0.0;24.0;1.0;26.0;0.0;25.0;0.0;50.0;1.0;739.0;30.0
Pomorska;PUCKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;26.0;0.0;50.0;3.0;167.0;39.0
Lubelska;PUŁAWSKI;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;28.0;0.0;50.0;3.0;811.0;59.0
Warrszawa Okręgowa;PUŁTUSKI;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;23.0;0.0;12.0;0.0;36.0;1.0;956.0;18.0
Warrszawa Okręgowa;PŁOCKI;1.0;0.0;1.0;0.0;1.0;0.0;6.0;0.0;9.0;1.0;29.0;1.0;113.0;6.0;963.0;69.0
Warrszawa Okręgowa;PŁOŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;20.0;1.0;60.0;1.0;421.0;22.0
Kielecka;RADOMSKI;0.0;0.0;0.0;0.0;3.0;0.0;30.0;0.0;40.0;2.0;52.0;4.0;141.0;7.0;1178.0;91.0
Łódzka;RADOMSZCZAŃSKI;2.0;0.0;1.0;0.0;1.0;0.0;6.0;1.0;24.0;3.0;58.0;1.0;63.0;5.0;1001.0;90.0
Lwowska;RADZIECHOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;10.0;0.0;17.0;0.0;15.0;1.0;183.0;2.0
Warrszawa Okręgowa;RADZYMIŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;12.0;0.0;16.0;0.0;20.0;3.0;414.0;18.0
Lubelska;RADZYŃSKI;0.0;0.0;0.0;0.0;1.0;0.0;5.0;1.0;9.0;0.0;33.0;0.0;76.0;6.0;741.0;38.0
Wielkopolska;RAWICKI;1.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;14.0;0.0;19.0;0.0;61.0;0.0;606.0;32.0
Warrszawa Okręgowa;RAWSKI (RAWA MAZOWIECKA);0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;18.0;0.0;52.0;3.0;659.0;59.0
Lwowska;RAWSKI (RAWA RUSKA);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;2.0;49.0;4.0;23.0;5.0;532.0;15.0
Lwowska;ROHATYŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;31.0;0.0;28.0;2.0;290.0;6.0
Krakowska;ROPCZYCKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;20.0;0.0;26.0;1.0;392.0;14.0
Lwowska;RUDECKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;10.0;0.0;2.0;0.0;182.0;2.0
Śląska;RYBNICKI;4.0;0.0;1.0;0.0;3.0;0.0;20.0;4.0;35.0;7.0;23.0;4.0;80.0;5.0;1032.0;41.0
Warrszawa Okręgowa;RYPIŃSKI;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;3.0;2.0;17.0;2.0;77.0;2.0;664.0;56.0
