Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VaR;Kategoria VaPR;Kategoria VbR;Kategoria VbPR
Lwowska;BRZOZOWSKI;0.0;0.0;4.0;2.0;363.0;6.0;635.0;45.0;0.0;0.0;0.0;0.0
Lwowska;BUCZACKI;0.0;0.0;0.0;0.0;541.0;29.0;774.0;45.0;3.0;0.0;1.0;1.0
;BYDGOSKI;;;;;;;;;;;;
Wielkopolska;BYDGOSZCZ (MIASTO);13.0;3.0;511.0;26.0;1330.0;77.0;867.0;97.0;9.0;7.0;246.0;6.0
Lwowska;BÓBRECKI;0.0;0.0;20.0;3.0;183.0;12.0;809.0;57.0;0.0;0.0;0.0;0.0
Kielecka;BĘDZIŃSKI;39.0;0.0;583.0;25.0;3958.0;252.0;2129.0;357.0;34.0;19.0;574.0;109.0
Warszawa Okręgowa;BŁOŃSKI;3.0;0.0;78.0;5.0;983.0;64.0;754.0;82.0;1.0;1.0;15.0;0.0
Pomorska;CHEŁMIŃSKI;3.0;1.0;107.0;4.0;348.0;18.0;71.0;21.0;2.0;0.0;2.0;2.0
Lubelska;CHEŁMSKI;0.0;0.0;0.0;0.0;1139.0;121.0;605.0;197.0;42.0;12.0;106.0;18.0
Wielkopolska;CHODZIESKI;0.0;0.0;87.0;3.0;555.0;54.0;72.0;12.0;9.0;1.0;11.0;0.0
Pomorska;CHOJNICKI;5.0;0.0;125.0;6.0;420.0;29.0;268.0;16.0;2.0;0.0;35.0;2.0
Krakowska;CHRZANOWSKI;2.0;0.0;140.0;5.0;1320.0;52.0;837.0;43.0;4.0;0.0;22.0;2.0
Warszawa Okręgowa;CIECHANOWSKI;2.0;0.0;48.0;1.0;377.0;19.0;228.0;39.0;0.0;0.0;0.0;1.0
Śląska;CIESZYŃSKI;5.0;0.0;191.0;3.0;672.0;38.0;244.0;40.0;4.0;0.0;30.0;1.0
Wielkopolska;CZARNKOWSKI;1.0;0.0;54.0;2.0;394.0;19.0;67.0;9.0;1.0;0.0;10.0;0.0
Lwowska;CZORTKOWSKI;0.0;0.0;24.0;1.0;295.0;3.0;509.0;36.0;0.0;0.0;1.0;0.0
Kielecka;CZĘSTOCHOWSKI;14.0;1.0;397.0;17.0;1924.0;119.0;1699.0;374.0;3.0;0.0;113.0;18.0
Lwowska;DOBROMILSKI;0.0;0.0;21.0;0.0;630.0;11.0;202.0;11.0;0.0;0.0;6.0;0.0
Lwowska;DOLIŃSKI;2.0;0.0;23.0;2.0;511.0;13.0;471.0;17.0;3.0;0.0;10.0;0.0
Poleska;DROHICKI;0.0;0.0;34.0;6.0;351.0;25.0;147.0;38.0;3.0;1.0;1.0;0.0
Lwowska;DROHOBYCKI;14.0;0.0;123.0;21.0;1111.0;128.0;1038.0;138.0;9.0;4.0;42.0;14.0
Wołyńska;DUBIEŃSKI;2.0;0.0;130.0;7.0;897.0;63.0;516.0;115.0;43.0;19.0;41.0;7.0
Wileńska;DUNIŁOWICKI;0.0;0.0;65.0;3.0;456.0;26.0;245.0;104.0;25.0;1.0;3.0;1.0
Pomorska;DZIAŁDOWSKI;1.0;0.0;48.0;1.0;186.0;19.0;20.0;2.0;1.0;0.0;9.0;0.0
