Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VaR;Kategoria VaPR;Kategoria VbR;Kategoria VbPR
Wielkopolska;SZUBIŃSKI;0.0;0.0;65.0;2.0;418.0;24.0;44.0;7.0;4.0;5.0;8.0;3.0
Pomorska;SĘPOLEŃSKI;0.0;0.0;38.0;1.0;273.0;13.0;76.0;6.0;1.0;0.0;8.0;0.0
Poleska;SŁONIMSKI;2.0;0.0;123.0;4.0;895.0;75.0;280.0;91.0;45.0;6.0;7.0;0.0
Łódzka;SŁUPECKI;0.0;0.0;74.0;1.0;513.0;21.0;358.0;72.0;1.0;0.0;60.0;8.0
Lwowska;TARNOBRZESKI;1.0;0.0;9.0;1.0;333.0;5.0;602.0;25.0;0.0;0.0;6.0;1.0
Śląska;TARNOGÓRSKI;4.0;0.0;137.0;1.0;394.0;22.0;184.0;50.0;4.0;0.0;12.0;0.0
Lwowska;TARNOPOLSKI;3.0;0.0;86.0;3.0;778.0;31.0;1000.0;59.0;10.0;2.0;25.0;1.0
Krakowska;TARNOWSKI;5.0;0.0;85.0;3.0;799.0;12.0;1264.0;106.0;1.0;0.0;26.0;3.0
Pomorska;TCZEWSKI;5.0;0.0;126.0;7.0;392.0;23.0;50.0;20.0;16.0;0.0;12.0;2.0
Lubelska;TOMASZOWSKI;0.0;0.0;44.0;4.0;782.0;77.0;194.0;60.0;0.0;0.0;3.0;1.0
Pomorska;TORUŃ (MIASTO);20.0;1.0;343.0;28.0;1016.0;88.0;184.0;34.0;21.0;14.0;76.0;30.0
;TORUŃSKI;;;;;;;;;;;;
Lwowska;TREMBOWELSKI;0.0;0.0;10.0;1.0;304.0;5.0;539.0;49.0;0.0;0.0;1.0;0.0
Pomorska;TUCHOLSKI;0.0;0.0;43.0;1.0;288.0;6.0;70.0;7.0;4.0;0.0;44.0;3.0
Lwowska;TURCZAŃSKI;0.0;0.0;17.0;0.0;250.0;5.0;263.0;19.0;0.0;0.0;13.0;0.0
Łódzka;TURECKI;0.0;0.0;43.0;5.0;369.0;33.0;417.0;34.0;0.0;0.0;10.0;2.0
Lwowska;TŁUMACKI;0.0;0.0;46.0;0.0;578.0;15.0;385.0;18.0;0.0;0.0;0.0;0.0
Krakowska;WADOWICKI;1.0;0.0;80.0;0.0;715.0;60.0;543.0;69.0;14.0;0.0;63.0;4.0
Warszawa Okręgowa;WARSZAWSKI;2.0;0.0;125.0;10.0;2152.0;208.0;1071.0;167.0;17.0;2.0;337.0;33.0
Pomorska;WEJHEROWSKI;3.0;0.0;102.0;12.0;357.0;85.0;22.0;26.0;34.0;3.0;70.0;3.0
Krakowska;WIELICKI;0.0;0.0;12.0;0.0;373.0;15.0;565.0;50.0;0.0;0.0;0.0;0.0
Łódzka;WIELUŃSKI;0.0;0.0;92.0;7.0;909.0;36.0;1189.0;145.0;2.0;0.0;59.0;0.0
Wileńska;WILEJSKI;1.0;0.0;74.0;6.0;777.0;48.0;507.0;161.0;74.0;2.0;6.0;1.0
Wileńska;WILEŃSKO-TROCKI;0.0;0.0;45.0;3.0;695.0;64.0;377.0;63.0;16.0;3.0;3.0;0.0
Wileńska;WILNO (MIASTO);48.0;7.0;900.0;55.0;3599.0;254.0;1311.0;246.0;26.0;9.0;152.0;23.0
Wielkopolska;WITKOWSKI;0.0;0.0;0.0;2.0;143.0;6.0;105.0;9.0;1.0;0.0;3.0;0.0
Wielkopolska;WOLSZTYŃSKI;0.0;0.0;38.0;3.0;463.0;29.0;188.0;18.0;4.0;2.0;23.0;2.0
Białostocka;WOŁKOWYSKI;2.0;0.0;86.0;8.0;709.0;56.0;339.0;73.0;16.0;2.0;53.0;11.0
Poleska;WOŁOŻYŃSKI;0.0;0.0;41.0;3.0;435.0;18.0;437.0;60.0;4.0;0.0;0.0;0.0
Wielkopolska;WRZESIŃSKI;0.0;0.0;31.0;1.0;453.0;25.0;89.0;13.0;2.0;0.0;14.0;7.0
Wielkopolska;WYRZYSKI;1.0;1.0;154.0;0.0;661.0;29.0;174.0;20.0;2.0;0.0;15.0;1.0
Białostocka;WYSOKOMAZOWIECKI;0.0;0.0;49.0;2.0;377.0;22.0;336.0;31.0;0.0;0.0;2.0;0.0
Pomorska;WĄBRZESKI;1.0;1.0;65.0;1.0;468.0;38.0;52.0;11.0;1.0;0.0;29.0;0.0
Wielkopolska;WĄGROWIECKI;2.0;0.0;34.0;0.0;486.0;11.0;111.0;13.0;2.0;0.0;21.0;0.0
Lubelska;WĘGROWSKI;1.0;0.0;29.0;4.0;380.0;22.0;328.0;60.0;2.0;0.0;35.0;0.0
Warszawa Okręgowa;WŁOCŁAWSKI;14.0;0.0;205.0;6.0;1133.0;56.0;634.0;216.0;22.0;1.0;41.0;6.0
Lubelska;WŁODAWSKI;0.0;0.0;69.0;1.0;692.0;46.0;431.0;105.0;18.0;4.0;98.0;10.0
Wołyńska;WŁODZIMIERSKI;2.0;0.0;96.0;9.0;820.0;97.0;397.0;163.0;4.0;0.0;59.0;2.0
Kielecka;WŁOSZCZOWSKI;0.0;0.0;43.0;3.0;440.0;10.0;420.0;62.0;1.0;0.0;26.0;5.0
Lwowska;ZALESZCZYCKI;0.0;0.0;4.0;0.0;229.0;17.0;475.0;21.0;0.0;0.0;0.0;1.0
Lubelska;ZAMOJSKI;5.0;0.0;102.0;5.0;928.0;73.0;620.0;99.0;20.0;2.0;60.0;1.0
Lwowska;ZBARASKI;0.0;0.0;23.0;1.0;278.0;12.0;338.0;25.0;0.0;0.0;0.0;0.0
Lwowska;ZBOROWSKI;0.0;0.0;28.0;0.0;270.0;8.0;596.0;21.0;0.0;0.0;2.0;0.0
Wołyńska;ZDOŁBUNOWSKI;3.0;0.0;87.0;3.0;497.0;50.0;809.0;135.0;10.0;1.0;125.0;57.0
Lwowska;ZŁOCZOWSKI;0.0;0.0;33.0;0.0;466.0;0.0;750.0;0.0;4.0;0.0;17.0;0.0
Łódzka;ŁASKI;0.0;0.0;74.0;4.0;1033.0;50.0;815.0;126.0;1.0;3.0;26.0;7.0
Lwowska;ŁAŃCUCKI;0.0;0.0;28.0;0.0;545.0;9.0;427.0;40.0;1.0;0.0;3.0;0.0
Białostocka;ŁOMŻYŃSKI;4.0;0.0;134.0;3.0;831.0;41.0;394.0;97.0;1.0;1.0;59.0;10.0
Warszawa Okręgowa;ŁOWICKI;3.0;0.0;62.0;4.0;636.0;27.0;318.0;48.0;1.0;0.0;3.0;4.0
Wołyńska;ŁUCKI;0.0;0.0;180.0;13.0;1568.0;171.0;704.0;131.0;83.0;44.0;141.0;46.0
Lubelska;ŁUKOWSKI;0.0;0.0;57.0;3.0;759.0;40.0;377.0;31.0;40.0;5.0;47.0;7.0
Poleska;ŁUNINIECKI;1.0;0.0;73.0;11.0;678.0;99.0;617.0;51.0;2.0;0.0;4.0;1.0
Łódzka;ŁÓDZKI;0.0;0.0;61.0;8.0;717.0;33.0;761.0;122.0;9.0;4.0;245.0;53.0
Łódzka;ŁÓDŹ (MIASTO);100.0;2.0;4817.0;377.0;4927.0;374.0;4303.0;715.0;69.0;35.0;1912.0;878.0
Łódzka;ŁĘCZYCKI;3.0;0.0;76.0;6.0;715.0;65.0;900.0;114.0;2.0;0.0;36.0;0.0
Wielkopolska;ŚMIGIELSKI;0.0;0.0;26.0;0.0;232.0;11.0;186.0;28.0;3.0;0.0;3.0;0.0
Lwowska;ŚNIATYŃSKI;1.0;0.0;33.0;6.0;450.0;26.0;387.0;39.0;0.0;0.0;5.0;0.0
Wielkopolska;ŚREDZKI;1.0;0.0;70.0;1.0;387.0;18.0;141.0;38.0;0.0;0.0;9.0;2.0
Wielkopolska;ŚREMSKI;0.0;0.0;34.0;6.0;526.0;21.0;240.0;42.0;0.0;0.0;20.0;0.0
Pomorska;ŚWIECKI;1.0;0.0;147.0;4.0;773.0;57.0;236.0;44.0;6.0;1.0;7.0;0.0
Wileńska;ŚWIĘCIAŃSKI;1.0;0.0;95.0;4.0;760.0;46.0;385.0;80.0;28.0;2.0;29.0;3.0
Śląska;ŚWIĘTOCHŁOWICKI;3.0;0.0;153.0;6.0;835.0;45.0;895.0;215.0;3.0;1.0;54.0;16.0
Wielkopolska;ŻNIŃSKI;1.0;0.0;64.0;0.0;337.0;5.0;66.0;11.0;2.0;0.0;12.0;0.0
Lwowska;ŻYDACZOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;805.0;60.0;0.0;0.0;43.0;0.0
Krakowska;ŻYWIECKI;1.0;0.0;83.0;5.0;630.0;11.0;328.0;21.0;0.0;0.0;0.0;1.0
Lwowska;ŻÓŁKIEWSKI;0.0;0.0;28.0;0.0;447.0;6.0;530.0;34.0;0.0;0.0;4.0;2.0
