Region;District;Liczba ludności/Ogółem;Liczba ludności/Mniej niż 2 ha;Liczba ludności/2 - 5 ha;Liczba ludności/5 - 10 ha;Liczba ludności/10 - 15 ha;Liczba ludności/15 - 50 ha;Liczba ludności/50 ha i więcej;Liczba ludności/Niewiadoma;Liczba zespołów/Ogółem;Liczba zespołów/Mniej niż 2 ha;Liczba zespołów/2 - 5 ha;Liczba zespołów/5 - 10 ha;Liczba zespołów/10 - 15 ha;Liczba zespołów/15 - 50 ha;Liczba zespołów/50 ha i więcej;Liczba zespołów/Niewiadoma
POZNAŃSKIE;OBORNICKI;12750.0;689.0;1179.0;1822.0;3142.0;4986.0;391.0;541.0;2404.0;184.0;245.0;347.0;559.0;889.0;93.0;87.0
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI);37839.0;3447.0;9703.0;12770.0;6287.0;3083.0;157.0;2392.0;7301.0;968.0;2109.0;2352.0;1066.0;523.0;46.0;237.0
POZNAŃSKIE;POZNAŃ (MIASTO);462.0;6.0;30.0;98.0;43.0;121.0;112.0;52.0;124.0;3.0;9.0;20.0;9.0;29.0;42.0;12.0
POZNAŃSKIE;POZNAŃSKI;16870.0;931.0;1253.0;2513.0;4333.0;6170.0;581.0;1089.0;3100.0;277.0;280.0;462.0;762.0;1051.0;136.0;132.0
POZNAŃSKIE;RAWICKI;16578.0;1282.0;3509.0;6117.0;3009.0;1629.0;136.0;896.0;3304.0;402.0;805.0;1135.0;529.0;280.0;39.0;114.0
POZNAŃSKIE;SZAMOTULSKI;14069.0;1002.0;1618.0;3212.0;3845.0;3461.0;237.0;694.0;2731.0;289.0;366.0;622.0;664.0;610.0;67.0;113.0
POZNAŃSKIE;SZUBIŃSKI;16620.0;932.0;2632.0;3796.0;3758.0;4466.0;461.0;575.0;3279.0;248.0;600.0;765.0;673.0;806.0;109.0;78.0
POZNAŃSKIE;WOLSZTYŃSKI;21620.0;2257.0;4871.0;6681.0;4010.0;2536.0;85.0;1180.0;4497.0;661.0;1105.0;1372.0;758.0;483.0;25.0;93.0
POZNAŃSKIE;WRZESIŃSKI;10176.0;516.0;749.0;1855.0;2734.0;3529.0;352.0;441.0;1846.0;134.0;151.0;336.0;461.0;624.0;83.0;57.0
POZNAŃSKIE;WYRZYSKI;18971.0;985.0;1811.0;3675.0;4536.0;6446.0;804.0;714.0;3665.0;266.0;436.0;727.0;810.0;1152.0;171.0;103.0
