Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Ogółem R;Ogółem PR;Handel jarmarczny - hurt R;Handel jarmarczny - hurt PR;Handel jarmarczny - detal R;Handel jarmarczny - detal PR;Karty rejestracyjne R;Karty rejestracyjne PR
Warszawa Okręgowa;ŁOWICKI;0;0;6;1;1;0;0;0;7;1;0;0;0;0;67;12
Wołyńska;ŁUCKI;0;0;11;3;4;0;2;0;17;3;0;0;0;0;117;6
Lubelska;ŁUKOWSKI;0;0;3;0;0;0;0;1;3;1;0;0;0;0;58;4
Poleska;ŁUNINIECKI;0;0;8;0;1;0;0;0;9;0;0;0;0;0;168;18
Łódzka;ŁÓDZKI;0;0;16;0;0;0;2;0;18;0;0;0;0;0;66;0
Łódzka;ŁÓDŹ (MIASTO);0;0;96;12;20;1;165;21;281;34;0;0;0;0;1357;79
Łódzka;ŁĘCZYCKI;0;0;8;1;1;0;2;0;11;1;0;0;0;0;28;8
Wielkopolska;ŚMIGIELSKI;0;0;2;2;0;1;0;0;2;3;0;0;0;0;13;0
Lwowska;ŚNIATYŃSKI;0;0;5;3;0;0;0;0;5;3;0;0;0;0;34;10
Wielkopolska;ŚREDZKI;0;0;0;0;8;0;0;0;8;0;0;0;0;0;39;0
Wielkopolska;ŚREMSKI;0;0;4;0;2;0;3;0;9;0;0;0;0;0;14;0
Pomorska;ŚWIECKI;0;0;17;5;7;1;1;1;25;7;0;0;0;0;49;3
Wileńska;ŚWIĘCIAŃSKI;0;0;9;1;1;0;1;0;11;1;0;0;0;0;334;39
Śląska;ŚWIĘTOCHŁOWICKI;0;0;1;0;1;0;7;1;9;1;0;0;0;0;36;0
Wielkopolska;ŻNIŃSKI;0;0;6;0;1;0;0;0;7;0;0;0;0;0;8;0
Lwowska;ŻYDACZOWSKI;0;0;3;0;0;0;0;0;3;0;0;0;0;0;52;0
Krakowska;ŻYWIECKI;0;0;8;2;0;1;4;1;12;4;0;0;0;0;21;2
Lwowska;ŻÓŁKIEWSKI;0;0;1;0;2;0;0;0;3;0;0;0;0;0;17;0
