Region;District;Na 100 budynków było/Murowanych/Ogółem;Na 100 budynków było/Drewnianych/Ogółem;Na 100 budynków było/Z gliny innych materjałów/Ogółem;Na 100 budynków było/Z niewiadomego materiału/Ogółem;Na 100 budynków było/Murowanych/Wieś;Na 100 budynków było/Drewnianych/Wieś;Na 100 budynków było/Z gliny innych materjałów/Wieś;Na 100 budynków było/Z niewiadomego materiału/Wieś;Na 100 budynków było/Murowanych/Miasta poniżej 20 000 mieszk.;Na 100 budynków było/Drewnianych/Miasta poniżej 20 000 mieszk.;Na 100 budynków było/Z gliny innych materjałów/Miasta poniżej 20 000 mieszk.;Na 100 budynków było/Z niewiadomego materiału/Miasta poniżej 20 000 mieszk.;Na 100 budynków było/Murowanych/Miasta powyżej 20 000 mieszkańców;Na 100 budynków było/Drewnianych/Miasta powyżej 20 000 mieszkańców;Na 100 budynków było/Z gliny innych materjałów/Miasta powyżej 20 000 mieszkańców;Na 100 budynków było/Z niewiadomego materiału/Miasta powyżej 20 000 mieszkańców;Na 100 budynków miało pokrycie/Ogniotrwałe/Ogółem;Na 100 budynków miało pokrycie/Z drzewa/Ogółem;Na 100 budynków miało pokrycie/Ze słomy/Ogółem;Na 100 budynków miało pokrycie/Niewiadome/Ogółem;Na 100 budynków miało pokrycie/Ogniotrwałe/Wieś;Na 100 budynków miało pokrycie/Z drzewa/Wieś;Na 100 budynków miało pokrycie/Ze słomy/Wieś;Na 100 budynków miało pokrycie/Niewiadome/Wieś;Na 100 budynków miało pokrycie/Ogniotrwałe/Miasta poniżej 20 000 mieszkańców;Na 100 budynków miało pokrycie/Z drzewa/Miasta poniżej 20 000 mieszkańców;Na 100 budynków miało pokrycie/Ze słomy/Miasta poniżej 20 000 mieszkańców;Na 100 budynków miało pokrycie/Niewiadome/Miasta poniżej 20 000 mieszkańców;Na 100 budynków miało pokrycie/Ogniotrwałe/Miasta powyżej 20 000 mieszkańców;Na 100 budynków miało pokrycie/Z drzewa/Miasta powyżej 20 000 mieszkańców;Na 100 budynków miało pokrycie/Ze słomy/Miasta powyżej 20 000 mieszkańców;Na 100 budynków miało pokrycie/Niewiadome/Miasta powyżej 20 000 mieszkańców
KIELECKIE;OPOCZYŃSKI;10,7;88,9;0,4;0;9;90,7;0,3;0;74,5;25,1;0,2;0,2;0;0;0;0;7,5;5;87,2;0,3;5,3;4,9;89,5;0,3;88,1;9,7;0,8;1,4;0;0;0;0
KIELECKIE;PIŃCZOWSKI;24;75,1;0,9;0;20,4;78,6;1;0;80,9;19,1;0;0;0;0;0;0;21;6,3;72,6;0,1;19,8;2,9;77,2;0,1;40,2;59,1;0,5;0,2;0;0;0;0
KIELECKIE;RADOMSKI;14,1;85,5;0,3;0,1;6,3;93,4;0,3;0;37,4;61,1;1,5;0;66,6;33,3;0;0,1;13,5;8,2;78,2;0,1;5,3;4,8;89,8;0,1;37,1;49,4;13,5;0;68,6;25,9;5;0,5
KIELECKIE;SANDOMIERSKI;11,5;87,7;0,7;0,1;7,7;91,5;0,7;0,1;57,7;41,8;0,4;0,1;0;0;0;0;6,3;9,8;83,6;0,3;3,7;7,6;88,5;0,2;37,8;36,6;24,5;1,1;0;0;0;0
KIELECKIE;STOPNICKI;14,3;85,5;0;0,2;12,6;87,2;0;0,2;51;48,8;0;0,2;0;0;0;0;7,8;8,5;83,4;0,3;6;6,7;87;0,3;46;46,6;7,1;0,3;0;0;0;0
KIELECKIE;WŁOSZCZOWSKI;14,2;85,7;0;0,1;12,1;87,8;0;0,1;39,6;60,4;0;0;0;0;0;0;8,7;10,4;80,8;0,1;6,6;7;86,3;0,1;34,3;50,8;14,9;0;0;0;0;0
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);31,3;67,8;0,7;0,2;27;72;0,8;0,2;55,6;44;0,2;0,2;0;0;0;0;65,4;10,1;23,4;1,1;62,1;10,8;25,9;1,2;84,3;5,9;9,1;0,7;0;0;0;0
KRAKOWSKIE;BOCHEŃSKI;4,8;95;0,1;0,1;2,5;97,4;0;0,1;18,5;81;0,3;0,2;0;0;0;0;28,1;1,7;69,7;0,5;21,3;1,3;76,9;0,5;68,1;4,1;27,3;0,5;0;0;0;0
KRAKOWSKIE;BRZESKI (BRZESKO);3,4;96,5;0;0,1;2,1;97,8;0;0,1;36;64;0;0;0;0;0;0;22,5;1,4;76;0,1;20,2;1;78,7;0,1;79,6;11,9;8,5;0;0;0;0;0
KRAKOWSKIE;CHRZANOWSKI;35,6;64;0,2;0,2;28,5;71,1;0,2;0,2;71,7;27,5;0,3;0,5;0;0;0;0;53,6;1,1;44,3;1;46;1;52;1;92,4;2;5,1;0,5;0;0;0;0
KRAKOWSKIE;DĄBROWSKI;4,2;95,7;0;0,1;2,6;97,3;0;0,1;39;60,6;0;0,4;0;0;0;0;29,1;0,3;70,2;0,4;26,2;0,2;73,2;0,4;94,8;2,3;2,5;0,4;0;0;0;0
KRAKOWSKIE;GORLICKI;5,5;94,2;0,1;0,2;3,2;96,5;0,1;0,2;33;65,8;0,7;0,5;0;0;0;0;15,9;14,8;68,6;0,7;12;15,6;71,7;0,7;63,8;4,7;31;0,5;0;0;0;0
KRAKOWSKIE;GRYBOWSKI;3,3;96,6;0;0,1;1,8;98;0;0,2;17,8;82,1;0;0,1;0;0;0;0;11,4;22,9;65,3;0,4;8,1;23;68,5;0,4;44,9;21,8;33,1;0,2;0;0;0;0
KRAKOWSKIE;JASIELSKI;5,3;94,6;0;0,1;3;96,9;0;0,1;50,6;49;0;0,4;0;0;0;0;17,5;6,5;75,7;0,3;13,6;6,7;79,4;0,3;95;3,2;1,2;0,6;0;0;0;0
KRAKOWSKIE;KRAKOWSKI;22,1;77,6;0,2;0,1;22,1;77,6;0,2;0,1;0;0;0;0;0;0;0;0;31,9;1,1;66,9;0,1;31,9;1,1;66,9;0,1;0;0;0;0;0;0;0;0
KRAKOWSKIE;KRAKÓW (MIASTO);86,6;13,3;0;0,1;0;0;0;0;0;0;0;0;86,6;13,3;0;0,1;94,4;2,2;3,3;0,1;0;0;0;0;0;0;0;0;94,4;2,2;3,3;0,1
KRAKOWSKIE;LIMANOWSKI;1,8;98,1;0;0,1;1,6;98,3;0;0,1;10,9;88,7;0;0,4;0;0;0;0;8,6;18,3;73;0,1;7,6;17,9;74,4;0,1;56,6;38,1;4,9;0,4;0;0;0;0
KRAKOWSKIE;MIELECKI;6,4;93,5;0;0,1;3,5;96,4;0;0,1;39,8;59,6;0;0,6;0;0;0;0;19,4;2,1;78,2;0,3;13,5;1,6;84,7;0,2;88,9;8,1;2,4;0,6;0;0;0;0
KRAKOWSKIE;MYŚLENICKI;4,6;95,1;0;0,3;3,4;96,3;0;0,3;19,1;80,7;0;0,2;0;0;0;0;13,9;38,6;46,8;0,7;11;37,8;50,5;0,7;49,1;48;2,5;0,4;0;0;0;0
KRAKOWSKIE;NOWOSĄDECKI;9,9;89,9;0;0,2;3,3;96,5;0;0,2;14,6;85;0;0,4;58,6;41,2;0;0,2;27,1;24,2;48,4;0,3;17,9;21,6;60,2;0,3;36,2;60,4;2,6;0,8;92,4;4,4;2,8;0,4
KRAKOWSKIE;NOWOTARSKI;5,5;94,3;0;0,2;4,4;95,4;0;0,2;11,3;88,3;0;0,4;0;0;0;0;8,2;81,4;10,2;0,2;6,4;81,2;12,2;0,2;17,1;82,4;0;0,5;0;0;0;0
KRAKOWSKIE;OŚWIĘCIMSKI;23,5;76,1;0;0,4;18,6;81;0;0,4;57,9;41,9;0;0,2;0;0;0;0;48,1;0,4;50,8;0,7;41,9;0,4;57,1;0,6;92,4;0,5;6,5;0,6;0;0;0;0
KRAKOWSKIE;PILZNEŃSKI;3,3;96,6;0,1;0;2,1;97,8;0,1;0;17,1;82,9;0;0;0;0;0;0;18,3;1,4;79,4;0,9;14,4;1;83,7;0,9;59,8;6,3;33,9;0;0;0;0;0
KRAKOWSKIE;PODGÓRSKI;17,8;82;0,1;0,1;16,3;83,5;0,1;0,1;48,6;51,1;0;0,3;0;0;0;0;26;3,5;70,4;0,1;24,2;2;73,7;0,1;62,2;33,6;3,9;0,3;0;0;0;0
KRAKOWSKIE;ROPCZYCKI;5,4;94,5;0,1;0;2,2;97,7;0,1;0;36,3;63,7;0;0;0;0;0;0;19,3;4,1;76,5;0,1;13,5;3,3;83,1;0,1;74,9;12,2;12,8;0,1;0;0;0;0
KRAKOWSKIE;SPISKO-ORAWSKI;15,1;84,8;0,1;0;15,1;84,8;0,1;0;0;0;0;0;0;0;0;0;5,7;81,2;13,1;0;5,7;81,2;13,1;0;0;0;0;0;0;0;0;0
KRAKOWSKIE;TARNOWSKI;10,5;89,2;0,1;0,2;3,2;96,4;0,2;0,2;8,7;91,3;0;0;53,8;46,1;0;0,1;35,5;1,2;62,1;1,2;24,1;1,1;73,4;1,4;57,7;7;35,1;0,2;98,7;0,3;0,6;0,4
KRAKOWSKIE;WADOWICKI;15,4;84,5;0;0,1;11,7;88,2;0;0,1;51,5;47,8;0,1;0,6;0;0;0;0;38,5;7,8;53,3;0,4;33,4;8,1;58,2;0,3;88,5;4,5;6,4;0,6;0;0;0;0
KRAKOWSKIE;WIELICKI;7,4;92,1;0,3;0,2;5,1;94,4;0,3;0,2;25,5;74,2;0,2;0,1;0;0;0;0;22,9;4;72,4;0,7;18,2;1,8;79,2;0,8;59,5;21,3;19;0,2;0;0;0;0
KRAKOWSKIE;ŻYWIECKI;13,1;86,8;0;0,1;10,7;89,1;0,1;0,1;42,9;56,4;0;0,7;0;0;0;0;26,2;68,8;4,8;0,2;23,7;71,1;5,1;0,1;59;39,2;1,1;0,7;0;0;0;0
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);5;94,8;0,2;0;1,6;98,2;0,2;0,01;28,3;71,4;0;0,3;0;0;0;0;10,4;10,7;78,8;0,1;3,9;7,4;88,6;0,1;54,8;33,5;11,1;0,6;0;0;0;0
LUBELSKIE;BIŁGORAJSKI;1,3;98,6;0,1;0;0,8;99,1;0,1;0;14,4;85,1;0,3;0,2;0;0;0;0;5,1;11,4;83,5;0;4,9;8,5;86,6;0;9,7;88,4;1,7;0,2;0;0;0;0
LUBELSKIE;CHEŁMSKI;7,3;92,1;0,6;0;4,2;95,1;0,7;0;0;0;0;0;39,5;60,2;0,2;0,1;14,7;8,6;76,5;0,2;9,7;7,1;83;0,2;0;0;0;0;66,6;23,6;8,8;1
LUBELSKIE;GARWOLIŃSKI;5,1;94;0,9;0;4,9;94,2;0,9;0;9,1;90,4;0;0,5;0;0;0;0;7,9;10,9;80,6;0,6;6,4;8,6;84,5;0,5;35,3;52,7;10,5;1,5;0;0;0;0
LUBELSKIE;HRUBIESZOWSKI;2,8;90,9;6,2;0,1;2,3;90,9;6,7;0,1;7,8;91,2;0,5;0,5;0;0;0;0;3,6;13,9;82,3;0,2;2,5;10;87,3;0,2;15,5;56,1;27,9;0,5;0;0;0;0
LUBELSKIE;JANOWSKI;5,3;94,5;0,2;0;4,1;95,7;0,2;0;19,8;79,6;0,1;0,5;0;0;0;0;4,6;12,7;82,6;0,1;3,3;9,3;87,3;0,1;21,4;53,9;24;0,7;0;0;0;0
LUBELSKIE;KONSTANTYNOWSKI;5,5;94,2;0,2;0,1;4,4;95,3;0,2;0,1;17,3;82,1;0,4;0,2;0;0;0;0;6,5;9,8;83,6;0,1;4,4;7,4;88,1;0,1;30,5;36,6;32,6;0,3;0;0;0;0
LUBELSKIE;KRASNOSTAWSKI;9;90,6;0,4;0;8,8;90,8;0,4;0;12,4;87,2;0,2;0,2;0;0;0;0;2,9;9,5;87,3;0,3;2,3;8,9;88,6;0,2;13,1;19,2;66,4;1,3;0;0;0;0
LUBELSKIE;LUBARTOWSKI;5,8;93,9;0,3;0;3,9;95,8;0,3;0;38,3;61,1;0,6;0;0;0;0;0;10,2;5,8;83,9;0,1;7,1;4,7;88,1;0,1;65,9;24,7;9,3;0,1;0;0;0;0
LUBELSKIE;LUBELSKI;17;82,5;0,4;0,1;17;82,5;0,4;0,1;0;0;0;0;0;0;0;0;7,2;7,1;85,5;0,2;7,2;7,1;85,5;0,2;0;0;0;0;0;0;0;0
LUBELSKIE;LUBLIN (MIASTO);82,9;16,9;0,1;0,1;0;0;0;0;0;0;0;0;82,9;16,9;0,1;0,1;81,8;12,1;5,6;0,5;0;0;0;0;0;0;0;0;81,8;12,1;5,6;0,5
LUBELSKIE;PUŁAWSKI;11,4;88,4;0,2;0;10,8;89;0,2;0;30,7;68,7;0,4;0,2;0;0;0;0;8,5;10,7;80,4;0,4;6,8;9,7;83,1;0,4;57,7;36,6;4,5;1,2;0;0;0;0
LUBELSKIE;RADZYŃSKI;4,1;95,7;0,1;0,1;1,7;98,2;0,1;0;19,7;79,7;0,3;0,3;0;0;0;0;10,5;8,8;80,5;0,2;3;5,5;91,4;0,1;59,8;30,4;9,1;0,7;0;0;0;0
LUBELSKIE;SIEDLECKI;9,4;90,1;0,4;0,1;2,5;97,1;0,3;0,1;26,2;73,8;0;0;46,2;52,7;0,9;0,2;15;6,6;78;0,4;4,2;3,3;92,3;0,2;49,5;38,8;11;0,7;70,1;20,2;8,6;1,1
LUBELSKIE;SOKOŁOWSKI;6,1;93,3;0,4;0,2;5,4;94;0,4;0,2;16,8;82,5;0,7;0;0;0;0;0;7,7;7;85,1;0,2;5,3;5,2;89,3;0,2;47,5;36,7;15,8;0;0;0;0;0
LUBELSKIE;TOMASZOWSKI;2;97,2;0,7;0,1;1,7;97,5;0,7;0,1;8,5;91,1;0;0,4;0;0;0;0;2,1;15,3;82,3;0,3;1,6;11,7;86,4;0,3;11,4;80,9;7,3;0,4;0;0;0;0
LUBELSKIE;WĘGROWSKI;2,9;96,8;0,1;0,2;2,6;97,1;0,1;0,2;6,9;92,4;0,4;0,3;0;0;0;0;5,9;7,7;86,1;0,3;3,2;5,8;90,7;0,3;46,3;35,4;18;0,3;0;0;0;0
LUBELSKIE;WŁODAWSKI;3,4;96,1;0,3;0,2;1,8;97,7;0,3;0,2;11,7;88;0,2;0,1;0;0;0;0;6,2;7,6;85,9;0,3;1,5;4,6;93,6;0,3;29,4;22,8;47,5;0,3;0;0;0;0
LUBELSKIE;ZAMOJSKI;3,8;95,7;0,4;0,1;2,3;97,3;0,4;0;16,2;83,4;0,3;0,1;0;0;0;0;2,5;15,4;82;0,1;1,3;11;87,6;0,1;14;56,8;28,7;0,5;0;0;0;0
LUBELSKIE;ŁUKOWSKI;3,5;96,2;0,2;0,1;2;97,7;0,2;0,1;15,5;84,2;0,3;0;0;0;0;0;5,7;7,3;86,9;0,1;2,2;3,8;93,9;0,1;34,4;36,4;28,9;0,3;0;0;0;0
LWOWSKIE;BRZOZOWSKI;2,7;97,2;0;0,1;2,4;97,5;0;0,1;11,3;88,5;0;0,2;0;0;0;0;11,4;5,1;83,4;0,1;10,4;4;85,5;0,1;34,8;31,1;33,9;0,2;0;0;0;0
LWOWSKIE;BÓBRECKI;19,5;15,8;64,6;0,1;17,1;14,6;68,2;0,1;45,7;28,6;25,6;0,1;0;0;0;0;19,7;4,6;75,5;0,2;17,4;3,1;79,4;0,1;44,9;21,5;33,3;0,31;0;0;0;0
LWOWSKIE;CIESZANOWSKI;4,6;95,1;0;0,3;3,6;96;0;0,4;14,3;85,7;0;0;0;0;0;0;23,3;6,2;70,1;0,4;19,7;5,7;74,2;0,4;58,5;11,2;30,2;0,1;0;0;0;0
LWOWSKIE;DOBROMILSKI;5,7;94;0;0,3;3,7;96,1;0;0,2;63,4;36,1;0;0,5;0;0;0;0;6;26,8;66,6;0,6;4,9;25,7;68,8;0,6;35,6;59;4,7;0,7;0;0;0;0
LWOWSKIE;DROHOBYCKI;2,5;94,1;3,3;0,1;0,9;94,9;4,1;0,1;2,5;96,8;0,6;0,1;13,3;86,6;0,1;0;20,3;17,4;61,9;0,4;14,6;6,9;78,2;0,3;43,9;53,1;2,3;0,7;38,1;56;5,3;0,6
LWOWSKIE;GRÓDECKI;13,6;67,3;19;0,1;11,9;65,5;22,5;0,1;23,1;76,5;0,4;0;0;0;0;0;25,9;4,5;69,5;0,1;21,2;1,7;77;0,1;50,9;19;30;0,1;0;0;0;0
LWOWSKIE;JAROSŁAWSKI;7,6;92,1;0,2;0,1;3,9;95,8;0,3;0;41;58,6;0,2;0,2;0;0;0;0;30,5;4,2;65;0,3;26,2;2,6;71;0,2;69,5;18,8;11,3;0,4;0;0;0;0
LWOWSKIE;JAWOROWSKI;2,6;95,1;2,2;0,1;1,3;96,1;2,5;0,1;11,4;88,4;0;0,2;0;0;0;0;10,1;4,7;85,1;0,1;8,1;1,7;90,1;0,1;23,1;24,9;51,6;0,4;0;0;0;0
