Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki Cukrowe
LWOWSKIE;SANOCKI;30338.0;56304;34214;82154.0;680982.0;18392.0
LWOWSKIE;SOKALSKI;145311.0;140137;89895;93083.0;1083091.0;247377.0
LWOWSKIE;STAROSAMBORSKI;7896.0;19783;9596;35903.0;327188.0;0.0
LWOWSKIE;STRZYŻOWSKI;66234.0;105236;35445;73332.0;543548.0;10338.0
LWOWSKIE;TARNOBRZESKI;27544.0;102797;37571;41893.0;728167.0;62880.0
LWOWSKIE;ŁAŃCUCKI;55467.0;169550;38588;60391.0;612177.0;60168.0
LWOWSKIE;ŻÓŁKIEWSKI;71760.0;110230;40709;73621.0;642929.0;12420.0
M. ST. WARSZAWA;POŁUDNIOWO-WARSZAWSKI;;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;;
M. ST. WARSZAWA;PÓŁNOCNO-WARSZAWSKI;;;;;;
NOWOGRÓDZKIE;BARANOWICKI;28220.0;333560;85371;144707.0;1624277.0;0.0
NOWOGRÓDZKIE;LIDZKI;10912.0;627419;184727;177755.0;2771266.0;0.0
NOWOGRÓDZKIE;NIEŚWIESKI;33523.0;311045;59354;162303.0;1660555.0;0.0
NOWOGRÓDZKIE;NOWOGRÓDZKI;34109.0;213192;97064;175919.0;1213282.0;0.0
NOWOGRÓDZKIE;STOŁPECKI;13183.0;274429;40238;107971.0;1421096.0;0.0
NOWOGRÓDZKIE;SŁONIMSKI;15413.0;288543;56247;82979.0;1859159.0;0.0
NOWOGRÓDZKIE;WOŁOŻYŃSKI;9174.0;184425;61410;109074.0;1119213.0;0.0
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);30438.0;528009;56545;103128.0;2420822.0;31208.0
POLESKIE;DROHICKI;13267.0;197382;18582;552362.0;720778.0;0.0
POLESKIE;KOBRYŃSKI;41982.0;356544;41067;52032.0;1116475.0;14110.0
POLESKIE;KOSOWSKI (KOSÓW POLESKI);3954.0;152547;23767;34260.0;752002.0;0.0
POLESKIE;KOSZYRSKI;5551.0;149602;22718;35548.0;826011.0;0.0
POLESKIE;PIŃSKI;14095.0;454890;35898;13195.0;2187415.0;0.0
POLESKIE;PRUŻAŃSKI;5234.0;193667;33118;43910.0;1153272.0;2490.0
POLESKIE;SARNEŃSKI;5913.0;263584;44111;37926.0;1318357.0;0.0
POLESKIE;STOLIŃSKI;19212.0;257275;25583;55421.0;1050792.0;0.0
POLESKIE;ŁUNINIECKI;5451.0;121298;14619;25949.0;311369.0;0.0
