Region;District;1. Number of workers in plants I-VII;2. Plants: total;3. Plants: I-III;4. Plants: IV-V;5. Plants: VI-VII;6. Plants: VIII;7. Mining: I-V;8. Mining: VI-VII;9. Mining: VIII;10. Mineral: I-V;11. Mineral: VI-VII;12. Mineral: VIII;13. Mineral: brickyards (within others);14. Mineral: concrete plants (within others);15. Metal and electrotechnical: I-V;16. Metal and electrotechnical: VI-VII;17. Metal and electrotechnical: VIII;18. Metal and electrotechnical: metal production (within others);19. Metal and electrotechnical: blacksmithing (within others);20. Metal and electrotechnical: locksmithing, repairs (within others);21. Metal and electrotechnical: tinsmithing (within others);22. Metal and electrotechnical: watchmaking and jewelry (within others);23. Chemical: I-V;24. Chemical: VI-VII;25. Chemical: VIII;26. Chemical: oil mills (within others);27. Textile: I-V;28. Textile: VI-VII;29. Textile: VIII;30. Paper: I-V;31. Paper: VI-VII;32. Paper: VIII;33. Leather: I-V;34. Leather: VI-VII;35. Leather: VIII;36. Leather: tanning and white leather (within others);37. Leather: saddlery and harness making (within others);38. Wood: I-V;39. Wood: VI-VII;40. Wood: VIII;41. Wood: sawmills (within others);42. Wood: carpentry (within others);43. Wood: wheelwrighting (within others);44. Food: I-V;45. Food: VI-VII;46. Food: VIII;47. Food: mills (within others);48. Food: bakeries (within others);49. Food: dairies (within others);50. Food: butchery and meat processing (within others);51. Clothing: I-V;52. Clothing: VI-VII;53. Clothing: VIII;54. Clothing: tailoring and clothing accessories (within others);55. Clothing: shoemaking and boot making (within others);56. Clothing: furriery (within others);57. Printing: I-V;58. Printing: VI-VII;59. Printing: VIII;60. Printing: printing houses (within others);61. Construction: I-V;62. Construction: VI-VII;63. Construction: VIII;64. Processing of various materials: VII;65. Processing of various materials: VIII;66. Power plants: I-V;67. Power plants: VI-VII;68. Power plants: VIII;69. Services: V-VII;70. Services: VIII;71. Services: hairdressing (within others);72. Services: transport (within others);73. Horticulture and fisheries: V-VII;74. Horticulture and fisheries: VIII;75. Other plants: VIII
KIELECKIE;KOZIENICKI;2 329;642;1.0;5.0;53;583;0.0;0.0;0.0;1.0;3.0;10.0;3.0;7.0;0.0;0.0;43;1.0;17.0;16.0;2;7.0;1.0;1.0;12.0;10.0;0.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;13.0;6.0;5.0;3.0;6.0;31.0;1.0;15.0;1.0;0.0;40.0;224.0;63.0;78.0;9.0;56.0;0.0;1.0;185.0;63.0;114.0;0.0;0.0;0.0;4.0;1.0;1.0;2.0;8.0;0.0;4.0;0.0;0.0;0.0;0.0;43.0;31.0;7.0;0.0;0.0;1.0
KIELECKIE;MIECHOWSKI;375;623;0.0;15.0;50;558;0.0;0.0;1.0;0.0;1.0;12.0;8.0;3.0;1.0;1.0;32;0.0;9.0;8.0;7;8.0;0.0;0.0;7.0;1.0;0.0;1.0;12.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;5.0;2.0;5.0;28.0;5.0;16.0;2.0;12.0;41.0;297.0;46.0;45.0;155.0;31.0;0.0;1.0;114.0;50.0;61.0;0.0;0.0;0.0;6.0;4.0;0.0;0.0;10.0;0.0;4.0;0.0;0.0;3.0;0.0;24.0;17.0;6.0;0.0;0.0;2.0
KIELECKIE;OLKUSKI;3 831;644;5.0;9.0;55;575;0.0;1.0;1.0;4.0;4.0;23.0;4.0;10.0;4.0;2.0;34;1.0;13.0;11.0;3;6.0;1.0;1.0;8.0;0.0;0.0;1.0;12.0;1.0;0.0;1.0;0.0;3.0;12.0;9.0;3.0;0.0;10.0;44.0;19.0;11.0;0.0;4.0;26.0;253.0;72.0;70.0;11.0;79.0;0.0;3.0;132.0;59.0;66.0;0.0;0.0;0.0;7.0;6.0;0.0;2.0;11.0;0.0;3.0;0.0;1.0;4.0;1.0;30.0;24.0;1.0;0.0;0.0;0.0
KIELECKIE;OPATOWSKI;5 048;865;3.0;20.0;74;768;1.0;2.0;1.0;4.0;3.0;19.0;3.0;8.0;1.0;3.0;53;2.0;12.0;18.0;6;15.0;1.0;1.0;15.0;8.0;0.0;0.0;8.0;2.0;0.0;3.0;0.0;1.0;26.0;3.0;8.0;5.0;8.0;30.0;1.0;22.0;0.0;9.0;54.0;279.0;27.0;66.0;73.0;89.0;0.0;2.0;248.0;140.0;70.0;8.0;0.0;0.0;14.0;6.0;0.0;0.0;5.0;0.0;10.0;0.0;0.0;0.0;0.0;56.0;42.0;12.0;0.0;0.0;1.0
KIELECKIE;OPOCZYŃSKI;1 909;530;1.0;13.0;101;415;1.0;11.0;14.0;5.0;5.0;6.0;3.0;3.0;1.0;8.0;34;2.0;19.0;4.0;3;6.0;0.0;0.0;9.0;9.0;0.0;1.0;14.0;1.0;0.0;0.0;0.0;1.0;18.0;3.0;5.0;2.0;10.0;27.0;6.0;9.0;1.0;4.0;65.0;184.0;48.0;54.0;11.0;66.0;0.0;0.0;75.0;34.0;34.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;6.0;0.0;1.0;0.0;0.0;1.0;0.0;22.0;19.0;3.0;0.0;0.0;2.0
KIELECKIE;PIŃCZOWSKI;612;455;2.0;2.0;46;405;0.0;0.0;5.0;1.0;3.0;14.0;2.0;6.0;0.0;0.0;19;1.0;4.0;3.0;3;8.0;0.0;2.0;7.0;2.0;0.0;0.0;16.0;0.0;0.0;1.0;0.0;0.0;10.0;3.0;3.0;1.0;3.0;24.0;1.0;15.0;3.0;2.0;36.0;162.0;18.0;49.0;47.0;37.0;0.0;0.0;113.0;60.0;46.0;0.0;0.0;0.0;5.0;3.0;0.0;2.0;4.0;0.0;1.0;0.0;0.0;2.0;0.0;21.0;18.0;3.0;0.0;0.0;1.0
KIELECKIE;RADOM (MIASTO);6 221;668;2.0;42.0;77;547;0.0;0.0;0.0;5.0;3.0;14.0;1.0;3.0;12.0;5.0;47;8.0;7.0;15.0;4;10.0;1.0;4.0;12.0;4.0;1.0;0.0;8.0;1.0;1.0;6.0;10.0;19.0;10.0;2.0;8.0;3.0;6.0;17.0;0.0;13.0;0.0;6.0;10.0;100.0;4.0;5.0;1.0;26.0;0.0;21.0;195.0;95.0;58.0;8.0;2.0;1.0;17.0;6.0;2.0;4.0;5.0;0.0;13.0;1.0;0.0;0.0;3.0;97.0;72.0;8.0;0.0;2.0;4.0
KIELECKIE;RADOMSKI;295;469;1.0;5.0;75;388;1.0;3.0;3.0;0.0;6.0;10.0;4.0;6.0;0.0;0.0;35;0.0;31.0;1.0;2;1.0;0.0;0.0;7.0;6.0;0.0;0.0;8.0;0.0;0.0;0.0;1.0;1.0;8.0;0.0;7.0;2.0;9.0;32.0;3.0;17.0;2.0;2.0;51.0;188.0;94.0;42.0;13.0;35.0;0.0;4.0;71.0;20.0;49.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;19.0;16.0;2.0;0.0;0.0;3.0
KIELECKIE;SANDOMIERSKI;376;462;1.0;6.0;53;402;0.0;1.0;1.0;1.0;2.0;14.0;5.0;1.0;0.0;1.0;28;1.0;16.0;4.0;3;4.0;0.0;0.0;8.0;7.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;10.0;6.0;4.0;1.0;1.0;20.0;1.0;11.0;1.0;5.0;44.0;146.0;36.0;62.0;16.0;20.0;0.0;0.0;138.0;30.0;98.0;1.0;0.0;2.0;8.0;3.0;0.0;0.0;2.0;0.0;3.0;0.0;0.0;2.0;0.0;18.0;18.0;0.0;2.0;0.0;0.0
KIELECKIE;SOSNOWIEC;11 837;1030;11.0;27.0;101;891;3.0;0.0;5.0;0.0;7.0;3.0;0.0;0.0;12.0;15.0;73;15.0;0.0;20.0;10;17.0;4.0;3.0;35.0;0.0;8.0;9.0;43.0;1.0;3.0;20.0;0.0;1.0;12.0;0.0;6.0;0.0;6.0;70.0;1.0;57.0;0.0;4.0;11.0;115.0;3.0;53.0;0.0;20.0;2.0;17.0;325.0;146.0;65.0;26.0;1.0;9.0;35.0;12.0;1.0;14.0;32.0;0.0;26.0;0.0;0.0;0.0;6.0;89.0;55.0;14.0;2.0;0.0;8.0
