Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki
POZNAŃSKIE;INOWROCŁAWSKI;5 243;18 891;7 354;2 952;7 834
POZNAŃSKIE;JAROCIŃSKI;2 000;14 905;2 812;4 942;7 658
POZNAŃSKIE;KOŚCIAŃSKI;1 718;13 253;3 967;3 223;7 896
POZNAŃSKIE;KOŹMIŃSKI;3 407;8 934;2 303;5 751;4 270
POZNAŃSKIE;KROTOSZYŃSKI;2 675;7 984;1 855;4 950;4 702
POZNAŃSKIE;KĘPIŃSKI;1 076;13 526;1 532;7 709;7 648
POZNAŃSKIE;LESZCZYŃSKI;1 688;18 851;2 304;4 950;7 707
POZNAŃSKIE;MIĘDZYCHODZKI;476;12 602;982;2 299;6 271
POZNAŃSKIE;MOGILEŃSKI;1 672;18 557;4 097;3 836;7 674
POZNAŃSKIE;NOWOTOMYSKI;1 106;18 691;1 412;3 180;8 874
POZNAŃSKIE;OBORNICKI;1 491;22 879;3 785;5 386;10 174
POZNAŃSKIE;ODOLANOWSKI;1 049;11 944;1 068;4 665;5 291
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI);934;7 103;929;2 689;4 304
POZNAŃSKIE;OSTRZESZOWSKI;446;9 182;685;2 890;4 674
POZNAŃSKIE;PLESZEWSKI;2 329;11 065;1 725;5 401;5 705
POZNAŃSKIE;POZNAŃ (MIASTO);;;;;
POZNAŃSKIE;POZNAŃSKI WSCHODNI;826;15 542;3 333;2 890;7 622
POZNAŃSKIE;POZNAŃSKI ZACHODNI;1 340;17 014;3 127;2 981;8 605
POZNAŃSKIE;RAWICKI;2 304;10 830;2 103;4 035;4 711
POZNAŃSKIE;STRZELNEŃSKI;2 767;8 251;5 766;2 153;4 710
POZNAŃSKIE;SZAMOTULSKI;2 740;20 111;4 534;5 381;11 461
POZNAŃSKIE;SZUBIŃSKI;1 709;18 624;3 568;3 660;8 682
POZNAŃSKIE;WITKOWSKI;1 362;13 055;2 937;2 776;6 433
POZNAŃSKIE;WOLSZTYŃSKI;808;18 760;1 935;3 124;7 351
POZNAŃSKIE;WRZESIŃSKI;1 431;15 087;3 433;2 985;7 000
POZNAŃSKIE;WYRZYSKI;2 481;21 915;5 737;5 454;11 954
POZNAŃSKIE;WĄGROWIECKI;1 869;27 149;5 344;4 760;11 477
POZNAŃSKIE;ŚMIGIELSKI;1 415;14 554;2 286;3 486;6 903
POZNAŃSKIE;ŚREDZKI;2 495;21 500;5 560;4 575;9 611
POZNAŃSKIE;ŚREMSKI;1 728;20 110;4 422;4 910;9 058
POZNAŃSKIE;ŻNIŃSKI;2 398;16 910;4 065;3 957;6 994
STANISŁAWOWSKIE;BOHORODCZAŃSKI;1 016;3 787;1 612;5 044;3 993
STANISŁAWOWSKIE;DOLIŃSKI;1 578;6 084;1 059;4 239;5 282
STANISŁAWOWSKIE;HORODEŃSKI;13 534;8 630;739;8 425;11 641
STANISŁAWOWSKIE;KAŁUSKI;3 958;5 785;5 247;6 369;7 641
STANISŁAWOWSKIE;KOSOWSKI (KOSÓW HUCULSKI);621;461;606;1 097;2 274
STANISŁAWOWSKIE;KOŁOMYJSKI;4 521;5 549;3 931;7 846;5 360
