Region;District;Roman Catholic;% Roman Catholic;Greek Catholic;% Greek Catholic;Orthodox;% Orthodox;Evangelical;% Evangelical;Mosaic (Jewish);% Mosaic (Jewish);Other Christian denominations;% Other Christian;Other or unknown;% Other
POLESKIE;KOBRYŃSKI;;;;;;;;;;;;;;
POLESKIE;KOSZYRSKI;;;;;;;;;;;;;;
POLESKIE;PIŃSKI;;;;;;;;;;;;;;
POLESKIE;PRUŻAŃSKI;;;;;;;;;;;;;;
POLESKIE;STOLIŃSKI;;;;;;;;;;;;;;
POLESKIE;ŁUNINIECKI;;;;;;;;;;;;;;
POMORSKIE;BRODNICKI;50642;0,899710413;26;0,000461918;16;0,000284257;5281;0,09382273;126;0,002238528;162;0,002878107;34;0,000604047
POMORSKIE;CHEŁMIŃSKI;43944;0,832824789;33;0,000625415;40;0,000758078;8354;0,158324647;53;0,001004454;276;0,00523074;65;0,001231877
POMORSKIE;CHOJNICKI;73960;0,961330994;48;0,000623903;30;0,00038994;2680;0,034834601;86;0,001117827;18;0,000233964;113;0,001468772
POMORSKIE;DZIAŁDOWSKI;35448;0,829852982;25;0,000585261;27;0,000632082;6979;0,163381403;173;0,004050005;25;0,000585261;39;0,000913007
POMORSKIE;GDYNIA (MIASTO);32205;0,969533673;95;0,002859981;250;0,007526267;515;0,015504109;84;0,002528826;9;0,000270946;59;0,001776199
POMORSKIE;GRUDZIĄDZ (MIASTO);48554;0,898915096;63;0,001166364;239;0,004424779;3805;0,0704447;677;0,012533788;362;0,006701966;314;0,005813308
POMORSKIE;GRUDZIĄDZKI;34037;0,795238429;48;0,001121469;33;0,00077101;7953;0,185813416;16;0,000373823;627;0,01464919;87;0,002032663
POMORSKIE;KARTUSKI;64192;0,934735125;18;0,000262108;12;0,000174739;4358;0,063459242;50;0,000728078;6;8,73693E-05;38;0,000553339
POMORSKIE;KOŚCIERSKI;45362;0,87713667;13;0,000251373;17;0,000328718;6202;0,119924201;34;0,000657437;34;0,000657437;54;0,001044164
POMORSKIE;LUBAWSKI;51627;0,962813077;11;0,000205144;7;0,000130546;1640;0,030585032;86;0,001603849;197;0,003673934;53;0,000988419
POMORSKIE;MORSKI;80091;0,938988217;50;0,000586201;57;0,000668269;4624;0,054211853;229;0,0026848;22;0,000257928;222;0,002602732
POMORSKIE;STAROGARDZKI;67922;0,945606928;72;0,001002381;53;0,000737864;3261;0,04539949;351;0,004886606;56;0,000779629;114;0,001587103
POMORSKIE;SĘPOLEŃSKI;19661;0,665054291;12;0,000405913;16;0,000541217;9585;0,324222846;140;0,004735649;137;0,004634171;12;0,000405913
POMORSKIE;TCZEWSKI;63843;0,947239573;65;0,000964406;37;0,00054897;3198;0,047448775;112;0,001661746;76;0,001127613;68;0,001008917
POMORSKIE;TORUŃ (MIASTO);50453;0,934435945;79;0,001463153;262;0,004852481;2617;0,048469246;493;0,009130813;45;0,000833441;44;0,00081492
POMORSKIE;TORUŃSKI;52491;0,871740791;93;0,001544491;97;0,001610921;7326;0,121666058;53;0,000880194;121;0,002009499;33;0,000548045
POMORSKIE;TUCHOLSKI;38829;0,941331911;26;0,000630318;11;0,000266673;2237;0,054231618;67;0,001624282;7;0,000169701;72;0,001745497
POMORSKIE;WĄBRZESKI;41950;0,841490813;63;0,001263741;50;0,001002969;7041;0,141238065;279;0,005596566;400;0,00802375;69;0,001384097
POMORSKIE;ŚWIECKI;73809;0,838757699;102;0,001159117;54;0,00061365;13156;0,149503398;338;0,003840996;433;0,004920566;106;0,001204573
POZNAŃSKIE;BYDGOSKI;44831;0,771100294;61;0,00104921;157;0,002700425;12700;0,21844201;148;0,002545623;78;0,001341612;164;0,002820826
POZNAŃSKIE;BYDGOSZCZ (MIASTO);103594;0,88390785;138;0,001177474;350;0,002986348;10648;0,090853242;1692;0,01443686;627;0,005349829;151;0,001288396
POZNAŃSKIE;CHODZIESKI;30831;0,692706929;16;0,000359486;19;0,00042689;13384;0,300709985;150;0,003370181;87;0,001954705;21;0,000471825
POZNAŃSKIE;CZARNKOWSKI;36997;0,855303311;19;0,000439245;11;0,0002543;5894;0,136258554;259;0,005987609;15;0,000346773;61;0,001410209
POZNAŃSKIE;GNIEZNO (MIASTO);29802;0,971540342;18;0,000586797;21;0,000684597;678;0,022102689;137;0,004466178;11;0,000358598;8;0,000260799
POZNAŃSKIE;GNIEŹNIEŃSKI;49215;0,85956057;48;0,00083834;12;0,000209585;7595;0,132649853;174;0,003038983;147;0,002567417;65;0,001135252
POZNAŃSKIE;GOSTYŃSKI;53270;0,95245758;7;0,000125159;7;0,000125159;2543;0,045468362;28;0,000500635;13;0,000232438;61;0,001090669
POZNAŃSKIE;INOWROCŁAW (MIASTO);33356;0,970666977;11;0,000320102;57;0,001658713;750;0,021825166;139;0,004044931;27;0,000785706;24;0,000698405
POZNAŃSKIE;INOWROCŁAWSKI;40796;0,839441141;28;0,000576144;32;0,00065845;7605;0,156484701;25;0,000514414;73;0,001502089;40;0,000823062
POZNAŃSKIE;JAROCIŃSKI;84355;0,963550591;22;0,000251296;19;0,000217029;2912;0,033262513;113;0,00129075;8;9,13805E-05;117;0,00133644
POZNAŃSKIE;KOŚCIAŃSKI;75984;0,963054031;67;0,000849187;13;0,000164768;2675;0,033904105;24;0,000304186;19;0,000240814;117;0,001482909
POZNAŃSKIE;KROTOSZYŃSKI;69264;0,917938931;20;0,000265055;17;0,000225297;5833;0,077303329;152;0,002014419;25;0,000331319;145;0,00192165
POZNAŃSKIE;KĘPIŃSKI;77658;0,894172644;23;0,000264827;7;8,05997E-05;8393;0,096638994;296;0,003408214;392;0,004513581;80;0,000921139
POZNAŃSKIE;LESZCZYŃSKI;55120;0,900491742;19;0,000310402;25;0,000408423;5729;0,093594289;222;0,003626799;72;0,001176259;24;0,000392086
POZNAŃSKIE;MIĘDZYCHODZKI;27107;0,873517659;15;0,000483372;12;0,000386698;3844;0,123872132;11;0,000354473;27;0,00087007;16;0,000515597
POZNAŃSKIE;MOGILEŃSKI;80814;0,906128765;73;0,000818514;32;0,000358801;7965;0,089307739;158;0,001771578;56;0,000627901;88;0,000986702
POZNAŃSKIE;NOWOTOMYSKI;71915;0,8234762;30;0,000343521;22;0,000251915;14888;0,170477837;150;0,001717603;270;0,003091686;56;0,000641239
POZNAŃSKIE;OBORNICKI;42216;0,837818528;56;0,001111376;34;0,000674764;7785;0,154501072;193;0,003830277;54;0,001071684;50;0,0009923
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI);93636;0,89925667;32;0,00030732;81;0,000777904;10082;0,096825;106;0,001017997;118;0,001133242;71;0,000681866
POZNAŃSKIE;POZNAŃ (MIASTO);236829;;367;;466;;1129;;1954;;;;;
POZNAŃSKIE;POZNAŃSKI;86134;0,944638196;74;0,000811564;41;0,00044965;4654;0,051040776;32;0,000350946;79;0,000866399;168;0,001842469
POZNAŃSKIE;RAWICKI;44254;0,88717373;45;0,000902129;70;0,001403312;5258;0,105408765;94;0,001884447;28;0,000561325;133;0,002666292
POZNAŃSKIE;SZAMOTULSKI;62640;0,924684834;20;0,000295238;39;0,000575714;4578;0,067579936;250;0,003690473;9;0,000132857;206;0,003040949
POZNAŃSKIE;SZUBIŃSKI;37770;0,789754313;31;0,000648197;51;0,001066388;9776;0,204411918;119;0,002488238;8;0,000167277;70;0,00146367
POZNAŃSKIE;WOLSZTYŃSKI;38708;0,808235196;12;0,000250564;9;0,000187923;8968;0,187254656;48;0,001002255;112;0,002338595;35;0,000730811
POZNAŃSKIE;WRZESIŃSKI;41370;0,946725251;15;0,000343265;19;0,000434803;2188;0,050070941;77;0,001762094;2;4,57687E-05;27;0,000617877
POZNAŃSKIE;WYRZYSKI;53414;0,798737906;42;0,000628056;31;0,000463565;13069;0,195430144;132;0,001973891;125;0,001869215;60;0,000897223
POZNAŃSKIE;WĄGROWIECKI;46574;0,858364511;19;0,000350172;11;0,000202731;7424;0,136825227;100;0,001843012;13;0,000239592;118;0,002174754
POZNAŃSKIE;ŚREDZKI;47667;0,955212216;22;0,000440864;16;0,000320628;2029;0,040659693;75;0,001502946;15;0,000300589;78;0,001563064
POZNAŃSKIE;ŚREMSKI;54107;0,944209828;16;0,000279213;9;0,000157057;3000;0,052352366;82;0,001430965;22;0,000383917;68;0,001186654
POZNAŃSKIE;ŻNIŃSKI;36573;0,880831387;20;0,000481684;16;0,000385347;4724;0,113773753;71;0,001709978;35;0,000842947;82;0,001974904
STANISŁAWOWSKIE;DOLIŃSKI;15630;0,132040246;89761;0,758289475;50;0,000422394;2324;0,019632855;10471;0,088457672;31;0,000261884;106;0,000895474
STANISŁAWOWSKIE;HORODEŃSKI;15519;0,167061382;69728;0,750618985;61;0,000656662;35;0,000376774;7480;0,080521885;3;3,22949E-05;68;0,000732017
STANISŁAWOWSKIE;KAŁUSKI;14418;0,141004577;80706;0,789285295;44;0,000430309;716;0,007002308;6249;0,061113719;9;8,80178E-05;110;0,001075774
STANISŁAWOWSKIE;KOSOWSKI (KOSÓW HUCULSKI);4976;0,052963215;80848;0,860524523;55;0,000585405;22;0,000234162;7826;0,083297854;13;0,000138369;212;0,002256471
STANISŁAWOWSKIE;KOŁOMYJSKI;31925;0,181392045;121240;0,688863636;136;0,000772727;1575;0,008948864;20887;0,118676136;38;0,000215909;199;0,001130682
STANISŁAWOWSKIE;NADWÓRNIAŃSKI;15214;0,108129238;113017;0,803236628;99;0,000703615;543;0,00385922;11663;0,082891501;19;0,000135037;147;0,001044761
STANISŁAWOWSKIE;ROHATYŃSKI;27108;0,213026121;90406;0,710448559;50;0,000392921;50;0,000392921;9466;0,074387829;93;0,000730833;79;0,000620815
STANISŁAWOWSKIE;STANISŁAWOWSKI;42519;0,214353773;123767;0,623954547;192;0,000967942;2064;0,010405376;29525;0,148846284;30;0,000151241;262;0,001320837
STANISŁAWOWSKIE;STRYJSKI;23404;0,153337133;108052;0,707929582;107;0,000701037;3708;0,024293885;17115;0,112133184;65;0,000425864;180;0,001179315
