Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VR;Kategoria VPR;Kategoria VIR;Kategoria VIPR;Kategoria VIIR;Kategoria VIIPR;Kategoria VIIR.1;Kategoria VIIPR.1
Krakowska;TARNOWSKI;0.0;0.0;0.0;0.0;2.0;0.0;14.0;0.0;15.0;1.0;17.0;0.0;75.0;0.0;807.0;29.0
Pomorska;TCZEWSKI;1.0;0.0;0.0;0.0;2.0;0.0;11.0;0.0;15.0;0.0;48.0;1.0;55.0;0.0;279.0;38.0
Lubelska;TOMASZOWSKI;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;6.0;1.0;15.0;0.0;22.0;3.0;223.0;37.0
Pomorska;TORUŃ (MIASTO);1.0;0.0;2.0;0.0;6.0;0.0;31.0;1.0;52.0;2.0;50.0;3.0;122.0;10.0;913.0;57.0
;TORUŃSKI;;;;;;;;;;;;;;;;
Lwowska;TREMBOWELSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;17.0;0.0;36.0;1.0;405.0;30.0
Pomorska;TUCHOLSKI;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;15.0;0.0;18.0;0.0;21.0;2.0;271.0;18.0
Lwowska;TURCZAŃSKI;0.0;0.0;0.0;0.0;1.0;0.0;6.0;1.0;25.0;1.0;6.0;1.0;28.0;0.0;275.0;4.0
Łódzka;TURECKI;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;11.0;0.0;46.0;0.0;218.0;2.0;552.0;90.0
Lwowska;TŁUMACKI;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;8.0;6.0;9.0;0.0;36.0;1.0;501.0;32.0
Krakowska;WADOWICKI;1.0;0.0;0.0;0.0;1.0;0.0;10.0;0.0;14.0;1.0;15.0;0.0;39.0;0.0;899.0;27.0
Warrszawa Okręgowa;WARSZAWSKI;2.0;0.0;1.0;0.0;5.0;0.0;36.0;0.0;39.0;1.0;31.0;5.0;74.0;3.0;1146.0;81.0
Pomorska;WEJHEROWSKI;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;28.0;0.0;17.0;0.0;43.0;8.0;308.0;49.0
Krakowska;WIELICKI;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;7.0;0.0;11.0;0.0;22.0;0.0;377.0;7.0
Łódzka;WIELUŃSKI;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;5.0;0.0;40.0;1.0;63.0;2.0;1001.0;145.0
Wileńska;WILEJSKI;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;15.0;0.0;45.0;3.0;60.0;1.0;294.0;87.0
Wileńska;WILEŃSKO-TROCKI;0.0;0.0;0.0;0.0;1.0;1.0;14.0;0.0;16.0;3.0;72.0;4.0;135.0;4.0;570.0;80.0
Wileńska;WILNO (MIASTO);0.0;0.0;0.0;0.0;4.0;0.0;34.0;0.0;49.0;2.0;81.0;17.0;364.0;55.0;2779.0;244.0
Wielkopolska;WITKOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;6.0;1.0;2.0;0.0;46.0;0.0;194.0;12.0
Wielkopolska;WOLSZTYŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;27.0;0.0;94.0;2.0;503.0;27.0
Białostocka;WOŁKOWYSKI;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;24.0;3.0;31.0;2.0;66.0;13.0;383.0;41.0
Poleska;WOŁOŻYŃSKI;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;2.0;0.0;33.0;2.0;30.0;1.0;221.0;29.0
Wielkopolska;WRZESIŃSKI;1.0;0.0;0.0;0.0;2.0;0.0;4.0;0.0;8.0;1.0;22.0;9.0;64.0;6.0;286.0;19.0
Wielkopolska;WYRZYSKI;1.0;0.0;0.0;0.0;3.0;0.0;6.0;0.0;20.0;0.0;52.0;1.0;38.0;2.0;545.0;26.0
Białostocka;WYSOKOMAZOWIECKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;9.0;2.0;29.0;1.0;303.0;32.0
Pomorska;WĄBRZESKI;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;13.0;0.0;19.0;1.0;55.0;2.0;429.0;43.0
Wielkopolska;WĄGROWIECKI;0.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;10.0;0.0;31.0;0.0;49.0;0.0;413.0;13.0
Lubelska;WĘGROWSKI;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;6.0;0.0;31.0;0.0;50.0;1.0;282.0;46.0
Warrszawa Okręgowa;WŁOCŁAWSKI;3.0;0.0;0.0;0.0;4.0;0.0;17.0;0.0;27.0;2.0;36.0;4.0;106.0;4.0;1098.0;92.0
Lubelska;WŁODAWSKI;0.0;0.0;1.0;0.0;1.0;0.0;3.0;1.0;5.0;1.0;5.0;2.0;102.0;3.0;438.0;138.0
Wołyńska;WŁODZIMIERSKI;0.0;0.0;0.0;0.0;1.0;0.0;8.0;0.0;13.0;0.0;60.0;1.0;87.0;1.0;290.0;33.0
Kielecka;WŁOSZCZOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;33.0;0.0;65.0;2.0;520.0;12.0
Lwowska;ZALESZCZYCKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;20.0;0.0;39.0;0.0;484.0;1.0
Lubelska;ZAMOJSKI;1.0;0.0;1.0;0.0;2.0;0.0;16.0;1.0;20.0;0.0;41.0;0.0;42.0;4.0;703.0;57.0
