Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka
WOŁYŃSKIE;KRZEMIENIECKI;217170;549818;231920;335204;1988930; 11 452 ; 117 663 
WOŁYŃSKIE;LUBOMELSKI;35519;230711;32395;31894;621032; -   ; 14 490 
WOŁYŃSKIE;RÓWIEŃSKI;472828;549001;248226;380392;1847403; 681 782 ; 49 671 
WOŁYŃSKIE;SARNEŃSKI;9207;408660;35138;70872;1411290; -   ; 20 570 
WOŁYŃSKIE;WŁODZIMIERSKI;405255;354449;135232;224854;1465580; 83 241 ; 15 600 
WOŁYŃSKIE;ZDOŁBUNOWSKI;206785;168515;145735;154216;1020876; 186 502 ; 18 090 
WOŁYŃSKIE;ŁUCKI;552014;545848;227085;280408;2503544; 48 700 ; 22 112 
ZIEMIA WILEŃSKA;BRASŁAWSKI;16468;161524;18443;72642;916180; -   ; 1 011 
ZIEMIA WILEŃSKA;DZIŚNIEŃSKI;36807;281858;33841;95094;1480163; -   ; 94 
ZIEMIA WILEŃSKA;MOŁODECZAŃSKI;10057;121486;34841;85508;653520; -   ; 642 
ZIEMIA WILEŃSKA;OSZMIAŃSKI;4446;166819;60620;139018;898589; -   ; 15 470 
ZIEMIA WILEŃSKA;POSTAWSKI;28837;148687;21491;59721;813193; -   ; 433 
ZIEMIA WILEŃSKA;WILEJSKI;6173;255447;52981;111161;1460103; -   ; 4 040 
ZIEMIA WILEŃSKA;WILEŃSKO-TROCKI;31374;578746;81313;207519;2151850; -   ; 68 522 
ZIEMIA WILEŃSKA;WILNO (MIASTO);;;;;;;
ZIEMIA WILEŃSKA;ŚWIĘCIAŃSKI;32147;227570;38688;106612;1279123; -   ; 5 854 
ŁÓDZKIE;BRZEZIŃSKI;34715;334867;11189;116996;1527042; 10 667 ; 355 
ŁÓDZKIE;KALISKI;149735;521740;33613;144420;2181691; 293 983 ; 1 311 
ŁÓDZKIE;KOLSKI;98503;502998;55072;75925;2133260; 147 975 ; 615 
ŁÓDZKIE;KONIŃSKI;112916;915027;83468;139745;3762515; 319 610 ; 1 387 
ŁÓDZKIE;PIOTRKOWSKI;60745;601149;35099;157022;2553725; 600 ; 1 895 
ŁÓDZKIE;RADOMSZCZAŃSKI;54020;589847;52962;130237;3258870; 3 861 ; 2 704 
ŁÓDZKIE;SIERADZKI;62200;617621;14591;162948;2759067; 46 783 ; 1 312 
ŁÓDZKIE;TURECKI;65900;428011;18557;92741;1855778; 94 257 ; 976 
ŁÓDZKIE;WIELUŃSKI;35818;641160;18710;156683;3270903; 151 800 ; 2 514 
ŁÓDZKIE;ŁASKI;38988;459470;17519;123289;1961828; 3 586 ; 1 643 
ŁÓDZKIE;ŁÓDZKI;15930;266785;7713;84050;1260536; -   ; 350 
ŁÓDZKIE;ŁÓDŹ (MIASTO);;;;;;;
ŁÓDZKIE;ŁĘCZYCKI;138402;376397;37942;117903;2019405; 440 121 ; 217 
ŚLĄSKIE;BIELSKI (BIELSKO);8864;38365;5379;52646;244883; 9 905 ; -   
ŚLĄSKIE;BIELSKO (MIASTO);;;;;;;
ŚLĄSKIE;CHORZÓW;;;;;;;
ŚLĄSKIE;CIESZYŃSKI;21987;41449;12709;83350;463772; 7 748 ; 24 
ŚLĄSKIE;KATOWICE (MIASTO);;;;;;;
ŚLĄSKIE;KATOWICKI;4514;51155;5462;21542;306840; -   ; -   
ŚLĄSKIE;LUBLINIECKI;18789;88983;13465;47693;575342; 18 347 ; 20 
ŚLĄSKIE;PSZCZYŃSKI;32881;214325;20758;134405;1544082; 46 785 ; 64 
ŚLĄSKIE;RYBNICKI;47324;241563;19239;120565;1461661; 112 067 ; -   
ŚLĄSKIE;TARNOGÓRSKI;3955;37743;4627;11963;229402; 6 161 ; -   
ŚLĄSKIE;ŚWIĘTOCHŁOWICKI;2770;21941;2803;9029;170004; -   ; -   
