District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,Kategoria VR,Kategoria VPR,Kategoria VIR,Kategoria VIPR,Kategoria VIIR,Kategoria VIIPR,Kategoria VIIIR,Kategoria VIIIPR
WYRZYSKI,1.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,16.0,0.0,50.0,1.0,45.0,2.0,630.0,33.0
ŻNIŃSKI,0.01482188655263306,0.0,0.006611285487746194,0.0,0.013222570975492388,0.0,1.0476699069144821,0.0,6.134173898447914,0.0,16.195961297441865,0.006611285487746194,55.50837375600957,1.0048035628337235,343.0263973616601,33.183464553209575
POZNAŃSKI,1.9041631273244606,0.0,0.9460703702177268,0.0,1.9161855142134676,0.0,22.729733659003458,0.0,23.784005511222247,0.0,46.64598542600478,0.9580927571067338,65.83188534191747,0.9580927571067338,602.5043997703426,44.78991184623635
GNIEZNO (MIASTO),0.012800167186132385,0.0,0.0064000835930661925,0.0,0.012800167186132385,0.0,0.045129307385429786,0.0,0.12997400526512248,0.0,0.17411714594865296,0.0064000835930661925,0.49085410320085693,0.0064000835930661925,3.7924110702139067,0.19594717459958305
INOWROCŁAW (MIASTO),4.0,0.0,1.0,0.0,2.0,0.0,10.0,0.0,24.0,0.0,34.0,0.0,111.0,5.0,740.0,46.0
DOLIŃSKI,0.0,0.0,1.8937749934171777,0.0,0.9468874967085888,0.0,6.628212476960122,0.9468874967085888,7.575099973668711,0.0,16.09708744404601,1.8937749934171777,42.6099373518865,0.9468874967085888,427.9931485122822,13.256424953920243
HORODEŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9229866440426333,0.0,8.768959932127899,0.0,27.281208677731243,0.0,514.4456493515034,4.871644406737722
KAŁUSKI,0.0,0.0,0.9511372273545763,0.0,0.0,0.0,2.853411682063729,0.9511372273545763,1.9022744547091526,0.0,10.462509500900339,4.755686136772882,41.850038003601355,4.755686136772882,556.4152780024272,44.703449685665085
KOŁOMYJSKI,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,22.077013355957366,0.0,29.2310400678721,0.0,39.71879132226876,2.0,1131.5543506484967,38.12835559326228
KOSOWSKI (KOSÓW HUCULSKI),0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,10.0,1.0,48.0,3.0,644.0,28.0
NADWÓRNIAŃSKI,0.0,0.0,0.03123106111635942,0.0,0.0,0.0,11.757623628303392,1.0312310611163593,22.83567953048991,3.0,38.22604604384002,3.820085750536111,53.24025373040577,6.265442268884673,696.8079111888738,61.33394691375484
ROHATYŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,31.0,0.0,28.0,2.0,290.0,6.0
STANISŁAWOWSKI,1.0,0.0,0.017631711529064172,0.0,0.0,0.0,12.416145030702454,1.017631711529064,33.39551024886277,2.0,43.66857658070859,4.424228112691007,99.21367214802261,2.9788715943424453,1354.7807281486362,76.18378122683497
STRYJSKI,0.0,0.0,0.10622500658282245,0.0,1.0531125032914113,0.0,12.433219625889741,0.05311250329141123,24.48633212918115,0.0,81.30222122447809,4.1062250065828225,51.21939603658664,4.175976708991135,1033.0986057770021,24.419328177428234
ŚNIATYŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,1.0,28.0,0.0,496.0,22.0
TŁUMACKI,0.0,0.0,0.0,0.0,0.0,0.0,1.9728196589304237,0.0,5.918458976791271,0.0,16.7689671009086,0.0,17.755376930373814,0.0,535.62053739961,12.823327783047754
ŻYDACZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,1.9385678971501383,0.0,1.9385678971501383,0.0,12.600691331475899,0.0,26.17066661152687,3.8771357943002767,570.9082457107157,21.32424686865152
BIELSKI (BIELSKO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIELSKO (MIASTO),6.0,0.0,9.0,0.0,17.0,0.0,79.0,1.0,87.0,1.0,71.0,11.0,150.0,6.0,1001.0,51.0
