District,Powierzchnia lasów (ha)
ŚREDZKI,8257.0
ŚREMSKI,16889.34782165066
WĄGROWIECKI,11705.0
WOLSZTYŃSKI,17627.0
WRZESIŃSKI,5830.0
WYRZYSKI,11658.0
ŻNIŃSKI,8592.474474146686
POZNAŃSKI,14278.914241871295
GNIEZNO (MIASTO),552.1126077200498
INOWROCŁAW (MIASTO),192.5591962455107
DOLIŃSKI,143574.74216005873
HORODEŃSKI,5800.179830661931
KAŁUSKI,41423.92852574651
KOŁOMYJSKI,29309.82016933807
KOSOWSKI (KOSÓW HUCULSKI),65321.0
NADWÓRNIAŃSKI,126437.82725301241
ROHATYŃSKI,20203.0
STANISŁAWOWSKI,30964.399166178013
STRYJSKI,80008.18874814853
ŚNIATYŃSKI,3749.0
TŁUMACKI,15035.845030538225
ŻYDACZOWSKI,20888.069091792742
BIELSKI (BIELSKO),7838.0
BIELSKO (MIASTO),1.0
CIESZYŃSKI,22163.0
TARNOGÓRSKI,13101.0
KATOWICE (MIASTO),642.0
KATOWICKI,3353.753100200294
LUBLINIECKI,35143.0
PSZCZYŃSKI,32337.0
RYBNICKI,19943.0
ŚWIĘTOCHŁOWICKI,226.4033591299363
CHORZÓW,437.8435406697698
BORSZCZOWSKI,15030.355443604685
BRODZKI,34758.43342967734
BRZEŻAŃSKI,23842.284654097984
BUCZACKI,20381.825380963022
CZORTKOWSKI,10575.855837111036
KAMIONECKI,25599.081855890403
PODHAJECKI,12741.61429578271
PRZEMYŚLAŃSKI,20547.0
RADZIECHOWSKI,22873.566570322666
SKAŁACKI,7920.3292620225075
TARNOPOLSKI,8529.859534716721
TREMBOWELSKI,8914.073121708334
ZALESZCZYCKI,8048.681345521172
ZBARASKI,4007.0
ZBOROWSKI,9848.0
ZŁOCZOWSKI,24849.584218192897
KOPYCZYNIECKI,10456.121148996677
BŁOŃSKI,11192.0
CIECHANOWSKI,9034.0
GOSTYNIŃSKI,26576.0
GRÓJECKI,16580.0
KUTNOWSKI,3736.0
LIPNOWSKI,25105.0
ŁOWICKI,10166.0
MAKOWSKI (MAKÓW MAZOWIECKI),22536.0
MIŃSKI,17858.0
MŁAWSKI,10599.0
NIESZAWSKI,3892.0
PŁOCKI,7098.0
PŁOŃSKI,6297.0
PRZASNYCKI,29022.0
PUŁTUSKI,25485.0
RADZYMIŃSKI,19889.0
RAWSKI (RAWA MAZOWIECKA),22697.0
RYPIŃSKI,14305.0
SIERPECKI,6399.0
SKIERNIEWICKI,12051.0
SOCHACZEWSKI,15875.0
WARSZAWSKI,32847.0
WŁOCŁAWSKI,20295.0
DUBIEŃSKI,46408.0
HOROCHOWSKI,22951.0
KOWELSKI,106689.0
KRZEMIENIECKI,29893.0
LUBOMELSKI,44103.0
ŁUCKI,96962.0
RÓWIEŃSKI,51066.0
WŁODZIMIERSKI,32567.0
KOSTOPOLSKI,139363.0
ZDOŁBUNOWSKI,25499.0
SARNEŃSKI,209308.0
OSZMIAŃSKI,44552.78299051164
ŚWIĘCIAŃSKI,88294.0
WILNO (MIASTO),460.0
DZIŚNIEŃSKI,47411.0
WILEJSKI,69780.0
WILEŃSKO-TROCKI,143913.21700948835
POSTAWSKI,49899.0
MOŁODECZAŃSKI,26011.0
