City,Population
Piwniczna (Piwniczna-Zdrój),3632.0
Pomorzany (dziś Ukraina),3445.0
Rozdół,3861.0
Różan,3285.0
Brzozów,4160.0
Brańsk,3739.0
Tuszyn,3451.0
Swarzędz,3364.0
Pelplin,3612.0
Żuromin,3962.0
Knyszyn,3579.0
Zaleszczyki,4014.0
Luboml,3328.0
Maków Podhalański,3226.0
Smorgonie,2952.0
Grzymałów (dziś Ukraina),3422.0
Biecz,3673.0
Lidzbark,3325.0
Łęczna,3590.0
Ciechanowiec,3291.0
Radziejów,3164.0
Korzec,4946.0
Rokitno,1491.0
Sępolno,3318.0
Różana (dziś Białoruś),3622.0
Wysokie Mazowieckie,3525.0
Ustrzyki Dolne,3242.0
Żurawno,3362.0
Podwołoczyska,3670.0
Zagórów,3715.0
Lesko,3870.0
Rudnik (nad Sanem),2959.0
Janów Podlaski,3360.0
Nowe Miasto (nad Pilicą),3761.0
Gniewkowo,3330.0
Chyrów,3490.0
Puck,2792.0
Nowo-Święciany (Nowe Święciany),3196.0
Dąbie,3765.0
Dubienka,2964.0
Olesko,3698.0
Skidel,2907.0
Poddębice,3122.0
Pakość,3336.0
Śmigiel,3754.0
Zdzięcioł,3080.0
Pobiedziska,3363.0
Fordon (dziś część Bydgoszczy),2314.0
Świsłocz (Swisłocz),2935.0
Bołszowce,2915.0
Brzesko,3144.0
Pilzno,3546.0
Kowalewo (Pomorskie),3207.0
Rudki (dziś Ukraina),3462.0
Tarnobrzeg,3169.0
Gniew,3131.0
Uhnów,3575.0
Rożniatów (dziś Ukraina),3266.0
Buk,3480.0
Sokołów (dziś Sokołów Małopolski),3515.0
Mikołajów (dziś Ukraina),3156.0
Rymanów,3546.0
Stoczek (Łukowski),2951.0
Szereszów,2951.0
Proszowice,3297.0
Kruszwica,3021.0
Krośniewice,3509.0
Uniejów,3657.0
Dąbrowa Grodzieńska (dziś Dąbrowa Białostocka),3014.0
Raków (Mołodecki),3323.0
Skarszewy,3009.0
Goniądz,2981.0
Skawina,2444.0
Więcbork,2588.0
Łopatyn,3399.0
Wieleń nad Notecią,2870.0
Zduny,2825.0
Kulików (rejon żółkiewski),2886.0
Ropczyce,3002.0
Pniewy,3089.0
Kostrzyn,3077.0
Krzeszowice,2933.0
Starosielce,2422.0
Zawichost,3014.0
Przedecz,3040.0
Grybów,2931.0
Rozwadów (dziś część Stalowej-Woli),2700.0
Tykocin,2993.0
Mordy,3268.0
Szubin,2744.0
Dokszyce,3004.0
Kosów Poleski (dziś Białoruś),2433.0
Zabłudów,2861.0
Głowno,2422.0
Bohorodczany,2721.0
Mikulińce,3217.0
Jordanów,2456.0
Szadek,3058.0
Dobczyce,2920.0
Kolbuszowa,2900.0
Sassów,3099.0
Golub,2565.0
Sejny,2254.0
Strzyżów,2905.0
Bieruń Stary,2221.0
Tyczyn,3095.0
Chorzele,2587.0
Janowiec (Wielkopolski),2993.0
Sieraków,2791.0
Niemirów (dziś Ukraina),2463.0
Kamieniec Litewski (dziś Białoruś),2348.0
Ratno (dziś Ukraina),2410.0
Muszyna,2516.0
Supraśl,2322.0
Kleczew,2848.0
Mosina,1957.0
Dąbrowica,2694.0
Skaryszew,2072.0
Stawiski,3017.0
Choroszcz,2405.0
Biała Rawska,2692.0
Brok,2712.0
Dobra,3055.0
Bereźne,2494.0
Dobrzyń nad Wisłą,2693.0
Suchowola,2457.0
Jagielnica (dziś Ukraina),2702.0
Czarny Dunajec,2399.0
Tuchów,2443.0
Wysokie Litewskie,2100.0
Cieszanów,2282.0
Indura,2323.0
Miejska Górka,2600.0
Husiatyn,2133.0
Łohiszyn,1984.0
Troki,1886.0
Wiśnicz Nowy,2691.0
Poniec,2471.0
Janów (dziś Iwano-Frankowe),2155.0
Podbrodzie,1435.0
Golina,2418.0
Radoszkowice (Radoszkowicze),2459.0
Stawiszyn,2560.0
Lubraniec,2196.0
Tuliszków,2358.0
Jaryczów Nowy,2148.0
Głogów (Małopolski),2291.0
Nowy Tomyśl,2083.0
Lwówek,2552.0
Koniecpol,2422.0
Łasin,2197.0
Ulanów,2192.0
Ślesin,2078.0
Stęszew,2225.0
Sulmierzyce,2526.0
Nieszawa,2381.0
Odolanów,2437.0
Łabiszyn,1834.0
Miłosław,2499.0
Żabno,2009.0
Rajgród,2291.0
Miasteczko (Śląskie),2212.0
Radomyśl Wielki,2468.0
Krobia,2285.0
Mrocza,2016.0
Kańczuga,2396.0
Kórnik,2233.0
Kobylin,2172.0
Murowana Goślina,1938.0
Nowogród,1856.0
Jazłowiec,1982.0
Bojanowo,1862.0
Drohiczyn nad Bugiem,1972.0
Terespol,1919.0
Łobżenica,1904.0
Woźniki,1800.0
Skalbmierz,2262.0
Lubień (Kujawski),2120.0
Limanowa,2143.0
Radymno,1907.0
Zator,1995.0
Jedwabne,1428.0
Boćki,1719.0
Dukla,2082.0
Ujście,1872.0
Sędziszów,1935.0
Margonin,1855.0
Kalwaria Zebrzydowska,1692.0
Czempiń,2054.0
Barcin,1628.0
Druskieniki,1071.0
Ciężkowice,1934.0
Wojnicz,1910.0
Borek,2097.0
Kleszczele,1452.0
Sokoły,2207.0
Rakoniewice,2013.0
Niżankowice (dziś Ukraina),1865.0
Rychwał,1891.0
Radzyń Chełmiński,1626.0
Strumień,1566.0
Wilamowice,1774.0
Budzyń,1889.0
Sieniawa,1987.0
Szamocin,1548.0
Piaski,1638.0
Kamień Pomorski (dziś Kamień Krajeński),1705.0
Chodecz,1685.0
Witkowo,1605.0
Baranów (Sandomierski),1794.0
Górzno,1665.0
Skoki,1431.0
Obrzycko,1503.0
Krzywiń,1874.0
Krakowiec,1389.0
Kłecko,1685.0
Lanckorona,1617.0
Raszków,1672.0
Sarnowa (dziś część Rawicza),1247.0
Grabów (nad Prosną),1730.0
Jutrosin,1725.0
Wyrzysk,1305.0
Wielichowo,1815.0
Osieczna,1559.0
Pogorzela,1662.0
Nowy Dwór (nad Biebrzą),1222.0
Dolsk,1558.0
Żerków,1549.0
Gołańcz,1380.0
Wysoka,1328.0
Wyśmierzyce,1424.0
Brzostek,1303.0
Czerniejewo,1343.0
Mielnik (nad Bugiem),1091.0
Ryczywół,1228.0
Suraż,1223.0
Odelsk,1333.0
Rydzyna,1175.0
Zaniemyśl,1291.0
Święciechowa,1333.0
Uście Solne,1376.0
Mikstat,1423.0
Narew,963.0
Bnin (Kórnik),1242.0
Ostroróg,1273.0
Powidz,1210.0
Gębice,1268.0
Mieścisko,1317.0
Miasteczko (Krajeńskie),1154.0
Szczerzec,936.0
Stara Sól,1170.0
Rogowo (nad jez. Rogowskim),938.0
Rychtal,928.0
Nowe Miasto nad Wartą,1044.0
Rostarzewo,1019.0
Książ (Wielkopolski),913.0
Władysławów,960.0
Gąsawa,835.0
Jaraczew (Jaraczewo),855.0
Rynarzewo,698.0
Kopanica,645.0
Huta Laura,16120.0
Brasław,1587.0
Postawy,1074.0
Drohiczyn Poleski,1987.0
Szczuczyn (Nowogródzki),1539.0
