Region;District;Population_1921;Population_1931;Population_1938;Cities in district
LWOWSKIE;SOKALSKI;14331.0;17035.0;17032.0;['Bełz', 'Sokal']
LWOWSKIE;TARNOBRZESKI;7663.0;8769.0;11591.0;['Baranów (Sandomierski)', 'Rozwadów (dziś część Stalowej-Woli)', 'Tarnobrzeg']
LWOWSKIE;TURCZAŃSKI;10056.0;10145.0;10145.0;['Turka']
LWOWSKIE;ŁAŃCUCKI;12119.0;13134.0;14822.0;['Leżajsk', 'Łańcut']
LWOWSKIE;ŻÓŁKIEWSKI;14548.0;18086.0;19553.0;['Kulików (rejon żółkiewski)', 'Mosty Wielkie', 'Żółkiew']
M. ST. WARSZAWA;ŚRÓDMIEJSKO-WARSZAWSKI;936713.0;1178211.0;1289000.0;['Warszawa']
NOWOGRÓDZKIE;BARANOWICKI;14871.0;27440.0;34856.0;['Baranowicze', 'Lachowicze']
NOWOGRÓDZKIE;BRASŁAWSKI;1587.0;3205.0;4500.0;['Brasław']
NOWOGRÓDZKIE;LIDZKI;13401.0;19490.0;26257.0;['Lida']
NOWOGRÓDZKIE;NIEŚWIESKI;12587.0;13298.0;14485.0;['Kleck', 'Nieśwież']
NOWOGRÓDZKIE;NOWOGRÓDZKI;9447.0;13313.0;15136.0;['Nowogródek', 'Zdzięcioł']
NOWOGRÓDZKIE;STOŁPECKI;2956.0;6569.0;6556.0;['Stołpce']
NOWOGRÓDZKIE;SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE);1539.0;2641.0;3524.0;['Szczuczyn (Nowogródzki)']
NOWOGRÓDZKIE;SŁONIMSKI;9643.0;16284.0;18500.0;['Słonim']
NOWOGRÓDZKIE;WOŁOŻYŃSKI;4070.0;5609.0;6806.0;['Wołożyn']
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);34001.0;54171.0;65224.0;['Brześć nad Bugiem', 'Kamieniec Litewski (dziś Białoruś)', 'Wysokie Litewskie']
POLESKIE;DROHICKI;1987.0;2803.0;3457.0;['Drohiczyn Poleski']
POLESKIE;IWACEWICKI;6055.0;7242.0;8203.0;['Kosów Poleski (dziś Białoruś)', 'Różana (dziś Białoruś)']
POLESKIE;KOBRYŃSKI;8208.0;10101.0;11020.0;['Kobryń']
POLESKIE;KOSZYRSKI;10971.0;16636.0;21168.0;['Kamień Koszyrski']
POLESKIE;PIŃSKI;23468.0;31913.0;36700.0;['Pińsk']
POLESKIE;PRUŻAŃSKI;9858.0;12534.0;13579.0;['Bereza Kartuska', 'Prużana']
POLESKIE;STOLIŃSKI;14614.0;18029.0;16894.0;['Dawidgródek', 'Stolin']
POLESKIE;ŁUNINIECKI;8267.0;8721.0;9300.0;['Łuniniec']
POMORSKIE;BRODNICKI;8578.0;10327.0;13167.0;['Brodnica', 'Górzno']
POMORSKIE;CHEŁMIŃSKI;10208.0;12531.0;13452.0;['Chełmno']
POMORSKIE;CHOJNICKI;17109.0;22012.0;25475.0;['Chojnice', 'Czersk']
POMORSKIE;DZIAŁDOWSKI;6893.0;9135.0;13642.0;['Działdowo', 'Lidzbark']
POMORSKIE;GDYNIA (MIASTO);23164.0;30210.0;120000.0;['Gdynia']
POMORSKIE;GRUDZIĄDZ (MIASTO);33516.0;50405.0;59200.0;['Grudziądz']
POMORSKIE;GRUDZIĄDZKI;3823.0;4497.0;4792.0;['Łasin', 'Radzyń Chełmiński']
POMORSKIE;KARTUSKI;3717.0;5055.0;5600.0;['Kartuzy']
POMORSKIE;KOŚCIERSKI;8858.0;10835.0;13199.0;['Kościerzyna', 'Skarszewy']
POMORSKIE;LUBAWSKI;8356.0;9991.0;10749.0;['Lubawa', 'Nowemiasto (Nowe Miasto Lubawskie)']
POMORSKIE;MORSKI;11578.0;16407.0;19769.0;['Puck', 'Wejherowo']
POMORSKIE;STAROGARDZKI;10466.0;13356.0;15356.0;['Starogard (Gdański)']
POMORSKIE;SĘPOLEŃSKI;4293.0;5260.0;5873.0;['Kamień Pomorski (dziś Kamień Krajeński)', 'Więcbork']
POMORSKIE;TCZEWSKI;22994.0;30552.0;33116.0;['Gniew', 'Pelplin', 'Tczew']
POMORSKIE;TORUŃ (MIASTO);39424.0;54280.0;81215.0;['Toruń']
POMORSKIE;TORUŃSKI;13930.0;15756.0;12983.0;['Chełmża', 'Podgórz (dziś część Torunia)']
POMORSKIE;TUCHOLSKI;5583.0;5477.0;6000.0;['Tuchola']
POMORSKIE;WĄBRZESKI;16975.0;20518.0;22234.0;['Dobrzyń nad Drwęcą', 'Golub', 'Kowalewo (Pomorskie)', 'Wąbrzeźno']
POMORSKIE;ŚWIECKI;10611.0;13400.0;14095.0;['Nowe', 'Świecie']
POZNAŃSKIE;BYDGOSKI;10383.0;14273.0;15981.0;['Fordon (dziś część Bydgoszczy)', 'Koronowo', 'Solec Kujawski']
POZNAŃSKIE;BYDGOSZCZ (MIASTO);87643.0;117528.0;141000.0;['Bydgoszcz']
POZNAŃSKIE;CHODZIESKI;10921.0;13727.0;15075.0;['Chodzież', 'Margonin', 'Szamocin', 'Ujście']
POZNAŃSKIE;CZARNKOWSKI;6840.0;8140.0;9196.0;['Czarnków', 'Wieleń nad Notecią']
POZNAŃSKIE;GNIEŹNIEŃSKI;30327.0;34838.0;39063.0;['Czerniejewo', 'Gniezno', 'Kłecko', 'Witkowo']
