District,Pszenica (zł za q = 100kg),Żyto (zł za q = 100kg),Jęczmień browarniany (zł za q = 100kg),Jęczmień innych gatunków (zł za q = 100kg),Owies (zł za q = 100kg),Gryka (zł za q = 100kg),Groch (zł za q = 100kg),Ziemniaki jadalne (zł za q = 100kg),Ziemniaki fabryczne (zł za q = 100kg),Siano koniczyny (zł za q = 100kg),Siano łąkowe (zł za q = 100kg),Słoma (zł za q = 100kg)
GARWOLIŃSKI,21.0,17.5,19.0,17.64,18.93,23.25,27.67,6.19,5.5,10.27,8.59,4.63
HRUBIESZOWSKI,18.94,17.75,16.11,15.85,17.07,20.5,28.6,6.1,5.75,6.13,4.75,2.89
JANOWSKI,19.5,17.0,18.56,16.4,17.83,20.17,24.5,6.63,5.33,7.85,5.93,4.4
KRASNOSTAWSKI,17.94,16.53,18.67,15.4,16.13,17.17,19.5,5.35,0.0,6.38,4.63,2.9
LUBARTOWSKI,19.58,17.68,18.27,16.21,16.05,23.2,25.0,5.56,4.5,7.77,5.89,3.03
LUBELSKI,20.0,17.53,18.73,17.0,18.0,20.5,25.33,6.54,4.0,8.43,6.71,3.71
ŁUKOWSKI,21.2,16.7,19.0,16.86,17.05,19.67,22.0,4.96,3.7,8.64,6.64,4.12
PUŁAWSKI,20.0,17.58,19.2,16.73,18.33,21.0,26.33,6.67,0.0,11.33,8.67,4.67
RADZYŃSKI,21.019116426794717,16.877026216682637,18.17142940734266,16.77745674047802,16.42896357376186,19.117339431286524,19.246779750352527,5.0282585483331745,3.982779048184693,7.617064929653226,5.874599096072423,4.092305472009772
SIEDLECKI,32.136185427728535,25.297500486028515,28.792380998394556,24.13217439605318,24.90866354490271,24.0,28.431533192231754,7.031684913926958,5.989782699259972,12.95688067900439,9.503815405463207,5.634543585126767
SOKOŁOWSKI,21.89,16.89,17.0,16.22,17.13,0.0,24.0,5.21,4.0,9.29,8.29,3.94
TOMASZOWSKI,18.17,17.25,15.5,14.63,16.36,20.86,25.17,5.71,4.75,6.83,5.17,2.92
WĘGROWSKI,22.25,18.0,19.0,18.0,18.63,20.0,26.0,4.25,0.0,10.6,8.67,4.93
WŁODAWSKI,20.67,16.56,18.0,16.73,17.06,20.47,22.43,5.42,4.3,7.91,5.93,3.14
ZAMOJSKI,18.67,16.61,16.44,15.08,15.17,26.8,28.67,6.04,4.75,7.15,5.68,4.18
LUBLIN (MIASTO),20.0,17.53,18.73,17.0,18.0,0.0,0.0,6.54,0.0,8.43,6.71,3.71
BÓBRECKI,21.5,18.69,18.78,16.85,17.63,22.0,23.75,5.86,5.0,10.38,8.0,4.89
BRZOZOWSKI,24.6,20.6,22.0,19.67,23.8,0.0,0.0,7.5,0.0,12.75,12.0,6.0
DOBROMILSKI,26.41573507626734,21.8701847143656,22.019410701986835,22.75719560474642,22.94469268331615,0.0,29.0,6.342104229519807,0.47666277142630564,12.714704369037234,10.891308809611246,6.782213133328046
DROHOBYCKI,24.11890880052266,19.743171510133845,20.487091262355296,19.649729135900554,17.89124919784519,1.2742141940903144,1.585688774867947,4.739567091727551,0.1698952258787086,11.971637636401923,9.153277295706424,5.0999545188329956
GRÓDECKI,21.257480161895305,17.65596193544035,18.653701617535415,15.311676726281174,17.81692066382062,21.492742889155146,25.24411433373272,6.953669341923297,0.03164445066905625,10.252546809888138,7.6044642666486775,4.363904768573989
JAROSŁAWSKI,20.988119694611445,18.249545615780622,17.832319241037517,17.769236289959164,17.655689088951537,26.50890437958556,0.7315535461208457,5.025895680561355,4.282278746668322,9.610703517551356,7.891631567969326,3.760951140413301
JAWOROWSKI,19.64738793162441,17.517762328188812,17.318947130519454,16.331987621827494,16.977157977944227,21.915861289134877,27.506160913043413,5.259104138780868,4.693689384033574,9.425097506044631,7.062214164665053,3.8297801681615455
KOLBUSZOWSKI,22.508614837178843,20.19820613213056,22.093678345434558,19.38717290477938,19.392949736081178,0.0,31.67,5.9200291140643,0.024824761540157864,12.384073222725837,9.541270515516446,5.601806237076156
KROŚNIEŃSKI,36.19026994162195,28.243543151193876,27.16536135787284,26.29108865421786,31.963543014459567,8.59999726531383,38.08636003155004,8.286635716012956,6.465908624769403,17.565816729948434,13.72290795477129,8.350181191690076
LESKI,23.43,19.56,19.25,18.8,20.25,0.0,26.0,6.71,0.0,9.89,7.5,5.57
LWOWSKI,20.56,18.89,18.33,17.86,18.2,20.8,26.67,8.63,5.0,11.0,8.1,4.7
LWÓW (MIASTO),20.56,18.89,18.33,17.86,18.2,0.0,0.0,8.63,0.0,11.0,8.1,4.7
ŁAŃCUCKI,21.733090701839238,19.366403994262363,18.303313573362505,17.837501294358272,18.40645544776307,20.0,0.7681100671368464,7.760754464050782,0.08915563279266966,10.502259057537394,8.774325023977445,4.76853413710861
MOŚCISKI,20.65,17.82,17.2,17.0,16.82,25.0,21.0,5.5,4.0,9.92,7.83,3.96
NIŻAŃSKI,24.88,19.75,21.4,18.0,21.13,28.0,0.0,7.83,0.0,11.0,8.43,5.0
PRZEMYSKI,21.13,16.63,17.86,16.0,20.86,0.0,0.0,5.5,0.0,10.29,8.92,4.0
PRZEWORSKI,20.75,18.5,18.0,17.71,17.13,22.5,0.0,5.75,4.25,11.38,8.0,4.56
