District,Pszenica,Żyto,Jęczmień,Owies,Gryka,Ziemniaki jadalne,Siano koniczyny,Siano łąkowe,Słoma,koń roboczy (cena minimalna),koń roboczy (cena maksymalna),krowa dojna (cena minimalna),krowa dojna (cena maksymalna)
RADZYŃSKI,50.252714640470366,37.62730505772489,36.48225608137179,37.50782168627935,39.82779048184693,12.87433327325702,12.197260835065622,8.2742234726037,5.665503196042726,267.8418909904206,567.5460143663188,307.66968147226754,544.6450348392567
SIEDLECKI,78.70654514041802,59.82046864079008,59.44369688988628,58.66225122895782,19.71684913926959,18.20473948906949,22.42213076926683,16.899348097779917,10.84582627050021,342.95544223907103,783.1489287714818,449.1228360188436,828.9337121650682
SOKOŁOWSKI,52.0,40.38,39.8,38.67,45.0,11.25,11.86,10.29,5.68,277.0,510.0,340.0,563.0
TOMASZOWSKI,48.28431553183099,38.93034296570137,36.18849068970359,35.7430634246498,42.23640311076729,11.600905658734302,10.502185071601616,8.90854530107583,5.741062527359978,329.61617613980565,550.350131933129,352.38245857588834,522.6346576631153
WĘGROWSKI,53.58,41.58,41.25,39.27,46.0,12.69,12.1,9.5,5.72,300.0,633.0,400.0,715.0
WŁODAWSKI,50.91,39.25,38.27,39.67,48.13,12.7,10.83,7.39,4.7,258.0,467.0,284.0,467.0
ZAMOJSKI,51.62,38.58,37.25,37.62,46.17,11.38,10.38,9.19,5.42,265.0,521.0,279.0,479.0
LUBLIN (MIASTO),52.78949262298086,41.844350765954616,41.3026113889799,40.98158064706895,0.1409217456368801,14.045094958603801,14.546705492839651,13.543484424367952,5.0161053423585,355.14025823898186,736.3642642582279,347.11448969120823,727.3352746419826
BÓBRECKI,53.33,43.5,38.5,40.75,0.0,9.5,8.5,7.5,6.25,375.0,538.0,488.0,675.0
BRZOZOWSKI,47.6,39.4,35.75,39.0,0.0,13.0,18.0,14.0,7.75,175.0,413.0,280.0,450.0
DOBROMILSKI,58.88328655786462,45.41441065311028,44.29831380825497,44.64384472653928,8.155700019104088,16.257782938847217,23.450254730938973,18.70535975579904,10.350544519041199,219.02975459985726,501.48055149491256,320.2919093045799,584.4904696948649
DROHOBYCKI,55.7335242335057,43.575701575203944,51.377669368659596,46.50430111061917,45.89179664622106,13.294677760291195,15.208939458451091,11.710728361592597,7.051906477598793,212.42024052056078,515.5215442684936,320.74362426476034,635.8642993679654
GRÓDECKI,50.57282439085346,41.122709918724524,37.38646245183907,39.30454447184534,41.55533488219979,13.11326184003294,18.50333957207738,14.354489945795168,6.734429496265938,252.089804844269,494.33046338585797,361.6237430951234,618.2729722902075
JAROSŁAWSKI,49.197963862685725,39.07441363735328,37.902532854161635,37.73695045509739,38.28767382325815,14.117037554642476,19.43433234477399,13.240806746824584,8.162639739684277,256.44593889615163,491.53259203488426,295.14174369731205,549.100917221972
