District,Indirect Occupation - Total,Indirect Occupation - A. Agriculture and forestry,Indirect Occupation - B. Mining and industry,Indirect Occupation - C. Trade and insurance,Indirect Occupation - D. Transport and communication,"Indirect Occupation - E. Public service, liberal professions",Indirect Occupation - F. Army,Indirect Occupation - G. Domestic service,Indirect Occupation - H. Unemployed,Indirect Occupation - N. Not further specified
KRASNOSTAWSKI,64240.0,57467.0,2822.0,1466.0,163.0,659.0,39.0,597.0,487.0,540.0
LUBARTOWSKI,52858.0,46978.0,2393.0,1354.0,148.0,685.0,23.0,400.0,441.0,436.0
LUBELSKI,74559.06407831683,67137.0481541571,3442.8744294987478,1337.6773261109784,386.75022543298036,640.9288529726969,36.88082046654709,688.7742416860552,380.7695518438106,507.36047614790465
ŁUKOWSKI,65602.0,56980.0,3604.0,1523.0,553.0,846.0,48.0,673.0,695.0,680.0
PUŁAWSKI,79596.0,65274.0,5462.0,2895.0,1263.0,1323.0,580.0,1068.0,936.0,795.0
RADZYŃSKI,46980.86165238664,39203.48986604398,3385.3621909569893,1430.8133730603508,306.67398671022136,697.9820281943674,33.85362190956989,607.3738048481657,641.2274267577355,674.0853539052592
SIEDLECKI,65315.226067179756,49437.10528752147,5078.22070467103,2651.01632532856,1970.414135657325,1728.1065384633414,243.4391307970399,1178.9445772020697,2007.6217522924492,1020.3576152464713
SOKOŁOWSKI,42677.0,37456.0,2235.0,994.0,179.0,586.0,16.0,378.0,451.0,382.0
TOMASZOWSKI,51015.279585794124,44851.556075816436,2546.8541177409006,1685.694738636904,121.750119114703,612.7099490406598,18.80692896893786,504.8175670609636,383.06744794626064,290.0226414683575
WĘGROWSKI,43377.0,37860.0,2648.0,923.0,249.0,652.0,16.0,356.0,455.0,218.0
WŁODAWSKI,43119.0,37286.0,2280.0,1386.0,199.0,590.0,30.0,423.0,402.0,523.0
ZAMOJSKI,76482.0,62679.0,5290.0,2568.0,697.0,1169.0,217.0,1371.0,1323.0,1168.0
LUBLIN (MIASTO),39411.935921683165,1384.9518458428897,10796.125570501252,7551.322673889022,3034.24977456702,4136.071147027304,1263.119179533453,3707.225758313945,5320.23044815619,2218.6395238520954
BÓBRECKI,47089.0,41931.0,1682.0,941.0,815.0,625.0,19.0,399.0,298.0,379.0
BRZOZOWSKI,50231.0,45906.0,1398.0,728.0,91.0,830.0,12.0,378.0,412.0,476.0
DOBROMILSKI,48054.981656527496,43976.79768862559,1387.4675203611087,997.0336433233435,213.39517641882708,573.5093339138982,13.158887590475436,423.56301002838336,298.33255428526115,171.72384198060195
DROHOBYCKI,91921.66117931827,60294.5417179566,18353.066805718703,3361.58548648461,1030.326247246785,2047.7315633836452,38.776437679876096,2521.0266818294294,1783.962537323055,2490.643701695556
GRÓDECKI,43406.7356728914,38504.22887989289,1551.7111241364785,774.3288428139102,482.8577105985575,533.2512123462382,116.37773193550126,371.8587170491382,284.9919475008883,787.1295066177954
JAROSŁAWSKI,78743.0041365244,66605.89245859651,3141.8675173723645,2205.3239609346565,762.8395632960505,1498.5300558695171,327.5703120153694,1217.5183187244506,1274.4397910414787,1709.0221586739901
JAWOROWSKI,47605.18475039435,42986.4144247999,1339.599860260999,823.3583838417029,82.39418039756424,556.6906801475441,15.213453815613105,307.15987537196867,419.6702378462261,1074.6836539128349
KOLBUSZOWSKI,44120.86278502485,41000.95246089821,1021.2139969138257,1032.745605186653,50.84310510891102,415.1538376296301,9.067656582813848,219.34195863586396,286.4824761540158,85.06168791492499
KROŚNIEŃSKI,63019.81354403905,53078.97756002684,4507.663530581003,1408.263514172886,304.1999808571968,1079.454496976018,40.47272553247244,822.5090595845038,1176.554514751478,601.7181615566434
LESKI,58453.0,53295.0,1856.0,1237.0,296.0,611.0,17.0,486.0,270.0,385.0
LWOWSKI,84513.0,64712.0,6980.0,2281.0,2387.0,1875.0,255.0,983.0,2641.0,2399.0
LWÓW (MIASTO),103598.0,1240.0,21053.0,21159.0,8550.0,14865.0,3616.0,11768.0,15859.0,5488.0
ŁAŃCUCKI,58273.62981972338,51153.12213581842,2078.360090223135,1294.2002070973238,309.94944151622207,846.3236393111447,54.24732598307525,594.2760588699597,947.0321724849108,996.1187484191837
MOŚCISKI,50264.0,46497.0,1038.0,867.0,392.0,547.0,15.0,371.0,224.0,313.0
NIŻAŃSKI,37764.0,33630.0,1527.0,661.0,134.0,449.0,35.0,242.0,306.0,780.0
PRZEMYSKI,80209.0,56048.0,5373.0,3931.0,2376.0,2757.0,1162.0,2422.0,4230.0,1910.0
PRZEWORSKI,33674.0,29148.0,1361.0,791.0,369.0,455.0,18.0,370.0,310.0,852.0
RAWSKI (RAWA RUSKA),61277.0,54486.0,1890.0,1420.0,600.0,699.0,39.0,501.0,310.0,1332.0
RUDECKI,43229.583566860885,40071.39809951297,923.5735348504113,763.0382208528076,124.86079977591397,491.51552927661373,5.9457523702816175,259.6311868356307,117.92408867725209,471.69635470900835
RZESZOWSKI,104750.55663623758,88123.90030415473,3650.9763791958617,3477.53627872979,1722.850577626581,1986.2218637128374,407.2799484844523,1723.2148815455366,2172.413312763611,1486.163090024173
SAMBORSKI,69940.06109860097,60858.513101283446,1960.0164400459053,1493.2516697172518,916.7214830788936,1295.2529765378383,96.54906824589676,981.0242936880157,1477.3410181406684,861.3910478630569
SANOCKI,63783.0,54837.0,2965.0,1529.0,762.0,1098.0,190.0,875.0,1020.0,507.0
SOKALSKI,56546.86683560284,48616.088617841444,2408.304357113336,1533.1908681085317,277.7663975339483,1041.37509613086,18.915991229910457,506.7494492644433,718.8076667365973,1425.6683916437776
TARNOBRZESKI,42361.0,37013.0,1921.0,1015.0,624.0,630.0,11.0,394.0,470.0,283.0
ŻÓŁKIEWSKI,51543.82059623324,45641.898948636,1796.3985625516307,1050.5309070557882,180.19716708118736,739.3656958588924,52.01567709560047,394.7618351005393,427.2716332852896,1261.3801695683114
LUBACZOWSKI,50050.49187332898,45318.06613719773,1573.2479633797466,1048.9505915569232,202.0477459319138,605.0125223600869,15.892749863234648,354.8319020188119,265.973934934155,666.4683260863713
TURCZAŃSKI,65065.296065553266,59031.147492134354,2138.449233874284,1120.129200474794,326.5570932554941,816.5061261646181,3.515606483751692,421.38601445417135,639.3638902510154,568.2414084607852
BRZEZIŃSKI,59154.0,38782.0,9041.0,2711.0,1990.0,1374.0,96.0,1261.0,2072.0,1827.0
KALISKI,84703.0,56287.0,10438.0,4204.0,1258.0,2029.0,246.0,2564.0,4617.0,3060.0
KOLSKI,57144.0,44780.0,4580.0,2016.0,780.0,820.0,42.0,1309.0,1411.0,1406.0
KONIŃSKI,96003.0,77591.0,6403.0,2125.0,809.0,1389.0,195.0,1677.0,2659.0,3155.0
ŁASKI,75604.0,51207.0,17034.0,2341.0,470.0,1180.0,72.0,1188.0,1215.0,897.0
ŁĘCZYCKI,61155.0,46457.0,6964.0,2105.0,547.0,988.0,62.0,1371.0,1510.0,1151.0
ŁÓDZKI,55537.0,33552.0,13705.0,1874.0,916.0,1050.0,115.0,1033.0,1907.0,1385.0
ŁÓDŹ (MIASTO),191656.0,2049.0,110781.0,27879.0,7040.0,10365.0,1459.0,13894.0,13826.0,4363.0
PIOTRKOWSKI,104220.0,78113.0,11873.0,3494.0,2024.0,2084.0,180.0,1862.0,2496.0,2094.0
RADOMSZCZAŃSKI,89304.0,75360.0,6628.0,2030.0,759.0,1137.0,73.0,1265.0,946.0,1106.0
SIERADZKI,79966.0,62353.0,9350.0,2386.0,485.0,1277.0,54.0,1137.0,1566.0,1358.0
TURECKI,55093.0,47031.0,4288.0,1153.0,107.0,626.0,32.0,630.0,660.0,566.0
WIELUŃSKI,95345.0,83190.0,4886.0,2482.0,285.0,1007.0,71.0,962.0,1026.0,1436.0
POŁUDNIOWO-WARSZAWSKI,28678.02423363739,16827.14162871224,4143.188318989456,1561.112438216768,1092.2331017056156,943.8967297911782,743.0458721874918,790.4453105693465,1611.239901829233,965.720931636061
PÓŁNOCNO-WARSZAWSKI,24845.985990794907,14578.651645105952,3589.563844851403,1352.5122042575902,946.285843214736,817.7705944484512,643.7579932453668,684.8237853798807,1395.94149521999,836.6785850715368
PRASKO-WARSZAWSKI,23568.125543620372,13828.853173943697,3404.9480416531414,1282.950792978443,897.6171668654331,775.7116196951354,610.6487064001807,649.6024329672413,1324.1464606428883,793.6471484742137
ŚRÓDMIEJSKO-WARSZAWSKI,7006.864231947345,4111.35355223812,1012.2997945060017,381.4245645471997,266.86388821421593,230.62105606523562,181.54742816696114,193.12847108353185,393.67214230788954,235.95333481818903
BARANOWICKI,74876.60837614164,59588.284603353546,2572.917451131948,1790.794497369768,972.3507081837279,1510.1170695121034,182.65075005294096,721.7992913887498,7013.891106093556,523.8028990553088
BRASŁAWSKI,80596.55161417241,74625.73542539903,2187.9560254930466,1203.7383351812646,357.3316052120392,764.4037939287347,35.76223791631797,489.13061418706934,518.3058905981909,414.18768625671436
LIDZKI,78884.69323394714,71445.52789329855,2574.3882571091463,1163.7680076002982,723.678248537228,768.5654021129413,367.0457986697213,649.0623223739921,654.3290679036757,538.3282363415782
NIEŚWIESKI,54093.73188967914,47719.61166176688,2168.9995996086313,1282.6023033920296,183.92338778900236,892.0689425360863,41.32199461338819,525.0324021465794,896.9303536670732,383.24124415946306
NOWOGRÓDZKI,65038.35755486056,59710.97797908368,1636.1674828618843,796.4783885981386,133.08796702832367,976.6825931578103,143.2635232209571,404.64949177088096,916.8988843344937,320.1512448043905
SŁONIMSKI,44942.62818052301,40174.307965020096,1617.2900856086226,708.8491601130044,212.85367670371787,521.8562104854391,49.069071888084494,390.5632884065103,822.2385019084428,445.6002203890916
STOŁPECKI,53893.82622558804,49031.66570999789,1789.0281093188325,928.1805857396186,193.94989325128515,704.5340759247819,70.55259642018383,362.1597544308222,542.7259217395954,271.0295787650286
WOŁOŻYŃSKI,55466.15966934615,51681.36698749207,1426.2244193968554,753.3823945864733,201.7450927929123,520.6616873699287,61.464816857796336,286.36539949877977,339.76071290681216,195.18815844452942
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),42250.39452695257,37043.22021870273,1814.7466597321747,787.5462949604768,479.2495028215321,528.512860637937,235.8973372944432,437.1170622514902,503.50090302395546,420.603687527832
BRZESKI (BRZEŚĆ N.BUG.),66645.8485053884,51189.51645712231,3915.0791929753177,2612.6250943748396,2943.8980450746003,1771.078132782246,526.1316563057526,1062.3556294486493,1711.7835124423452,913.38078486236
DROHICKI,38613.0,36130.0,723.0,500.0,191.0,311.0,80.0,207.0,312.0,159.0
KOBRYŃSKI,46310.314438000394,41531.58314545892,1272.81962364155,1014.5551819761163,365.6519448166537,588.4687578780504,43.227804277712885,417.835131755257,798.031468016485,278.14138017964694
KOSZYRSKI,40336.04860774422,38285.756153003764,646.4099020190051,394.22027737830155,170.37352881864015,310.9963302296737,54.97375524006181,125.08818439595113,235.3695701503909,112.86090650843303
ŁUNINIECKI,53879.70569861417,48293.10642216465,2117.139534593299,883.9217784439732,668.6828197050479,625.9554829826807,33.64777766886424,285.7390643308312,457.7165946383595,513.7962240864665
PIŃSKI,66977.91980075612,58962.78719364302,2716.489918976334,1409.8580436785398,573.6145730854964,1076.8076666177597,92.10644702880262,492.3220462141794,1072.4222887037558,581.5116228082301
PRUŻAŃSKI,38040.0,33707.0,1303.0,809.0,239.0,474.0,243.0,304.0,650.0,311.0
