District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,Kategoria VaR,Kategoria VaPR,Kategoria VbR,Kategoria VbPR
BRASŁAWSKI,2.8233701881495463,0.0,74.05301186745844,7.528536034822505,717.0967791688479,44.28942055041162,414.72569609663884,82.11143733783231,28.17392301039274,5.058425470373866,1.0,0.0
LIDZKI,1.7511240884259198,0.0,95.78946015221716,8.147927385723804,622.2571786926079,52.38981249119466,523.399962350169,100.50178856061828,7.167085660954797,8.7556204421296,7.5882043831789865,1.1674160589506133
NIEŚWIESKI,0.0,0.0,73.73140215330051,8.912587073475885,613.3480376928404,76.16210771879393,292.4949030477086,81.02351884978077,2.4307055654934233,0.0,0.0,0.0
NOWOGRÓDZKI,1.1480192970615242,0.0,52.296977396050465,0.661578725480883,459.8235210730255,29.490583791690003,409.1857224610181,69.1737135007266,45.47636768841597,8.448565406203453,2.766940660960614,0.0
SŁONIMSKI,1.3261911321103916,0.0,81.56075462478908,2.6523822642207833,593.4705316194003,49.732167454139685,185.66675849545481,60.34169651102282,29.839300472483814,3.978573396331175,4.641668962386371,0.0
STOŁPECKI,1.0195754703834974,0.0011721216189995419,56.90745153809243,4.5983304747984945,472.13247254778463,38.482990263615704,337.5806874393762,67.7088814689321,5.896708861670215,1.7101381995509077,0.17703613836310092,0.4643565789819739
WOŁOŻYŃSKI,0.770160801792843,0.0,44.77638641557694,3.154222293538471,401.52557443309723,22.0059769684022,349.46041290269295,57.3082398573231,2.5369479875001355,0.770160801792843,0.0,0.3850804008964215
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),1.325847812042455,0.0,69.29382064396819,5.627933144026573,426.1709693464173,37.82818298613313,284.6339821301871,61.13735132387682,5.753738026151894,5.290794987217936,11.05215386089837,3.185083087913308
BRZESKI (BRZEŚĆ N.BUG.),2.0,0.0,100.25234125269253,10.0,577.5108348200699,55.21942717625437,550.7460523992648,113.28525532913068,1.0658281528763114,2.0,1.5595392994486463,1.0329140764381557
DROHICKI,0.0,0.0,34.0,6.0,351.0,25.0,147.0,38.0,3.0,1.0,1.0,0.0
KOBRYŃSKI,0.39267252245586737,0.0,53.633626122793366,7.963362612279337,463.69701394483394,35.79849436753635,254.98494367536352,60.18599751875651,3.1963362612279336,1.3926725224558674,1.1963362612279336,0.19633626122793368
KOSZYRSKI,1.6073274775441329,0.0,80.36637387720664,8.036637387720663,461.3029860551661,44.20150563246365,442.01505632463653,90.8140024812435,0.8036637387720664,1.6073274775441329,0.8036637387720664,0.8036637387720664
ŁUNINIECKI,1.0,0.0,73.0,11.0,678.0,99.0,617.0,51.0,2.0,0.0,4.0,1.0
PIŃSKI,2.0,0.0,118.0,11.0,835.0,71.0,409.0,116.0,8.0,2.0,11.0,10.0
PRUŻAŃSKI,0.0,0.0,39.0,3.0,415.0,32.0,132.0,23.0,0.0,0.0,0.0,0.0
STOLIŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
