City,Population
Płock,35200.0
Płońsk,12000.0
Pniewy,4000.0
Pobiedziska,4452.0
Podbrodzie,3011.0
Poddębice,4305.0
Podgórz (dziś część Torunia),0.0
Podhajce,6199.0
Podwołoczyska,3895.0
Pogorzela,1810.0
Pomorzany (dziś Ukraina),4724.0
Poniec,3246.0
Postawy,4300.0
Poznań,272000.0
Praszka,4642.0
Proszowice,3766.0
Pruszków,27120.0
Prużana,8700.0
Przasnysz,7856.0
Przedbórz,7002.0
Przedecz,3600.0
Przemyśl,58500.0
Przemyślany,6300.0
Przeworsk,7004.0
Pszczyna,7800.0
Puck,5203.0
Puławy,14000.0
Pułtusk,17401.0
Pyzdry,5050.0
Raciąż,4786.0
Radom,85501.0
Radomsko,26350.0
Radomyśl Wielki,3100.0
Radoszkowice (Radoszkowicze),2666.0
Radymno,4067.0
Radziechów,5700.0
Radziejów,5169.0
Radziwiłłów,5314.0
Radzymin,8522.0
Radzyń (Podlaski),6997.0
Radzyń Chełmiński,2251.0
Rajgród,2358.0
Rakoniewice,2183.0
Raszków,1782.0
Ratno (dziś Ukraina),3300.0
Rawa Mazowiecka,9257.0
Rawa Ruska,12000.0
Rawicz,10912.0
Rogoźno,6348.0
Rohatyn,9016.0
Rokitno,4195.0
Ropczyce,3402.0
Rozdół,3490.0
Rozwadów (dziś część Stalowej-Woli),3800.0
Rożniatów (dziś Ukraina),3708.0
Rożyszcze,6804.0
Równe,46680.0
Różan,4876.0
Różana (dziś Białoruś),4500.0
Ruda Pabianicka,20034.0
Ruda Śląska,25000.0
Rudki (dziś Ukraina),3700.0
Rudnik (nad Sanem),5000.0
Rybnik,28498.0
Rychwał,2636.0
Rydzyna,2780.0
Rymanów,3836.0
Rypin,9100.0
Rzeszów,37116.0
Sambor,23500.0
Sandomierz,10115.0
Sanok,17862.0
Sarnowa (dziś część Rawicza),1843.0
Sarny,9766.0
Sassów,3112.0
Sądowa Wisznia,5465.0
Sejny,3405.0
Serock,6500.0
Sędziszów,2507.0
Sępolno,4481.0
Siedlce,40962.0
Siemianowice Śląskie,38701.0
Siemiatycze,8128.0
Sieniawa,2150.0
Sieradz,11359.0
Sieraków,3200.0
Sierpc,13000.0
Skalbmierz,2365.0
Skała (Podolska),5144.0
Skałat,7200.0
Skarszewy,3700.0
Skaryszew,3128.0
Skarżysko-Kamienna,19870.0
Skawina,4400.0
Skidel,4212.0
Skierniewice,21214.0
Skoczów,5213.0
Skoki,1870.0
Skole,7560.0
Skórcz,3375.0
Słomniki,6095.0
Słonim,18500.0
Słupca,6204.0
Smorgonie,5000.0
Sochaczew,12984.0
Sokal,12135.0
Sokołów (dziś Sokołów Małopolski),3650.0
Sokołów Podlaski,13543.0
Sokoły,2176.0
Sokółka,7002.0
Solec Kujawski,5500.0
Sosnowiec,130000.0
Stanisławów (dziś Iwano-Frankiwsk),71218.0
Starogard (Gdański),15356.0
Starosielce,3399.0
Stary Sambor,4393.0
Stary Sącz,6000.0
Stawiski,3153.0
Stawiszyn,2585.0
Stęszew,3150.0
Stoczek (Łukowski),3583.0
Stolin,6328.0
Stołpce,6556.0
Strumień,2057.0
Stryj,34000.0
Stryków,4862.0
Strzelno,5996.0
Strzyżów,3600.0
Sucha (Beskidzka),6250.0
Suchowola,3000.0
Sulejów,7048.0
Sulmierzyce,2408.0
Supraśl,3017.0
Suraż,1460.0
Suwałki,23066.0
Swarzędz,6379.0
Szadek,3150.0
Szamocin,2100.0
Szamotuły,9084.0
Szczakowa,5216.0
Szczekociny,6180.0
Szczerzec,1214.0
Szczuczyn (Białostocki),5668.0
Szczuczyn (Nowogródzki),3524.0
Szubin,3437.0
Szydłowiec,10568.0
Ślesin,2804.0
Śmigiel,4207.0
Śniatyn,11000.0
Śrem,8500.0
Środa (Wielkopolska),10198.0
Świecie,8964.0
Święciany,6200.0
Święciechowa,1326.0
Świętochłowice,29786.0
Świsłocz (Swisłocz),4188.0
Tarnobrzeg,5791.0
Tarnopol,40000.0
