City;Population_1921;Population_1931;Population_1938
Nowy Dwór (Mazowiecki);7829;9386;10026
Nowy Dwór (nad Biebrzą);1222;1605;X_oba
Nowy Sącz;26280;30278;33329
Nowy Targ;8071;10406;11622
Nowy Tomyśl;2083;2550;2701
Oborniki;4091;5244;6400
Obrzycko;1503;1776;X_oba
Odelsk;;;
Odolanów;2437;2472;2491
Olesko;;;3824
Olkusz;6667;9916;11046
Opalenica;3058;4332;4291
Opatów;8827;9519;9600
Opoczno;7224;8921;10047
Orłowa;;;10040
Osieczna;1559;1597;1730
Ostroróg;1273;1289;1301
Ostrowiec (Świętokrzyski);19705;25983;29000
Ostrołęka;;;15000
Ostrzeszów;;;X
Ostróg;;;14156
Ostrów (Lubelski);3813;4753;5700
Ostrów Mazowiecka;13425;17611;18528
Ostrów Wielkopolski;16366;19555;31418
Oszmiana;;;8500
Ottynia;;;4777
Otwock;8560;14996;19332
Ozorków;12589;14979;16420
Ołyka;;;6480
Oświęcim;12187;11949;13350
Pabianice;29666;45614;52000
Pakość;3336;3797;3926
Parczew;7893;9943;10159
Peczeniżyn;;;6980
Pelplin;X_oba;4185;4218
Piaseczno;5604;7074;8078
Piaski;1638;1881;X
Pilzno;3546;3671;3762
Piotrków (Trybunalski);40992;51294;52875
Piwniczna (Piwniczna-Zdrój);3632;4315;4900
Pińczów;7749;7423;7423
Pińsk;;;36700
Pleszew;7638;8591;9994
Pniewy;2731;3371;4000
Pobiedziska;3363;3745;4452
Podbrodzie;;;3011
Poddębice;3122;3800;4305
Podgórz (dziś część Torunia);X_oba;4658;0
Podhajce;;;6199
Podwołoczyska;;;3895
Pogorzela;1662;1592;1810
Pomorzany (dziś Ukraina);;;4724
Poniec;2471;2626;3246
Postawy;;;4300
Powidz;;;
Poznań;;;269889
Praszka;;;X
Proszowice;;;3766
Pruszków;;;27120
Prużana;;;8700
Przasnysz;;;7856
Przedbórz;;;7002
Przedecz;;;3600
Przemyśl;;;58500
Przemyślany;;;6300
Przeworsk;;;7004
Pszczyna;;;7800
Puck;;;5203
Puławy;;;14000
Pułtusk;;;17401
Pyzdry;;;5050
Płock;;;35200
Płońsk;;;12000
Raciąż;;;4786
Radom;;;85501
Radomsko;;;26350
Radomyśl Wielki;;;3100
Radoszkowice (Radoszkowicze);;;2574
Radymno;;;4067
Radziechów;;;5700
Radziejów;;;5169
Radziwiłłów;;;5314
Radzymin;;;8522
Radzyń Chełmiński;;;2251
Radzyń (Podlaski);;;2251
Rajgród;;;2358
Rakoniewice;;;2183
Raków (Mołodecki);;;X
Raszków;;;1782
Ratno (dziś Ukraina);;;3300
Rawa Mazowiecka;;;9257
Rawa Ruska;;;12000
Rawicz;;;10912
Rogowo (nad jez. Rogowskim);;;
Rogoźno;;;6318
Rohatyn;;;9016
Rokitno;;;4195
Ropczyce;;;3402
Rostarzewo;;;
Rozdół;;;3490
Rozwadów (dziś część Stalowej-Woli);;;3311
Rożniatów (dziś Ukraina);;;3708
Rożyszcze;;;6804
Ruda Pabianicka;;;20031
Rudki (dziś Ukraina);;;3700
Rudnik (nad Sanem);;;5000
Rybnik;;;28498
Rychtal;;;
Rychwał;;;2636
Ryczywół;;;
Rydzyna;;;2780
Rymanów;;;3836
Rynarzewo;;;
Rypin;;;9100
Rzeszów;;;37116
Równe;;;46680
Różan;;;4876
Różana (dziś Białoruś);;;4500
Sambor;;;23500
Sandomierz;;;10115
Sanok;;;17862
Sarnowa (dziś część Rawicza);;;1843
Sarny;;;9766
Sassów;;;3112
Sejny;;;3405
Serock;;;6500
Siedlce;;;40962
Siemianowice Śląskie;;;38701
Siemiatycze;;;8128
Sieniawa;;;2150
Sieradz;;;11359
Sieraków;;;3017
Sierpc;;;13000
Skalbmierz;;;2365
Skarszewy;;;3700
Skaryszew;;;3128
Skarżysko-Kamienna;;;19870
Skawina;;;4400
Skała (Podolska);;;5144
Skałat;;;7200
Skidel;;;4212
Skierniewice;;;21214
Skoczów;;;5213
Skoki;;;1870
Skole;;;7560
Skórcz;;;3375
Smorgonie;;;5000
Sochaczew;;;12984
Sokal;;;12135
Sokoły;;;2176
Sokołów (dziś Sokołów Małopolski);;;3650
Sokołów Podlaski;;;13543
Sokółka;;;7002
Solec Kujawski;;;4987
Sosnowiec;;;124536
Stanisławów (dziś Iwano-Frankiwsk);;;71218
Stara Sól;;;
Starogard (Gdański);;;15356
Starosielce;;;3399
Stary Sambor;;;4393
Stary Sącz;;;6000
Staszów ;;;9208
Stawiski;;;3153
Stawiszyn;;;2535
Stoczek (Łukowski);;;3583
Stolin;;;6328
Stołpce;;;6556
Strumień;;;2057
Stryj;;;34000
Stryków;;;4862
Strzelno;;;5996
Strzyżów;;;3060
Stęszew;;;3150
Sucha (Beskidzka);;;6250
Suchowola;;;X
Sulejów;;;7048
Sulmierzyce;;;2408
Supraśl;;;3017
Suraż;;;1460
Suwałki;;;23066
Swarzędz;;;6379
Świsłocz (Swisłocz);;;4188
Szadek;;;3150
Szamocin;;;2100
Szamotuły;;;9084
Szczakowa;;;5216
Szczekociny;;;6180
Szczerzec;;;1214
Szczuczyn (Białostocki);;;5668
Szczuczyn (Nowogródzki);;;3524
Szereszów;;;
Szubin;;;3437
Szydłowiec;;;10568
Sądowa Wisznia;;;5465
Sędziszów;;;2507
Sępolno;;;4481
Słomniki;;;6095
Słonim;;;18500
Słupca;;;6204
Tarnobrzeg;;;5791
Tarnopol;;;40000
Tarnowskie Góry;;;17549
Tarnów;;;54977
Tczew;;;25398
Terespol;;;2570
Tomaszów Lubelski;;;11200
Tomaszów Mazowiecki;;;45204
Toruń;;;81215
Trembowla;;;8005
Troki;;;3000
Trzebinia;;;6340
Trzemeszno;;;5447
Trzyniec;;;5900
Tuchola;;;6000
Tuchów;;;2986
Tuliszków;;;2800
Turek;;;9879
Turka;;;10145
Tuszyn;;;4551
Tyczyn;;;3115
Tykocin;;;3400
Tyśmienica;;;7833
Tłumacz;;;2570
Tłuste;;;3602
Uhnów;;;4282
Ujście;;;2167
Ulanów;;;
Uniejów;;;3951
Ustrzyki Dolne;;;4303
Uście Solne;;;
Uściług;;;5141
Wadowice;;;8400
Warka;;;6346
Warszawa;;;
Warta;;;4435
Wasilków;;;5574
Wejherowo;;;14566
Wieleń nad Notecią;;;4210
Wielichowo;;;1717
Wieliczka;;;11631
Wieluń;;;15535
Wieruszów;;;5800
Wierzbnik (dziś Starachowice);;;13206
Wilamowice;;;X
Wilejka;;;6322
Wilno;;;208770
Winniki;;;6400
Witkowo;;;2576
Więcbork;;;4350
Wiśnicz Nowy;;;
Wodzisław;;;5200
Wojnicz;;;
Wolbrom;;;9946
Wolsztyn;;;4880
Wołkowysk;;;17000
Wołomin;;;14757
Wołożyn;;;6806
Woźniki;;;2486
Wronki;;;6289
Września;;;9629
Wyrzysk;;;1898
Wysoka;;;1509
Wysokie Litewskie;;;3816
Wysokie Mazowieckie;;;4265
Wyszków;;;11496
Wyszogród;;;4787
Wyśmierzyce;;;X
Wąbrzeźno;;;9551
Wągrowiec;;;8945
Węgrów;;;10103
Władysławów;;;
Włocławek;;;66739
Włodawa;;;X
Włodzimierz (dziś Ukraina);;;X
Włoszczowa;;;X
Zabłotów;;;7000
Zabłudów;;;3850
Zagórów;;;4389
Zakopane;;;23000
Zakroczym;;;6412
Zaleszczyki;;;5965
Zambrów;;;7536
Zamość;;;28000
Zaniemyśl;;;
Załoźce;;;6795
Zator;;;2345
Zawichost;;;3613
Zawiercie;;;32872
Zbaraż;;;8976
Zborów;;;5335
Zbąszyń;;;5432
Zdołbunów;;;10228
Zduny;;;3437
Zduńska Wola;;;26154
Zdzięcioł;;;3801
Kalwaria Zebrzydowska;;;2154
Zgierz;;;28134
Zwoleń;;;9500
Złoczew;;;5289
Złoczów;;;14000
Łabiszyn;1834;2464;2750
Łapy;3495;6674;7250
Łasin;2197;2510;2541
Łask;4890;6502;7420
Łańcut;4518;7535;8572
Łobżenica;1904;2294;2506
Łohiszyn;;;
Łomża;22014;25065;27262
Łopatyn;;;3600
Łosice;3888;5026;5091
Łowicz;15807;17613;19000
Łuck;;;42553
Łuków;12571;13971;14865
Łuniniec;;;9300
Łódź;451974;605467;672000
Łęczna;3227;4030;4240
Łęczyca;10267;10553;10987
Ślesin;;;2804
Śmigiel;;;4207
Śniatyn;;;11000
Śrem;;;7652
Środa (Wielkopolska);;;10198
Świecie;;;8964
Święciany;;;6200
Święciechowa;;;29786
Świętochłowice;;;29786
Żabno;;;2753
Żelechów;;;8503
Żerków;;;1800
Żnin;;;5463
Żory;;;6200
Żurawno;;;4300
Żuromin;;;4212
Żychlin;;;8500
Żydaczów;;;4897
Żyrardów;;;27870
Żywiec;;;7281
Żółkiew;;;11000
