District,Roman Catholic,% Roman Catholic,Greek Catholic,% Greek Catholic,Evangelical,% Evangelical,Orthodox,% Orthodox,Mosaic (Jewish),% Mosaic (Jewish),Other Christian denominations,% Other Christian,Other or unknown,% Other
BRZESKI (BRZESKO),91627.0,0.952493321,56.0,0.000582139,16.0,0.000166325,15.0,0.00015593,4464.0,0.046404774,5.0,5.19767e-05,14.0,0.000145535
CHRZANOWSKI,105655.0,0.905603936,131.0,0.001122844,172.0,0.001474269,22.0,0.000188569,10652.0,0.091301814,7.0,5.99993e-05,29.0,0.000248569
DĄBROWSKI,58858.0,0.923740917,28.0,0.000439443,12.0,0.000188333,1.0,1.56944e-05,4815.0,0.07556853,1.0,1.56944e-05,2.0,3.13888e-05
GORLICKI,67244.61269463383,0.9350042143229202,20158.436508223378,0.27386207669295753,28.124336182844196,0.0003674091613200387,22.84325213713315,0.00029796763504423134,5220.429030231912,0.07138299927064,2.1243361828441976,3.4456061320038724e-05,9.686504274266296,0.0001349223263052718
JASIELSKI,91886.83182933275,1.2502435302502681,6857.482742021871,0.08057177357568249,22.41008971587416,0.00026671490553908624,39.82449949729082,0.000474838713901482,6015.4080430508475,0.08051121192737953,2.4165698141879117,3.220485988205204e-05,12.414409781416662,0.00014947480836239568
KRAKOWSKI,130774.0416651895,2.353435545692558,96.70316549707715,0.0017923573619094283,145.28164796425312,0.002592251513019848,85.63797475449638,0.0015138671637003544,2727.8943491890645,0.04985180524961129,4.0,7.04677e-05,12.409493688624096,0.00023739352045040415
KRAKÓW (MIASTO),136241.0,0.741625205,810.0,0.004409219,743.0,0.004044506,586.0,0.003189879,45229.0,0.246203172,22.0,0.000119757,75.0,0.000408261
LIMANOWSKI,75350.0,0.964467655,18.0,0.000230397,32.0,0.000409595,2.0,2.55997e-05,2710.0,0.034687556,11.0,0.000140798,3.0,3.83995e-05
MIELECKI,65498.34022545796,0.8992084047362162,58.692943201075614,0.0008057795004772075,713.2684792401901,0.009792263992359076,8.953160827282721,0.00012291496061082207,6172.706992587699,0.08474336932558378,4.973978237379289,6.82863545070738e-05,3.9791825899034317,5.4629103501571986e-05
MYŚLENICKI,96672.42336119388,1.2210939256211693,46.00099509774136,0.0006253306960133717,86.40206139702804,0.001246178483160601,3.6987671177598394,4.9751968698641814e-05,2719.520303330565,0.03580821024842498,1.3367418722562276,1.5059132398996144e-05,3.263990055888358,3.879151118468175e-05
NOWOSĄDECKI,122469.52735208877,1.199601728957242,20702.94755786555,0.2142845912494445,1417.2256333908008,0.010861561685291593,37.669225043100674,0.0003073885417891118,15027.464460902862,0.13103950110810206,10.2256333908009,0.00010402248529159258,22.338450086201348,0.0002095541948598932
NOWOTARSKI,104501.18328195607,2.020782718812432,1941.2767899882997,0.0249899123845941,86.03490454013622,0.0014406038205873586,42.20698090802725,0.0005376297537684263,3662.11074085663,0.054911863022331656,8.206980908027246,0.00010429275376842633,49.41396181605449,0.000723433517885898
ROPCZYCKI,97012.16817066727,1.487490775749732,80.51725797812935,0.0012246004243175231,0.5899102841258378,1.245719446091373e-05,3.175500502709176,5.1200986098518045e-05,6588.591956949153,0.09888058607262049,3.5834301858120887,5.1887140117947965e-05,2.5855902185833384,3.874379163760431e-05
