level,name,path,parent,is_leaf
3,Białoruski,Spis Powszechny 1931/Język ojczysty/Białoruski,Spis Powszechny 1931/Język ojczysty,True
3,Hebrajski,Spis Powszechny 1931/Język ojczysty/Hebrajski,Spis Powszechny 1931/Język ojczysty,True
3,Języki mniejszości razem (poza polskim),Spis Powszechny 1931/Język ojczysty/Języki mniejszości razem (poza polskim),Spis Powszechny 1931/Język ojczysty,True
3,Niemiecki,Spis Powszechny 1931/Język ojczysty/Niemiecki,Spis Powszechny 1931/Język ojczysty,True
3,Polski,Spis Powszechny 1931/Język ojczysty/Polski,Spis Powszechny 1931/Język ojczysty,True
3,Pozostałe,Spis Powszechny 1931/Język ojczysty/Pozostałe,Spis Powszechny 1931/Język ojczysty,True
3,Rosyjski,Spis Powszechny 1931/Język ojczysty/Rosyjski,Spis Powszechny 1931/Język ojczysty,True
3,Rusiński,Spis Powszechny 1931/Język ojczysty/Rusiński,Spis Powszechny 1931/Język ojczysty,True
3,Ukraiński,Spis Powszechny 1931/Język ojczysty/Ukraiński,Spis Powszechny 1931/Język ojczysty,True
3,Żydowski,Spis Powszechny 1931/Język ojczysty/Żydowski,Spis Powszechny 1931/Język ojczysty,True
3,Ogółem,Spis Powszechny 1931/Ludność/Ogółem,Spis Powszechny 1931/Ludność,True
3,00 Leśnictwo i łowiectwo,Spis Powszechny 1931/Ludność aktywna zawodowo/00 Leśnictwo i łowiectwo,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,08 Ogrodnictwo i pszczelarstwo,Spis Powszechny 1931/Ludność aktywna zawodowo/08 Ogrodnictwo i pszczelarstwo,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,"08-00 Dział B. Ogrodnictwo, rybactwo, leśnictwo - k","Spis Powszechny 1931/Ludność aktywna zawodowo/08-00 Dział B. Ogrodnictwo, rybactwo, leśnictwo - k",Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,"08-00 Dział B. Ogrodnictwo, rybactwo, leśnictwo - m","Spis Powszechny 1931/Ludność aktywna zawodowo/08-00 Dział B. Ogrodnictwo, rybactwo, leśnictwo - m",Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,"08-00 Dział B. Ogrodnictwo, rybactwo, leśnictwo - r","Spis Powszechny 1931/Ludność aktywna zawodowo/08-00 Dział B. Ogrodnictwo, rybactwo, leśnictwo - r",Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,09 Rybactwo,Spis Powszechny 1931/Ludność aktywna zawodowo/09 Rybactwo,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,1-2 Dział C. Górnictwo i przemysł - k,Spis Powszechny 1931/Ludność aktywna zawodowo/1-2 Dział C. Górnictwo i przemysł - k,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,1-2 Dział C. Górnictwo i przemysł - m,Spis Powszechny 1931/Ludność aktywna zawodowo/1-2 Dział C. Górnictwo i przemysł - m,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,1-2 Dział C. Górnictwo i przemysł - r,Spis Powszechny 1931/Ludność aktywna zawodowo/1-2 Dział C. Górnictwo i przemysł - r,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,1-2 Zakłady przemysłowe: I-V kategorii k,Spis Powszechny 1931/Ludność aktywna zawodowo/1-2 Zakłady przemysłowe: I-V kategorii k,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,1-2 Zakłady przemysłowe: I-V kategorii m,Spis Powszechny 1931/Ludność aktywna zawodowo/1-2 Zakłady przemysłowe: I-V kategorii m,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,1-2 Zakłady przemysłowe: I-V kategorii r,Spis Powszechny 1931/Ludność aktywna zawodowo/1-2 Zakłady przemysłowe: I-V kategorii r,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,1-2 Zakłady przemysłowe: niewiadomej kategorii k,Spis Powszechny 1931/Ludność aktywna zawodowo/1-2 Zakłady przemysłowe: niewiadomej kategorii k,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,1-2 Zakłady przemysłowe: niewiadomej kategorii m,Spis Powszechny 1931/Ludność aktywna zawodowo/1-2 Zakłady przemysłowe: niewiadomej kategorii m,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,1-2 Zakłady przemysłowe: niewiadomej kategorii r,Spis Powszechny 1931/Ludność aktywna zawodowo/1-2 Zakłady przemysłowe: niewiadomej kategorii r,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,1-2 Zakłady przemysłowe: VI-VII kategorii k,Spis Powszechny 1931/Ludność aktywna zawodowo/1-2 Zakłady przemysłowe: VI-VII kategorii k,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,1-2 Zakłady przemysłowe: VI-VII kategorii m,Spis Powszechny 1931/Ludność aktywna zawodowo/1-2 Zakłady przemysłowe: VI-VII kategorii m,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,1-2 Zakłady przemysłowe: VI-VII kategorii r,Spis Powszechny 1931/Ludność aktywna zawodowo/1-2 Zakłady przemysłowe: VI-VII kategorii r,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,1-2 Zakłady przemysłowe: VIII kategorii k,Spis Powszechny 1931/Ludność aktywna zawodowo/1-2 Zakłady przemysłowe: VIII kategorii k,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,1-2 Zakłady przemysłowe: VIII kategorii m,Spis Powszechny 1931/Ludność aktywna zawodowo/1-2 Zakłady przemysłowe: VIII kategorii m,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,1-2 Zakłady przemysłowe: VIII kategorii r,Spis Powszechny 1931/Ludność aktywna zawodowo/1-2 Zakłady przemysłowe: VIII kategorii r,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,10 Górnictwo,Spis Powszechny 1931/Ludność aktywna zawodowo/10 Górnictwo,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,101 Górnictwo nie wydzielone,Spis Powszechny 1931/Ludność aktywna zawodowo/101 Górnictwo nie wydzielone,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,102 Kopalnie węgla kamiennego,Spis Powszechny 1931/Ludność aktywna zawodowo/102 Kopalnie węgla kamiennego,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,103 Kopalnie rudy żelaznej,Spis Powszechny 1931/Ludność aktywna zawodowo/103 Kopalnie rudy żelaznej,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,104 Kopalnie rudy cynkowej i ołowianej,Spis Powszechny 1931/Ludność aktywna zawodowo/104 Kopalnie rudy cynkowej i ołowianej,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,105 Kopalnie soli kamiennej i warzelnie soli,Spis Powszechny 1931/Ludność aktywna zawodowo/105 Kopalnie soli kamiennej i warzelnie soli,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,106 Kopalnie ropy naftowej i gazu ziemnego,Spis Powszechny 1931/Ludność aktywna zawodowo/106 Kopalnie ropy naftowej i gazu ziemnego,Spis Powszechny 1931/Ludność aktywna zawodowo,True
