District,Polish,% Polish,Belarusian,% Belarusian,Ruthenian,% Ruthenian,Local (Tutejszy),% Local (Tutejszy),German,% German,Jewish,% Jewish,Other and unknown: total,% Other: total,Minorities total (excluding Polish nationality),% Minorities total
TURCZAŃSKI,25668.82541795667,0.3693075590500069,0.0,0.0,75182.36839448879,1.0861706023978879,0.0,0.0,29.124851870013536,0.00040149106104919095,3965.2299599921876,0.05917752497579769,39.218490772523694,0.0005493052357377051,79215.94169712352,1.1462989247016855
BRZEZIŃSKI,97934.0,0.780170319,26.0,0.000207123,11.0,8.76292e-05,0.0,0.0,9149.0,0.072883557,18325.0,0.145982203,84.0,0.000669168,27595.0,0.219829681
KALISKI,158716.0,0.880190772,9.0,4.99113e-05,430.0,0.00238465,0.0,0.0,5470.0,0.03033496,15478.0,0.085836291,217.0,0.001203416,21604.0,0.119809228
KOLSKI,100293.0,0.868277522,4.0,3.46296e-05,7.0,6.06019e-05,0.0,0.0,6515.0,0.05640302,8655.0,0.074929875,34.0,0.000294352,15215.0,0.131722478
KONIŃSKI,173353.0,1.8053931269999999,1.0,1.07703e-05,262.0,0.0028197857,0.0,0.0,12649.0,0.132856562,5551.0,0.057811207,105.0,0.001108549,18568.0,0.194606873
ŁASKI,131340.0,0.879092929,1.0,6.69326e-06,10.0,6.69326e-05,0.0,0.0,5999.0,0.040152874,10433.0,0.069830794,1621.0,0.010849776,18064.0,0.120907071
ŁĘCZYCKI,108089.0,0.88292137,34.0,0.000277728,1.0,8.16847e-06,0.0,0.0,3825.0,0.031244384,10430.0,0.085197105,43.0,0.000351244,14333.0,0.11707863
ŁÓDZKI,84151.0,0.767562982,2.0,1.82425e-05,11.0,0.000100334,0.0,0.0,17002.0,0.155079629,8370.0,0.076344929,98.0,0.000893883,25483.0,0.232437018
ŁÓDŹ (MIASTO),279846.0,0.619163934,23.0,5.08879e-05,61.0,0.000134964,0.0,0.0,31698.0,0.070132353,138851.0,0.307210149,1495.0,0.003307712,172128.0,0.380836066
PIOTRKOWSKI,171999.0,0.871830094,4.0,2.02752e-05,30.0,0.000152064,0.0,0.0,6335.0,0.032110906,18656.0,0.094563702,261.0,0.001322959,25286.0,0.128169906
RADOMSZCZAŃSKI,158963.0,0.935918798,0.0,0.0,10.0,5.88765e-05,0.0,0.0,442.0,0.002602342,10252.0,0.060360207,180.0,0.001059777,10884.0,0.064081202
SIERADZKI,139091.0,0.894907512,2.0,1.28679e-05,8.0,5.14718e-05,0.0,0.0,2383.0,0.015332154,13872.0,0.089252051,69.0,0.000443944,16334.0,0.105092488
TURECKI,97675.0,0.956294853,0.0,0.0,0.0,0.0,0.0,0.0,1967.0,0.01925807,2486.0,0.024339381,11.0,0.000107696,4464.0,0.043705147
WIELUŃSKI,172179.0,0.949371695,0.0,0.0,5.0,2.75693e-05,0.0,0.0,50.0,0.000275693,9078.0,0.050054863,49.0,0.000270179,9182.0,0.050628305
POŁUDNIOWO-WARSZAWSKI,55222.73273693749,0.30404808109594933,12.61711669157283,6.946779848487705e-05,27.62125545992971,0.00015207854052452706,0.0,0.0,678.9372792681488,0.003738126699707433,5696.798687822046,0.031365719021244694,295.99073752122206,0.0016296806703818513,6711.965076762919,0.03695507273034339
