destination_id,destination_name,destination_type,destination_lon,destination_lat,destination_nearest_station,destination_connector_distance_m,destination_connector_time_min,time_min,rail_km,horse_km,total_km
City:Monasterzyska,Monasterzyska,City,25.116667,49.066667,Buczacz,18808.547047305325,282.12820570957985,2175.62567363978,492.58367705261253,20.336983208235324,512.9206602608479
City:Mordy,Mordy,City,22.515278,52.211111,Siedlce,17491.90413441995,262.3785620162992,512.7966200445976,59.9060991117784,19.02034029534995,78.92643940712834
City:Mosina,Mosina,City,16.845,52.246667,Osowa Góra,1877.2036199286304,28.158054298929454,1696.05432530822,433.1753618634397,3.405639780858632,436.5810016442984
City:Mosty Wielkie,Mosty Wielkie,City,24.145833,50.239167,Krystynopol,18475.63020108953,277.13445301634295,1516.9915817326946,320.4583877262991,20.00406636201953,340.4624540883186
City:Mołodeczno,Mołodeczno,City,26.8,54.3,Mołodeczno,2661.274122481499,39.91911183722248,1817.56224213073,462.07536814161693,4.1897102834115,466.26507842502843
City:Mościska,Mościska,City,23.15,49.783333,Medyka,14886.732685406394,223.3009902810959,1341.8571728135241,288.5158052311993,16.415168846336393,304.93097407753567
City:Mrocza,Mrocza,City,17.606111,53.244444,Suchary,6685.058153430345,100.27587230145517,1756.5295695932373,430.10948411782914,8.213494314360345,438.3229784321894
City:Mszczonów,Mszczonów,City,20.5125,51.974444,Żyrardów,9712.803500102913,145.6920525015437,1091.2628361906345,242.9629835357871,11.241239661032914,254.20422319682
City:Murowana Goślina,Murowana Goślina,City,17.008928,52.574172,Sława Wielkopolska,11649.25854438654,174.7388781657981,1795.15138013077,420.67130268176925,13.17769470531654,433.84899738708583
City:Muszyna,Muszyna,City,20.9,49.358333,Muszyna,337.3114737027871,5.059672105541806,1449.469033540097,374.32380900875944,1.8657476346327881,376.1895566433922
City:Mysłowice,Mysłowice,City,19.136667,50.241389,Mysłowice,927.1282499169098,13.906923748753647,1123.7649469463631,286.225289939697,2.455564410846911,288.68085435054394
City:Myślenice,Myślenice,City,19.940556,49.833333,Skawina,17733.291182896744,265.99936774345116,1550.180323314256,332.1303287979718,19.261727343826745,351.3920561417985
City:Mława,Mława,City,20.3575,53.127222,Mława,855.229967927068,12.828449518906018,941.4567086568344,238.50145207064764,2.383666128857069,240.88511819950472
City:Nadwórna,Nadwórna,City,24.568333,48.634722,Delatyn,14462.678488649031,216.94017732973546,2079.2878639050773,484.3809012958332,15.991114649579032,500.3720159454123
City:Nakło (nad Notecią),Nakło (nad Notecią),City,17.599444,53.138889,Nakło nad Notecią,37.14428580722888,0.5571642871084332,1632.3927984955703,423.67939417255485,1.56558044673723,425.24497461929207
City:Narew,Narew,City,23.519167,52.913611,Hajnówka,20539.485450833377,308.09228176250065,986.9353697925061,172.7246903455613,22.067921611763378,194.79261195732468
City:Nasielsk,Nasielsk,City,20.804167,52.589722,Nasielsk,684.4431579977933,10.266647369966899,680.3181281432992,170.40956710130405,2.2128793189277944,172.62244642023182
City:Niemirów (dziś Ukraina),Niemirów (dziś Ukraina),City,23.44,50.103056,Jaworów,15864.365774488733,237.96548661733098,1646.4321077967422,364.85888740823816,17.392801935418735,382.2516893436569
City:Niepołomice,Niepołomice,City,20.217222,50.033889,Niepołomice,86.06228031234849,1.2909342046852275,1341.882343637733,346.98508164836244,1.6144984412423495,348.5995800896048
City:Nieszawa,Nieszawa,City,18.901389,52.836667,Nieszawa Waganiec,4279.115938452637,64.18673907678956,1317.5276326397213,324.00911246923187,5.807552099382638,329.8166645686145
City:Nieśwież,Nieśwież,City,26.666667,53.216667,Stołpce,30208.137681061013,453.1220652159152,1948.8469820025327,387.83690525146915,31.736573841991014,419.5734790934602
City:Nisko,Nisko,City,22.141667,50.519444,Rozwadów,10935.959716846091,164.03939575269135,813.5562694148899,165.00212056203878,12.464395877776093,177.46651643981488
City:Niżankowice (dziś Ukraina),Niżankowice (dziś Ukraina),City,22.805833,49.680278,Malhowice,2755.728592802988,41.33592889204481,1152.6480705444917,286.60820779947085,4.284164753732989,290.8923725532038
City:Nowa Wilejka,Nowa Wilejka,City,25.416667,54.7,Nowa Wilejka,1062.2547397833966,15.93382109675095,2179.6144768054683,563.7319165009555,2.5906909007133976,566.3226074016691
City:Nowe,Nowe,City,18.729167,53.646111,Świecie nad Wisłą,125.94897017052467,1.88923455255787,1542.4796375149663,399.65148327776063,1.6543851311005258,401.30586840886116
City:Nowe Miasto (nad Pilicą),Nowe Miasto (nad Pilicą),City,20.578889,51.616667,Nowe Miasto nad Pilicą,653.2867328774224,9.799300993161335,1413.1952874933527,362.70205088536125,2.38971514461307,365.09176602997434
City:Nowe Miasto nad Wartą,Nowe Miasto nad Wartą,City,17.403611,52.088056,Mieszków,7721.985363501967,115.8297804525295,2017.7593983413215,494.8041432083752,9.250421524431967,504.05456473280714
City:Nowemiasto (Nowe Miasto Lubawskie),Nowemiasto (Nowe Miasto Lubawskie),City,19.587778,53.425556,Nowe Miasto Lubawskie,649.4427159430718,9.741640739146076,1182.5928326016863,302.81349102146214,2.177878876873073,304.99136989833517
City:Nowo-Święciany (Nowe Święciany),Nowo-Święciany (Nowe Święciany),City,26.0,55.166667,Święciany,550.9596227646152,8.26439434146923,1968.8311065537848,510.24524471356966,2.0793957836946166,512.3246404972642
City:Nowogród,Nowogród,City,21.880556,53.227778,Nowogród,61.18880441275768,0.9178320661913653,878.744507878469,225.12370179489295,1.5896249653427588,226.7133267602357
City:Nowogródek,Nowogródek,City,25.816667,53.583333,Nowogródek,957.9687930663406,14.369531895995108,1537.7142271222247,392.5403640447739,3.1369744550410013,395.67733849981494
City:Nowy Dwór (Mazowiecki),Nowy Dwór (Mazowiecki),City,20.715833,52.430278,Nowy Dwór Mazowiecki,1193.4894218110712,17.90234132716607,616.1468969560124,151.5004101465894,2.7219255827410724,154.22233572933047
City:Nowy Dwór (nad Biebrzą),Nowy Dwór (nad Biebrzą),City,23.542778,53.6325,Bielany Białostockie,3285.169414151359,49.277541212270386,1208.0833676315856,299.11487812141286,4.81360557508136,303.92848369649425
City:Nowy Sącz,Nowy Sącz,City,20.695556,49.625,Nowy Sącz,2152.4457400745105,32.28668610111766,1358.275008474592,343.1396020560081,3.6808819010045117,346.8204839570126
City:Nowy Targ,Nowy Targ,City,20.03,49.477778,Nowy Targ,451.5748429776901,6.773622644665351,1485.5222079627433,383.36647129808705,1.9800110039076912,385.34648230199474
City:Nowy Tomyśl,Nowy Tomyśl,City,16.121667,52.317222,Nowy Tomyśl,1651.1553601942455,24.767330402913682,1830.5523690315254,469.4860706698609,3.1795915211242463,472.6656621909852
City:Oborniki,Oborniki,City,16.814167,52.644722,Oborniki Wielkopolskie,297.4472819340429,4.461709229010643,1708.4313622925508,442.67468580439214,1.8258834428640438,444.5005692472562
City:Obrzycko,Obrzycko,City,16.529167,52.706389,Jaryszewo Obornickie,4552.048704670402,68.28073057005602,1832.1360944482633,458.4445896522545,6.080484865600403,464.5250745178549
City:Odelsk,Odelsk,City,23.7625,53.405556,Kuźnica Białostocka,14242.955512619677,213.64433268929514,1245.2722175883723,265.6246868544168,15.77139167354968,281.39607852796644
City:Odolanów,Odolanów,City,17.673889,51.574444,Odolanów,36.19138470278737,0.5428707705418104,1495.8117511933938,387.7168156756775,1.5646275456327885,389.28144322131027
City:Olesko,Olesko,City,24.883333,49.95,Złoczów,16094.201547888715,241.41302321833072,1723.722367585679,384.30413784772827,17.622637708818715,401.926775556547
City:Olkusz,Olkusz,City,19.559722,50.279167,Olkusz,39.603891879844426,0.5940583781976663,959.3371092605661,246.4316805633502,1.5680400528098455,247.99972061616006
City:Opalenica,Opalenica,City,16.409444,52.309167,Opalenica,947.7235643768723,14.215853465653085,1751.974435400558,451.5724370738515,2.4761597253068737,454.04859679915836
