District,year,scenario,ma_total,ma_total_no_self,ma_domestic,ma_domestic_no_self,ma_domestic_inter,ma_domestic_self,ma_foreign
IWACEWICKI,1924,fixed14,333356153.53434503,333355957.72852504,223.0549953781765,27.24917538040266,27.24917538040266,195.80581999777382,333355930.4793497
IŁŻECKI,1924,fixed14,383662778.84540504,383662040.36345685,784.9589285512876,46.476980352930376,46.476980352930376,738.4819481983573,383661993.8864765
JANOWSKI,1924,fixed14,372292777.0519623,372292322.14528394,520.1882278393617,65.28154945264986,65.28154945264986,454.9066783867119,372292256.8637345
JAROCIŃSKI,1924,fixed14,457267556.2813397,457266315.7719444,1404.6529010005693,164.1435056930678,164.1435056930678,1240.5093953075016,457266151.6284387
JAROSŁAWSKI,1924,fixed14,381111807.2754802,381111074.0688873,827.3066118480634,94.10001893320647,94.10001893320647,733.206592914857,381110979.9688684
JASIELSKI,1924,fixed14,376360809.1167088,376359838.9812338,1059.221407217555,89.08593220368643,89.08593220368643,970.1354750138686,376359749.8953016
JAWOROWSKI,1924,fixed14,355831046.2661225,355830442.6343864,699.3929750857693,95.76123900628072,95.76123900628072,603.6317360794886,355830346.8731474
JĘDRZEJOWSKI,1924,fixed14,411102961.29656154,411102198.45303756,872.0473227511122,109.20379879175044,109.20379879175044,762.8435239593617,411102089.2492388
KALISKI,1924,fixed14,433136670.5586978,433134725.75934666,2010.4452713498983,65.64592021118364,65.64592021118364,1944.7993511387147,433134660.11342645
KAMIONECKI,1924,fixed14,355598814.2622597,355598319.73393756,580.5187544697785,85.99043233106745,85.99043233106745,494.528322138711,355598233.74350524
KARTUSKI,1924,fixed14,374693954.601065,374693503.9814522,477.89962820723537,27.280015498008346,27.280015498008346,450.619612709227,374693476.70143676
KATOWICE,1924,fixed14,436967949.92469686,436887825.7966168,80999.51278852487,875.3847084627575,875.3847084627575,80124.1280800621,436886950.4119083
KAŁUSKI,1924,fixed14,348614025.1570438,348613541.1893066,509.0988639117014,25.131126680749816,25.131126680749816,483.9677372309516,348613516.0581799
KIELECKI,1924,fixed14,407984838.72255445,407984042.38249236,896.6883580169313,100.34829593572627,100.34829593572627,796.340062081205,407983942.03419644
KOBRYŃSKI,1924,fixed14,351816797.87774515,351816604.6750365,237.95578509532402,44.75307642347624,44.75307642347624,193.20270867184777,351816559.92196006
KOLBUSZOWSKI,1924,fixed14,363163678.1984799,363162974.5485519,727.4106155554805,23.76068760956371,23.76068760956371,703.6499279459168,363162950.7878643
KOLSKI,1924,fixed14,437163759.60919875,437162353.6901176,1551.0873900001081,145.1683088744068,145.1683088744068,1405.9190811257013,437162208.52180874
KONECKI,1924,fixed14,409606789.9642238,409606056.3888211,859.1664959748834,125.5910933203931,125.5910933203931,733.5754026544903,409605930.7977278
KONIŃSKI,1924,fixed14,438098914.8732124,438097947.31266433,1046.996511261759,79.43596321665292,79.43596321665292,967.560548045106,438097867.8767011
KOPYCZYNIECKI,1924,fixed14,345961852.4366572,345961172.67909575,726.8127786322611,47.0552171909096,47.0552171909096,679.7575614413515,345961125.62387854
KOSOWSKI (KOSÓW HUCULSKI),1924,fixed14,334017903.4321442,334017646.9322775,268.1182400448613,11.618373336250206,11.618373336250206,256.4998667086111,334017635.31390417
KOSTOPOLSKI,1924,fixed14,322709222.8924042,322709060.8020117,180.86069335778026,18.770300843938543,18.770300843938543,162.09039251384172,322709042.03171086
KOSZYRSKI,1924,fixed14,321588562.9387216,321588452.8591473,124.85625718882244,14.776682915205498,14.776682915205498,110.07957427361694,321588438.0824644
KOWELSKI,1924,fixed14,348958178.5219888,348958058.8117947,154.47073599076862,34.760541841508065,34.760541841508065,119.71019414926056,348958024.05125284
KOZIENICKI,1924,fixed14,384823553.8857279,384823102.50990623,549.252668758017,97.87684708780411,97.87684708780411,451.3758216702129,384823004.63305914
KOŁOMYJSKI,1924,fixed14,366914931.6744727,366914194.82149416,786.6906268346072,49.837648344700206,49.837648344700206,736.852978489907,366914144.98384583
KOŚCIAŃSKI,1924,fixed14,489962544.8154181,489961224.95980626,1597.3667039506186,277.5110920623674,277.5110920623674,1319.8556118882511,489960947.4487142
KOŚCIERSKI,1924,fixed14,385464674.9207128,385464148.8370715,560.3775464503049,34.29390509480585,34.29390509480585,526.083641355499,385464114.5431664
KRAKOWSKI,1924,fixed14,407263434.65200627,407261759.4048813,2530.1815742939593,854.9344493230684,854.9344493230684,1675.2471249708908,407260904.470432
KRAKÓW (MIASTO),1924,fixed14,407575988.41138995,407191827.7634873,384459.3876575519,298.7397548641098,298.7397548641098,384160.6479026878,407191529.0237324
KRASNOSTAWSKI,1924,fixed14,362131812.0925512,362131032.52976644,833.6060842112809,54.04329951188323,54.04329951188323,779.5627846993976,362130978.48646694
KROTOSZYŃSKI,1924,fixed14,450902541.0310587,450900848.9147352,1808.9451113184573,116.82878782347217,116.82878782347217,1692.1163234949852,450900732.0859474
KROŚNIEŃSKI,1924,fixed14,373237628.47342306,373236354.1116037,1348.1092378945648,73.74741854264957,73.74741854264957,1274.3618193519153,373236280.36418515
KRZEMIENIECKI,1924,fixed14,323400887.1542306,323400554.40616274,347.5815854508578,14.833517587556246,14.833517587556246,332.74806786330157,323400539.5726451
KUTNOWSKI,1924,fixed14,431833814.4281994,431830735.25660205,3330.931419590618,251.75982224265806,251.75982224265806,3079.17159734796,431830483.4967798
KĘPIŃSKI,1924,fixed14,427778369.3788093,427777531.32943857,889.203488195877,51.154117494363184,51.154117494363184,838.0493707015138,427777480.1753211
LESKI,1924,fixed14,348440011.8152395,348439586.3886328,449.99262879429494,24.56602212062209,24.56602212062209,425.42660667367284,348439561.8226107
LESZCZYŃSKI,1924,fixed14,490854780.2631429,490853028.3961162,1942.102676302702,190.23564966311994,190.23564966311994,1751.8670266395823,490852838.16046655
LIDZKI,1924,fixed14,325948820.6911545,325948638.447992,213.41508771972516,31.171925221914382,31.171925221914382,182.24316249781077,325948607.2760668
LIMANOWSKI,1924,fixed14,378336589.9261877,378335936.7874675,717.5155946981735,64.3768745246321,64.3768745246321,653.1387201735414,378335872.410593
LIPNOWSKI,1924,fixed14,357054815.02635443,357054004.5075247,871.6007185829933,61.081888853072535,61.081888853072535,810.5188297299208,357053943.4256359
LUBACZOWSKI,1924,fixed14,351883291.8129109,351882682.58091605,646.5250440667982,37.29304923493201,37.29304923493201,609.2319948318661,351882645.28786683
LUBARTOWSKI,1924,fixed14,375305923.67956644,375305376.0771331,680.0141811898723,132.41174787100857,132.41174787100857,547.6024333188637,375305243.66538525
LUBAWSKI,1924,fixed14,393874640.8488885,393873809.90357757,874.0073404368743,43.06202945692558,43.06202945692558,830.9453109799488,393873766.8415481
LUBELSKI,1924,fixed14,380363200.13508654,380361525.4742582,1771.9458547738475,97.28502643306054,97.28502643306054,1674.660828340787,380361428.18923175
LUBLINIECKI,1924,fixed14,405125020.2337986,405123772.73748904,1301.9240987491273,54.42778914946371,54.42778914946371,1247.4963095996636,405123718.3096999
LUBOMELSKI,1924,fixed14,350225675.2845133,350225478.97699034,231.7570161406426,35.4494931945807,35.4494931945807,196.3075229460619,350225443.5274972
LWOWSKI,1924,fixed14,366514315.1785961,366513335.3257761,1672.4608460190357,692.6080260334144,692.6080260334144,979.8528199856212,366512642.7177501
LWÓW (MIASTO),1924,fixed14,373966131.51185036,373788206.05302274,178222.71757304357,297.25874544266946,297.25874544266946,177925.4588276009,373787908.7942773
M. ST. WARSZAWA,1924,fixed14,408618113.07987785,408037471.1724553,581260.8037062103,618.8962837062768,618.8962837062768,580641.907422504,408036852.2761716
MAKOWSKI (MAKÓW MAZOWIECKI),1924,fixed14,366428872.0304102,366428269.0328543,639.445077954002,36.447522093334825,36.447522093334825,602.9975558606673,366428232.5853322
MIECHOWSKI,1924,fixed14,397316446.8352671,397315550.72870415,955.5845555924484,59.47799260934794,59.47799260934794,896.1065629831005,397315491.25071156
MIELECKI,1924,fixed14,391822216.2930119,391821620.03549445,681.6400021099616,85.3824846538925,85.3824846538925,596.2575174560691,391821534.6530098
MIĘDZYCHODZKI,1924,fixed14,482450892.8049546,482449961.6169077,993.9561208245342,62.76807398933754,62.76807398933754,931.1880468351967,482449898.84883374
MIŃSKI,1924,fixed14,391881165.81644994,391880151.1536122,1374.7518029874986,360.08896523961573,360.08896523961573,1014.6628377478828,391879791.06464696
MOGILEŃSKI,1924,fixed14,438206857.69892687,438205748.96961486,1228.1900634970316,119.46075149833966,119.46075149833966,1108.7293119986919,438205629.5088634
MORSKI,1924,fixed14,361623878.787798,361622799.38754594,1095.0139208144099,15.613668790104171,15.613668790104171,1079.4002520243057,361622783.77387714
MOŁODECZAŃSKI,1924,fixed14,305029185.934774,305028806.864294,394.3566234608029,15.286143461390548,15.286143461390548,379.0704799994123,305028791.5781505
MOŚCISKI,1924,fixed14,361477271.1434718,361476459.6243925,855.7058931187771,44.18681381029902,44.18681381029902,811.5190793084781,361476415.4375787
MYŚLENICKI,1924,fixed14,375175733.7185986,375174842.64710754,940.4504105077792,49.37891940780844,49.37891940780844,891.0714910999708,375174793.2681881
MŁAWSKI,1924,fixed14,387542951.4304723,387542133.91621304,900.8263021092439,83.31204281971232,83.31204281971232,817.5142592895315,387542050.6041702
NADWÓRNIAŃSKI,1924,fixed14,356236207.8754454,356235842.85259926,398.76899902031346,33.74615289508365,33.74615289508365,365.0228461252298,356235809.1064464
NIESZAWSKI,1924,fixed14,429188701.85814536,429187587.1906178,1251.5503526355021,136.88282507716164,136.88282507716164,1114.6675275583405,429187450.3077927
NIEŚWIESKI,1924,fixed14,305644612.2372198,305644136.0901049,488.02357949412976,11.87646455857869,11.87646455857869,476.1471149355511,305644124.21364033
NIŻAŃSKI,1924,fixed14,374742493.598236,374741865.6735822,661.3763895861139,33.45173571702483,33.45173571702483,627.9246538690891,374741832.22184646
NOWOGRÓDZKI,1924,fixed14,321418593.97691643,321418314.38392836,309.89213674557317,30.29914866724313,30.29914866724313,279.59298807833005,321418284.0847797
NOWOSĄDECKI,1924,fixed14,378014354.92179894,378013518.2839848,906.6686266955192,70.0308124766871,70.0308124766871,836.6378142188321,378013448.2531723
NOWOTARSKI,1924,fixed14,387391324.46484876,387390716.3840037,690.9556490215837,82.87480397646044,82.87480397646044,608.0808450451233,387390633.50919974
