District,year,scenario,ma_total,ma_domestic,ma_foreign
CIECHANOWSKI,1924,fixed14,261594850.97993553,1530.7100816918019,261593320.26985383
CIESZYŃSKI,1924,fixed14,277281680.35961854,3966.831246134916,277277713.5283724
CZARNKOWSKI,1924,fixed14,306862147.53911555,886.9630130610286,306861260.5761025
CZORTKOWSKI,1924,fixed14,191487400.2903201,1131.7962755886613,191486268.4940445
CZĘSTOCHOWSKI,1924,fixed14,288756792.8933298,2060.1573738852017,288754732.7359559
DOBROMILSKI,1924,fixed14,221170805.78713685,772.1072801451921,221170033.67985672
DOLIŃSKI,1924,fixed14,205531702.69132948,369.2930135299533,205531333.39831594
DROHICKI,1924,fixed14,206232387.982584,250.53572388274347,206232137.4468601
DROHOBYCKI,1924,fixed14,217087856.33559042,1783.650760290212,217086072.68483013
DUBIEŃSKI,1924,fixed14,195062354.00455108,367.45922225941706,195061986.54532883
DZIAŁDOWSKI,1924,fixed14,258759072.1209403,509.60541261545444,258758562.5155277
DZIŚNIEŃSKI,1924,fixed14,174172208.1722074,216.9560948069897,174171991.21611258
DĄBROWSKI,1924,fixed14,250797518.56424037,782.9833737766794,250796735.58086658
GARWOLIŃSKI,1924,fixed14,246932458.8033342,610.7787608924102,246931848.02457333
GNIEŹNIEŃSKI,1924,fixed14,319291438.26281047,1884.3638174606986,319289553.898993
GORLICKI,1924,fixed14,237885774.1206777,899.3620942823744,237884874.75858343
GOSTYNIŃSKI,1924,fixed14,279303530.1010158,1371.8965370703338,279302158.20447874
GOSTYŃSKI,1924,fixed14,340115138.36632717,1682.5598422160438,340113455.80648494
GRODZIEŃSKI,1924,fixed14,207277885.19035867,297.96644944351,207277587.22390923
GRUDZIĄDZKI,1924,fixed14,284595805.33819705,2202.6749454034493,284593602.66325164
GRÓDECKI,1924,fixed14,213005446.05852965,955.2651826583328,213004490.793347
GRÓJECKI,1924,fixed14,251640974.25223404,1400.3531273014635,251639573.89910674
HOROCHOWSKI,1924,fixed14,195744034.85510176,882.9465685495251,195743151.90853322
HORODEŃSKI,1924,fixed14,186569521.99119368,765.5100362089853,186568756.48115748
HRUBIESZOWSKI,1924,fixed14,213799016.97574282,714.3341606351894,213798302.6415822
INOWROCŁAWSKI,1924,fixed14,302907240.59301144,1842.5867965843659,302905398.00621486
IWACEWICKI,1924,fixed14,203987787.75752997,221.8715194404145,203987565.88601053
IŁŻECKI,1924,fixed14,251410112.86834234,784.4839616729015,251409328.38438067
JANOWSKI,1924,fixed14,235996625.20969066,519.76628390553,235996105.44340676
JAROCIŃSKI,1924,fixed14,326465669.93838114,1399.1530826433418,326464270.78529847
JAROSŁAWSKI,1924,fixed14,237129960.70034415,826.8414282658567,237129133.85891587
JASIELSKI,1924,fixed14,237289798.34597284,1055.909049317739,237288742.4369235
JAWOROWSKI,1924,fixed14,208726408.6214853,699.1639588149538,208725709.45752648
JĘDRZEJOWSKI,1924,fixed14,280898906.01278305,869.3735430416824,280898036.63924
KALISKI,1924,fixed14,305009054.8554295,2009.2047227777614,305007045.6507067
KAMIONECKI,1924,fixed14,208049702.28363416,580.1416664534544,208049122.1419677
KARTUSKI,1924,fixed14,258821905.42589307,477.26727946384915,258821428.1586136
KATOWICE,1924,fixed14,309397331.6598852,80873.07326884373,309316458.5866164
KAŁUSKI,1924,fixed14,198480546.65913096,509.03018514608027,198480037.62894583
KIELECKI,1924,fixed14,275693700.86987495,895.0352998966467,275692805.83457506
KOBRYŃSKI,1924,fixed14,217094345.16432312,237.55985659577487,217094107.60446653
KOLBUSZOWSKI,1924,fixed14,233565403.40072644,727.1950764132606,233564676.20565003
KOLSKI,1924,fixed14,300415243.4486176,1537.0497246717234,300413706.3988929
KONECKI,1924,fixed14,276005225.3119196,856.5207118362565,276004368.7912078
