Region;District;Indirect Occupation - Total;Indirect Occupation - A. Agriculture;Indirect Occupation - Excluding Agriculture - Total;Indirect Occupation  - Horticulture;Indirect Occupation - B. Mining and industry;Indirect Occupation - C. Trade and insurance;Indirect Occupation - D. Transport and communication;Indirect Occupation - E. Public service, liberal professions;Indirect Occupation - Schooling, Education, and Culture;Indirect Occupation - Public Hygiene and Sanitation;Indirect Occupation - G. Domestic service;Indirect Occupation - N. Not further specified
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);215927;145142;70785;988;25406;11957;11181;5784;2082;1679;1868;9840
POLESKIE;DROHICKI;97040;86612;10428;309;4409;2009;820;975;377;190;374;965
POLESKIE;IWACEWICKI;83696;71291;12405;957;5874;1885;999;1021;326;264;396;683
POLESKIE;KOBRYŃSKI;113972;96955;17017;583;6490;3341;1406;1312;650;367;604;2264
POLESKIE;KOSZYRSKI;94988;88144;6844;356;2929;1449;359;860;258;94;214;325
POLESKIE;PIŃSKI;184305;143027;41278;1261;17794;7838;3203;3190;1188;969;1150;4685
POLESKIE;PRUŻAŃSKI;108583;91797;16786;487;6789;3114;1198;1475;607;342;508;2266
POLESKIE;STOLIŃSKI;124765;104076;20689;1761;9512;3814;1071;2149;538;276;394;1174
POLESKIE;ŁUNINIECKI;108663;85089;23574;1112;9745;3265;2816;3289;598;326;523;1900
POMORSKIE;BRODNICKI;;;;;;;;;;;;
POMORSKIE;CHEŁMIŃSKI;;;;;;;;;;;;
POMORSKIE;CHOJNICKI;;;;;;;;;;;;
POMORSKIE;DZIAŁDOWSKI;;;;;;;;;;;;
POMORSKIE;GDYNIA (MIASTO);;;;;;;;;;;;
POMORSKIE;GRUDZIĄDZ (MIASTO);;;;;;;;;;;;
POMORSKIE;GRUDZIĄDZKI;;;;;;;;;;;;
POMORSKIE;KARTUSKI;;;;;;;;;;;;
POMORSKIE;KOŚCIERSKI;;;;;;;;;;;;
POMORSKIE;LUBAWSKI;;;;;;;;;;;;
POMORSKIE;MORSKI;;;;;;;;;;;;
POMORSKIE;STAROGARDZKI;;;;;;;;;;;;
POMORSKIE;SĘPOLEŃSKI;;;;;;;;;;;;
POMORSKIE;TCZEWSKI;;;;;;;;;;;;
POMORSKIE;TORUŃ (MIASTO);;;;;;;;;;;;
POMORSKIE;TORUŃSKI;;;;;;;;;;;;
POMORSKIE;TUCHOLSKI;;;;;;;;;;;;
POMORSKIE;WĄBRZESKI;;;;;;;;;;;;
POMORSKIE;ŚWIECKI;;;;;;;;;;;;
POZNAŃSKIE;BYDGOSKI;;;;;;;;;;;;
POZNAŃSKIE;BYDGOSZCZ (MIASTO);;;;;;;;;;;;
POZNAŃSKIE;CHODZIESKI;;;;;;;;;;;;
POZNAŃSKIE;CZARNKOWSKI;;;;;;;;;;;;
POZNAŃSKIE;GNIEZNO (MIASTO);;;;;;;;;;;;
POZNAŃSKIE;GNIEŹNIEŃSKI;;;;;;;;;;;;
POZNAŃSKIE;GOSTYŃSKI;;;;;;;;;;;;
POZNAŃSKIE;INOWROCŁAW (MIASTO);;;;;;;;;;;;
POZNAŃSKIE;INOWROCŁAWSKI;;;;;;;;;;;;
POZNAŃSKIE;JAROCIŃSKI;;;;;;;;;;;;
POZNAŃSKIE;KOŚCIAŃSKI;;;;;;;;;;;;
POZNAŃSKIE;KROTOSZYŃSKI;;;;;;;;;;;;
POZNAŃSKIE;KĘPIŃSKI;;;;;;;;;;;;
POZNAŃSKIE;LESZCZYŃSKI;;;;;;;;;;;;
POZNAŃSKIE;MIĘDZYCHODZKI;;;;;;;;;;;;
POZNAŃSKIE;MOGILEŃSKI;;;;;;;;;;;;
POZNAŃSKIE;NOWOTOMYSKI;;;;;;;;;;;;
POZNAŃSKIE;OBORNICKI;;;;;;;;;;;;
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI);;;;;;;;;;;;
POZNAŃSKIE;POZNAŃ (MIASTO);;;;;;;;;;;;
POZNAŃSKIE;POZNAŃSKI;;;;;;;;;;;;
POZNAŃSKIE;RAWICKI;;;;;;;;;;;;
POZNAŃSKIE;SZAMOTULSKI;;;;;;;;;;;;
POZNAŃSKIE;SZUBIŃSKI;;;;;;;;;;;;
POZNAŃSKIE;WOLSZTYŃSKI;;;;;;;;;;;;
POZNAŃSKIE;WRZESIŃSKI;;;;;;;;;;;;
POZNAŃSKIE;WYRZYSKI;;;;;;;;;;;;
POZNAŃSKIE;WĄGROWIECKI;;;;;;;;;;;;
POZNAŃSKIE;ŚREDZKI;;;;;;;;;;;;
POZNAŃSKIE;ŚREMSKI;;;;;;;;;;;;
POZNAŃSKIE;ŻNIŃSKI;;;;;;;;;;;;
STANISŁAWOWSKIE;DOLIŃSKI;;;;;;;;;;;;
STANISŁAWOWSKIE;HORODEŃSKI;;;;;;;;;;;;
STANISŁAWOWSKIE;KAŁUSKI;;;;;;;;;;;;
STANISŁAWOWSKIE;KOSOWSKI (KOSÓW HUCULSKI);;;;;;;;;;;;
STANISŁAWOWSKIE;KOŁOMYJSKI;;;;;;;;;;;;
STANISŁAWOWSKIE;NADWÓRNIAŃSKI;;;;;;;;;;;;
STANISŁAWOWSKIE;ROHATYŃSKI;;;;;;;;;;;;
STANISŁAWOWSKIE;STANISŁAWOWSKI;;;;;;;;;;;;
STANISŁAWOWSKIE;STRYJSKI;;;;;;;;;;;;
STANISŁAWOWSKIE;TŁUMACKI;;;;;;;;;;;;
STANISŁAWOWSKIE;ŚNIATYŃSKI;;;;;;;;;;;;
STANISŁAWOWSKIE;ŻYDACZOWSKI;;;;;;;;;;;;
TARNOPOLSKIE;BORSZCZOWSKI;;;;;;;;;;;;
TARNOPOLSKIE;BRODZKI;;;;;;;;;;;;
TARNOPOLSKIE;BRZEŻAŃSKI;;;;;;;;;;;;
TARNOPOLSKIE;BUCZACKI;;;;;;;;;;;;
TARNOPOLSKIE;CZORTKOWSKI;;;;;;;;;;;;
TARNOPOLSKIE;KAMIONECKI;;;;;;;;;;;;
TARNOPOLSKIE;KOPYCZYNIECKI;;;;;;;;;;;;
TARNOPOLSKIE;PODHAJECKI;;;;;;;;;;;;
TARNOPOLSKIE;PRZEMYŚLAŃSKI;;;;;;;;;;;;
TARNOPOLSKIE;RADZIECHOWSKI;;;;;;;;;;;;
TARNOPOLSKIE;SKAŁACKI;;;;;;;;;;;;
TARNOPOLSKIE;TARNOPOLSKI;;;;;;;;;;;;
TARNOPOLSKIE;TREMBOWELSKI;;;;;;;;;;;;
TARNOPOLSKIE;ZALESZCZYCKI;;;;;;;;;;;;
TARNOPOLSKIE;ZBARASKI;;;;;;;;;;;;
TARNOPOLSKIE;ZBOROWSKI;;;;;;;;;;;;
TARNOPOLSKIE;ZŁOCZOWSKI;;;;;;;;;;;;
