Region;District;Konie;Bydło rogate;Trzoda chlewna;Owce;Kozy
NOWOGRÓDZKIE;NIEŚWIESKI;19983.0;47318.0;47955.0;35500.0;107.0
NOWOGRÓDZKIE;NOWOGRÓDZKI;25299.0;62139.0;56255.0;44537.0;85.0
NOWOGRÓDZKIE;STOŁPECKI;15932.0;41025.0;40236.0;33704.0;23.0
NOWOGRÓDZKIE;SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE);19082.0;48590.0;30943.0;45147.0;26.0
NOWOGRÓDZKIE;SŁONIMSKI;22488.0;50465.0;42143.0;57867.0;225.0
NOWOGRÓDZKIE;WOŁOŻYŃSKI;19220.0;48104.0;48556.0;42919.0;56.0
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);33313.0;81191.0;63298.0;82641.0;290.0
POLESKIE;DROHICKI;14974.0;45225.0;40428.0;32607.0;167.0
POLESKIE;IWACEWICKI;13144.0;35451.0;28926.0;24398.0;103.0
POLESKIE;KOBRYŃSKI;18791.0;70236.0;47350.0;59665.0;80.0
POLESKIE;KOSZYRSKI;12983.0;55006.0;23326.0;52541.0;28.0
POLESKIE;PIŃSKI;25828.0;78423.0;46502.0;54342.0;420.0
POLESKIE;PRUŻAŃSKI;18587.0;44446.0;47173.0;48301.0;246.0
POLESKIE;STOLIŃSKI;17716.0;58735.0;26837.0;19517.0;179.0
POLESKIE;ŁUNINIECKI;15895.0;52250.0;27573.0;35854.0;192.0
POMORSKIE;BRODNICKI;10592.0;28772.0;28951.0;8384.0;1008.0
POMORSKIE;CHEŁMIŃSKI;10007.0;25860.0;28178.0;17302.0;1727.0
POMORSKIE;CHOJNICKI;8219.0;24215.0;24831.0;11730.0;1634.0
POMORSKIE;DZIAŁDOWSKI;7256.0;21735.0;17335.0;4366.0;757.0
POMORSKIE;GDYNIA (MIASTO);694.0;367.0;179.0;73.0;2.0
POMORSKIE;GRUDZIĄDZ (MIASTO);407.0;428.0;110.0;5.0;21.0
POMORSKIE;GRUDZIĄDZKI;11060.0;27526.0;25034.0;12399.0;1136.0
POMORSKIE;KARTUSKI;9498.0;25358.0;30663.0;8649.0;918.0
POMORSKIE;KOŚCIERSKI;7690.0;21573.0;24701.0;9959.0;1427.0
POMORSKIE;LUBAWSKI;11016.0;31887.0;27153.0;4967.0;1403.0
POMORSKIE;MORSKI;8987.0;24766.0;26159.0;11401.0;966.0
POMORSKIE;STAROGARDZKI;7932.0;19669.0;22716.0;6638.0;2597.0
POMORSKIE;SĘPOLEŃSKI;6304.0;20070.0;22851.0;13434.0;1559.0
POMORSKIE;TCZEWSKI;9863.0;20620.0;18971.0;8006.0;1318.0
POMORSKIE;TORUŃ (MIASTO);526.0;320.0;316.0;7.0;181.0
POMORSKIE;TORUŃSKI;9557.0;25792.0;25183.0;12287.0;1025.0
POMORSKIE;TUCHOLSKI;6223.0;17525.0;19816.0;5101.0;1910.0
POMORSKIE;WĄBRZESKI;10438.0;27561.0;27457.0;4491.0;845.0
POMORSKIE;ŚWIECKI;14205.0;34456.0;46312.0;8523.0;3457.0
POZNAŃSKIE;BYDGOSKI;10466.0;29513.0;31045.0;7152.0;2137.0
POZNAŃSKIE;BYDGOSZCZ (MIASTO);1542.0;960.0;1022.0;13.0;1546.0
POZNAŃSKIE;CHODZIESKI;7702.0;21581.0;24588.0;3676.0;3407.0
POZNAŃSKIE;CZARNKOWSKI;6094.0;16466.0;20221.0;1978.0;3958.0
POZNAŃSKIE;GNIEZNO (MIASTO);291.0;369.0;479.0;14.0;303.0
POZNAŃSKIE;GNIEŹNIEŃSKI;12786.0;36037.0;46138.0;6385.0;3524.0
POZNAŃSKIE;GOSTYŃSKI;9152.0;27634.0;27382.0;6947.0;3108.0
POZNAŃSKIE;INOWROCŁAW (MIASTO);628.0;804.0;962.0;26.0;479.0
POZNAŃSKIE;INOWROCŁAWSKI;10352.0;29460.0;28161.0;10294.0;1932.0
POZNAŃSKIE;JAROCIŃSKI;13443.0;37805.0;34568.0;8279.0;6120.0
POZNAŃSKIE;KOŚCIAŃSKI;12636.0;39163.0;37216.0;5861.0;5402.0
POZNAŃSKIE;KROTOSZYŃSKI;11822.0;35295.0;29273.0;2863.0;3298.0
POZNAŃSKIE;KĘPIŃSKI;12404.0;34394.0;31908.0;1847.0;6999.0
