Region;District;Indirect Occupation - Total;Indirect Occupation - A. Agriculture;Indirect Occupation - Excluding Agriculture - Total;Indirect Occupation  - Horticulture;Indirect Occupation - B. Mining and industry;Indirect Occupation - C. Trade and insurance;Indirect Occupation - D. Transport and communication;Indirect Occupation - E. Public service, liberal professions;Indirect Occupation - Schooling, Education, and Culture;Indirect Occupation - Public Hygiene and Sanitation;Indirect Occupation - G. Domestic service;Indirect Occupation - N. Not further specified
NOWOGRÓDZKIE;BRASŁAWSKI;;;;;;;;;;;;
NOWOGRÓDZKIE;LIDZKI;;;;;;;;;;;;
NOWOGRÓDZKIE;NIEŚWIESKI;;;;;;;;;;;;
NOWOGRÓDZKIE;NOWOGRÓDZKI;;;;;;;;;;;;
NOWOGRÓDZKIE;STOŁPECKI;;;;;;;;;;;;
NOWOGRÓDZKIE;SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE);;;;;;;;;;;;
NOWOGRÓDZKIE;SŁONIMSKI;;;;;;;;;;;;
NOWOGRÓDZKIE;WOŁOŻYŃSKI;;;;;;;;;;;;
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);;;;;;;;;;;;
POLESKIE;DROHICKI;;;;;;;;;;;;
POLESKIE;IWACEWICKI;;;;;;;;;;;;
POLESKIE;KOBRYŃSKI;;;;;;;;;;;;
POLESKIE;KOSZYRSKI;;;;;;;;;;;;
POLESKIE;PIŃSKI;;;;;;;;;;;;
POLESKIE;PRUŻAŃSKI;;;;;;;;;;;;
POLESKIE;STOLIŃSKI;;;;;;;;;;;;
POLESKIE;ŁUNINIECKI;;;;;;;;;;;;
POMORSKIE;BRODNICKI;56287;35730;20557;1050;7767;2453;2959;1306;650;425;848;3099
POMORSKIE;CHEŁMIŃSKI;52765;31337;21428;620;9207;2192;2447;1198;729;433;790;3812
POMORSKIE;CHOJNICKI;76935;41281;35654;2295;13319;3158;6342;2868;814;899;975;4984
