Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VR;Kategoria VPR;Kategoria VIR;Kategoria VIPR;Kategoria VIIR;Kategoria VIIPR;Kategoria VIIIR;Kategoria VIIIPR;R;PR
Lwowska;DOLIŃSKI;0.0;0.0;2.0;1.0;3.0;0.0;4.0;3.0;4.0;0.0;22.0;3.0;49.0;3.0;378.0;32.0;462.0;42.0
Poleska;DROHICKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;9.0;0.0;25.0;3.0;276.0;22.0;313.0;25.0
Lwowska;DROHOBYCKI;2.0;0.0;2.0;0.0;2.0;0.0;22.0;0.0;34.0;3.0;227.0;5.0;49.0;9.0;565.0;65.0;903.0;82.0
Wołyńska;DUBIEŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;28.0;1.0;51.0;4.0;73.0;12.0;794.0;83.0;949.0;101.0
Pomorska;DZIAŁDOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;1.0;23.0;0.0;23.0;1.0;173.0;10.0;223.0;12.0
Wileńska;DZIŚNIEŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;13.0;4.0;32.0;1.0;59.0;3.0;316.0;15.0;422.0;23.0
Krakowska;DĄBROWSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;1.0;9.0;0.0;175.0;3.0;188.0;4.0
Lubelska;GARWOLIŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;10.0;0.0;29.0;1.0;47.0;2.0;626.0;51.0;713.0;54.0
Pomorska;GNIEWSKI;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;6.0;0.0;17.0;0.0;28.0;2.0;210.0;26.0;265.0;28.0
;GNIEZNO (MIASTO);;;;;;;;;;;;;;;;;;
Wielkopolska;GNIEŹNIEŃSKI;1.0;0.0;0.0;0.0;1.0;0.0;8.0;0.0;24.0;0.0;38.0;1.0;55.0;0.0;655.0;27.0;782.0;28.0
Krakowska;GORLICKI;0.0;0.0;3.0;0.0;0.0;0.0;2.0;0.0;8.0;0.0;52.0;0.0;23.0;0.0;280.0;4.0;368.0;4.0
Warszawa Okręgowa;GOSTYNIŃSKI;1.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;19.0;1.0;14.0;2.0;22.0;4.0;335.0;14.0;394.0;21.0
Wielkopolska;GOSTYŃSKI;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;12.0;1.0;19.0;0.0;21.0;0.0;368.0;12.0;423.0;13.0
Białostocka;GRODZIEŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;29.0;3.0;31.0;2.0;70.0;7.0;1208.0;75.0;1353.0;87.0
Wielkopolska;GRODZISKI;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;7.0;0.0;24.0;0.0;35.0;3.0;374.0;22.0;444.0;25.0
Pomorska;GRUDZIĄDZ (MIASTO);3.0;0.0;1.0;0.0;2.0;0.0;10.0;0.0;22.0;1.0;14.0;1.0;77.0;6.0;405.0;26.0;534.0;34.0
Pomorska;GRUDZIĄDZKI;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;5.0;0.0;20.0;0.0;16.0;8.0;221.0;15.0;265.0;23.0
Krakowska;GRYBOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;7.0;0.0;3.0;0.0;10.0;1.0;134.0;5.0;155.0;6.0
Lwowska;GRÓDECKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;6.0;0.0;16.0;1.0;11.0;2.0;212.0;32.0;246.0;35.0
Warszawa Okręgowa;GRÓJECKI;0.0;0.0;0.0;0.0;1.0;0.0;11.0;0.0;14.0;1.0;30.0;2.0;38.0;1.0;526.0;32.0;620.0;36.0
Wołyńska;HOROCHOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;21.0;2.0;31.0;2.0;359.0;39.0;413.0;44.0
Lwowska;HORODEŃSKI;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;10.0;2.0;29.0;1.0;404.0;5.0;445.0;8.0
Lubelska;HRUBIESZOWSKI;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;9.0;0.0;22.0;0.0;36.0;4.0;410.0;20.0;481.0;24.0
;INOWROCŁAW (MIASTO);;;;;;;;;;;;;;;;;;
Wielkopolska;INOWROCŁAWSKI;5.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;15.0;0.0;33.0;0.0;85.0;1.0;568.0;30.0;718.0;31.0
Kielecka;IŁŻECKI;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;9.0;0.0;21.0;1.0;53.0;4.0;268.0;13.0;354.0;18.0
Lubelska;JANOWSKI;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;6.0;0.0;34.0;1.0;45.0;4.0;419.0;39.0;506.0;44.0
Wielkopolska;JAROCIŃSKI;1.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;17.0;1.0;32.0;1.0;26.0;3.0;364.0;16.0;446.0;21.0
Lwowska;JAROSŁAWSKI;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;5.0;2.0;17.0;0.0;18.0;2.0;237.0;6.0;282.0;10.0
Krakowska;JASIELSKI;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;6.0;2.0;25.0;4.0;19.0;5.0;251.0;13.0;304.0;24.0
Lwowska;JAWOROWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;1.0;14.0;2.0;199.0;13.0;225.0;16.0
Kielecka;JĘDRZEJOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;7.0;1.0;17.0;0.0;48.0;1.0;287.0;18.0;362.0;20.0
;KALISKI;4.0;0.0;1.0;0.0;1.0;0.0;28.0;0.0;50.0;4.0;76.0;7.0;116.0;10.0;1014.0;118.0;1290.0;139.0
Lwowska;KAMIONECKI;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;7.0;1.0;20.0;0.0;13.0;1.0;225.0;9.0;267.0;11.0
Pomorska;KARTUSKI;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;6.0;0.0;14.0;0.0;26.0;1.0;272.0;13.0;323.0;14.0
;KATOWICE (MIASTO);;;;;;;;;;;;;;;;;;
Śląska;KATOWICKI;21.0;0.0;10.0;1.0;21.0;2.0;101.0;12.0;152.0;12.0;110.0;16.0;287.0;22.0;1824.0;100.0;2526.0;165.0
Lwowska;KAŁUSKI;1.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;5.0;0.0;11.0;1.0;32.0;3.0;471.0;34.0;523.0;38.0
Kielecka;KIELECKI;1.0;0.0;1.0;0.0;4.0;0.0;23.0;1.0;33.0;1.0;35.0;3.0;89.0;5.0;840.0;91.0;1026.0;101.0
Poleska;KOBRYŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;6.0;1.0;23.0;5.0;407.0;25.0;441.0;31.0
Lwowska;KOLBUSZOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;5.0;0.0;10.0;2.0;275.0;2.0;299.0;4.0
Białostocka;KOLNEŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;10.0;1.0;14.0;0.0;268.0;14.0;295.0;15.0
Łódzka;KOLSKI;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;11.0;2.0;30.0;2.0;31.0;1.0;654.0;20.0;734.0;25.0
Kielecka;KONECKI;1.0;0.0;2.0;0.0;5.0;0.0;14.0;0.0;31.0;2.0;29.0;1.0;75.0;3.0;795.0;41.0;952.0;47.0
Łódzka;KONIŃSKI;1.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;19.0;0.0;28.0;2.0;30.0;2.0;676.0;47.0;761.0;51.0
Lubelska;KONSTANTYNOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;25.0;0.0;26.0;0.0;210.0;5.0;264.0;5.0
Lwowska;KOPYCZYNIECKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;17.0;1.0;19.0;7.0;137.0;3.0;175.0;11.0
Lwowska;KOSOWSKI (KOSÓW HUCULSKI);0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;6.0;1.0;12.0;5.0;39.0;13.0;479.0;20.0;538.0;39.0
Poleska;KOSOWSKI (KOSÓW POLESKI);0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;12.0;1.0;13.0;0.0;30.0;3.0;295.0;29.0;353.0;33.0
Wołyńska;KOSTOPOLSKI;0.0;0.0;1.0;0.0;2.0;0.0;4.0;2.0;9.0;1.0;9.0;1.0;62.0;5.0;431.0;54.0;518.0;63.0
Poleska;KOSZYRSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;6.0;0.0;9.0;0.0;19.0;2.0;132.0;11.0;167.0;13.0
Wołyńska;KOWELSKI;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;13.0;2.0;19.0;2.0;71.0;9.0;725.0;67.0;834.0;80.0
Kielecka;KOZIENICKI;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;5.0;0.0;18.0;0.0;43.0;2.0;528.0;19.0;597.0;21.0
