Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VR;Kategoria VPR;Kategoria VIR;Kategoria VIPR;Kategoria VIIR;Kategoria VIIPR;Kategoria VIIIR;Kategoria VIIIPR;R;PR
Lwowska;KOŁOMYJSKI;0.0;0.0;0.0;0.0;2.0;0.0;5.0;0.0;19.0;2.0;15.0;0.0;34.0;2.0;647.0;37.0;722.0;41.0
Wielkopolska;KOŚCIAŃSKI;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;8.0;1.0;29.0;0.0;40.0;0.0;342.0;4.0;423.0;5.0
Pomorska;KOŚCIERSKI;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;7.0;1.0;25.0;1.0;30.0;1.0;234.0;13.0;300.0;16.0
Wielkopolska;KOŹMIŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;9.0;0.0;15.0;0.0;18.0;0.0;254.0;11.0;297.0;11.0
Krakowska;KRAKOWSKI;0.0;0.0;3.0;0.0;6.0;0.0;7.0;0.0;16.0;0.0;20.0;0.0;18.0;0.0;276.0;4.0;346.0;4.0
Krakowska;KRAKÓW (MIASTO);1.0;0.0;2.0;1.0;9.0;0.0;78.0;2.0;112.0;14.0;165.0;5.0;326.0;15.0;2700.0;95.0;3393.0;132.0
Lubelska;KRASNOSTAWSKI;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;6.0;2.0;33.0;1.0;36.0;2.0;437.0;29.0;515.0;34.0
Wielkopolska;KROTOSZYŃSKI;1.0;0.0;2.0;0.0;0.0;0.0;5.0;1.0;17.0;2.0;22.0;2.0;41.0;6.0;484.0;26.0;572.0;37.0
Lwowska;KROŚNIEŃSKI;0.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0;10.0;0.0;41.0;3.0;18.0;3.0;269.0;23.0;342.0;29.0
Wołyńska;KRZEMIENIECKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;8.0;1.0;20.0;5.0;101.0;10.0;619.0;92.0;750.0;108.0
Śląska;KRÓLEWSKA HUTA;4.0;0.0;1.0;0.0;3.0;5.0;22.0;6.0;45.0;0.0;22.0;6.0;98.0;6.0;751.0;54.0;946.0;77.0
Warszawa Okręgowa;KUTNOWSKI;3.0;0.0;1.0;0.0;5.0;0.0;8.0;1.0;9.0;0.0;23.0;1.0;39.0;3.0;517.0;12.0;605.0;17.0
Wielkopolska;KĘPIŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;17.0;2.0;29.0;2.0;30.0;1.0;382.0;20.0;461.0;25.0
Lwowska;LESKI;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;10.0;3.0;22.0;3.0;24.0;2.0;234.0;10.0;293.0;18.0
Wielkopolska;LESZCZYŃSKI;1.0;0.0;1.0;0.0;0.0;0.0;5.0;0.0;23.0;0.0;40.0;2.0;68.0;2.0;621.0;33.0;759.0;37.0
Poleska;LIDZKI;0.0;0.0;1.0;0.0;1.0;0.0;9.0;0.0;19.0;1.0;41.0;3.0;131.0;11.0;918.0;46.0;1120.0;61.0
Krakowska;LIMANOWSKI;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;8.0;1.0;10.0;0.0;14.0;0.0;195.0;4.0;230.0;5.0
