Region;District;Powierzchnia plantacji (ha);Przeciętny zbiór z ha;Ogólny zbiór
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);;;0.0
POLESKIE;DROHICKI;;;0.0
POLESKIE;KOBRYŃSKI;;;0.0
POLESKIE;KOSOWSKI (KOSÓW POLESKI);;;0.0
POLESKIE;KOSZYRSKI;;;0.0
POLESKIE;PIŃSKI;;;0.0
POLESKIE;PRUŻAŃSKI;;;0.0
POLESKIE;SARNEŃSKI;;;0.0
POLESKIE;STOLIŃSKI;;;0.0
POLESKIE;ŁUNINIECKI;;;0.0
POMORSKIE;BRODNICKI;;;0.0
POMORSKIE;CHEŁMIŃSKI;1 625;240.0;390000.0
POMORSKIE;CHOJNICKI;;;0.0
POMORSKIE;DZIAŁDOWSKI;;;0.0
POMORSKIE;GNIEWSKI;;;0.0
POMORSKIE;GRUDZIĄDZ (MIASTO);;;
POMORSKIE;GRUDZIĄDZKI;1 925;200.0;385000.0
POMORSKIE;KARTUSKI;;;0.0
POMORSKIE;KOŚCIERSKI;;;0.0
POMORSKIE;LUBAWSKI;;;0.0
POMORSKIE;PUCKI;;;0.0
POMORSKIE;STAROGARDZKI;;;0.0
POMORSKIE;SĘPOLEŃSKI;;;0.0
POMORSKIE;TCZEWSKI;2 900;180.0;522000.0
POMORSKIE;TORUŃ (MIASTO);;;
POMORSKIE;TORUŃSKI;6 320;250.0;1580000.0
POMORSKIE;TUCHOLSKI;;;0.0
POMORSKIE;WEJHEROWSKI;;;0.0
POMORSKIE;WĄBRZESKI;;;0.0
POMORSKIE;ŚWIECKI;2 102;180.0;378360.0
POZNAŃSKIE;BYDGOSKI;;;0.0
POZNAŃSKIE;BYDGOSZCZ (MIASTO);;;
POZNAŃSKIE;CHODZIESKI;;;0.0
POZNAŃSKIE;CZARNKOWSKI;;;0.0
POZNAŃSKIE;GNIEŹNIEŃSKI;3 230;220.0;710600.0
POZNAŃSKIE;GOSTYŃSKI;4 010;250.0;1002500.0
POZNAŃSKIE;GRODZISKI;5 495;250.0;1373750.0
POZNAŃSKIE;INOWROCŁAWSKI;13 354;229.0;3058066.0
POZNAŃSKIE;JAROCIŃSKI;3 519;200.0;703800.0
POZNAŃSKIE;KOŚCIAŃSKI;4 567;198.0;904266.0
POZNAŃSKIE;KOŹMIŃSKI;;;0.0
POZNAŃSKIE;KROTOSZYŃSKI;2 500;220.0;550000.0
POZNAŃSKIE;KĘPIŃSKI;;;0.0
POZNAŃSKIE;LESZCZYŃSKI;;;0.0
POZNAŃSKIE;MIĘDZYCHODZKI;;;0.0
POZNAŃSKIE;MOGILEŃSKI;3 160;258.0;815280.0
POZNAŃSKIE;NOWOTOMYSKI;;;0.0
POZNAŃSKIE;OBORNICKI;;;0.0
POZNAŃSKIE;ODOLANOWSKI;;;0.0
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI);;;0.0
POZNAŃSKIE;OSTRZESZOWSKI;;;0.0
POZNAŃSKIE;PLESZEWSKI;;;0.0
POZNAŃSKIE;POZNAŃ (MIASTO);;;
POZNAŃSKIE;POZNAŃSKI WSCHODNI;;;0.0
POZNAŃSKIE;POZNAŃSKI ZACHODNI;;;0.0
