District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VaR;Kategoria VaPR;Kategoria VbR;Kategoria VbPR
JAWOROWSKI;0.0;0.0;15.0;0.0;292.0;29.0;490.0;33.0;0.0;0.0;33.0;0.0
JĘDRZEJOWSKI;0.0;0.0;71.0;4.0;541.0;36.0;713.0;128.0;9.0;9.0;24.0;12.0
KALISKI;7.0;0.0;255.0;14.0;1127.0;87.0;2226.0;411.0;3.0;4.0;74.0;12.0
KAMIONECKI;0.0;0.0;24.0;0.0;293.0;20.0;521.0;36.0;1.0;0.0;1.0;0.0
KARTUSKI;0.0;0.0;46.0;3.0;493.0;19.0;313.0;18.0;1.0;0.0;4.0;0.0
KATOWICE (MIASTO);;;;;;;;;;;;
KATOWICKI;82.0;2.0;1083.0;85.0;2527.0;144.0;2144.0;224.0;82.0;2.0;766.0;109.0
KAŁUSKI;0.0;0.0;26.0;0.0;407.0;33.0;541.0;48.0;0.0;0.0;3.0;0.0
KIELECKI;5.0;0.0;223.0;8.0;1336.0;101.0;1142.0;233.0;3.0;0.0;24.0;6.0
KOBRYŃSKI;0.0;0.0;57.0;6.0;614.0;35.0;208.0;30.0;1.0;0.0;0.0;2.0
KOLBUSZOWSKI;0.0;0.0;13.0;0.0;463.0;15.0;571.0;24.0;0.0;0.0;0.0;1.0
KOLNEŃSKI;0.0;0.0;34.0;3.0;292.0;15.0;285.0;46.0;3.0;0.0;11.0;0.0
KOLSKI;1.0;0.0;98.0;7.0;850.0;48.0;997.0;129.0;3.0;0.0;26.0;3.0
KONECKI;1.0;0.0;116.0;4.0;824.0;71.0;1621.0;170.0;1.0;0.0;22.0;2.0
KONIŃSKI;1.0;0.0;80.0;9.0;659.0;26.0;511.0;171.0;0.0;0.0;42.0;7.0
KONSTANTYNOWSKI;0.0;0.0;34.0;1.0;400.0;27.0;173.0;20.0;1.0;0.0;40.0;11.0
KOPYCZYNIECKI;0.0;0.0;29.0;0.0;486.0;11.0;628.0;30.0;0.0;1.0;14.0;5.0
KOSOWSKI (KOSÓW HUCULSKI);0.0;0.0;28.0;5.0;441.0;41.0;626.0;55.0;4.0;9.0;20.0;18.0
KOSOWSKI (KOSÓW POLESKI);0.0;0.0;48.0;6.0;505.0;39.0;189.0;24.0;1.0;0.0;0.0;1.0
KOSTOPOLSKI;0.0;0.0;55.0;12.0;771.0;86.0;418.0;76.0;14.0;3.0;62.0;6.0
KOSZYRSKI;0.0;0.0;27.0;2.0;234.0;22.0;95.0;32.0;0.0;6.0;0.0;0.0
KOWELSKI;1.0;0.0;176.0;22.0;1139.0;114.0;1160.0;131.0;2.0;3.0;64.0;10.0
KOZIENICKI;0.0;0.0;55.0;2.0;348.0;22.0;1071.0;97.0;1.0;0.0;13.0;1.0
KOŁOMYJSKI;3.0;0.0;180.0;4.0;746.0;59.0;837.0;78.0;1.0;2.0;33.0;5.0
KOŚCIAŃSKI;1.0;0.0;68.0;1.0;402.0;25.0;200.0;28.0;3.0;0.0;23.0;1.0
KOŚCIERSKI;0.0;0.0;72.0;3.0;424.0;36.0;249.0;32.0;27.0;4.0;26.0;0.0
