Region;District;Roman Catholic;% Roman Catholic;Greek Catholic;% Greek Catholic;Evangelical;% Evangelical;Orthodox;% Orthodox;Mosaic (Jewish);% Mosaic (Jewish);Other Christian denominations;% Other Christian;Other or unknown;% Other
POZNA—SKIE;OSTROWSKI (OSTR”W WIELKOPOLSKI);45600;0,947453718;25;0,000519437;2208;0,045876706;104;0,002160859;182;0,003781504;7;0,000145442;3;6,23325E-05
POZNA—SKIE;OSTRZESZOWSKI;33366;0,832443491;6;0,000149693;6417;0,160096802;0;0;290;0,007235168;3;7,48466E-05;;0
POZNA—SKIE;PLESZEWSKI;36059;0,943113459;7;0,000183083;2042;0,053407962;5;0,000130774;116;0,003033949;5;0,000130774;;0
POZNA—SKIE;POZNA— (MIASTO);158059;0,932930788;71;0,000419072;8882;0,052425305;146;0,000861753;2088;0,012324255;144;0,000849949;32;0,000188877
POZNA—SKIE;POZNA—SKI WSCHODNI;44815;0,870921352;21;0,000408108;6474;0,125813786;30;0,000583011;96;0,001865635;7;0,000136036;14;0,000272072
POZNA—SKIE;POZNA—SKI ZACHODNI;41665;0,921975615;16;0,000354053;3464;0,076652431;20;0,000442566;20;0,000442566;6;0,00013277;;0
POZNA—SKIE;RAWICKI;39509;0,807476139;16;0,000327004;9169;0,187393979;14;0,000286129;209;0,004271495;10;0,000204378;2;4,08756E-05
POZNA—SKIE;STRZELNE—SKI;35718;0,8948964;15;0,000375817;4072;0,102021898;14;0,000350763;92;0,002305013;2;0,000050109;;0
POZNA—SKIE;SZAMOTULSKI;56992;0,862783093;29;0,000439021;8293;0,125544992;14;0,000211941;691;0,010460821;11;0,000166525;26;0,000393605
POZNA—SKIE;SZUBI—SKI;31700;0,687799692;19;0,000412246;14070;0,305278917;17;0,000368852;264;0,005728048;9;0,000195274;10;0,000216972
POZNA—SKIE;WITKOWSKI;26701;0,882736049;11;0,00036366;3419;0,113032267;53;0,001752182;61;0,002016662;1;0,00003306;2;6,61201E-05
POZNA—SKIE;WOLSZTY—SKI;36496;0,750005138;9;0,000184953;12041;0,24744662;13;0,000267154;88;0,00180843;13;0,000267154;1;2,05503E-05
POZNA—SKIE;WRZESI—SKI;37775;0,919010315;11;0,000267614;3079;0,074907552;29;0,000705527;209;0,005084663;;0;1;2,43285E-05
POZNA—SKIE;WYRZYSKI;41697;0,666821257;53;0,00084758;20516;0,328093266;18;0,000287857;236;0,003774128;10;0,000159921;1;1,59921E-05
POZNA—SKIE;W•GROWIECKI;41642;0,765829885;26;0,000478161;12322;0,226611494;23;0,000422989;357;0,006565517;5;0,000091954;;0
POZNA—SKIE;åMIGIELSKI;34046;0,897009617;12;0,000316164;3872;0,102015545;4;0,000105388;16;0,000421552;4;0,000105388;1;0,000026347
POZNA—SKIE;åREDZKI;46393;0,931361921;16;0,000321208;3281;0,065867662;20;0,00040151;99;0,001987473;3;6,02265E-05;;0
POZNA—SKIE;åREMSKI;52618;0,914952442;33;0,000573823;4593;0,07986576;57;0,000991149;196;0,003408162;9;0,000156497;3;5,21657E-05
POZNA—SKIE;ØNI—SKI;32312;0,78688844;16;0,000389645;8427;0,205221245;28;0,000681879;274;0,006672674;1;2,43528E-05;5;0,000121764
STANIS£AWOWSKIE;BOHORODCZA—SKI;2984;0,052493623;49928;0,878318234;368;0,006473744;432;0,007599613;3132;0,055097194;;0;1;1,75917E-05
STANIS£AWOWSKIE;DOLI—SKI;11664;0,114998965;77817;0,767221746;2082;0,020527079;18;0,000177468;9843;0,097045165;;0;3;2,95779E-05
STANIS£AWOWSKIE;HORODE—SKI;11987;0,143265209;64490;0,770766105;22;0,000262938;23;0,000274889;7148;0,085430859;;0;;0
STANIS£AWOWSKIE;KA£USKI;9643;0,109744162;71401;0,812593891;598;0,006805663;4;4,55228E-05;6222;0,070810762;;0;;0
STANIS£AWOWSKIE;KOSOWSKI (KOS”W HUCULSKI);4414;0,057160617;65493;0,848124215;10;0,000129498;29;0,000375546;7275;0,094210124;;0;;0
STANIS£AWOWSKIE;KO£OMYJSKI;24626;0,206455399;72191;0,605223005;1016;0,008517773;33;0,00027666;21409;0,179485245;3;2,51509E-05;2;1,67673E-05
STANIS£AWOWSKIE;NADW”RNIA—SKI;10526;0,134253354;60838;0,775955308;408;0,005203816;14;0,000178562;6615;0,084370695;2;2,55089E-05;1;1,27545E-05
STANIS£AWOWSKIE;PECZENIØY—SKI;1565;0,036323546;38309;0,889149356;2;4,64199E-05;3;6,96298E-05;3205;0,074387838;;0;1;2,32099E-05
STANIS£AWOWSKIE;ROHATY—SKI;21821;0,199216682;79197;0,72303577;45;0,000410831;21;0,000191721;8420;0,076871109;30;0,000273888;;0
STANIS£AWOWSKIE;SKOLSKI;4949;0,102996878;38113;0,793194589;217;0,004516129;14;0,000291363;4752;0,098896982;;0;5;0,000104058
STANIS£AWOWSKIE;STANIS£AWOWSKI;31378;0,235774129;73968;0,555795169;1269;0,009535259;122;0,000916707;26203;0,196889206;1;7,51399E-06;144;0,001082015
STANIS£AWOWSKIE;STRYJSKI;14024;0,193319824;43240;0,596060268;2968;0,040913665;27;0,000372193;12277;0,169237556;3;4,13548E-05;4;5,51397E-05
STANIS£AWOWSKIE;TURCZA—SKI;4432;0,057825038;62559;0,816217627;38;0,000495792;8;0,000104377;9608;0,125357166;;0;;0
STANIS£AWOWSKIE;T£UMACKI;20548;0,196302842;76956;0,735189873;723;0,006907093;23;0,000219728;6396;0,061103415;10;9,55338E-05;19;0,000181514
STANIS£AWOWSKIE;åNIATY—SKI;6346;0,080101989;65082;0,821493487;382;0,004821771;39;0,000492275;7369;0,093014743;3;3,78673E-05;3;3,78673E-05
STANIS£AWOWSKIE;ØYDACZOWSKI;14799;0,192134919;56724;0,736445783;122;0,001583922;21;0,000272642;5352;0,069484836;4;5,19319E-05;2;2,59659E-05
TARNOPOLSKIE;BORSZCZOWSKI;21420;0,226028048;63772;0,672934671;22;0,000232148;107;0,001129085;9442;0,099633839;2;2,11044E-05;2;2,11044E-05
TARNOPOLSKIE;BRODZKI;16719;0,22334883;48637;0,649740836;237;0,003166079;85;0,001135514;9176;0,122582024;;0;2;0,000026718
TARNOPOLSKIE;BRZEØA—SKI;30687;0,327418804;55239;0,589379455;9;9,60266E-05;23;0,000245401;7762;0,082817635;3;3,20089E-05;1;1,06696E-05
TARNOPOLSKIE;BUCZACKI;40987;0,351337219;66727;0,571978399;10;8,57192E-05;16;0,000137151;8919;0,07645294;;0;1;8,57192E-06
TARNOPOLSKIE;CZORTKOWSKI;23910;0,346421327;38041;0,551159084;109;0,001579252;26;0,000376702;6909;0,10010142;12;0,000173863;13;0,000188351
TARNOPOLSKIE;HUSIATY—SKI;27034;0,314381738;51154;0,594876208;9;0,000104662;53;0,000616344;7738;0,089986161;1;1,16291E-05;2;2,32582E-05
TARNOPOLSKIE;KAMIONECKI;23116;0,335291473;39321;0,570340716;396;0,005743875;97;0,001406959;6010;0,087173462;2;2,90095E-05;1;1,45047E-05
TARNOPOLSKIE;PODHAJECKI;28120;0,342935194;49478;0,603404961;15;0,000182931;19;0,000231713;4365;0,053233006;;0;1;1,21954E-05
TARNOPOLSKIE;PRZEMYåLA—SKI;26722;0,335707735;45829;0,575748439;403;0,005062878;17;0,000213571;6594;0,082840237;31;0,000389452;3;3,76889E-05
TARNOPOLSKIE;RADZIECHOWSKI;14033;0,204837391;45934;0,670491038;1223;0,01785193;28;0,000408711;7288;0,106381736;;0;2;2,91937E-05
TARNOPOLSKIE;SKA£ACKI;37587;0,440510513;39482;0,462719452;3;3,51593E-05;38;0,000445351;8212;0,096242646;;0;4;0,000046879
TARNOPOLSKIE;TARNOPOLSKI;42616;0,339158947;65957;0,524918028;95;0,000756056;146;0,001161939;16837;0,133997071;;0;1;7,95849E-06
TARNOPOLSKIE;TREMBOWELSKI;31623;0,437361695;35659;0,493181567;4;0,000055322;91;0,001258575;4926;0,068129011;;0;1;1,38305E-05
TARNOPOLSKIE;ZALESZCZYCKI;13067;0,195725113;47974;0,718582427;10;0,000149786;43;0,000644079;5666;0,084868638;2;2,99572E-05;;0
TARNOPOLSKIE;ZBARASKI;21696;0,331793852;39270;0,600550543;3;4,58786E-05;55;0,000841107;4366;0,066768619;;0;;0
