Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso;Kukurydza;Mieszanki na ziarno: Jęczmień;Mieszanki na ziarno: Inne mieszanki zbóż;Groch;Fasola, bób, soczewica;Len: Nasienie;Len: Włókno;Konopie: Nasienie;Konopie: Włókno;Rzepak i rzepik;Chmiel;Tytoń
POMORSKIE;KARTUSKI;7214,00;205684,00;16496,00;102364,00;1216044,00; -   ;81,00; -   ;36,00;2749,00;3554,00;3743,00;400,00;9,00;3,00; -   ; -   ;34,00; -   ; -   
POMORSKIE;KOŚCIERSKI;9476,00;187519,00;14486,00;67124,00;859399,00; -   ;681,00; -   ; -   ;10285,00;10392,00;7053,00; -   ; -   ; -   ; -   ; -   ;174,00; -   ; -   
POMORSKIE;LUBAWSKI;26740,00;280066,00;71821,00;54634,00;1002414,00;32172,00;137,00;7,00;44,00;16480,00;19473,00;6411,00;19,00;14,00;11,00; -   ; -   ;542,00; -   ; -   
POMORSKIE;MORSKI;12002,00;164503,00;19136,00;90981,00;888477,00;1625,00;6,00; -   ;19,00;10999,00;12585,00;3006,00;25,00; -   ; -   ; -   ; -   ;88,00; -   ; -   
POMORSKIE;STAROGARDZKI;34725,00;170025,00;39809,00;41851,00;677685,00;103797,00;137,00; -   ;27,00;16841,00;7813,00;7125,00;142,00;20,00;15,00; -   ; -   ;394,00; -   ; -   
POMORSKIE;SĘPOLEŃSKI;13297,00;178483,00;38424,00;47925,00;656372,00;25815,00;23,00; -   ; -   ;16168,00;12515,00;3751,00;20,00;62,00;31,00; -   ; -   ;222,00; -   ; -   
POMORSKIE;TCZEWSKI;109920,00;118666,00;72235,00;52123,00;460973,00;480053,00;6,00; -   ;97,00;29074,00;9975,00;20807,00;1623,00;8,00;23,00; -   ; -   ;960,00; -   ; -   
POMORSKIE;TORUŃ (MIASTO);0,00;0,00;0,00;0,00;0,00;;;;;0,00;;0,00;;;;;;;;
POMORSKIE;TORUŃSKI;107749,00;194766,00;71098,00;32081,00;630768,00;739768,00;104,00;77,00;66,00;32489,00;20617,00;7190,00;159,00;12,00;6,00; -   ; -   ;236,00; -   ;28,00
POMORSKIE;TUCHOLSKI;19339,00;241861,00;43896,00;31016,00;722450,00;52494,00;281,00; -   ;12,00;8392,00;6665,00;8881,00;31,00;105,00;35,00; -   ; -   ;94,00; -   ; -   
POMORSKIE;WĄBRZESKI;82995,00;226575,00;67531,00;32839,00;788099,00;286865,00;75,00; -   ;32,00;42497,00;10426,00;8550,00;207,00;5,00;3,00; -   ; -   ;332,00; -   ;172,00
POMORSKIE;ŚWIECKI;63394,00;333591,00;88637,00;64865,00;1333624,00;203651,00;133,00; -   ;20,00;39836,00;19661,00;6281,00;347,00;39,00;18,00; -   ; -   ;255,00; -   ;121,00
POZNAŃSKIE;BYDGOSKI;69823,00;253612,00;100584,00;61124,00;847896,00;161532,00;36,00;3,00;78,00;36826,00;14791,00;5031,00;60,00;102,00;73,00; -   ; -   ;1400,00; -   ; -   
POZNAŃSKIE;BYDGOSZCZ (MIASTO);0,00;0,00;0,00;0,00;0,00;;;;;0,00;;0,00;;;;;;;;
POZNAŃSKIE;CHODZIESKI;17664,00;266072,00;42183,00;64964,00;1135278,00;39201,00;10,00;8,00;104,00;21396,00;3711,00;3786,00;30,00;36,00;18,00; -   ; -   ;97,00; -   ; -   
POZNAŃSKIE;CZARNKOWSKI;9618,00;158485,00;18151,00;24473,00;704611,00;32557,00;93,00; -   ;131,00;8634,00;1855,00;1380,00;167,00;46,00;46,00; -   ; -   ;351,00; -   ; -   
POZNAŃSKIE;GNIEZNO (MIASTO);0,00;0,00;0,00;0,00;0,00;;;;;0,00;;0,00;;;;;;;;
POZNAŃSKIE;GNIEŹNIEŃSKI;90873,00;463711,00;101144,00;99363,00;1643708,00;389866,00;513,00; -   ;171,00;51649,00;27216,00;10015,00;504,00;98,00;46,00;7,00;3,00;2015,00; -   ; -   
POZNAŃSKIE;GOSTYŃSKI;115543,00;195456,00;73132,00;114946,00;1088000,00;624220,00;187,00;160,00;452,00;17947,00;16665,00;30406,00;293,00;965,00;369,00; -   ; -   ;2090,00; -   ; -   
POZNAŃSKIE;INOWROCŁAW (MIASTO);0,00;0,00;0,00;0,00;0,00;;;;;0,00;;0,00;;;;;;;;
POZNAŃSKIE;INOWROCŁAWSKI;167604,00;318504,00;164291,00;56558,00;1037861,00;1259690,00;5,00;20,00;230,00;43687,00;27084,00;42498,00;137,00;154,00;48,00; -   ; -   ;691,00; -   ; -   
POZNAŃSKIE;JAROCIŃSKI;127202,00;462996,00;73154,00;173035,00;1984103,00;424784,00;156,00;35,00;1227,00;25071,00;22814,00;14749,00;110,00;42,00;24,00; -   ; -   ;4691,00; -   ; -   
POZNAŃSKIE;KOŚCIAŃSKI;145816,00;443530,00;110678,00;141861,00;2396299,00;526898,00;131,00;387,00;2770,00;37361,00;20896,00;20115,00;544,00;1965,00;629,00; -   ; -   ;2844,00; -   ; -   
POZNAŃSKIE;KROTOSZYŃSKI;112763,00;267197,00;67099,00;144319,00;1440662,00;596581,00;20,00;76,00;300,00;15841,00;13271,00;22624,00;174,00;358,00;173,00;40,00;10,00;2662,00; -   ; -   
POZNAŃSKIE;KĘPIŃSKI;35068,00;421730,00;26759,00;163174,00;1965938,00;110696,00;771,00;71,00;588,00;14372,00;9496,00;2257,00;89,00;217,00;88,00;6,00;3,00;606,00; -   ; -   
POZNAŃSKIE;LESZCZYŃSKI;70655,00;288112,00;44940,00;93841,00;1332578,00;305367,00;33,00;192,00;1515,00;17573,00;6778,00;9395,00;39,00;452,00;138,00;9,00;2,00;507,00;36,00; -   
POZNAŃSKIE;MIĘDZYCHODZKI;23787,00;206269,00;24522,00;49571,00;792266,00;84622,00;58,00;22,00;104,00;13736,00;4436,00;1469,00;45,00;13,00;7,00; -   ; -   ;1467,00; -   ; -   
POZNAŃSKIE;MOGILEŃSKI;180618,00;549143,00;225125,00;89795,00;1503448,00;1109133,00;666,00;104,00;859,00;67912,00;35760,00;39639,00;658,00;196,00;78,00;3,00;3,00;1905,00; -   ; -   
POZNAŃSKIE;NOWOTOMYSKI;97027,00;407731,00;72712,00;99967,00;1703069,00;445549,00;229,00;80,00;1168,00;39762,00;10455,00;17893,00;121,00;917,00;318,00;14,00;6,00;1145,00;398,00; -   
POZNAŃSKIE;OBORNICKI;73086,00;420817,00;71915,00;100355,00;1482689,00;203365,00;76,00; -   ;1181,00;46627,00;12937,00;6127,00;259,00;169,00;69,00; -   ; -   ;2287,00; -   ; -   
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI);75775,00;331339,00;33992,00;92489,00;1498061,00;61761,00;180,00;64,00;296,00;17685,00;5796,00;3046,00;18,00;12,00;7,00; -   ; -   ;1262,00; -   ; -   
POZNAŃSKIE;POZNAŃ (MIASTO);0,00;0,00;0,00;0,00;0,00;;;;;0,00;;0,00;;;;;;;;
POZNAŃSKIE;POZNAŃSKI;108359,00;546030,00;126003,00;122496,00;2403912,00;349836,00;253,00;51,00;846,00;38573,00;18510,00;11450,00;200,00;73,00;34,00; -   ; -   ;3173,00;24,00; -   
POZNAŃSKIE;RAWICKI;76926,00;237644,00;44866,00;89256,00;1026000,00;354065,00;252,00;1020,00;488,00;12528,00;9304,00;11042,00;261,00;711,00;301,00; -   ; -   ;248,00; -   ; -   
POZNAŃSKIE;SZAMOTULSKI;128427,00;381344,00;87217,00;82928,00;1609874,00;569960,00;633,00; -   ;570,00;38060,00;17259,00;19835,00;485,00;159,00;115,00; -   ; -   ;2237,00; -   ; -   
POZNAŃSKIE;SZUBIŃSKI;57806,00;283902,00;87099,00;51936,00;996566,00;252677,00;104,00;6,00;276,00;39759,00;9201,00;4703,00;85,00;384,00;78,00;7,00;3,00;1532,00;29,00; -   
POZNAŃSKIE;WOLSZTYŃSKI;26328,00;262912,00;22008,00;63343,00;1296980,00;100790,00;206,00;157,00;794,00;11249,00;3660,00;2928,00;191,00;630,00;229,00; -   ; -   ;447,00;113,00; -   
POZNAŃSKIE;WRZESIŃSKI;72732,00;269622,00;72106,00;74532,00;1069234,00;594980,00;207,00; -   ;404,00;25980,00;16185,00;7915,00;100,00;198,00;105,00; -   ; -   ;1844,00; -   ; -   
POZNAŃSKIE;WYRZYSKI;106179,00;429412,00;139273,00;94229,00;1604850,00;342200,00;146,00; -   ;30,00;61553,00;27843,00;9647,00;122,00;260,00;142,00; -   ; -   ;3010,00; -   ; -   
POZNAŃSKIE;WĄGROWIECKI;68717,00;410198,00;106593,00;83380,00;1588031,00;180912,00;75,00;32,00;918,00;56888,00;17223,00;5815,00;59,00;67,00;45,00; -   ; -   ;1450,00; -   ; -   
POZNAŃSKIE;ŚREDZKI;108564,00;392072,00;100635,00;76436,00;1372593,00;598515,00;637,00; -   ;683,00;29093,00;23539,00;14717,00;145,00;136,00;47,00;12,00;8,00;2354,00; -   ; -   
POZNAŃSKIE;ŚREMSKI;79537,00;414200,00;71146,00;105636,00;1288310,00;270215,00;846,00;16,00;606,00;32925,00;13214,00;7580,00;240,00;208,00;78,00;4,00; -   ;2021,00; -   ; -   
POZNAŃSKIE;ŻNIŃSKI;82648,00;284680,00;95483,00;63266,00;990732,00;231270,00;8,00; -   ;214,00;41610,00;18596,00;9180,00;31,00;115,00;39,00;8,00;2,00;1367,00;14,00; -   
STANISŁAWOWSKIE;DOLIŃSKI;3974,00;56697,00;3468,00;65729,00;974028,00; -   ;110,00;2597,00;1371,00;108,00;92,00;478,00;898,00;1935,00;1020,00;870,00;540,00; -   ; -   ; -   
STANISŁAWOWSKIE;HORODEŃSKI;123241,00;106491,00;72312,00;36136,00;868179,00;311454,00;2134,00;759,00;61413,00;5791,00;2511,00;2838,00;4192,00;175,00;83,00;1635,00;905,00;723,00; -   ;4497,00
STANISŁAWOWSKIE;KAŁUSKI;21388,00;73804,00;8134,00;63476,00;923876,00; -   ;3431,00;6758,00;11019,00;257,00;232,00;1312,00;1903,00;2618,00;1484,00;1486,00;1097,00;50,00;4,00; -   
STANISŁAWOWSKIE;KOSOWSKI (KOSÓW HUCULSKI);7192,00;12000,00;3921,00;6564,00;222017,00; -   ;20,00;18,00;44729,00;604,00; -   ;331,00;3401,00;228,00;231,00;644,00;616,00; -   ; -   ; -   
STANISŁAWOWSKIE;KOŁOMYJSKI;50580,00;81793,00;24054,00;73732,00;1247560,00;37217,00;566,00;432,00;82643,00;2148,00;915,00;1796,00;3829,00;537,00;376,00;2342,00;1530,00;389,00; -   ;1154,00
STANISŁAWOWSKIE;NADWÓRNIAŃSKI;10219,00;59516,00;6406,00;57172,00;1103865,00; -   ;1137,00;691,00;10735,00;355,00;133,00;889,00;1615,00;687,00;405,00;1845,00;849,00; -   ; -   ; -   
STANISŁAWOWSKIE;ROHATYŃSKI;109193,00;139736,00;57460,00;105929,00;1541765,00;95997,00;8653,00;8485,00;38601,00;1845,00;810,00;4226,00;8722,00;992,00;431,00;2291,00;1044,00;432,00;140,00;1147,00
STANISŁAWOWSKIE;STANISŁAWOWSKI;44045,00;115719,00;8398,00;73777,00;1303253,00;11467,00;1695,00;6549,00;49254,00;580,00;329,00;999,00;8022,00;852,00;495,00;2062,00;1087,00;115,00; -   ; -   
STANISŁAWOWSKIE;STRYJSKI;15400,00;64023,00;10110,00;92663,00;819096,00; -   ;192,00;5376,00;644,00;248,00;154,00;759,00;3187,00;1711,00;1038,00;780,00;545,00; -   ; -   ; -   
STANISŁAWOWSKIE;TŁUMACKI;67664,00;154772,00;23507,00;69183,00;1160191,00;2499,00;1261,00;2684,00;73121,00;2123,00;1594,00;1900,00;6645,00;288,00;96,00;2466,00;922,00;103,00; -   ; -   
STANISŁAWOWSKIE;ŚNIATYŃSKI;57342,00;71313,00;32909,00;27461,00;559960,00;32245,00;222,00;40,00;121376,00;2209,00;971,00;1205,00;1682,00;385,00;118,00;1103,00;504,00;208,00; -   ;1890,00
STANISŁAWOWSKIE;ŻYDACZOWSKI;37286,00;97387,00;17448,00;67157,00;1031839,00;23457,00;2309,00;7085,00;8880,00;1587,00;684,00;1110,00;1763,00;2840,00;885,00;1228,00;491,00;382,00;84,00; -   
TARNOPOLSKIE;BORSZCZOWSKI;88088,00;132397,00;61579,00;16128,00;684340,00;869,00;3675,00;227,00;120474,00;12735,00;8841,00;12399,00;4757,00;89,00;49,00;2195,00;1020,00;345,00; -   ;12710,00
TARNOPOLSKIE;BRODZKI;39229,00;108567,00;48777,00;68798,00;725845,00;8000,00;23174,00;9523,00;399,00;756,00;383,00;1676,00;2699,00;297,00;165,00;917,00;771,00;23,00;625,00; -   
TARNOPOLSKIE;BRZEŻAŃSKI;61606,00;131122,00;88044,00;122954,00;1239501,00;36824,00;14206,00;4569,00;14404,00;2064,00;891,00;5073,00;2669,00;319,00;245,00;2748,00;1819,00;65,00; -   ; -   
TARNOPOLSKIE;BUCZACKI;88824,00;166501,00;59290,00;54077,00;1058649,00;14527,00;13753,00;3567,00;81453,00;7112,00;7979,00;7300,00;15129,00;253,00;256,00;2046,00;1075,00;394,00;65,00;4266,00
TARNOPOLSKIE;CZORTKOWSKI;82317,00;134352,00;71108,00;15175,00;689296,00;30385,00;14937,00;955,00;57450,00;13062,00;23105,00;5298,00;10030,00;76,00;124,00;584,00;446,00;122,00; -   ;6935,00
TARNOPOLSKIE;KAMIONECKI;52111,00;87770,00;29778,00;56077,00;677317,00;30323,00;5658,00;9561,00;823,00;1407,00;1540,00;1734,00;827,00;1402,00;940,00;1294,00;808,00;140,00;24,00; -   
TARNOPOLSKIE;KOPYCZYNIECKI;80853,00;155464,00;88806,00;19142,00;880094,00;46056,00;19314,00;1578,00;46114,00;19437,00;27672,00;9193,00;13872,00;75,00;35,00;612,00;508,00;206,00;15,00;4793,00
TARNOPOLSKIE;PODHAJECKI;64853,00;125252,00;62966,00;66430,00;1013993,00;18262,00;23548,00;4465,00;36725,00;3331,00;2013,00;6948,00;12354,00;621,00;315,00;1805,00;797,00;177,00;112,00;2461,00
TARNOPOLSKIE;PRZEMYŚLAŃSKI;51425,00;83139,00;37010,00;75514,00;886049,00;2693,00;11125,00;7134,00;8808,00;1469,00;876,00;4094,00;3339,00;576,00;440,00;1784,00;1217,00;42,00;110,00; -   
TARNOPOLSKIE;RADZIECHOWSKI;59495,00;83794,00;44947,00;56478,00;613453,00;8897,00;6195,00;9846,00;163,00;1614,00;1140,00;2022,00;1234,00;195,00;226,00;901,00;820,00;91,00;72,00; -   
TARNOPOLSKIE;SKAŁACKI;110066,00;122000,00;102588,00;36901,00;756313,00;22939,00;44830,00;2100,00;4557,00;10699,00;8023,00;7390,00;7655,00;218,00;73,00;1175,00;878,00;75,00; -   ;1390,00
TARNOPOLSKIE;TARNOPOLSKI;100525,00;184305,00;124234,00;110063,00;1220576,00;30133,00;55474,00;4611,00;4606,00;7371,00;9211,00;10130,00;4190,00;910,00;444,00;2843,00;1659,00;424,00; -   ;3031,00
TARNOPOLSKIE;TREMBOWELSKI;74885,00;119308,00;72893,00;33650,00;656728,00;2866,00;30700,00;2238,00;30242,00;16905,00;19681,00;2808,00;7608,00;163,00;97,00;952,00;587,00;90,00; -   ;2371,00
TARNOPOLSKIE;ZALESZCZYCKI;76229,00;87258,00;41986,00;11122,00;648056,00;34892,00;3454,00;87,00;72287,00;8945,00;7597,00;3730,00;695,00;29,00;16,00;730,00;680,00;1605,00; -   ;5866,00
TARNOPOLSKIE;ZBARASKI;191671,00;10249,00;85807,00;123641,00;644312,00;5189,00;32354,00;3996,00;671,00;8026,00;1949,00;16408,00;3442,00;406,00;353,00;951,00;866,00;187,00; -   ;549,00
TARNOPOLSKIE;ZBOROWSKI;35724,00;123249,00;82684,00;107909,00;947470,00;7614,00;28964,00;4439,00;1336,00;1768,00;2334,00;3872,00;964,00;528,00;305,00;1156,00;848,00; -   ; -   ; -   
TARNOPOLSKIE;ZŁOCZOWSKI;60728,00;112169,00;69804,00;84839,00;910125,00;30382,00;19215,00;11847,00;2968,00;2123,00;716,00;1781,00;1893,00;605,00;248,00;1840,00;1389,00;548,00;34,00; -   
WARSZAWSKIE;BŁOŃSKI;61565,00;271461,00;32903,00;117655,00;1192587,00;249339,00;1271,00;1013,00;88,00;4001,00;2897,00;1217,00;254,00;90,00;53,00; -   ; -   ;2079,00; -   ; -   
WARSZAWSKIE;CIECHANOWSKI;82997,00;337898,00;60532,00;57625,00;1080014,00;286273,00;2079,00;27,00;60,00;16047,00;12586,00;6761,00;1030,00;157,00;150,00; -   ; -   ;1639,00; -   ; -   
WARSZAWSKIE;GOSTYNIŃSKI;58937,00;295085,00;19067,00;73190,00;968754,00;102056,00;1228,00;238,00;45,00;2007,00;1935,00;2454,00;71,00;124,00;107,00;22,00;16,00;935,00; -   ; -   
WARSZAWSKIE;GRÓJECKI;77672,00;517556,00;45081,00;212948,00;2484973,00;2169,00;1745,00;662,00;287,00;1740,00;3636,00;1617,00;365,00;505,00;330,00;42,00;39,00;1993,00;175,00; -   
WARSZAWSKIE;KUTNOWSKI;130584,00;315448,00;58420,00;112737,00;1060981,00;633663,00;353,00;164,00;134,00;3078,00;4696,00;7548,00;345,00;168,00;78,00;19,00;8,00;1978,00;42,00; -   
WARSZAWSKIE;LIPNOWSKI;66231,00;504479,00;89348,00;65657,00;1222400,00;129887,00;2361,00; -   ;46,00;9145,00;11848,00;4013,00;43,00;66,00;26,00; -   ; -   ;3481,00;95,00; -   
WARSZAWSKIE;MAKOWSKI (MAKÓW MAZOWIECKI);40443,00;240816,00;19288,00;54775,00;658581,00;17497,00;7045,00;1283,00;6,00;5108,00;3446,00;8929,00;84,00;1577,00;721,00;35,00;21,00;924,00; -   ; -   
WARSZAWSKIE;MIŃSKI;21961,00;284744,00;43773,00;127866,00;1414385,00; -   ;8682,00;4212,00;92,00;2568,00;4484,00;2368,00;391,00;2708,00;1937,00;75,00;78,00;750,00; -   ; -   
WARSZAWSKIE;MŁAWSKI;20740,00;479868,00;22585,00;44336,00;1466121,00;31844,00;9786,00;811,00; -   ;6861,00;4769,00;4640,00;242,00;482,00;332,00;4,00;4,00;1907,00; -   ; -   
WARSZAWSKIE;NIESZAWSKI;139444,00;571367,00;142516,00;37940,00;1375636,00;539334,00;83,00; -   ;441,00;26423,00;24628,00;17461,00;513,00;24,00;27,00;5,00;4,00;3029,00; -   ; -   
WARSZAWSKIE;PRZASNYCKI;70831,00;264599,00;21421,00;33251,00;810975,00;51674,00;5535,00;1234,00;60,00;5536,00;2537,00;12521,00;60,00;1797,00;1228,00;3,00;4,00;426,00; -   ; -   
WARSZAWSKIE;PUŁTUSKI;67553,00;445488,00;44707,00;102220,00;1279599,00;35123,00;16299,00;331,00;9,00;3892,00;6382,00;2522,00;358,00;1625,00;584,00;40,00;19,00;1803,00;20,00; -   
WARSZAWSKIE;PŁOCKI;133068,00;602633,00;97711,00;124160,00;1721144,00;406101,00;2037,00;84,00;35,00;7203,00;6924,00;3289,00;49,00;81,00;54,00; -   ; -   ;2560,00; -   ; -   
WARSZAWSKIE;PŁOŃSKI;75859,00;424651,00;66231,00;77207,00;1446035,00;147877,00;2807,00;44,00;16,00;4772,00;5430,00;4021,00;101,00;168,00;109,00; -   ; -   ;2512,00; -   ; -   
WARSZAWSKIE;RADZYMIŃSKI;19226,00;237544,00;19810,00;64119,00;693121,00; -   ;10391,00;864,00;35,00;1107,00;1114,00;816,00;19,00;1743,00;1201,00;38,00;27,00;66,00; -   ; -   
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);27673,00;427746,00;39395,00;108311,00;1840684,00;4620,00;1640,00;1805,00;25,00;1087,00;532,00;1797,00;897,00;793,00;478,00;27,00;11,00;2643,00; -   ; -   
WARSZAWSKIE;RYPIŃSKI;52779,00;372237,00;89856,00;49383,00;988686,00;150619,00;3129,00;42,00;30,00;10216,00;6924,00;6883,00;64,00;360,00;136,00;21,00;29,00;3108,00; -   ; -   
WARSZAWSKIE;SIERPECKI;25590,00;460844,00;31819,00;61098,00;1341033,00;34710,00;4244,00;1091,00;66,00;5603,00;5581,00;5962,00;278,00;331,00;120,00;4,00;2,00;965,00; -   ; -   
WARSZAWSKIE;SKIERNIEWICKI;30716,00;300403,00;38028,00;104277,00;1230884,00;6200,00;298,00;403,00;32,00;1526,00;596,00;2313,00;286,00;1093,00;530,00;7,00;4,00;2890,00;10,00; -   
WARSZAWSKIE;SOCHACZEWSKI;70125,00;275069,00;29573,00;96963,00;1221825,00;111178,00;1219,00;154,00;116,00;1951,00;2158,00;2594,00;363,00;171,00;59,00;20,00;10,00;1404,00; -   ; -   
WARSZAWSKIE;WARSZAWSKI;44378,00;253080,00;33690,00;122345,00;1450293,00;27121,00;3336,00;47,00;58,00;1379,00;2582,00;1205,00;488,00;29,00;21,00;6,00;4,00;462,00; -   ; -   
WARSZAWSKIE;WŁOCŁAWSKI;120940,00;495452,00;103835,00;67271,00;1039186,00;479946,00;406,00;68,00;1082,00;12072,00;8817,00;10773,00;91,00;130,00;116,00;19,00;21,00;2240,00; -   ; -   
WARSZAWSKIE;ŁOWICKI;85175,00;437665,00;33873,00;161408,00;1545340,00;118483,00;295,00;12601,00;160,00;838,00;813,00;8025,00;591,00;3521,00;2531,00;5,00;4,00;2673,00; -   ; -   
WOŁYŃSKIE;DUBIEŃSKI;245034,00;473330,00;242540,00;324039,00;1553916,00;13121,00;84513,00;17473,00;233,00;15755,00;2833,00;9440,00;5937,00;881,00;427,00;3433,00;1477,00;6865,00;2043,00; -   
WOŁYŃSKIE;HOROCHOWSKI;184624,00;177218,00;121582,00;140727,00;1368710,00;14286,00;27106,00;24995,00; -   ;1806,00;706,00;9528,00;1921,00;976,00;710,00;1152,00;1195,00;4684,00;34,00; -   
WOŁYŃSKIE;KOSTOPOLSKI;31888,00;259128,00;37733,00;114144,00;1107597,00; -   ;55463,00;29519,00;194,00;287,00;775,00;8135,00;1341,00;6772,00;2747,00;3147,00;1574,00;2458,00;177,00; -   
WOŁYŃSKIE;KOWELSKI;135682,00;406242,00;82387,00;70388,00;1710163,00;2036,00;18922,00;27089,00;395,00;698,00;127,00;18999,00;7089,00;5159,00;4553,00;4806,00;4936,00;2185,00;8,00; -   
WOŁYŃSKIE;KRZEMIENIECKI;67874,00;620426,00;223729,00;361747,00;1162957,00;14587,00;179506,00;44776,00;368,00;7800,00;1996,00;39313,00;9165,00;727,00;362,00;4858,00;7095,00;2180,00;68,00;5601,00
WOŁYŃSKIE;LUBOMELSKI;33302,00;146865,00;36527,00;30157,00;553945,00; -   ;13790,00;11300,00;231,00;194,00;1293,00;3556,00;6936,00;2572,00;1346,00;3801,00;1588,00;680,00;34,00; -   
WOŁYŃSKIE;RÓWIEŃSKI;184824,00;433672,00;162898,00;274310,00;1534854,00;527560,00;58995,00;25889,00;442,00;2993,00;1059,00;15790,00;3172,00;1956,00;1480,00;1505,00;1295,00;8056,00;3058,00;1556,00
WOŁYŃSKIE;SARNEŃSKI;6284,00;232727,00;35477,00;45875,00;1121460,00; -   ;38524,00;23482,00;1104,00;443,00;405,00;2601,00;2252,00;3430,00;2670,00;2836,00;1768,00;50,00; -   ; -   
WOŁYŃSKIE;WŁODZIMIERSKI;181821,00;235607,00;104980,00;139078,00;1657228,00;73218,00;18107,00;20284,00;12,00;2006,00;985,00;10872,00;695,00;2742,00;1635,00;2235,00;1550,00;6754,00;525,00; -   
WOŁYŃSKIE;ZDOŁBUNOWSKI;117990,00;164821,00;105109,00;113306,00;610828,00;65506,00;33896,00;19545,00;976,00;2423,00;1304,00;8373,00;4339,00;1599,00;900,00;2018,00;1623,00;7374,00;1552,00;1277,00
WOŁYŃSKIE;ŁUCKI;257378,00;508897,00;214673,00;271505,00;2082282,00;27671,00;48713,00;27376,00;3995,00;2161,00;2242,00;17862,00;7343,00;5583,00;2934,00;5595,00;2026,00;9270,00;1224,00; -   
ZIEMIA WILEŃSKA;BRASŁAWSKI;25782,00;278850,00;53906,00;114872,00;981449,00; -   ;699,00; -   ; -   ;1106,00;9010,00;38842,00;7299,00;10146,00;7612,00;172,00;106,00;7,00; -   ; -   
ZIEMIA WILEŃSKA;DZIŚNIEŃSKI;40108,00;299160,00;66991,00;184146,00;1314030,00; -   ;200,00; -   ; -   ;1699,00;10727,00;34551,00;4149,00;11785,00;9444,00;184,00;222,00;14,00; -   ; -   
ZIEMIA WILEŃSKA;MOŁODECZAŃSKI;12762,00;166468,00;52429,00;104111,00;701549,00; -   ;1233,00; -   ; -   ;474,00;1361,00;10290,00;418,00;8180,00;4105,00;595,00;385,00;14,00; -   ; -   
ZIEMIA WILEŃSKA;OSZMIAŃSKI;6451,00;247207,00;64651,00;134039,00;702127,00; -   ;6067,00; -   ; -   ;367,00;3750,00;12296,00;43,00;5858,00;7719,00;90,00;69,00;10,00; -   ; -   
ZIEMIA WILEŃSKA;POSTAWSKI;22743,00;184591,00;28166,00;62713,00;859816,00; -   ;583,00; -   ; -   ;1129,00;2125,00;33606,00;2706,00;4358,00;5650,00;238,00;171,00; -   ; -   ; -   
ZIEMIA WILEŃSKA;WILEJSKI;4399,00;290550,00;80947,00;107899,00;1434249,00; -   ;4742,00; -   ; -   ;410,00;2874,00;39063,00;590,00;6448,00;3150,00;1062,00;1063,00;47,00; -   ; -   
ZIEMIA WILEŃSKA;WILEŃSKO-TROCKI;19465,00;423814,00;109299,00;194955,00;2152933,00; -   ;43219,00;2,00; -   ;3518,00;4087,00;24250,00;905,00;5137,00;2964,00;332,00;236,00;17,00; -   ; -   
ZIEMIA WILEŃSKA;WILNO (MIASTO);0,00;0,00;0,00;0,00;0,00;;;;;0,00;;0,00;;;;;;;;
ZIEMIA WILEŃSKA;ŚWIĘCIAŃSKI;30980,00;299412,00;49568,00;95606,00;1252464,00; -   ;9286,00; -   ; -   ;969,00;4186,00;45258,00;2983,00;4646,00;3115,00;292,00;274,00;22,00; -   ; -   
ŁÓDZKIE;BRZEZIŃSKI;25297,00;372090,00;14105,00;115476,00;1613746,00;9582,00;975,00;112,00;60,00;998,00;1205,00;2333,00;298,00;141,00;76,00;12,00;6,00;1297,00;10,00; -   
ŁÓDZKIE;KALISKI;94190,00;547768,00;31278,00;190152,00;2199043,00;244338,00;2754,00;1276,00;360,00;3607,00;4825,00;11617,00;426,00;860,00;513,00;21,00;22,00;3626,00;8,00; -   
ŁÓDZKIE;KOLSKI;87002,00;557274,00;53933,00;89853,00;1774449,00;159078,00;1396,00;225,00;100,00;7760,00;6166,00;7645,00;827,00;253,00;149,00;8,00;5,00;3506,00; -   ; -   
ŁÓDZKIE;KONIŃSKI;94272,00;904884,00;81676,00;180026,00;3221090,00;232604,00;3443,00;314,00;441,00;15156,00;8582,00;11777,00;718,00;386,00;260,00;92,00;82,00;2338,00;25,00; -   
ŁÓDZKIE;PIOTRKOWSKI;41132,00;636279,00;36841,00;176672,00;2785918,00;684,00;2309,00;4701,00;19,00;2194,00;4016,00;2618,00;1558,00;1285,00;630,00;27,00;11,00;1743,00;10,00; -   
ŁÓDZKIE;RADOMSZCZAŃSKI;25445,00;657784,00;53529,00;128912,00;2769162,00;4104,00;1843,00;9625,00;34,00;2125,00;3296,00;1699,00;1648,00;2369,00;993,00;14,00;9,00;849,00;253,00; -   
ŁÓDZKIE;SIERADZKI;49261,00;682642,00;23118,00;188704,00;2507572,00;39942,00;2158,00;2215,00;181,00;1690,00;4113,00;3449,00;1921,00;1118,00;677,00;6,00;5,00;1699,00; -   ; -   
ŁÓDZKIE;TURECKI;58452,00;505941,00;18693,00;113284,00;1477198,00;88299,00;801,00;2659,00;18,00;3568,00;1619,00;4607,00;1345,00;1486,00;685,00;20,00;11,00;1867,00; -   ; -   
