Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso;Kukurydza;Mieszanki na ziarno: Jęczmień;Mieszanki na ziarno: Inne mieszanki zbóż;Groch;Fasola, bób, soczewica;Len: Nasienie;Len: Włókno;Konopie: Nasienie;Konopie: Włókno;Rzepak i rzepik;Chmiel;Tytoń
KIELECKIE;IŁŻECKI;31091,00;354359,00;157679,00;225460,00;1892399,00;7614,00;12473,00;9126,00; -   ;3339,00;518,00;3364,00;2052,00;950,00;560,00;433,00;200,00;1954,00;168,00; -   
KIELECKIE;JĘDRZEJOWSKI;107593,00;333679,00;90222,00;128771,00;1945271,00;2830,00;67,00;4460,00;280,00;2518,00;1624,00;4019,00;982,00;190,00;42,00;30,00;14,00;757,00; -   ; -   
KIELECKIE;KIELECKI;28070,00;280889,00;55124,00;72266,00;2293289,00; -   ;1808,00;1864,00; -   ;809,00;448,00;981,00;301,00;1178,00;690,00;124,00;89,00;50,00; -   ; -   
KIELECKIE;KONECKI;15563,00;288240,00;32541,00;73538,00;2412616,00; -   ;846,00;3876,00;20,00;85,00;285,00;1093,00;131,00;679,00;341,00;46,00;36,00;149,00; -   ; -   
KIELECKIE;KOZIENICKI;38551,00;452182,00;109897,00;169500,00;1902437,00;22470,00;15612,00;11061,00;6,00;1533,00;2948,00;1728,00;1098,00;1575,00;803,00;303,00;206,00;1011,00;173,00; -   
KIELECKIE;MIECHOWSKI;118950,00;314364,00;145153,00;202937,00;1777581,00;123044,00;390,00;9241,00;1627,00;1809,00;2979,00;3775,00;1623,00;257,00;61,00;85,00;50,00;1782,00; -   ;2567,00
KIELECKIE;OLKUSKI;30844,00;260209,00;73644,00;119455,00;1985623,00; -   ;1110,00;33,00; -   ;1898,00;1214,00;835,00;261,00;147,00;72,00;78,00;47,00;395,00; -   ; -   
KIELECKIE;OPATOWSKI;77317,00;311857,00;167512,00;300491,00;2328730,00;254258,00;3402,00;8180,00; -   ;2132,00;2903,00;7687,00;797,00;473,00;247,00;120,00;88,00;3372,00;102,00; -   
KIELECKIE;OPOCZYŃSKI;21776,00;496878,00;46225,00;142421,00;2191673,00; -   ;6790,00;8706,00;48,00;762,00;838,00;2693,00;821,00;1785,00;774,00;140,00;144,00;968,00;7,00; -   
KIELECKIE;PIŃCZOWSKI;99245,00;263433,00;125980,00;126203,00;1362355,00;219195,00;422,00;30000,00;222,00;4262,00;2085,00;2641,00;1895,00;49,00;26,00;84,00;40,00;2028,00; -   ; -   
KIELECKIE;RADOM (MIASTO);0,00;0,00;0,00;0,00;0,00;;;;;0,00;;0,00;;;;;;;;
KIELECKIE;RADOMSKI;51412,00;706510,00;131954,00;212043,00;2971830,00;617,00;10032,00;11945,00;87,00;2126,00;1001,00;7683,00;5943,00;2561,00;1980,00;168,00;163,00;4216,00;98,00; -   
KIELECKIE;SANDOMIERSKI;61176,00;237091,00;132499,00;176993,00;1690595,00;185788,00;436,00;24591,00;115,00;1955,00;1369,00;5925,00;2013,00;378,00;152,00;382,00;244,00;1937,00;82,00; -   
KIELECKIE;SOSNOWIEC;0,00;0,00;0,00;0,00;0,00;;;;;0,00;;0,00;;;;;;;;
KIELECKIE;STOPNICKI;71950,00;343334,00;103848,00;130430,00;2351327,00;8571,00;916,00;31410,00;224,00;2429,00;3600,00;3070,00;2254,00;129,00;52,00;123,00;61,00;678,00;18,00; -   
KIELECKIE;WŁOSZCZOWSKI;72652,00;303562,00;44210,00;82732,00;1686684,00; -   ;221,00;1734,00;111,00;3308,00;1804,00;1648,00;396,00;859,00;309,00;65,00;27,00;502,00;75,00; -   
KIELECKIE;ZAWIERCIAŃSKI;13342,00;200327,00;24498,00;38366,00;1327348,00; -   ;653,00;51,00;12,00;1519,00;454,00;1056,00;548,00;91,00;49,00;19,00;9,00;37,00; -   ; -   
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);12409,00;99914,00;7791,00;103559,00;736991,00;5139,00;21,00; -   ;29,00;3356,00;522,00;27,00;192,00; -   ; -   ; -   ; -   ;52,00; -   ; -   
KRAKOWSKIE;BOCHEŃSKI;51288,00;123586,00;38081,00;82590,00;629715,00; -   ; -   ;2853,00;647,00;876,00;148,00;842,00;891,00;3,00;2,00;13,00;10,00;158,00;50,00; -   
KRAKOWSKIE;BRZESKI (BRZESKO);51756,00;169221,00;53765,00;100725,00;1266889,00;2466,00;316,00;7050,00;837,00;926,00;502,00;1450,00;1491,00;25,00;28,00;45,00;32,00;59,00; -   ; -   
KRAKOWSKIE;CHRZANOWSKI;9490,00;93781,00;9115,00;41437,00;634723,00; -   ;6,00;495,00;31,00;335,00;172,00;320,00;436,00; -   ; -   ; -   ; -   ; -   ; -   ; -   
KRAKOWSKIE;DĄBROWSKI;35910,00;93197,00;29946,00;52853,00;505965,00;8004,00;93,00;5020,00;4175,00;462,00;1203,00;728,00;1308,00;40,00;23,00;65,00;69,00;379,00; -   ; -   
KRAKOWSKIE;GORLICKI;22461,00;73356,00;35933,00;95155,00;596626,00; -   ;9,00;44,00;26,00;4509,00;700,00;516,00;1374,00;490,00;662,00;6,00;9,00;12,00; -   ; -   
KRAKOWSKIE;JASIELSKI;29215,00;121367,00;47025,00;91690,00;822266,00;1718,00;367,00;1332,00;233,00;4829,00;824,00;1506,00;5370,00;262,00;159,00;168,00;115,00;60,00; -   ; -   
KRAKOWSKIE;KRAKOWSKI;41163,00;187279,00;32004,00;137719,00;1129811,00;18141,00;181,00;528,00;74,00;1036,00;1683,00;956,00;556,00;5,00;3,00; -   ; -   ;447,00; -   ; -   
KRAKOWSKIE;KRAKÓW (MIASTO);0,00;0,00;0,00;0,00;0,00;;;;;0,00;;0,00;;;;;;;;
KRAKOWSKIE;LIMANOWSKI;33451,00;53732,00;36563,00;104840,00;489489,00; -   ; -   ; -   ; -   ;2191,00;1007,00;624,00;209,00;308,00;203,00;111,00;53,00; -   ; -   ; -   
