Region;District;Pszenica (z≥ za q = 100kg);Øyto (z≥ za q = 100kg);JÍczmieÒ browarniany (z≥ za q = 100kg);JÍczmieÒ innych gatunkÛw (z≥ za q = 100kg);Owies (z≥ za q = 100kg);Gryka (z≥ za q = 100kg);Groch (z≥ za q = 100kg);Ziemniaki jadalne (z≥ za q = 100kg);Ziemniaki fabryczne (z≥ za q = 100kg);Siano koniczyny (z≥ za q = 100kg);Siano ≥πkowe (z≥ za q = 100kg);S≥oma (z≥ za q = 100kg)
LUBELSKIE;RADZY—SKI;18,94;14,19;13,50;12,29;13,06;15,36;20,38;1,75;1,60;5,33;3,68;2,25
LUBELSKIE;SIEDLECKI;18,44;14,63;14,71;13,83;13,39;X;18,22;2,04;1,78;4,27;3,43;2,06
LUBELSKIE;SOKO£OWSKI;18,63;14,5;14,63;14,25;13,21;X;14,75;2,04;1,68;6,14;4,14;2,07
LUBELSKIE;TOMASZOWSKI;16,08;13;12,33;12,21;10,64;15,53;21,47;2,98;2,62;4,62;3,69;2,08
LUBELSKIE;W GROWSKI;18,40;14,4;14,00;13,22;13,4;18,67;18,00;2,37;X;5,00;4,06;2,00
LUBELSKIE;W£ODAWSKI;18,23;13,04;12,33;12;11,86;15,73;18,27;2,16;1,62;4,79;3,65;2,15
LUBELSKIE;ZAMOJSKI;16,38;13;14,14;12,88;11,31;16,00;25,00;2,96;2,33;4,59;3,75;2,15
LUBELSKIE;£UKOWSKI;18,14;14,43;13,80;12,83;12,1;16,67;16,83;2,07;2,00;4,71;3,68;2,09
LWOWSKIE;BRZOZOWSKI;19,91;14,82;X;13,55;12,5;X;20,00;3,36;X;5,36;4,44;2,37
LWOWSKIE;B”BRECKI;17,10;13,7;13,75;12,25;11,3;X;X;5;3,75;5,67;4,45;2,93
LWOWSKIE;DOBROMILSKI;19,00;16;X;14,33;13,67;X;X;4,2;3,50;6,17;5,50;4,13
LWOWSKIE;DROHOBYCKI;21,86;16,71;X;14,8;13,57;X;X;4,69;X;7,57;5,88;3,50
LWOWSKIE;GR”DECKI;17,29;13,57;13,00;12;10,29;X;X;4,92;X;5,92;4,64;2,95
LWOWSKIE;JAROS£AWSKI;18,73;14;13,67;13,14;12,55;X;X;4,28;2,75;6,19;5,44;2,87
LWOWSKIE;JAWOROWSKI;17,42;13,38;X;12,5;11,17;16,00;21,50;4,12;4,00;6,50;5,28;3,28
LWOWSKIE;KOLBUSZOWSKI;19,13;13,67;13,33;12,83;11,93;13,50;17,00;3,33;X;6,27;4,79;2,75
LWOWSKIE;KROåNIE—SKI;19,26;14;14,17;12,86;12,21;X;20,40;3,21;2,07;5,38;4,54;2,31
LWOWSKIE;LESKI;20,25;16,21;X;14,6;13,21;X;27,50;5,27;X;5,50;4,36;3,10
LWOWSKIE;LUBACZOWSKI;18,17;13,5;12,50;11,38;11,5;16,20;19,75;3,3;3,25;7,25;5,85;3,20
LWOWSKIE;LWOWSKI;18,33;15,5;13,33;11,2;11,83;17,50;X;4,92;X;5,83;4,50;2,92
LWOWSKIE;LW”W (MIASTO);;;;;;;;;;;;
LWOWSKIE;MOåCISKI;18,06;14,5;14,60;12,07;10,53;X;X;3,38;2,88;5,79;4,64;2,86
LWOWSKIE;NIØA—SKI;19,63;13,5;X;12,38;12;15,33;25,00;4,39;X;6,92;5,14;3,07
LWOWSKIE;PRZEMYSKI;18,95;14,38;14,88;12,94;12,05;X;22,55;4,08;2,92;6,47;5,31;3,02
LWOWSKIE;PRZEWORSKI;18,00;13;13,00;11,91;11,73;16,00;21,50;4,18;3,00;5,25;4,60;2,69
LWOWSKIE;RAWSKI (RAWA RUSKA);17,08;12,69;12,33;11,5;10,75;17,67;20,00;3,9;3,38;4,31;3,41;2,38
LWOWSKIE;RUDECKI;17,36;14;13,25;12,33;10,67;X;18,67;4,22;3,33;5,50;4,22;2,75
LWOWSKIE;RZESZOWSKI;19,47;14,88;14,00;12,83;13,38;16,50;23,33;3,89;2,50;6,31;5,07;3,17
LWOWSKIE;SAMBORSKI;18,72;15,12;X;13,22;11,11;14,00;18,00;4,13;X;6,76;5,18;3,29
LWOWSKIE;SANOCKI;19,09;14,92;15,67;14,27;13,58;X;26,33;4,23;X;6,00;5,00;2,42
LWOWSKIE;SOKALSKI;16,61;12,72;12,75;11,82;11,17;14,13;17,25;3,04;2,50;4,54;3,60;2,13
LWOWSKIE;TARNOBRZESKI;18,08;14;13,50;12,7;12;15,50;22,50;3,56;X;6,23;5,12;3,35
LWOWSKIE;TURCZA—SKI;X;17,7;X;14;13,63;X;X;5,53;X;5,50;4,20;2,33
LWOWSKIE;£A—CUCKI;19,24;13,5;14,50;12,88;12,41;16,43;20,00;4,04;3,75;5,68;4,30;2,63
LWOWSKIE;Ø”£KIEWSKI;16,80;13,13;13,00;11,64;10,36;16,57;16,50;4,2;2,50;5,62;4,08;2,69
M. ST. WARSZAWA;PO£UDNIOWO-WARSZAWSKI;;;;;;;;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;;;;;;;;
M. ST. WARSZAWA;P”£NOCNO-WARSZAWSKI;;;;;;;;;;;;
M. ST. WARSZAWA;åR”DMIEJSKO-WARSZAWSKI;;;;;;;;;;;;
NOWOGR”DZKIE;BARANOWICKI;16,13;11,31;14,60;13,69;10,73;15,13;16,80;2,91;1,97;4,42;3,34;1,66
NOWOGR”DZKIE;LIDZKI;18,00;11,05;X;10,94;10,32;13,25;14,56;3,76;X;5,53;4,06;2,40
NOWOGR”DZKIE;NIEåWIESKI;16,33;10,46;14,50;12,09;10,67;13,75;X;2,77;X;3,86;3,29;1,83
NOWOGR”DZKIE;NOWOGR”DZKI;16,23;10,25;X;11,75;10,38;11,86;16,83;3,64;X;4,42;3,15;1,74
NOWOGR”DZKIE;STO£PECKI;15,00;10;X;11,4;10,73;13,63;15,33;3,1;X;4,06;3,07;1,55
NOWOGR”DZKIE;SZCZUCZY—SKI (WOJ. NOWOGR”DZKIE);17,00;11,46;13,00;11,75;10,92;13,33;17,80;3,76;3,40;4,71;3,10;2,07
NOWOGR”DZKIE;S£ONIMSKI;16,75;12,43;13,40;12,5;11,92;14,00;15,40;3,13;2,90;3,93;2,74;1,72
NOWOGR”DZKIE;WO£OØY—SKI;16,57;10,36;X;11,17;11,43;12,50;14,80;3,5;X;4,73;3,66;2,06
POLESKIE;BRZESKI (BRZEå∆ N.BUG.);17,83;13,17;13,00;12,6;11,85;15,57;17,67;2,72;2,50;4,40;3,50;1,91
POLESKIE;DROHICKI;16,91;12,38;12,00;11,4;10,63;12,71;13,00;3,27;2,67;4,31;2,90;2,00
POLESKIE;IWACEWICKI;16,67;12,43;X;12,71;11,67;12,67;17,67;3,03;X;4,85;2,60;1,85
POLESKIE;KOBRY—SKI;17,20;12,63;13,00;11,75;11,94;16,07;17,33;3,1;2,63;4,61;3,22;1,99
POLESKIE;KOSZYRSKI;20,20;12;X;11,71;11;12,80;16,75;3,07;X;3,42;2,40;1,76
POLESKIE;PI—SKI;18,67;12,39;X;12,43;11,52;12,42;18,55;3,22;2,23;4,20;2,56;1,90
POLESKIE;PRUØA—SKI;16,47;12,82;14,11;13,27;13,33;14,86;16,58;2,69;2,41;4,17;3,55;2,21
POLESKIE;STOLI—SKI;15,38;11,5;11,67;11,43;10,58;13,75;22,00;3,11;X;5,10;3,10;2,01
POLESKIE;£UNINIECKI;X;12,67;X;12,83;13,11;13,50;14,50;3,67;X;4,97;3,09;2,34
POMORSKIE;BRODNICKI;17,71;15,83;17,60;16,14;14,5;X;19,00;4,16;X;5,50;4,50;2,50
POMORSKIE;CHE£MI—SKI;18,50;16,06;18,25;16,67;14,93;X;21,50;4,53;3,00;5,75;5,19;2,65
POMORSKIE;CHOJNICKI;19,07;15,83;17,77;16,81;14,65;16,00;23,54;4,56;3,04;6,75;4,95;2,84
POMORSKIE;DZIA£DOWSKI;18,19;15,2;17,64;16,06;13,53;15,50;20,83;3,76;2,53;5,67;4,92;2,64
POMORSKIE;GDYNIA (MIASTO);;;;;;;;;;;;
POMORSKIE;GRUDZI•DZ (MIASTO);;;;;;;;;;;;
POMORSKIE;GRUDZI•DZKI;19,26;16,47;19,64;17,67;15,35;X;24,43;4,67;2,92;5,81;5,09;2,38
POMORSKIE;KARTUSKI;22,14;16,56;21,40;18,5;16,3;X;30,43;4,57;3,00;6,38;5,64;3,16
POMORSKIE;KOåCIERSKI;19,60;16,25;19,50;16,44;14,5;X;25,00;4,7;3,75;5,09;4,92;2,37
POMORSKIE;LUBAWSKI;17,62;15,14;17,54;17;13,88;X;17,57;3,88;2,68;4,50;3,90;2,45
POMORSKIE;MORSKI;20,89;16,17;19,33;16,43;15,47;X;21,14;5,28;3,50;6,70;5,59;3,53
POMORSKIE;STAROGARDZKI;19,76;16,41;19,94;18,26;15,47;X;25,62;4,7;3,42;5,35;4,82;2,60
POMORSKIE;S POLE—SKI;19,27;16,18;19,17;17;14,33;X;23,33;3,89;X;6,83;5,00;2,38
POMORSKIE;TCZEWSKI;20,04;16,81;20,22;18,28;16,21;X;25,27;4,95;3,69;6,42;5,47;2,49
POMORSKIE;TORU— (MIASTO);;;;;;;;;;;;
POMORSKIE;TORU—SKI;19,33;17,14;21,67;18,57;15,86;X;29,60;4,33;2,97;6,63;5,08;2,67
POMORSKIE;TUCHOLSKI;19,20;15,94;19,38;17,21;15;X;19,80;4,2;3,00;5,70;5,34;3,22
POMORSKIE;W•BRZESKI;18,72;15,89;19,50;17,25;15,27;X;22,67;4,05;X;5,69;4,72;2,06
POMORSKIE;åWIECKI;19,89;16,77;20,27;17,96;15,65;X;25,88;4,98;3,17;6,59;6,01;3,25
POZNA—SKIE;BYDGOSKI;19,35;17;20,56;18,22;15,59;X;28,50;4,57;4,00;7,21;6,83;3,48
POZNA—SKIE;BYDGOSZCZ (MIASTO);;;;;;;;;;;;
POZNA—SKIE;CHODZIESKI;19,25;16,55;18,86;17,67;14,7;X;20,00;4,55;X;8,67;6,70;3,17
POZNA—SKIE;CZARNKOWSKI;20,00;17;X;17,6;15;X;X;4,8;X;6,25;6,25;2,13
POZNA—SKIE;GNIEZNO (MIASTO);;;;;;;;;;;;
POZNA—SKIE;GNIEèNIE—SKI;18,89;16,33;19,00;17,26;15,06;21,00;26,00;3,95;2,90;6,79;6,17;2,59
POZNA—SKIE;GOSTY—SKI;19,33;16,47;20,00;17,08;15,21;X;27,69;4,32;2,80;7,00;6,78;2,88
POZNA—SKIE;INOWROC£AW (MIASTO);;;;;;;;;;;;
POZNA—SKIE;INOWROC£AWSKI;18,86;16,31;20,59;18,25;15,54;X;25,64;4,32;2,98;6,36;5,72;2,89
POZNA—SKIE;JAROCI—SKI;19,68;16,32;19,60;17,56;14,83;X;26,38;4,39;4,25;9,90;7,46;2,66
POZNA—SKIE;KOåCIA—SKI;18,93;16,47;19,67;17,64;15,62;X;24,00;4,31;3,50;9,00;6,30;2,50
POZNA—SKIE;KROTOSZY—SKI;18,63;16,29;18,19;16,43;14,67;X;23,27;4,39;4,10;10,67;7,29;2,84
POZNA—SKIE;K PI—SKI;19,48;16,04;18,78;16,2;14,42;X;24,18;3,27;2,64;6,00;5,57;2,85
POZNA—SKIE;LESZCZY—SKI;19,56;16,5;20,07;17,6;15,31;X;24,14;4,5;3,67;8,25;6,57;3,28
POZNA—SKIE;MI DZYCHODZKI;19,14;16,11;20,75;18,25;14,83;X;X;5,8;X;X;6,00;X
POZNA—SKIE;MOGILE—SKI;19,13;16,62;21,35;19,21;15,17;X;27,62;3,81;3,50;5,50;5,50;2,18
POZNA—SKIE;NOWOTOMYSKI;19,75;16,51;18,88;17,37;15,38;X;27,11;5,26;3,95;6,95;6,69;2,83
POZNA—SKIE;OBORNICKI;20,13;17,13;21,00;19,17;15,71;X;28,25;3,67;X;8,00;6,17;3,00
POZNA—SKIE;OSTROWSKI (OSTR”W WIELKOPOLSKI);19,69;15,89;18,88;16,78;14,73;19,00;26,54;4,39;3,88;7,94;7,18;3,02
POZNA—SKIE;POZNA— (MIASTO);;;;;;;;;;;;
POZNA—SKIE;POZNA—SKI;19,39;16,33;19,40;18,31;15,38;21,67;25,25;5,05;3,25;7,33;6,92;3,36
POZNA—SKIE;RAWICKI;19,47;16,33;19,60;17,5;15,46;X;27,67;4,94;X;13,00;9,33;3,44
POZNA—SKIE;SZAMOTULSKI;19,50;16,67;20,90;18,5;15,17;X;24,17;4,94;4,00;8,05;6,97;2,89
POZNA—SKIE;SZUBI—SKI;19,80;16,8;20,29;17,78;15,89;X;24,54;4,48;3,15;6,89;6,20;3,07
POZNA—SKIE;WOLSZTY—SKI;19,52;16,48;18,40;17,22;15,76;X;25,50;6,7;X;9,50;8,24;3,53
POZNA—SKIE;WRZESI—SKI;19,00;16;19,64;17,71;14,63;X;30,00;4,24;X;6,67;5,00;1,97
POZNA—SKIE;WYRZYSKI;19,29;16,4;20,17;18,07;14,62;X;24,00;4,26;3,50;6,67;6,50;3,16
POZNA—SKIE;W•GROWIECKI;19,87;16,81;20,00;18,08;15,77;X;19,50;4,5;X;X;8,50;3,17
POZNA—SKIE;åREDZKI;19,14;16,43;19,18;17,6;15,39;X;25,14;4,31;3,50;7,50;5,50;2,57
POZNA—SKIE;åREMSKI;19,86;16,85;20,85;18,85;15,79;X;21,67;4,34;2,80;X;6,84;2,26
POZNA—SKIE;ØNI—SKI;19,11;16,37;20,76;18,5;15,42;X;24,71;3,79;2,74;7,13;5,58;2,57
STANIS£AWOWSKIE;DOLI—SKI;20,89;16,5;X;14,17;13,11;X;22,67;4,72;X;5,13;4,00;2,50
STANIS£AWOWSKIE;HORODE—SKI;17,20;14,5;14,00;12,5;11,6;15,67;17,50;3,8;3,00;5,30;4,88;2,50
STANIS£AWOWSKIE;KA£USKI;18,56;15,78;14,50;13,33;12,13;17,50;X;4,71;X;5,60;4,67;2,83
STANIS£AWOWSKIE;KOSOWSKI (KOS”W HUCULSKI);19,10;16,18;X;15,75;15,64;X;23,50;5,23;4,00;4,89;4,70;3,06
STANIS£AWOWSKIE;KO£OMYJSKI;17,85;14,92;14,25;12,57;10,93;X;19,00;3,94;3,00;5,42;4,68;2,78
STANIS£AWOWSKIE;NADW”RNIA—SKI;19,71;16;14,67;13,38;11,38;18,33;20,14;4,44;2,58;4,90;3,96;3,06
STANIS£AWOWSKIE;ROHATY—SKI;16,92;14;X;12,6;10,67;12,25;17,25;4;X;3,83;3,20;2,20
STANIS£AWOWSKIE;STANIS£AWOWSKI;17,50;14,25;X;13;11,38;X;X;4,43;X;4,83;4,25;2,40
STANIS£AWOWSKIE;STRYJSKI;19,53;16,06;14,50;13,62;12,62;16,67;18,50;4,85;3,38;5,79;4,29;3,10
STANIS£AWOWSKIE;T£UMACKI;18,08;14,67;15,25;12,63;11,25;18,00;22,00;4,72;X;5,00;3,59;2,71
STANIS£AWOWSKIE;åNIATY—SKI;17,21;14,5;14,29;13,45;12,92;17,50;19,25;4,02;3,17;3,96;3,35;2,21
STANIS£AWOWSKIE;ØYDACZOWSKI;18,27;14,9;13,67;12,71;11,82;17,25;19,25;4,33;X;4,81;3,88;2,29
TARNOPOLSKIE;BORSZCZOWSKI;16,38;14,13;14,50;13,57;12,43;16,75;19,00;3,7;2,30;4,71;3,60;2,19
TARNOPOLSKIE;BRODZKI;15,67;12,27;12,40;11,2;9,18;16,11;12,80;3,63;2,67;4,82;4,15;2,65
TARNOPOLSKIE;BRZEØA—SKI;17,00;14,22;14,83;13,43;12,11;15,57;16,80;3,63;2,50;6,00;5,57;3,50
TARNOPOLSKIE;BUCZACKI;16,67;13,79;13,40;12,56;12,23;17,33;14,40;4,61;X;6,17;5,50;3,20
TARNOPOLSKIE;CZORTKOWSKI;17,00;15;14,50;13,6;13,33;17,67;15,50;4,5;2,75;5,00;X;2,67
TARNOPOLSKIE;KAMIONECKI;16,64;13;13,25;11,88;10;16,00;16,67;3,7;3,50;4,81;3,67;2,01
TARNOPOLSKIE;KOPYCZYNIECKI;16,11;13,2;14,25;13,29;12,43;15,50;20,75;4,33;3,00;6,00;5,00;2,63
TARNOPOLSKIE;PODHAJECKI;15,88;13,2;13,80;12,36;11,29;16,20;17,71;3,68;2,25;5,25;3,35;2,12
TARNOPOLSKIE;PRZEMYåLA—SKI;17,07;13,21;14,00;11,79;9,93;15,57;20,00;4,04;3,33;4,96;3,77;2,87
TARNOPOLSKIE;RADZIECHOWSKI;16,42;12,83;13,71;12,25;5,75;16,00;15,00;3,67;X;5,29;4,13;2,93
TARNOPOLSKIE;SKA£ACKI;16,45;13,64;14,60;12,83;12,89;16,89;19,33;4,14;X;5,00;4,25;2,70
TARNOPOLSKIE;TARNOPOLSKI;16,50;13,5;13,67;12,89;12,18;18,00;18,00;5,7;X;5,50;4,81;2,59
TARNOPOLSKIE;TREMBOWELSKI;16,15;13,85;14,00;12,64;12,62;17,70;16,67;4,2;2,88;5,33;5,13;2,86
TARNOPOLSKIE;ZALESZCZYCKI;16,00;13,43;14,00;12,33;12,33;20,33;X;4;3,00;6,90;X;3,00
TARNOPOLSKIE;ZBARASKI;16,00;13,05;14,27;13,38;11,39;16,18;18,33;3,25;3,00;5,23;4,41;2,62
TARNOPOLSKIE;ZBOROWSKI;15,71;12,57;13,00;11,29;9,29;14,00;X;4,38;X;4,75;4,30;2,50
TARNOPOLSKIE;Z£OCZOWSKI;16,79;13,79;14,20;12,67;10,36;18,00;17,50;4,88;4,13;5,20;4,71;3,14
WARSZAWSKIE;B£O—SKI;19,94;14,88;16,00;13,89;12,75;20,00;21,25;3,34;3,13;5,71;4,26;2,52
WARSZAWSKIE;CIECHANOWSKI;17,07;14,64;16,88;15,14;13,08;17,00;23,00;2,87;2,60;4,79;3,93;2,27
WARSZAWSKIE;GOSTYNI—SKI;17,00;14,64;16,00;15,7;12,27;17,00;20,67;3,34;X;5,79;4,69;2,36
WARSZAWSKIE;GR”JECKI;18,18;13,55;13,00;12,75;13,18;X;X;3;2,25;5,45;4,40;2,53
WARSZAWSKIE;KUTNOWSKI;17,77;15,57;18,00;15,91;14,73;X;21,75;3,57;3,00;6,56;4,79;2,33
WARSZAWSKIE;LIPNOWSKI;17,80;15,8;19,00;16,89;14,44;X;24,33;3,72;X;5,67;5,00;3,38
WARSZAWSKIE;MAKOWSKI (MAK”W MAZOWIECKI);16,59;14,24;16,00;13,91;11,62;17,00;19,00;2,45;2,45;5,11;4,36;2,05
WARSZAWSKIE;MI—SKI;18,88;15,28;14,00;13,85;12,88;19,67;23,50;2,9;2,63;5,47;4,17;2,46
WARSZAWSKIE;M£AWSKI;17,36;15,12;17,25;16;13,17;22,80;20,33;3,17;2,50;3,95;3,08;2,00
WARSZAWSKIE;NIESZAWSKI;18,17;16,04;19,77;18;15,35;X;25,13;3,83;3,10;X;X;3,00
WARSZAWSKIE;PRZASNYCKI;16,31;14,56;16,17;14,44;12,9;19,50;16,80;2,54;2,30;4,70;4,00;1,98
WARSZAWSKIE;PU£TUSKI;17,53;15;16,54;14,93;12,13;19,25;20,56;2,68;2,07;4,88;3,58;2,16
WARSZAWSKIE;P£OCKI;17,57;15,75;18,82;17,28;13,85;X;20,00;3,35;2,61;5,17;4,60;2,58
WARSZAWSKIE;P£O—SKI;17,14;15,5;17,42;15,93;13,38;19,00;21,75;3;2,43;5,79;5,33;2,86
WARSZAWSKIE;RADZYMI—SKI;20,55;14,77;15,00;14,22;13,27;17,00;18,00;3,52;X;5,89;4,39;2,23
