Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso;Kukurydza;Mieszanki na ziarno: Jęczmień;Mieszanki na ziarno: Inne mieszanki zbóż;Groch;Fasola, bób, soczewica;Len;Konopie;Rzepak i rzepik;Chmiel;Tytoń
LUBELSKIE;KRASNOSTAWSKI;23728,00;19827,00;9772,00;11623,00;12072,00;1148,00;2682,00;639,00;9,00;1506,00;244,00;174,00;33,00;198,00;166,00;250,00;41,00;133,00
LUBELSKIE;LUBARTOWSKI;4779,00;32189,00;3737,00;8580,00;12522,00;178,00;6858,00;469,00;5,00;316,00;100,00;91,00;40,00;222,00;41,00;187,00;40,00;18,00
LUBELSKIE;LUBELSKI;28676,00;31588,00;13144,00;17898,00;17198,00;2667,00;3615,00;448,00;24,00;2402,00;146,00;226,00;82,00;139,00;69,00;417,00;47,00;104,00
LUBELSKIE;LUBLIN (MIASTO);;;;;;;;;;;;;;;;;;
LUBELSKIE;PUŁAWSKI;8892,00;28040,00;11406,00;9714,00;14518,00;1076,00;3939,00;1363,00;3,00;995,00;153,00;239,00;60,00;150,00;106,00;136,00;156,00;101,00
LUBELSKIE;RADZYŃSKI;8513,00;23597,00;2082,00;12989,00;12933,00;98,00;2751,00;668,00;8,00;122,00;80,00;409,00;73,00;473,00;48,00;178,00; -   ; -   
LUBELSKIE;SIEDLECKI;7246,00;39862,00;2726,00;14601,00;19283,00;13,00;369,00;161,00;4,00;170,00;1337,00;849,00;36,00;962,00;16,00;121,00; -   ; -   
LUBELSKIE;SOKOŁOWSKI;6601,00;23390,00;3483,00;7551,00;12824,00;300,00;240,00;199,00;4,00;591,00;777,00;663,00;64,00;633,00;10,00;48,00; -   ; -   
LUBELSKIE;TOMASZOWSKI;16533,00;16933,00;10262,00;10733,00;9699,00;1008,00;1750,00;693,00;17,00;238,00;275,00;251,00;216,00;349,00;417,00;184,00;21,00;58,00
LUBELSKIE;WĘGROWSKI;5011,00;20799,00;2600,00;7237,00;13118,00;110,00;689,00;366,00;1,00;141,00;166,00;237,00;15,00;539,00;7,00;12,00; -   ; -   
LUBELSKIE;WŁODAWSKI;7897,00;36263,00;3394,00;11120,00;13581,00;72,00;5233,00;951,00; -   ;31,00;91,00;558,00;189,00;637,00;240,00;429,00;28,00; -   
LUBELSKIE;ZAMOJSKI;16630,00;16706,00;9154,00;11817,00;10264,00;996,00;1704,00;727,00;12,00;366,00;136,00;509,00;142,00;427,00;422,00;56,00;19,00;161,00
LUBELSKIE;ŁUKOWSKI;4731,00;40946,00;3124,00;13541,00;17277,00; -   ;3509,00;478,00;2,00;128,00;103,00;477,00;47,00;754,00;16,00;191,00;28,00; -   
LWOWSKIE;BRZOZOWSKI;6133,00;10104,00;3722,00;6567,00;6002,00;40,00;33,00;47,00;2,00;177,00;75,00;77,00;90,00;64,00;104,00;5,00; -   ; -   
LWOWSKIE;BÓBRECKI;10827,00;7452,00;3572,00;6975,00;7880,00;1159,00;655,00;585,00;691,00;143,00;62,00;272,00;115,00;284,00;246,00;28,00;2,00; -   
LWOWSKIE;DOBROMILSKI;5769,00;8700,00;2434,00;9208,00;5862,00;29,00;26,00;27,00;33,00;124,00;154,00;65,00;192,00;177,00;160,00;16,00; -   ; -   
LWOWSKIE;DROHOBYCKI;4466,00;10374,00;2647,00;9506,00;9081,00; -   ;75,00;441,00;55,00;44,00;22,00;56,00;227,00;594,00;205,00; -   ; -   ; -   
LWOWSKIE;GRÓDECKI;5894,00;9700,00;3067,00;7019,00;6628,00;52,00;1343,00;488,00;19,00;181,00;58,00;118,00;311,00;469,00;235,00;13,00; -   ; -   
LWOWSKIE;JAROSŁAWSKI;11339,00;19709,00;4895,00;9062,00;9946,00;1126,00;528,00;631,00;98,00;177,00;162,00;101,00;61,00;241,00;292,00;56,00; -   ; -   
LWOWSKIE;JAWOROWSKI;4200,00;16192,00;3440,00;7838,00;7615,00;3,00;1323,00;813,00;12,00;95,00;83,00;80,00;80,00;530,00;373,00; -   ; -   ; -   
LWOWSKIE;KOLBUSZOWSKI;2824,00;15300,00;3274,00;4638,00;7887,00; -   ;693,00;658,00;4,00;44,00;115,00;61,00;49,00;266,00;128,00; -   ; -   ; -   
LWOWSKIE;KROŚNIEŃSKI;7540,00;10919,00;4228,00;9214,00;7966,00;19,00;42,00;76,00;4,00;705,00;142,00;99,00;257,00;69,00;51,00;11,00; -   ; -   
