Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka
NOWOGRÓDZKIE;BARANOWICKI;3695;41248;8128;17330;17240; -   ; 5 985 
NOWOGRÓDZKIE;LIDZKI;1011;53075;11481;22640;16948; -   ; 7 970 
NOWOGRÓDZKIE;NIEŚWIESKI;4435;29335;7600;16473;17333; -   ; 2 207 
NOWOGRÓDZKIE;NOWOGRÓDZKI;6019;34695;8816;19495;15131; -   ; 5 005 
NOWOGRÓDZKIE;STOŁPECKI;2967;28810;6329;12194;12282; -   ; 2 620 
NOWOGRÓDZKIE;SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE);1544;24648;6616;9598;8483; -   ; 2 520 
NOWOGRÓDZKIE;SŁONIMSKI;3342;39721;5494;14512;15682; -   ; 6 260 
NOWOGRÓDZKIE;WOŁOŻYŃSKI;1314;24462;7898;13137;11669; -   ; 1 432 
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);9751;55933;9323;21311;30004; -   ; 3 757 
POLESKIE;DROHICKI;2435;22795;3329;9969;12539; -   ; 841 
POLESKIE;IWACEWICKI;626;22801;3237;8448;11122; -   ; 2 025 
POLESKIE;KOBRYŃSKI;5059;35537;4517;9939;15638; -   ; 2 384 
POLESKIE;KOSZYRSKI;697;26234;3145;6274;12788; -   ; 1 685 
POLESKIE;PIŃSKI;1469;43512;3922;14306;19129; -   ; 4 169 
POLESKIE;PRUŻAŃSKI;3234;33950;6189;13661;14019; -   ; 1 324 
POLESKIE;STOLIŃSKI;1339;25593;2204;4953;11623; -   ; 3 139 
POLESKIE;ŁUNINIECKI;555;18236;1554;4575;11226; -   ; 2 457 
POMORSKIE;BRODNICKI;3023;19899;4690;2553;8869; 443 ; 11 
POMORSKIE;CHEŁMIŃSKI;7735;11171;5793;2595;6180; 2 818 ; -   
POMORSKIE;CHOJNICKI;864;29658;2276;5649;11031; 18 ; 628 
POMORSKIE;DZIAŁDOWSKI;821;17796;3349;2570;8504; 10 ; 38 
POMORSKIE;GDYNIA (MIASTO);;;;;;;
POMORSKIE;GRUDZIĄDZ (MIASTO);;;;;;;
POMORSKIE;GRUDZIĄDZKI;7418;11397;6061;4080;5242; 1 104 ; 1 
POMORSKIE;KARTUSKI;331;28389;1239;9107;13234; -   ; 12 
POMORSKIE;KOŚCIERSKI;1020;21076;1099;5062;7943; 16 ; 386 
POMORSKIE;LUBAWSKI;2173;18519;5349;3753;8060; 93 ; 4 
POMORSKIE;MORSKI;541;19815;1382;7051;8650; 7 ; 35 
POMORSKIE;STAROGARDZKI;2140;18759;2592;2690;8163; 320 ; 35 
POMORSKIE;SĘPOLEŃSKI;932;16138;3113;4009;5847; 135 ; 9 
POMORSKIE;TCZEWSKI;8233;8873;5196;3353;5772; 1 937 ; 6 
POMORSKIE;TORUŃ (MIASTO);;;;;;;
POMORSKIE;TORUŃSKI;7745;13898;4294;2273;7159; 3 013 ; 45 
POMORSKIE;TUCHOLSKI;1358;18062;3057;2411;6407; 225 ; 21 
POMORSKIE;WĄBRZESKI;6352;14259;4832;2637;6963; 1 012 ; 7 
POMORSKIE;ŚWIECKI;3684;27833;5097;3697;14547; 959 ; 22 
POZNAŃSKIE;BYDGOSKI;4219;22797;6130;4594;9965; 642 ; 7 
POZNAŃSKIE;BYDGOSZCZ (MIASTO);;;;;;;
POZNAŃSKIE;CHODZIESKI;712;20158;2717;3268;8240; 85 ; 1 
POZNAŃSKIE;CZARNKOWSKI;832;16876;1633;3009;7598; 139 ; 1 
POZNAŃSKIE;GNIEZNO (MIASTO);;;;;;;
POZNAŃSKIE;GNIEŹNIEŃSKI;4390;33115;6099;5454;12931; 1 458 ; 67 
POZNAŃSKIE;GOSTYŃSKI;6971;12824;4480;5365;7811; 2 352 ; 17 
POZNAŃSKIE;INOWROCŁAW (MIASTO);;;;;;;
POZNAŃSKIE;INOWROCŁAWSKI;8966;18106;7835;2331;7982; 5 630 ; 13 
POZNAŃSKIE;JAROCIŃSKI;6832;28942;4303;8270;13541; 2 559 ; 14 
POZNAŃSKIE;KOŚCIAŃSKI;6417;23919;4905;5376;13014; 2 053 ; 9 
POZNAŃSKIE;KROTOSZYŃSKI;9100;17245;3954;9491;9222; 1 821 ; -   
POZNAŃSKIE;KĘPIŃSKI;2482;32690;1746;8994;13836; 520 ; 15 
POZNAŃSKIE;LESZCZYŃSKI;3484;19386;2615;4867;8833; 1 229 ; 11 
POZNAŃSKIE;MIĘDZYCHODZKI;1121;16293;1363;2623;6560; 297 ; 33 
