Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki Cukrowe
POZNAŃSKIE;KĘPIŃSKI;44 462;231 802;17 817;113 435;1 307 690;98 047
POZNAŃSKIE;LESZCZYŃSKI;80 756;209 496;36 538;84 185;1 363 186;350 700
POZNAŃSKIE;MIĘDZYCHODZKI;34 310;187 555;22 346;39 044;871 692;88 185
POZNAŃSKIE;MOGILEŃSKI;106 382;316 390;99 671;59 574;1 312 560;260 071
POZNAŃSKIE;NOWOTOMYSKI;46 488;186 975;20 615;40 900;1 014 390;323 303
POZNAŃSKIE;OBORNICKI;75 270;326 466;57 293;79 369;1 583 653;206 638
POZNAŃSKIE;ODOLANOWSKI;21 565;133 437;10 104;61 993;602 146;2 414
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI);41 229;118 366;16 019;41 378;789 922;55 820
POZNAŃSKIE;OSTRZESZOWSKI;8 620;166 378;6 444;38 901;552 736;13 609
POZNAŃSKIE;PLESZEWSKI;83 047;182 042;26 132;80 148;1 038 592;147 695
POZNAŃSKIE;POZNAŃ (MIASTO);;;;;;
POZNAŃSKIE;POZNAŃSKI;118 881;464 646;107 064;102 805;2 089 540;397 364
POZNAŃSKIE;RAWICKI;64 610;122 040;36 251;66 491;922 122;503 992
POZNAŃSKIE;STRZELNEŃSKI;162 641;199 440;133 365;27 760;849 156;993 147
POZNAŃSKIE;SZAMOTULSKI;147 095;320 124;80 717;79 394;1 547 847;578 153
POZNAŃSKIE;SZUBIŃSKI;61 023;261 041;76 118;38 888;1 146 260;289 679
POZNAŃSKIE;WOLSZTYŃSKI;26 727;202 116;17 900;47 057;1 213 388;144 380
POZNAŃSKIE;WRZESIŃSKI;121 812;290 735;94 156;72 713;1 160 098;531 400
POZNAŃSKIE;WYRZYSKI;125 564;359 700;111 906;73 350;1 515 509;263 718
POZNAŃSKIE;WĄGROWIECKI;87 959;352 802;96 874;77 143;1 528 365;195 199
POZNAŃSKIE;ŚMIGIELSKI;67 009;163 079;35 704;58 779;1 184 025;168 748
POZNAŃSKIE;ŚREDZKI;121 472;317 376;87 188;84 645;1 355 370;571 908
POZNAŃSKIE;ŚREMSKI;81 858;289 851;50 261;70 773;1 461 336;285 346
POZNAŃSKIE;ŻNIŃSKI;102 808;264 264;95 162;62 518;1 104 129;325 582
STANISŁAWOWSKIE;BOHORODCZAŃSKI;11 638;42 903;8 793;55 758;737 787;0
STANISŁAWOWSKIE;DOLIŃSKI;10 420;61 635;3 026;59 519;482 329;0
STANISŁAWOWSKIE;HORODEŃSKI;172 748;78 207;115 113;39 228;1 106 795;277 808
STANISŁAWOWSKIE;KAŁUSKI;49 490;72 453;7 245;68 106;790 428;0
STANISŁAWOWSKIE;KOSOWSKI (KOSÓW HUCULSKI);9 999;13 387;2 977;6 321;105 623;0
STANISŁAWOWSKIE;KOŁOMYJSKI;118 412;94 567;42 708;99 587;1 316 214;63 541
STANISŁAWOWSKIE;NADWÓRNIAŃSKI;15 437;70 732;4 187;42 207;728 631;0
STANISŁAWOWSKIE;ROHATYŃSKI;186 351;107 024;67 112;110 502;1 630 227;125 374
STANISŁAWOWSKIE;SKOLSKI;2 403;16 909;1 549;59 997;243 353;0
STANISŁAWOWSKIE;STANISŁAWOWSKI;80 950;88 662;7 972;61 959;1 076 908;11 776
STANISŁAWOWSKIE;STRYJSKI;36 272;61 846;10 307;48 604;713 302;0
STANISŁAWOWSKIE;TŁUMACKI;119 356;113 328;23 897;67 120;1 097 473;6 823
STANISŁAWOWSKIE;ŚNIATYŃSKI;98 807;73 739;36 521;23 730;526 635;46 353
STANISŁAWOWSKIE;ŻYDACZOWSKI;78 054;93 407;21 377;66 844;924 878;27 792
TARNOPOLSKIE;BORSZCZOWSKI;180 255;123 958;62 299;19 774;802 877;1 107
TARNOPOLSKIE;BRODZKI;69 198;87 815;49 137;49 350;729 965;10 579
TARNOPOLSKIE;BRZEŻAŃSKI;149 883;73 694;109 359;105 762;1 146 751;72 537
TARNOPOLSKIE;BUCZACKI;132 561;128 185;64 048;40 666;927 225;16 640
TARNOPOLSKIE;CZORTKOWSKI;143 667;54 981;89 260;18 614;745 021;40 916
TARNOPOLSKIE;KAMIONECKI;108 503;66 583;35 288;61 476;683 257;41 769
TARNOPOLSKIE;KOPYCZYNIECKI;138 289;66 374;94 321;13 852;846 664;53 060
TARNOPOLSKIE;PODHAJECKI;162 105;84 210;98 520;77 496;1 129 071;26 254
TARNOPOLSKIE;PRZEMYŚLAŃSKI;152 129;85 070;46 502;93 837;1 009 019;51 992
TARNOPOLSKIE;RADZIECHOWSKI;106 954;89 332;56 277;72 294;783 499;9 947
TARNOPOLSKIE;SKAŁACKI;212 548;97 700;163 042;38 628;916 543;34 034
TARNOPOLSKIE;TARNOPOLSKI;212 622;107 239;166 447;103 576;1 256 957;40 004
TARNOPOLSKIE;TREMBOWELSKI;113 908;38 599;106 536;27 508;747 436;7 486
TARNOPOLSKIE;ZALESZCZYCKI;120 333;78 813;58 651;13 042;540 376;66 925
TARNOPOLSKIE;ZBARASKI;184 465;73 953;103 632;83 427;685 315;7 175
TARNOPOLSKIE;ZBOROWSKI;102 443;66 398;94 213;94 121;1 048 143;7 697
TARNOPOLSKIE;ZŁOCZOWSKI;136 657;107 320;92 706;94 377;1 113 038;12 941
WARSZAWSKIE;BŁOŃSKI;84 551;223 442;33 730;98 677;1 237 342;240 893
WARSZAWSKIE;CIECHANOWSKI;150 283;326 145;56 837;63 219;934 143;360 202
WARSZAWSKIE;GOSTYNIŃSKI;99 383;362 925;21 985;94 523;1 089 226;141 763
WARSZAWSKIE;GRÓJECKI;116 288;475 860;37 505;180 681;2 360 125;1 086
WARSZAWSKIE;KUTNOWSKI;212 883;307 181;63 463;117 957;1 287 533;816 928
WARSZAWSKIE;LIPNOWSKI;125 256;500 602;117 248;82 099;1 262 622;227 528
WARSZAWSKIE;MAKOWSKI (MAKÓW MAZOWIECKI);60 784;252 396;20 023;56 640;884 654;19463
WARSZAWSKIE;MIŃSKI;31 392;289 094;38 393;113 234;1 303 834;0
WARSZAWSKIE;MŁAWSKI;25 162;413 042;20 001;43 366;1 552 172;43609
WARSZAWSKIE;NIESZAWSKI;254 494;563 743;154 365;35 569;2 016 375;777 531
WARSZAWSKIE;PRZASNYCKI;90 275;250271;20 063;32 022;759 232;68 198
WARSZAWSKIE;PUŁTUSKI;88 823;428 012;38 126;86 649;1 461 681;41 875
