scenario,District,target_label,dest_id,distance_km_1924,distance_km_1938,change_ratio_km_1938_vs_1924,proportional_change_km_1938_vs_1924,distance_miles_1924,distance_miles_1938,change_ratio_miles_1938_vs_1924,proportional_change_miles_1938_vs_1924,distance_minutes_1924,distance_minutes_1938,change_ratio_minutes_1938_vs_1924,proportional_change_minutes_1938_vs_1924
fixed14,SANOCKI,Stołpce,Border_Crossing:Stołpce,,,,,,,,,3236.187914561782,3232.039703099613,0.9987181796695107,-0.0012818203304892815
fixed14,SANOCKI,Zbąszyń,Border_Crossing:Zbąszyń,,,,,,,,,3305.3043883489736,2953.8732774850346,0.8936766271503722,-0.10632337284962784
fixed14,SANOCKI,Zebrzydowice,Border_Crossing:Zebrzydowice,,,,,,,,,1502.4184622211387,1497.747085811895,0.9968907621100863,-0.0031092378899136397
fixed14,SARNEŃSKI,Gdynia,City:Gdynia,,,,,,,,,3892.957221614726,3718.464058071034,0.9551772203981949,-0.0448227796018051
fixed14,SARNEŃSKI,Stołpce,Border_Crossing:Stołpce,,,,,,,,,1291.5655622371428,1290.722250557303,0.9993470624298939,-0.0006529375701061252
fixed14,SARNEŃSKI,Zbąszyń,Border_Crossing:Zbąszyń,,,,,,,,,3581.2612865686183,3572.1775449492998,0.9974635356394166,-0.002536464360583445
fixed14,SARNEŃSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,,,,,,,,,2927.16730282437,2929.0921655884786,1.0006575854964803,0.0006575854964802914
fixed14,SIEDLECKI,Gdynia,City:Gdynia,,,,,,,,,2409.5725447240084,2229.298403189016,0.925184181762977,-0.074815818237023
fixed14,SIEDLECKI,Stołpce,Border_Crossing:Stołpce,,,,,,,,,1673.6652208741186,1671.1148088411665,0.9984761516215171,-0.0015238483784828587
fixed14,SIEDLECKI,Zbąszyń,Border_Crossing:Zbąszyń,,,,,,,,,2104.512502509946,2083.3982883552185,0.9899671709578605,-0.01003282904213952
fixed14,SIEDLECKI,Zebrzydowice,Border_Crossing:Zebrzydowice,,,,,,,,,1927.3178002489542,1925.0286035959152,0.9988122370619192,-0.0011877629380807214
fixed14,SIERADZKI,Gdynia,City:Gdynia,,,,,,,,,1954.972902728582,1626.5302227404748,0.8319963005473399,-0.16800369945266017
fixed14,SIERADZKI,Stołpce,Border_Crossing:Stołpce,,,,,,,,,2706.7616025558227,2683.223460862647,0.9913039472442086,-0.008696052755791408
fixed14,SIERADZKI,Zbąszyń,Border_Crossing:Zbąszyń,,,,,,,,,988.5253566426686,988.8824209396803,1.0003612090419454,0.0003612090419454424
fixed14,SIERADZKI,Zebrzydowice,Border_Crossing:Zebrzydowice,,,,,,,,,1540.902717586144,1068.0449679417334,0.6931293947062719,-0.30687060529372817
fixed14,SIERPECKI,Gdynia,City:Gdynia,,,,,,,,,2178.761659585306,1317.5075441324557,0.6047047589332112,-0.39529524106678876
fixed14,SIERPECKI,Stołpce,Border_Crossing:Stołpce,,,,,,,,,2635.084929409367,2557.9253645407875,0.9707183764715037,-0.02928162352849629
fixed14,SIERPECKI,Zbąszyń,Border_Crossing:Zbąszyń,,,,,,,,,2270.7205536990136,1423.3878981929427,0.6268441512427575,-0.37315584875724245
fixed14,SIERPECKI,Zebrzydowice,Border_Crossing:Zebrzydowice,,,,,,,,,2489.934165810582,1940.2858027649645,0.7792518490677913,-0.22074815093220865
fixed14,SKAŁACKI,Gdynia,City:Gdynia,,,,,,,,,4366.056906812055,4189.394879423131,0.9595373969786581,-0.040462603021341845
fixed14,SKAŁACKI,Stołpce,Border_Crossing:Stołpce,,,,,,,,,2731.505857311239,2731.2618562301163,0.9999106715878094,-8.932841219057208e-05
fixed14,SKAŁACKI,Zbąszyń,Border_Crossing:Zbąszyń,,,,,,,,,3925.307678646025,3898.08716034382,0.9930653797025168,-0.006934620297483143
fixed14,SKAŁACKI,Zebrzydowice,Border_Crossing:Zebrzydowice,,,,,,,,,2599.5501380987253,2599.3061370176024,0.9999061371898365,-9.386281016349981e-05
fixed14,SKIERNIEWICKI,Gdynia,City:Gdynia,,,,,,,,,1937.8064480605954,1750.4839230356997,0.9033326959911953,-0.09666730400880473
fixed14,SKIERNIEWICKI,Stołpce,Border_Crossing:Stołpce,,,,,,,,,2384.153046119494,2241.6862994635794,0.9402442947663125,-0.05975570523368742
fixed14,SKIERNIEWICKI,Zbąszyń,Border_Crossing:Zbąszyń,,,,,,,,,1400.8574230979962,1398.8704973365354,0.9985816359832919,-0.0014183640167081662
fixed14,SKIERNIEWICKI,Zebrzydowice,Border_Crossing:Zebrzydowice,,,,,,,,,1390.6919468382423,1388.704989859229,0.9985712457862932,-0.001428754213706804
fixed14,SOCHACZEWSKI,Gdynia,City:Gdynia,,,,,,,,,2006.2855157187441,1813.7170717228908,0.9040174279846374,-0.09598257201536267
fixed14,SOCHACZEWSKI,Stołpce,Border_Crossing:Stołpce,,,,,,,,,2258.7322071542926,2240.6202660396225,0.9919813685494445,-0.008018631450555529
fixed14,SOCHACZEWSKI,Zbąszyń,Border_Crossing:Zbąszyń,,,,,,,,,1469.3364907561445,1462.1036460237265,0.995077475596692,-0.00492252440330797
fixed14,SOCHACZEWSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,,,,,,,,,1629.1033671211285,1610.5945196000341,0.9886386291412543,-0.011361370858745626
fixed14,SOKALSKI,Gdynia,City:Gdynia,,,,,,,,,3643.1225041936978,3466.64665146882,0.9515591769088929,-0.04844082309110704
fixed14,SOKALSKI,Stołpce,Border_Crossing:Stołpce,,,,,,,,,2137.277594796513,2137.2197683794357,0.9999729438902939,-2.7056109706095553e-05
fixed14,SOKALSKI,Zbąszyń,Border_Crossing:Zbąszyń,,,,,,,,,3331.4265691475903,3320.360138347086,0.9966781705762358,-0.003321829423764219
fixed14,SOKALSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,,,,,,,,,2184.423341062938,2184.387915804492,0.9999837827870723,-1.6217212927646754e-05
fixed14,SOKOŁOWSKI,Gdynia,City:Gdynia,,,,,,,,,2486.9636544140094,2271.1648210174553,0.9132279906811096,-0.08677200931889037
fixed14,SOKOŁOWSKI,Stołpce,Border_Crossing:Stołpce,,,,,,,,,1758.7450461144695,1754.429798315132,0.9975464051433317,-0.0024535948566683403
fixed14,SOKOŁOWSKI,Zbąszyń,Border_Crossing:Zbąszyń,,,,,,,,,2181.903612199948,2158.599071807964,0.9893191705345376,-0.010680829465462432
fixed14,SOKOŁOWSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,,,,,,,,,2011.4424142407754,2007.1271664414373,0.9978546500915032,-0.0021453499084968185
fixed14,SOKÓLSKI,Gdynia,City:Gdynia,,,,,,,,,2922.007960732881,2686.9911977092984,0.9195701154200013,-0.08042988457999864
fixed14,SOKÓLSKI,Stołpce,Border_Crossing:Stołpce,,,,,,,,,1357.5802474163609,1359.5606771483401,1.0014587938619086,0.0014587938619085345
fixed14,SOKÓLSKI,Zbąszyń,Border_Crossing:Zbąszyń,,,,,,,,,2616.947918518818,2602.7873699064753,0.994588906981245,-0.0054110930187550015
fixed14,SOKÓLSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,,,,,,,,,2727.3324055959174,2632.953490541706,0.965395155038467,-0.03460484496153301
fixed14,STANISŁAWOWSKI,Gdynia,City:Gdynia,,,,,,,,,4152.439896526097,3976.2976494090803,0.9575810242878227,-0.04241897571217734
fixed14,STANISŁAWOWSKI,Stołpce,Border_Crossing:Stołpce,,,,,,,,,2964.7168981131304,2964.992677303915,1.0000930204131666,9.302041316669319e-05
fixed14,STANISŁAWOWSKI,Zbąszyń,Border_Crossing:Zbąszyń,,,,,,,,,3653.757133158935,3626.937725223933,0.9926597726784826,-0.007340227321517411
fixed14,STANISŁAWOWSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,,,,,,,,,2267.1348173960173,2267.2687212199303,1.0000590630177286,5.906301772860019e-05
fixed14,STAROGARDZKI,Gdynia,City:Gdynia,,,,,,,,,688.9433737850683,638.1722231649339,0.926305771196845,-0.07369422880315496
fixed14,STAROGARDZKI,Stołpce,Border_Crossing:Stołpce,,,,,,,,,3287.6309422330355,3225.6424579256877,0.981144938286399,-0.01885506171360091
fixed14,STAROGARDZKI,Zbąszyń,Border_Crossing:Zbąszyń,,,,,,,,,1370.2797294777968,1368.2118326805205,0.9984908944117095,-0.0015091055882905909
fixed14,STAROGARDZKI,Zebrzydowice,Border_Crossing:Zebrzydowice,,,,,,,,,2682.480196922027,2300.826110152049,0.8577234280395055,-0.14227657196049448
fixed14,STOLIŃSKI,Gdynia,City:Gdynia,,,,,,,,,4129.767189982547,3948.790522785208,0.9561775134355445,-0.043822486564455504
fixed14,STOLIŃSKI,Stołpce,Border_Crossing:Stołpce,,,,,,,,,1206.9893804103317,1204.1619331859051,0.9976574381926497,-0.0023425618073502443
fixed14,STOLIŃSKI,Zbąszyń,Border_Crossing:Zbąszyń,,,,,,,,,3824.707147768484,3802.8904079514114,0.9942958404462936,-0.0057041595537063675
fixed14,STOLIŃSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,,,,,,,,,3357.981708115845,3353.1676346169247,0.998566378879526,-0.0014336211204739756
fixed14,STOPNICKI,Gdynia,City:Gdynia,,,,,,,,,3351.0577402371955,3061.1658041218684,0.9134924078942287,-0.08650759210577132
fixed14,STOPNICKI,Stołpce,Border_Crossing:Stołpce,,,,,,,,,3062.725511231778,3065.254170579707,1.0008256238891327,0.0008256238891326873
fixed14,STOPNICKI,Zbąszyń,Border_Crossing:Zbąszyń,,,,,,,,,2695.2100993620793,2594.3962189979875,0.9625951682253071,-0.03740483177469286
fixed14,STOPNICKI,Zebrzydowice,Border_Crossing:Zebrzydowice,,,,,,,,,1306.7546895815328,1303.1630184029968,0.9972514572113866,-0.0027485427886133427
fixed14,STOŁPECKI,Gdynia,City:Gdynia,,,,,,,,,4018.215617960787,3782.5534035759924,0.9413515259531067,-0.05864847404689327
fixed14,STOŁPECKI,Stołpce,Border_Crossing:Stołpce,,,,,,,,,290.14073708281506,286.21377105640596,0.9864653062307199,-0.01353469376928007
fixed14,STOŁPECKI,Zbąszyń,Border_Crossing:Zbąszyń,,,,,,,,,3713.1555757467245,3698.3495757731694,0.9960125559860018,-0.003987444013998146
fixed14,STOŁPECKI,Zebrzydowice,Border_Crossing:Zebrzydowice,,,,,,,,,3470.908414015926,3466.9814479895167,0.9988686056910773,-0.0011313943089226747
fixed14,STRYJSKI,Gdynia,City:Gdynia,,,,,,,,,4115.521211000178,3802.0510580764308,0.9238322105871092,-0.07616778941289079
fixed14,STRYJSKI,Stołpce,Border_Crossing:Stołpce,,,,,,,,,3085.666755373036,3089.8976891629986,1.001371157070865,0.0013711570708650062
fixed14,STRYJSKI,Zbąszyń,Border_Crossing:Zbąszyń,,,,,,,,,3463.119388754375,3438.6240548623196,0.9929268006261643,-0.00707319937383562
fixed14,STRYJSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,,,,,,,,,2076.249156946329,2078.730340275355,1.001195031588923,0.0011950315889231646
fixed14,SUWALSKI,Gdynia,City:Gdynia,,,,,,,,,3433.7264090800786,3202.607485346233,0.9326915146405725,-0.06730848535942743
fixed14,SUWALSKI,Stołpce,Border_Crossing:Stołpce,,,,,,,,,1596.7387026834813,1597.3550273080195,1.0003859896572322,0.00038598965723225044
fixed14,SUWALSKI,Zbąszyń,Border_Crossing:Zbąszyń,,,,,,,,,3128.6663668660167,3118.403657543409,0.9967197814917901,-0.0032802185082099413
fixed14,SUWALSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,,,,,,,,,3239.0508539431157,3148.5697781786394,0.9720655587564092,-0.02793444124359074
fixed14,SZAMOTULSKI,Gdynia,City:Gdynia,,,,,,,,,1486.3168932111023,1439.1529852238227,0.9682679324962897,-0.031732067503710236
fixed14,SZAMOTULSKI,Stołpce,Border_Crossing:Stołpce,,,,,,,,,3366.265307134967,3351.545207466662,0.9956271718580514,-0.004372828141948594
fixed14,SZAMOTULSKI,Zbąszyń,Border_Crossing:Zbąszyń,,,,,,,,,394.446771885132,390.9059037124911,0.9910232040796824,-0.008976795920317596
fixed14,SZAMOTULSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,,,,,,,,,2521.027086788967,1883.0226444014568,0.7469267800687787,-0.2530732199312213
fixed14,SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),Gdynia,City:Gdynia,,,,,,,,,3058.1973677080578,2824.778601880687,0.9236743945004751,-0.07632560549952495
fixed14,SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),Stołpce,Border_Crossing:Stołpce,,,,,,,,,1544.4497131527187,1542.766195683732,0.9989099564364902,-0.0010900435635098744
fixed14,SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),Zbąszyń,Border_Crossing:Zbąszyń,,,,,,,,,2753.1373254939954,2740.574774077863,0.9954370051577872,-0.004562994842212735
fixed14,SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),Zebrzydowice,Border_Crossing:Zebrzydowice,,,,,,,,,2863.521812571095,2770.740894713094,0.9675990182960419,-0.032400981703958096
fixed14,SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),Gdynia,City:Gdynia,,,,,,,,,3599.4942294731854,3367.0673708682466,0.9354279118711196,-0.06457208812888036
fixed14,SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),Stołpce,Border_Crossing:Stołpce,,,,,,,,,1309.144836718316,1308.4532264717611,0.9994717083800381,-0.0005282916199619745
fixed14,SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),Zbąszyń,Border_Crossing:Zbąszyń,,,,,,,,,3294.4341872591235,3282.8635430654226,0.9964878205069481,-0.0035121794930519923
fixed14,SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),Zebrzydowice,Border_Crossing:Zebrzydowice,,,,,,,,,3179.1736509317598,3178.4820406852054,0.9997824559704841,-0.00021754402951585243
fixed14,SZUBIŃSKI,Gdynia,City:Gdynia,,,,,,,,,1045.6956757359621,904.2991148698915,0.8647823031623846,-0.13521769683761536
