scenario,year,District,target_label,dest_id,distance_km,distance_miles,distance_minutes
baseline,1924,BRZEŻAŃSKI,Stołpce,Border_Crossing:Stołpce,647.6612861898716,402.4379410610867,
baseline,1924,BRZEŻAŃSKI,Zbąszyń,Border_Crossing:Zbąszyń,825.9486347402526,513.2205291171855,
baseline,1924,BRZEŻAŃSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,516.605208612549,321.0034950807882,
baseline,1924,BRZOZOWSKI,Gdynia,City:Gdynia,796.8295543486269,495.1267770151606,
baseline,1924,BRZOZOWSKI,Stołpce,Border_Crossing:Stołpce,637.5346535737514,396.1455452257755,
baseline,1924,BRZOZOWSKI,Zbąszyń,Border_Crossing:Zbąszyń,645.9122524001792,401.3511421861518,
baseline,1924,BRZOZOWSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,330.1990791490333,205.17613200991397,
baseline,1924,BUCZACKI,Gdynia,City:Gdynia,1013.0329123868081,629.4692738027034,
baseline,1924,BUCZACKI,Stołpce,Border_Crossing:Stołpce,680.5559626427201,422.87773906326964,
baseline,1924,BUCZACKI,Zbąszyń,Border_Crossing:Zbąszyń,898.0846679836552,558.0437682296719,
baseline,1924,BUCZACKI,Zebrzydowice,Border_Crossing:Zebrzydowice,574.4816138951106,356.9662149076188,
baseline,1924,BYDGOSKI,Gdynia,City:Gdynia,217.15428693014098,134.93337642406863,
baseline,1924,BYDGOSKI,Stołpce,Border_Crossing:Stołpce,728.0585512756027,452.3944700646725,
baseline,1924,BYDGOSKI,Zbąszyń,Border_Crossing:Zbąszyń,196.39034455672638,122.03126478755763,
baseline,1924,BYDGOSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,533.4740952168296,331.48533201897664,
baseline,1924,BÓBRECKI,Gdynia,City:Gdynia,899.0763829836352,558.6599911709244,
baseline,1924,BÓBRECKI,Stołpce,Border_Crossing:Stołpce,623.4455822567062,387.3910048924318,
baseline,1924,BÓBRECKI,Zbąszyń,Border_Crossing:Zbąszyń,797.9417863618035,495.81788573342016,
baseline,1924,BÓBRECKI,Zebrzydowice,Border_Crossing:Zebrzydowice,477.6255338474122,296.7826555923004,
baseline,1924,BĘDZIŃSKI,Gdynia,City:Gdynia,666.6062469032216,414.20979024450173,
baseline,1924,BĘDZIŃSKI,Stołpce,Border_Crossing:Stołpce,689.2077289175913,428.25369572525267,
baseline,1924,BĘDZIŃSKI,Zbąszyń,Border_Crossing:Zbąszyń,515.2820206492696,320.1813044528573,
baseline,1924,BĘDZIŃSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,98.17920563721114,61.00571118599952,
baseline,1924,BŁOŃSKI,Gdynia,City:Gdynia,463.7570860951355,288.1652043440204,
baseline,1924,BŁOŃSKI,Stołpce,Border_Crossing:Stołpce,564.9417482371513,351.03841904386695,
baseline,1924,BŁOŃSKI,Zbąszyń,Border_Crossing:Zbąszyń,340.1758702207706,211.37542065495046,
baseline,1924,BŁOŃSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,339.7306512449522,211.0987744947272,
baseline,1924,CHEŁMIŃSKI,Gdynia,City:Gdynia,246.94763509793447,153.44609896843863,
baseline,1924,CHEŁMIŃSKI,Stołpce,Border_Crossing:Stołpce,712.00721026248,442.4206322480075,
baseline,1924,CHEŁMIŃSKI,Zbąszyń,Border_Crossing:Zbąszyń,252.5812431462583,156.94665963503365,
baseline,1924,CHEŁMIŃSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,519.624751230869,322.8797512970763,
baseline,1924,CHEŁMSKI,Gdynia,City:Gdynia,672.1728249730475,417.66870042632746,
baseline,1924,CHEŁMSKI,Stołpce,Border_Crossing:Stołpce,375.08757231445355,233.0685398966043,
baseline,1924,CHEŁMSKI,Zbąszyń,Border_Crossing:Zbąszyń,601.1506634125308,373.5375888753077,
baseline,1924,CHEŁMSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,448.5287338722064,278.70274789490674,
baseline,1924,CHODZIESKI,Gdynia,City:Gdynia,258.1309017683628,160.39505656270936,
baseline,1924,CHODZIESKI,Stołpce,Border_Crossing:Stołpce,794.0393890138123,493.39304919090154,
baseline,1924,CHODZIESKI,Zbąszyń,Border_Crossing:Zbąszyń,150.44834011042727,93.4842355427563,
baseline,1924,CHODZIESKI,Zebrzydowice,Border_Crossing:Zebrzydowice,598.6460981994293,371.9813246842776,
baseline,1924,CHOJNICKI,Gdynia,City:Gdynia,147.49198388722704,91.64724151999015,
baseline,1924,CHOJNICKI,Stołpce,Border_Crossing:Stołpce,764.8334048125716,475.24529758179244,
baseline,1924,CHOJNICKI,Zbąszyń,Border_Crossing:Zbąszyń,249.52589358080544,155.04815402019867,
baseline,1924,CHOJNICKI,Zebrzydowice,Border_Crossing:Zebrzydowice,617.9172729342997,383.95587380045873,
baseline,1924,CHORZÓW,Gdynia,City:Gdynia,665.6946913623206,413.6433760664965,
baseline,1924,CHORZÓW,Stołpce,Border_Crossing:Stołpce,685.1621874567754,425.739913582204,
baseline,1924,CHORZÓW,Zbąszyń,Border_Crossing:Zbąszyń,514.3704651083684,319.61489027485203,
baseline,1924,CHORZÓW,Zebrzydowice,Border_Crossing:Zebrzydowice,76.97812000135274,47.83197140336055,
baseline,1924,CHRZANOWSKI,Gdynia,City:Gdynia,672.7862139065735,418.0498425213415,
baseline,1924,CHRZANOWSKI,Stołpce,Border_Crossing:Stołpce,681.798793152924,423.6499979002255,
baseline,1924,CHRZANOWSKI,Zbąszyń,Border_Crossing:Zbąszyń,521.4619876526216,324.0213567296971,
baseline,1924,CHRZANOWSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,73.9293334703911,45.93754386783039,
baseline,1924,CIECHANOWSKI,Gdynia,City:Gdynia,351.74705744361637,218.56542083079736,
baseline,1924,CIECHANOWSKI,Stołpce,Border_Crossing:Stołpce,520.9438188239363,323.69938164644816,
baseline,1924,CIECHANOWSKI,Zbąszyń,Border_Crossing:Zbąszyń,374.9110226870567,232.95883707807909,
baseline,1924,CIECHANOWSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,487.075307317553,302.65447078321523,
baseline,1924,CIESZYŃSKI,Gdynia,City:Gdynia,743.4577216403001,461.9630679533549,
baseline,1924,CIESZYŃSKI,Stołpce,Border_Crossing:Stołpce,758.6614379093088,471.4102163351451,
baseline,1924,CIESZYŃSKI,Zbąszyń,Border_Crossing:Zbąszyń,592.1334953863478,367.93458216171035,
baseline,1924,CIESZYŃSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,72.0439449143761,44.76601809539079,
baseline,1924,CZARNKOWSKI,Gdynia,City:Gdynia,300.23384958009467,186.55660734743302,
baseline,1924,CZARNKOWSKI,Stołpce,Border_Crossing:Stołpce,812.4652593109746,504.8423506433196,
baseline,1924,CZARNKOWSKI,Zbąszyń,Border_Crossing:Zbąszyń,159.4022302968517,99.04792324178504,
baseline,1924,CZARNKOWSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,615.2430078969079,382.2941630599096,
baseline,1924,CZORTKOWSKI,Gdynia,City:Gdynia,1031.1783475189698,640.7443209762098,
baseline,1924,CZORTKOWSKI,Stołpce,Border_Crossing:Stołpce,651.4899925856878,404.81698818296144,
baseline,1924,CZORTKOWSKI,Zbąszyń,Border_Crossing:Zbąszyń,920.7517995941755,572.1284664656324,
baseline,1924,CZORTKOWSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,597.1487455056308,371.05091314357935,
baseline,1924,CZĘSTOCHOWSKI,Gdynia,City:Gdynia,579.2113722643879,359.905149595295,
baseline,1924,CZĘSTOCHOWSKI,Stołpce,Border_Crossing:Stołpce,650.9809762181495,404.5007001736478,
baseline,1924,CZĘSTOCHOWSKI,Zbąszyń,Border_Crossing:Zbąszyń,426.35834911831216,264.92671374999475,
baseline,1924,CZĘSTOCHOWSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,164.64570332291902,102.30606531946552,
baseline,1924,DOBROMILSKI,Gdynia,City:Gdynia,844.4155651547603,524.6953441357786,
baseline,1924,DOBROMILSKI,Stołpce,Border_Crossing:Stołpce,676.5171552389257,420.3681412679665,
baseline,1924,DOBROMILSKI,Zbąszyń,Border_Crossing:Zbąszyń,693.5206240099812,430.93360366170606,
baseline,1924,DOBROMILSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,343.81017280321504,213.63367088490654,
baseline,1924,DOLIŃSKI,Gdynia,City:Gdynia,944.3134795332002,586.7690110910241,
baseline,1924,DOLIŃSKI,Stołpce,Border_Crossing:Stołpce,668.885003187083,415.625743315361,
baseline,1924,DOLIŃSKI,Zbąszyń,Border_Crossing:Zbąszyń,795.220955989251,494.1272406439969,
baseline,1924,DOLIŃSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,471.61790190070667,293.049687321944,
baseline,1924,DROHICKI,Gdynia,City:Gdynia,753.6879006231123,468.31980449808395,
baseline,1924,DROHICKI,Stołpce,Border_Crossing:Stołpce,259.37480930872164,161.16798463496968,
baseline,1924,DROHICKI,Zbąszyń,Border_Crossing:Zbąszyń,684.2141140567394,425.1508082655502,
baseline,1924,DROHICKI,Zebrzydowice,Border_Crossing:Zebrzydowice,592.9316099344902,368.4305073966041,
baseline,1924,DROHOBYCKI,Gdynia,City:Gdynia,881.0118515673619,547.4352152202632,
baseline,1924,DROHOBYCKI,Stołpce,Border_Crossing:Stołpce,652.08813736597,405.18865800323016,
baseline,1924,DROHOBYCKI,Zbąszyń,Border_Crossing:Zbąszyń,730.1169104225824,453.67347474619044,
baseline,1924,DROHOBYCKI,Zebrzydowice,Border_Crossing:Zebrzydowice,406.5138563340381,252.5959214241376,
baseline,1924,DUBIEŃSKI,Gdynia,City:Gdynia,945.4947010725859,587.5029879001738,
baseline,1924,DUBIEŃSKI,Stołpce,Border_Crossing:Stołpce,432.19009301081206,268.5503902842213,
baseline,1924,DUBIEŃSKI,Zbąszyń,Border_Crossing:Zbąszyń,873.7524448120625,542.9244303853161,
baseline,1924,DUBIEŃSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,564.9039126222222,351.0149090899828,
baseline,1924,DZIAŁDOWSKI,Gdynia,City:Gdynia,311.21847667256526,193.38213606850854,
baseline,1924,DZIAŁDOWSKI,Stołpce,Border_Crossing:Stołpce,582.9118301872226,362.2045068352647,
baseline,1924,DZIAŁDOWSKI,Zbąszyń,Border_Crossing:Zbąszyń,334.3824419160055,207.77555231579026,
baseline,1924,DZIAŁDOWSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,549.0433186808394,341.15959597203187,
baseline,1924,DZIŚNIEŃSKI,Gdynia,City:Gdynia,1022.9272366928079,635.6173199910468,
baseline,1924,DZIŚNIEŃSKI,Stołpce,Border_Crossing:Stołpce,266.9860743036733,165.89740397614779,
baseline,1924,DZIŚNIEŃSKI,Zbąszyń,Border_Crossing:Zbąszyń,953.4534501264349,592.448323758513,
baseline,1924,DZIŚNIEŃSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,947.3512649208539,588.6566028351359,
baseline,1924,DĄBROWSKI,Gdynia,City:Gdynia,767.3498270252198,476.8089293684879,
baseline,1924,DĄBROWSKI,Stołpce,Border_Crossing:Stołpce,661.4760414847788,411.0220293734385,
baseline,1924,DĄBROWSKI,Zbąszyń,Border_Crossing:Zbąszyń,616.0256007712677,382.78044357684337,
baseline,1924,DĄBROWSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,200.52906032025916,124.60294274025975,
baseline,1924,GARWOLIŃSKI,Gdynia,City:Gdynia,506.784697517578,314.90131428119497,
baseline,1924,GARWOLIŃSKI,Stołpce,Border_Crossing:Stołpce,453.010613857169,281.48765814304295,
baseline,1924,GARWOLIŃSKI,Zbąszyń,Border_Crossing:Zbąszyń,435.76253595706135,270.7702027301752,
baseline,1924,GARWOLIŃSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,391.8162633089567,243.46326334854973,
