District,year,scenario,ma_total,ma_domestic,ma_foreign
KAŁUSKI,1924,baseline,50.49808688431254,50.49808688431254,0.0
KIELECKI,1924,baseline,71.68796410052143,71.68796410052143,0.0
KOBRYŃSKI,1924,baseline,29.905681031082096,29.905681031082096,0.0
KOLBUSZOWSKI,1924,baseline,50.78314732367455,50.78314732367455,0.0
KOLSKI,1924,baseline,68.92775819630049,68.92775819630049,0.0
KONECKI,1924,baseline,80.13210711122983,80.13210711122983,0.0
KONIŃSKI,1924,baseline,36.57250762007408,36.57250762007408,0.0
KOPYCZYNIECKI,1924,baseline,97.90485654297262,97.90485654297262,0.0
KOSOWSKI (KOSÓW HUCULSKI),1924,baseline,24.388095078091823,24.388095078091823,0.0
KOSTOPOLSKI,1924,baseline,30.893936867160004,30.893936867160004,0.0
KOSZYRSKI,1924,baseline,7.850003022509788,7.850003022509788,0.0
KOWELSKI,1924,baseline,33.56424751481251,33.56424751481251,0.0
KOZIENICKI,1924,baseline,54.66232807344262,54.66232807344262,0.0
KOŁOMYJSKI,1924,baseline,67.08314576344154,67.08314576344154,0.0
KOŚCIAŃSKI,1924,baseline,96.44587521308382,96.44587521308382,0.0
KOŚCIERSKI,1924,baseline,24.190922369725605,24.190922369725605,0.0
