Monasterzyska;5769.0;7238.0;8126.0
Mordy;3268.0;3287.0;3400.0
Mosina;1957.0;2924.0;5526.0
Mosty Wielkie;3795.0;4348.0;5000.0
Mołodeczno;3957.0;5964.0;6000.0
Mościska;4751.0;4770.0;4810.0
Mrocza;2016.0;2383.0;2670.0
Mszczonów;5014.0;5523.0;5450.0
Murowana Goślina;1938.0;2351.0;2850.0
Muszyna;2516.0;2979.0;3200.0
Mysłowice;20000.0;22943.0;24619.0
Myślenice;5491.0;6277.0;6905.0
Mława;17003.0;19584.0;19900.0
Nadwórna;6062.0;8716.0;10447.0
Nakło (nad Notecią);7885.0;10303.0;11000.0
Narew;963.0;1301.0;
Nasielsk;5470.0;6001.0;7365.0
Niemirów (dziś Ukraina);2463.0;3016.0;3194.0
Niepołomice;4071.0;4689.0;5335.0
Nieszawa;2381.0;2474.0;2904.0
Nieśwież;7033.0;7357.0;7600.0
Nisko;5103.0;5479.0;7182.0
Niżankowice (dziś Ukraina);1865.0;2014.0;
Nowa Wilejka;10182.0;6958.0;9263.0
Nowe;4011.0;4671.0;5131.0
Nowe Miasto (nad Pilicą);3761.0;3877.0;3913.0
Nowe Miasto nad Wartą;1044.0;1071.0;
Nowemiasto (Nowe Miasto Lubawskie);3721.0;4473.0;4958.0
Nowo-Święciany (Nowe Święciany);3196.0;3838.0;4119.0
Nowogród;1856.0;2350.0;2512.0
Nowogródek;6367.0;9567.0;11335.0
Nowy Dwór (Mazowiecki);7829.0;9386.0;10026.0
Nowy Dwór (nad Biebrzą);1222.0;1588.0;
Nowy Sącz;27796.0;30278.0;33329.0
Nowy Targ;8071.0;10406.0;11622.0
Nowy Tomyśl;2083.0;2550.0;2701.0
Oborniki;4147.0;5244.0;6400.0
Obrzycko;1503.0;1776.0;
Odelsk;1333.0;1373.0;
Odolanów;2437.0;2472.0;2491.0
Olesko;3698.0;3824.0;3924.0
Olkusz;7589.0;9916.0;11046.0
Opalenica;3058.0;4332.0;4291.0
Opatów;8827.0;9519.0;9600.0
Opoczno;8252.0;8921.0;10047.0
Osieczna;1559.0;1597.0;1730.0
Ostroróg;1273.0;1289.0;1301.0
Ostrowiec (Świętokrzyski);22215.0;25983.0;29000.0
Ostrołęka;9145.0;13438.0;15000.0
Ostrzeszów;5413.0;5833.0;
Ostróg;13303.0;12955.0;14156.0
Ostrów (Lubelski);3813.0;4753.0;5700.0
Ostrów Mazowiecka;14469.0;17611.0;18528.0
Ostrów Wielkopolski;16366.0;19555.0;31418.0
Oszmiana;5876.0;7334.0;8500.0
Ottynia;4455.0;4777.0;4777.0
Otwock;8560.0;14996.0;19332.0
Ozorków;12589.0;14979.0;16420.0
Ołyka;4333.0;5785.0;6480.0
Oświęcim;12187.0;11949.0;13350.0
Pabianice;38537.0;45614.0;52000.0
Pakość;3336.0;3797.0;3926.0
