District;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
GNIEŹNIEŃSKI;75427978,35;81114143,28;79784321,6;78528438,78;78201932,66;64872648,14;63328113,29;57889048,5;65331168,6;64274067,18;67739100,94;55769514,93;66817788,4;76230950,86;74466906,7
GORLICKI;34058708,12;35648610,62;34002342,62;43263506,19;56946976,43;43265113,49;39827568,34;31497813,86;36598411,5;37558951,28;41275712,44;43932201,02;48286086,14;59121571,07;58037214,56
GOSTYNIŃSKI;54552181,29;52829038,03;48723687,39;63748304,34;79991781,14;63404912,3;54804174,06;48362481,53;46706148,25;46902604,05;51742814,98;46090586;52887881,23;61904477,67;56541649,53
GOSTYŃSKI;33352572,58;37502307,25;38594821,99;42811326,88;47440185,9;40375806,66;41743077,77;36714021,57;38183759,25;38530874,75;44782932,8;32284133,52;41158218,44;50988918,92;48211871,6
GRODZIEŃSKI;71582133,53;69809021,35;72353846,4;84579851,09;102260367,8;86942540,95;86043147;80680039,96;75920512,14;83055808,6;100122278,4;95957060,89;105205368,1;126142198;119694135,3
GRUDZIĄDZKI;55340346,02;63752699,25;56879291,86;72238340,25;87773887,95;83138013,14;85467595,41;73102723,27;71578064,24;72460627,54;81409884,38;77442250,11;80810653,32;100288700,8;117765675,9
GRÓDECKI;23681115,38;23299289,98;22715624,27;27712019,28;35532755,86;25822722,71;25258947,06;23461580,49;28559638,86;27064137,74;28945762,51;28375133,19;30043036,11;37009205,2;32875119,53
GRÓJECKI;74519539,16;76973592,4;72035425,25;92212088,75;113578902,3;91965497,92;86218814,53;73465397,24;78409530,23;76578668;84699671,35;78154673,4;87350905,04;105858102,7;97658540,29
HOROCHOWSKI;64572378,47;63157609,28;44370975,11;50922662,78;63812756,91;47938461,45;39449191,5;42687590,13;45110934,93;41756636,77;51165633,79;45214594,93;49788862,73;71661031,56;53110966,04
HORODEŃSKI;21645081,89;27008230,42;29226882,64;37390100,51;49969290,75;35672198,6;33851171,2;29514601,34;31211131,86;28506686,32;35418041,56;33056060,54;35518397,39;44930863,14;38829542,32
HRUBIESZOWSKI;41743062,42;38569395,49;45760073,2;65888299,23;86919996,66;68977577,73;62913619,2;52239179,82;58639834,12;60076203,22;65456284,54;60150000,25;65405224,13;84078422,94;77227014,12
INOWROCŁAWSKI;65052005,23;69962686,86;68526878,1;75437362,38;86804672,89;76803572,93;73292453,64;61765299,71;65005294,34;64875369,08;67757409,21;53551267,61;62838383,08;72940634,07;73208537,01
IWACEWICKI;39112056,44;39443945,36;47538916,77;43611840,4;52070188,73;42465346,55;38242136,03;30685258,61;35951941,33;35847669,64;42823842,7;45296593,37;51537713,55;70833811,41;58695821,76
IŁŻECKI;59615762,7;54796813,63;57974182,33;71093174,52;81764423,11;63678182,18;61255980,43;75751498,14;81545057,62;76560777,8;76479231,07;78199909,72;87066590,24;102445257,8;100549213,3
JANOWSKI;40708242,44;50547863,3;55688448,49;71299345,84;85743275,77;60105102,15;49230023,31;44449388,25;53900618,52;58247900,01;67372688,34;70189068,02;77250763,74;101737001,9;91476920,97
JAROCIŃSKI;53320066,73;63934896,72;70018485,1;90837512,04;112446692,1;84918583,62;73801368,36;61637142,93;50525233,86;53296615,18;62455818,37;46137402,72;62283376,64;73681999,14;67719101,08
JAROSŁAWSKI;38870753,25;44134087,25;49066236,39;49451393,24;51990569,71;40052064,54;41896370,61;34813168,36;42974336,49;41175500,92;45826089,58;50031712,4;55481011,34;68224815,72;59658078,23
JASIELSKI;36983791,48;38976845,11;37189119,14;40577990,21;45415004;35313452,6;35527849,72;31945666,51;34769191,7;32701951,53;33932052,81;36366256,17;37527121,95;48143875,97;46004002,06
JAWOROWSKI;20975249,04;21355649,69;22375355,2;26511651,93;32795734,57;25535851,46;28157031,25;25266386,65;27215894,66;25562514,5;27431080,21;28081154,63;30756149,97;38460006,44;34032321,87
JĘDRZEJOWSKI;39015623,98;40145653;42199165,17;49947754,45;56075579,32;44413905,3;47452324,07;45542768,11;48502343,26;46953128,69;43558471,83;42981502,71;44154171,72;55340901,31;49519566,31
KALISKI;119449169,1;143298223;116067454,7;129181784,3;142197376;123608185,5;118483452,7;97185434,15;103572774,9;102685401,7;110708082,9;103609062,3;112978818,1;128820649,2;121535219
KAMIONECKI;17752535,36;20701753,13;21253004,37;29693144,03;37757693,66;27760346,31;26586851,37;23996258;25202202,02;24498742,43;26523946,61;25812702,61;29972876,23;38427370,26;33471099,4
KARTUSKI;23471351,29;26390239,43;26083822,28;34165816,57;40254809,06;31316154,32;31053250,46;26014149,73;30908583,29;30525867,99;35694418,67;34196029,17;35717145,72;42739840,75;46893628,17
KATOWICE;319623221,3;309753484,9;251542840,6;309699604;358367719,2;386997665,9;391002871;356008552,3;284099923,9;280106637,6;295983357,7;285212004,9;301194760,9;327125864;370293162,1
KAŁUSKI;20616354,28;23851485,58;24947301,2;30961572,01;38006794,89;31211224,04;31514166,36;25598542,83;28767174,66;25161495,43;27811416,35;30040615,47;30029206,04;39474707,33;34410264,36
KIELECKI;70101247,73;68757536,33;67982798,94;92752630,68;113063752,3;96729979,83;93261497;93479974,03;100736065,1;95782312,96;99370852,29;104042463,5;111606544,4;127652712,2;133229543,4
KOBRYŃSKI;37801038,85;42353718,74;46943220,13;55819827,04;78749252,61;57285777,99;47898618,69;45048442,75;51466364,84;44290056,26;52937246,79;48491524,22;54059833,73;81419584,45;60933487,94
KOLBUSZOWSKI;21927924,9;22635179,07;23066214,59;28353886,44;36998506,42;26003102,15;24459124,4;21508028,89;24277155,21;23995894,78;27071617,7;28197439,02;29252143,65;36570665,63;32464906,73
KOLSKI;67015147,2;77258324,36;65369467,4;68364793,2;76414923,33;62060721,14;64143422,02;57275245,24;61502478,02;61357102,11;68447043,5;57064602,99;64305051,11;75318084,98;62470286,54
KONECKI;61493726,25;50194203,74;48723719,99;69344947,25;86036155,05;73254392,72;69316711,04;69988757,22;88860041,43;69951702,58;83122237,44;89645290,54;97890906,98;111478331,9;117462324,5
