scenario,District,log_change_ma_total,log_change_ma_total_no_self,log_change_ma_domestic,log_change_ma_domestic_no_self,log_change_ma_foreign
baseline,NOWOGRÓDZKI,1.058296552818362,1.0583196993745787,0.459511937418835,0.547144081271604,1.0583236506660079
baseline,NOWOSĄDECKI,0.926660449343661,0.9267137999579695,0.3985354652580213,0.5002584044419365,0.9267217514297741
baseline,NOWOTARSKI,0.9089625710370264,0.9089843444120653,0.6008829847947244,0.4696514267728116,0.9089924987995417
baseline,NOWOTOMYSKI,0.7926354857366888,0.7927399117015987,0.036797410319929114,0.48707315150755015,0.7927446543063219
baseline,OBORNICKI,0.8222732229298977,0.8223007206261421,0.48414369022190407,0.49637065231326005,0.8223178720158728
baseline,OLKUSKI,0.8888627978201811,0.8889198728076657,0.5542306628212526,1.1531701743625131,0.888912630117364
baseline,OPATOWSKI,0.8974252233790168,0.8974690180004217,0.551040602763571,0.749182063624863,0.8974720884325258
baseline,OPOCZYŃSKI,0.8781382822062085,0.8781553886772073,0.6143363894372449,0.6499026796014711,0.878164994183912
baseline,OSTROWSKI (OSTRÓW MAZOWIECKA),0.9378510252220167,0.9378709335283162,0.5664500072071572,0.5921546605486725,0.9378795257520309
baseline,OSTROWSKI (OSTRÓW WIELKOPOLSKI),0.852174131944178,0.8522599015248176,0.20278715870882102,0.6681964645677958,0.852263510407191
baseline,OSTROŁĘCKI,0.9350488361353797,0.9350767516084524,0.35118474291606105,0.5944115708987532,0.9350833401840859
baseline,OSZMIAŃSKI,1.0205739878740943,1.020597813401551,0.40153422854056764,0.46207993506014233,1.0205995343241376
baseline,PIOTRKOWSKI,0.8612046017672874,0.8612610098912583,0.42593401064514147,0.6618008336981216,0.8612687810340063
baseline,PIŃCZOWSKI,0.8957435242879157,0.8957848963865409,0.5001042060779923,0.9059662191572482,0.8957847492170501
baseline,PIŃSKI,1.047200976277253,1.047211398451374,0.6171542892924347,0.6282629116805598,1.0472137641491983
baseline,PODHAJECKI,0.9581890034336382,0.9581985686901362,0.7388702402766842,0.569420042248165,0.9582060873647471
baseline,POSTAWSKI,1.0060093470086144,1.006036024392543,0.11207391162946756,0.4378648992149916,1.0060390590478114
baseline,POZNAŃ (MIASTO),0.8096217503290077,0.8162650804965423,0.4714625800184358,0.20678171567205084,0.8166328030460726
baseline,POZNAŃSKI,0.8162846196255167,0.8163416302549571,0.37534330000134375,0.37928969534413426,0.8173229528856645
baseline,PRUŻAŃSKI,1.0045894310106362,1.0046182341873973,0.27559454509162506,0.564806725389932,1.0046215911318868
baseline,PRZASNYCKI,0.9299660881928737,0.9299987868649353,0.48599152842356297,0.6453655803767102,0.9300014412680291
baseline,PRZEMYSKI,0.9466226105452549,0.9467306477128439,0.3310062565736249,0.4182539634799145,0.9467436363519255
baseline,PRZEMYŚLAŃSKI,0.9738863267143394,0.9739196167841548,0.5561753894926547,0.43426597038483017,0.9739311447373993
baseline,PRZEWORSKI,0.9322437898664795,0.9323983573752521,0.2853606442893959,0.39442946632013864,0.9324126411476179
baseline,PSZCZYŃSKI,0.8852861614385894,0.8854949715257234,0.294859413061733,0.47356579143536415,0.8855452301472546
baseline,PUŁAWSKI,0.9413838334806002,0.9414326091730629,0.4064388471289089,0.5465723821934407,0.9414404362476603
baseline,PUŁTUSKI,0.9184317482673912,0.9184808538738771,0.4777621245954258,0.6839125382403441,0.9184895155973294
baseline,PŁOCKI,0.8752159112887838,0.8753160566031504,0.2912788063564822,0.6139952142385923,0.875322633399179
baseline,PŁOŃSKI,0.9464482115151895,0.9465034479616357,0.4198805880794403,0.6020353809299497,0.9465159120897475
baseline,RADOMSKI,0.9145138116924905,0.9145291018083768,0.8305032853912451,1.1055593636496788,0.9145243592862862
baseline,RADOMSZCZAŃSKI,0.8556424382368917,0.8556856098769181,0.44316944453834317,0.7544850359666047,0.8556891556998671
baseline,RADZIECHOWSKI,1.0243286862172702,1.0243624019559583,0.5157534967679585,0.538597109556866,1.0243669814904166
baseline,RADZYMIŃSKI,0.9201304168494993,0.9201848808969402,0.7638491827197686,0.9292060498727377,0.920183005820089
baseline,RADZYŃSKI,0.9412310688521224,0.9412606536842425,0.5467376934541779,0.5686092029626852,0.9412687293028661
baseline,RAWICKI,0.8263838940766668,0.8265015197241539,0.286079313364624,0.4190355425593193,0.8265115854614677
baseline,RAWSKI (RAWA MAZOWIECKA),0.8732860428764901,0.8733200683522604,0.5335591502503618,0.7269836978550668,0.8733254578089493
baseline,RAWSKI (RAWA RUSKA),0.9776352229063789,0.9776695705073308,0.44251597007329124,0.4811686324199336,0.9776780690673377
baseline,ROHATYŃSKI,0.9543840056455828,0.9544207907933817,0.48820366211533184,0.5186350042037002,0.9544285577950191
baseline,ROPCZYCKI,0.9145795653087632,0.9146288200317549,0.37423993592754634,0.5160112484322958,0.9146392522476248
baseline,RUDECKI,0.9730048862611156,0.9730684099487732,0.4131837633680657,0.38728393236963043,0.9730842272725724
baseline,RYBNICKI,0.8901012206585079,0.8901235623788466,0.8028625061077896,0.49138697676732335,0.8901423545068283
baseline,RYPIŃSKI,1.0122868482012777,1.0123818418186552,0.34204245666553845,1.476574203483061,1.012373133639933
baseline,RZESZOWSKI,0.929315627780003,0.9294230823315708,0.2079502797205901,0.48914550695421966,0.9294307898368537
baseline,RÓWIEŃSKI,1.1268943236179716,1.1269363448531386,0.5073605189401729,0.7538508187355539,1.1269396133922633
baseline,SAMBORSKI,0.9563897556162964,0.956457872081959,0.31303816679803376,0.419535882253804,0.9564766446621995
baseline,SANDOMIERSKI,0.8964477154919273,0.8965117647674141,0.3071866913476011,0.7994635649087289,0.8965126077315766
baseline,SANOCKI,0.9479269186442991,0.9479843024679511,0.4238539717562855,0.5518580748810535,0.947988475326369
baseline,SARNEŃSKI,1.1010150018921259,1.1010188135446057,0.8435657906649379,0.7451426425316132,1.1010210430707765
baseline,SIEDLECKI,0.9399526970186614,0.9400049546693516,0.3597183944499083,0.6556268017903353,0.9400142922851842
baseline,SIERADZKI,0.8710708910632974,0.8711390667529457,0.3794020291553597,0.7526347941167586,0.8711443287317095
baseline,SIERPECKI,0.996930063305534,0.9970085159431541,0.39498248283980963,1.0868064340575145,0.9970067939554319
baseline,SKAŁACKI,1.0113314458800957,1.0113795300495632,0.5164870717497134,0.5615806633339915,1.011383045183635
baseline,SKIERNIEWICKI,0.8744553474565926,0.8745265390922619,0.5138365219138645,0.7592110936086858,0.8745366767585985
baseline,SOCHACZEWSKI,0.8855352513145398,0.8855426230231416,0.7490729700788332,0.5485257841452,0.8855625605788617
baseline,SOKALSKI,0.9928046105114667,0.9928655403044786,0.3361728394523116,0.566246698686486,0.9928709358918617
baseline,SOKOŁOWSKI,0.9389870194180077,0.9390045130612457,0.6487853251643028,0.5949599002744996,0.9390154788296314
baseline,SOKÓLSKI,0.9787483727548789,0.9787635881503007,0.49739321476839926,0.4945824646405299,0.9787719640593266
baseline,STANISŁAWOWSKI,0.937803647353725,0.9378994280789641,0.24209401378824147,0.5197023254016724,0.9379079341746426
baseline,STAROGARDZKI,0.8534786972871125,0.853558427888661,0.3342060894578669,0.7544677506030286,0.8535596948413193
baseline,STOLIŃSKI,1.087130333370741,1.08713008259776,0.9824603789667723,0.6836532257737655,1.0871322064250464
baseline,STOPNICKI,0.8964925625604288,0.8965174490029675,0.5415749651470474,0.7677915239597919,0.8965185199215071
baseline,STOŁPECKI,1.1134796687811566,1.1135170943635302,0.2546059132937408,0.5546310107255508,1.113519407956705
baseline,STRYJSKI,0.950132719462065,0.950173899076642,0.3179199789397966,0.41788500083171165,0.9501871210528314
baseline,SUWALSKI,0.974447065959076,0.9744819547521004,0.3549315067264356,0.6089912726318722,0.9744842213261755
baseline,SZAMOTULSKI,0.8154838899201451,0.8155267249614724,0.40797425474498183,0.4802746566962739,0.8155348410830889
