scenario,District,unit_weighted_domestic_access_1924,unit_weighted_domestic_access_1938,change_ratio_1938_vs_1924,proportional_change_1938_vs_1924,avg_inverse_distance_1924,avg_inverse_distance_1938,avg_inverse_distance_change_ratio_1938_vs_1924,avg_inverse_distance_proportional_change_1938_vs_1924
baseline,DZIŚNIEŃSKI,0.00010356275505890789,0.00010516087318512254,1.0154313983372267,0.015431398337226775,0.002535490177408771,0.0025652898076637533,1.0117530056004544,0.011753005600454388
baseline,DĄBROWSKI,0.0010040314983754811,0.0010794570104170108,1.0751226551792128,0.07512265517921285,0.005622217497283565,0.005753655799961237,1.023378373878488,0.023378373878487988
baseline,GARWOLIŃSKI,0.000438557975803792,0.0005017340834818574,1.1440541756475315,0.14405417564753162,0.005643041871986667,0.005783235786438458,1.0248436778659655,0.024843677865965464
baseline,GNIEŹNIEŃSKI,0.001222884269838282,0.0012892394326875498,1.054261195835026,0.054261195835026046,0.0058982944327167245,0.0061542181226708365,1.0433894395869001,0.04338943958690018
baseline,GORLICKI,0.0007686043014516628,0.0007904232726956303,1.0283877818570077,0.02838778185700768,0.005422498675527013,0.005542147073476832,1.0220651779021763,0.0220651779021763
baseline,GOSTYNIŃSKI,0.0006717302689646738,0.0008460219971461218,1.2594668369643083,0.25946683696430833,0.0053340602853852795,0.005869117280950887,1.1003095141297152,0.10030951412971519
baseline,GOSTYŃSKI,0.0010783090318359932,0.0011751674790826336,1.0898243865042319,0.08982438650423188,0.0051539819317995535,0.005407703044291736,1.0492281726730062,0.04922817267300618
baseline,GRODZIEŃSKI,0.00022296184832755562,0.00023063501863841961,1.0344147232740522,0.034414723274052074,0.004022461547233162,0.004078356647008754,1.013895744960953,0.013895744960952817
baseline,GRUDZIĄDZKI,0.000841145348036726,0.0009631538546518921,1.1450504444920724,0.14505044449207247,0.005266608492948535,0.005623884789267401,1.067838020767487,0.06783802076748686
baseline,GRÓDECKI,0.0012513578999129363,0.001269094260097707,1.0141736909848131,0.014173690984813107,0.005791925688145094,0.005822522227761574,1.0052826195058242,0.005282619505824264
baseline,GRÓJECKI,0.0003638700181774505,0.0005564776135987643,1.5293307659313218,0.5293307659313218,0.005060297753760877,0.005849967308793062,1.1560519940640435,0.1560519940640435
baseline,HOROCHOWSKI,9.715186655459785e-05,0.00022831778569190684,2.350112188154365,1.3501121881543654,0.004383243506370678,0.004536942027045409,1.0350650198765692,0.03506501987656918
baseline,HORODEŃSKI,0.0004541298715294166,0.0004646434579729217,1.023151056784918,0.023151056784918037,0.003962462380882554,0.0039829899115929645,1.0051804985731723,0.005180498573172237
baseline,HRUBIESZOWSKI,0.00040818581705858256,0.0004492611863813903,1.1006290949029045,0.10062909490290457,0.00490828352978066,0.004958610591222063,1.010253495165071,0.01025349516507095
baseline,INOWROCŁAWSKI,0.0008347102146395993,0.0010050620548952515,1.204085007309039,0.20408500730903906,0.005429984405781685,0.006130710184450541,1.129047475333952,0.12904747533395203
