scenario,year,District,avg_distance_km,avg_distance_miles,avg_distance_minutes
baseline,1924,POSTAWSKI,740.2763035287563,459.98622699996685,
baseline,1924,POZNAŃ (MIASTO),488.08044337179155,303.2790331783735,
baseline,1924,POZNAŃSKI,489.57334137154703,304.20667670137954,
baseline,1924,PRUŻAŃSKI,440.9946583997374,274.0212918845032,
baseline,1924,PRZASNYCKI,459.23851729730944,285.35749673154646,
baseline,1924,PRZEMYSKI,386.17418865170384,239.95744177669786,
baseline,1924,PRZEMYŚLAŃSKI,451.8312730071522,280.7548499397272,
baseline,1924,PRZEWORSKI,375.4169890041747,233.27322987451305,
baseline,1924,PSZCZYŃSKI,432.3840736172968,268.67092420765334,
baseline,1924,PUŁAWSKI,354.21340160804755,220.0979355705941,
baseline,1924,PUŁTUSKI,396.01626127877336,246.07302028705269,
baseline,1924,PŁOCKI,423.37211318716146,263.0711533432197,
baseline,1924,PŁOŃSKI,401.27597830610205,249.34125591604095,
baseline,1924,RADOMSKI,341.9325618962931,212.46697791806156,
baseline,1924,RADOMSZCZAŃSKI,400.8883994177203,249.10042563458828,
baseline,1924,RADZIECHOWSKI,476.80763688893524,296.2744381413146,
baseline,1924,RADZYMIŃSKI,345.0511341668218,214.40476828837222,
baseline,1924,RADZYŃSKI,351.30045617592094,218.28791575448818,
baseline,1924,RAWICKI,492.47737741367496,306.0111604809126,
baseline,1924,RAWSKI (RAWA MAZOWIECKA),383.15144361789663,238.07919567229607,
baseline,1924,RAWSKI (RAWA RUSKA),408.0149745176701,253.5286727310192,
baseline,1924,ROHATYŃSKI,487.2763034771636,302.77936396790864,
baseline,1924,ROPCZYCKI,375.09864526229796,233.07542030527935,
baseline,1924,RUDECKI,421.9057400567743,262.1599916048179,
baseline,1924,RYBNICKI,460.71323952804386,286.27384635878013,
baseline,1924,RYPIŃSKI,482.0703789851269,299.5445534603673,
baseline,1924,RZESZOWSKI,388.91776152500915,241.66221839655645,
baseline,1924,RÓWIEŃSKI,491.9463533348136,305.68119751800646,
baseline,1924,SAMBORSKI,409.5580925549222,254.48752152894457,
baseline,1924,SANDOMIERSKI,412.0182626736813,256.01619989580803,
baseline,1924,SANOCKI,460.2040707550994,285.95746364916687,
baseline,1924,SARNEŃSKI,499.96038396467225,310.6608837445124,
baseline,1924,SIEDLECKI,346.3052430678706,215.18403519032583,
baseline,1924,SIERADZKI,398.01368603893235,247.31416210769743,
baseline,1924,SIERPECKI,461.39427592995855,286.69702262887427,
baseline,1924,SKAŁACKI,546.5576427131775,339.6150690103298,
baseline,1924,SKIERNIEWICKI,354.55554799846084,220.3105354153516,
baseline,1924,SOCHACZEWSKI,365.8161347954743,227.30753749399867,
baseline,1924,SOKALSKI,427.3707627139161,265.55579819830876,
baseline,1924,SOKOŁOWSKI,366.4975204992091,227.73093081011405,
baseline,1924,SOKÓLSKI,448.362665784257,278.59955800102955,
baseline,1924,STANISŁAWOWSKI,498.578498742952,309.8022203424068,
baseline,1924,STAROGARDZKI,534.193980633226,331.9326479400483,
baseline,1924,STOLIŃSKI,542.3253552434575,336.98524831298243,
baseline,1924,STOPNICKI,422.0083119680475,262.22372681589763,
baseline,1924,STOŁPECKI,583.7826224265064,362.74559187978065,
baseline,1924,STRYJSKI,457.7172403531944,284.41221935550476,
baseline,1924,SUWALSKI,560.5622371617902,348.31711786745876,
baseline,1924,SZAMOTULSKI,534.5993090058081,332.18450723624795,
baseline,1924,SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),483.1891767029223,300.2397419170715,
baseline,1924,SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),504.88039883742476,313.7180383060095,
baseline,1924,SZUBIŃSKI,492.53766777113043,306.0486231606151,
baseline,1924,SĘPOLEŃSKI,528.4526406952608,328.3651458014549,
baseline,1924,SŁONIMSKI,499.6948424371016,310.49588393998425,
baseline,1924,TARNOBRZESKI,341.45070642301306,212.16756690077406,
baseline,1924,TARNOGÓRSKI,437.4346971443297,271.80923519926927,
baseline,1924,TARNOPOLSKI,504.87126408816334,313.71236223772615,
baseline,1924,TARNOWSKI,396.15110287306203,246.15680694333744,
baseline,1924,TCZEWSKI,551.9045716324091,342.9374955798017,
baseline,1924,TOMASZOWSKI,439.53192749285057,273.11239331816006,
baseline,1924,TORUŃSKI,449.12507926278033,279.0732996265931,
baseline,1924,TREMBOWELSKI,530.4146655854549,329.5842911694997,
baseline,1924,TUCHOLSKI,518.6184680401084,322.2544761045502,
baseline,1924,TURCZAŃSKI,455.8675613984501,283.26288249371635,
baseline,1924,TURECKI,492.3860705782004,305.954425061247,
baseline,1924,TŁUMACKI,520.8620625427402,323.64858066424506,
baseline,1924,WADOWICKI,429.18901235464625,266.6856057958189,
baseline,1924,WARSZAWSKI,340.8105573747616,211.76979684651297,
baseline,1924,WIELUŃSKI,558.7824491486355,347.2112092099368,
baseline,1924,WILEJSKI,666.1983238116123,413.9563186651454,
baseline,1924,WILEŃSKO-TROCKI,608.256444973073,377.95291546936335,
baseline,1924,WILNO (MIASTO),593.1744472735418,368.5813994768079,
baseline,1924,WOLSZTYŃSKI,533.970943610959,331.79405920248524,
baseline,1924,WOŁKOWYSKI,448.03116062604704,278.3935703093675,
baseline,1924,WOŁOŻYŃSKI,627.9747043081414,390.20526999065413,
baseline,1924,WRZESIŃSKI,458.20945572089556,284.7180677107486,
baseline,1924,WYRZYSKI,511.1934536730236,317.64078750226037,
baseline,1924,WYSOKOMAZOWIECKI,413.43168030956303,256.8944566256335,
baseline,1924,WĄBRZESKI,457.70573447174877,284.405069934445,
baseline,1924,WĄGROWIECKI,509.2100322140595,316.40834692688236,
baseline,1924,WĘGROWSKI,382.2140243114498,237.49671050042988,
baseline,1924,WŁOCŁAWSKI,410.7870864208157,255.25118267638868,
baseline,1924,WŁODAWSKI,391.02766712929855,242.97325255179936,
baseline,1924,WŁODZIMIERSKI,413.5844118115491,256.9893595517541,
baseline,1924,WŁOSZCZOWSKI,398.9935914043308,247.92304688450042,
baseline,1924,ZALESZCZYCKI,592.868462512674,368.3912694199627,
baseline,1924,ZAMOJSKI,371.29779132415274,230.71367989288012,
baseline,1924,ZBARASKI,523.8855716118097,325.5273015180018,
baseline,1924,ZBOROWSKI,481.6630898960596,299.29147583180446,
baseline,1924,ZDOŁBUNOWSKI,512.105771002787,318.2076750337728,
baseline,1924,ZŁOCZOWSKI,459.54180518537237,285.54595102984,
baseline,1924,ŁASKI,392.21901819720944,243.71352355621823,
baseline,1924,ŁAŃCUCKI,366.8882113384033,227.973694767555,
baseline,1924,ŁOMŻYŃSKI,435.62629398050734,270.6855459169618,
baseline,1924,ŁOWICKI,349.8845913188818,217.4081383924049,
baseline,1924,ŁUCKI,465.80981974844246,289.44071350690945,
baseline,1924,ŁUKOWSKI,345.8162011805363,214.88015874375102,
baseline,1924,ŁUNINIECKI,535.5052276769974,332.7474188268836,
baseline,1924,ŁÓDZKI,358.5389910007225,222.78573137710995,
baseline,1924,ŁÓDŹ (MIASTO),361.2171576296401,224.4498664534871,
baseline,1924,ŁĘCZYCKI,378.74419307040927,235.34065799235327,
baseline,1924,ŚNIATYŃSKI,584.435244948364,363.1511125888099,
baseline,1924,ŚREDZKI,493.51786309902946,306.65768811170705,
baseline,1924,ŚREMSKI,528.0328747528582,328.10431541805826,
baseline,1924,ŚWIECKI,485.6886441950915,301.7928385321482,
baseline,1924,ŚWIĘCIAŃSKI,677.3523587297207,420.88711249624527,
baseline,1924,ŚWIĘTOCHŁOWICKI,421.6014821904631,261.97093459017026,
baseline,1924,ŻNIŃSKI,494.96451206432295,307.5565938259204,
baseline,1924,ŻYDACZOWSKI,458.8406947420632,285.11030133257054,
baseline,1924,ŻYWIECKI,453.2645526148595,281.64544832284787,
baseline,1924,ŻÓŁKIEWSKI,413.68897746504615,257.0543336164332,
baseline,1938,AUGUSTOWSKI,526.1234507802271,326.9178547347605,
baseline,1938,BARANOWICKI,504.61488594171004,313.5530562924863,
baseline,1938,BIALSKI (BIAŁA KRAKOWSKA),412.11162222868563,256.0742108158606,
baseline,1938,BIALSKI (BIAŁA PODLASKA),359.87580854113907,223.6163910290161,
baseline,1938,BIAŁOSTOCKI,400.948815422618,249.13796638796757,
baseline,1938,BIELSKI (BIELSK PODLASKI),396.8329171787133,246.58046658025424,
baseline,1938,BIELSKO,417.83030569148104,259.62763487782127,
baseline,1938,BIŁGORAJSKI,398.19977833516083,247.42979446389722,
baseline,1938,BOCHEŃSKI,380.05208941754915,236.15334685347193,
baseline,1938,BORSZCZOWSKI,606.602670909548,376.9253082257367,
baseline,1938,BRASŁAWSKI,752.0556278346791,467.3055575232624,
baseline,1938,BRODNICKI,423.34154995388826,263.0521622363975,
baseline,1938,BRODZKI,457.78132097614736,284.45203719626966,
baseline,1938,BRZESKI (BRZESKO),390.24630955301274,242.4877396132651,
baseline,1938,BRZESKI (BRZEŚĆ N.BUG.),363.3894570405978,225.7996703107733,
baseline,1938,BRZEZIŃSKI,335.44411776594455,208.43524690034272,
baseline,1938,BRZEŻAŃSKI,476.69668340396,296.205494863402,
baseline,1938,BRZOZOWSKI,399.85726960564347,248.45971147212828,
baseline,1938,BUCZACKI,539.4177342606107,335.1785369552499,
baseline,1938,BYDGOSKI,451.9857906285285,280.8508627086394,
baseline,1938,BÓBRECKI,452.3548950458603,281.0802134895413,
baseline,1938,BĘDZIŃSKI,386.5040810109282,240.16242732184148,
baseline,1938,BŁOŃSKI,335.64989711138855,208.5631122180006,
baseline,1938,CHEŁMIŃSKI,452.10549534467594,280.92524374781664,
baseline,1938,CHEŁMSKI,353.19547574306347,219.4654259579431,
baseline,1938,CHODZIESKI,502.50598643260366,312.2426472956134,
baseline,1938,CHOJNICKI,517.6178920186392,321.6327471815138,
baseline,1938,CHORZÓW,383.0002529446331,237.98525017245962,
baseline,1938,CHRZANOWSKI,381.85474847726834,237.2734669160687,
baseline,1938,CIECHANOWSKI,380.98057529557525,236.73028105198688,
baseline,1938,CIESZYŃSKI,437.30966920719845,271.7315464649461,
baseline,1938,CZARNKOWSKI,526.3200335144744,327.04000554492245,
baseline,1938,CZORTKOWSKI,552.0271034515449,343.0136332987899,
baseline,1938,CZĘSTOCHOWSKI,387.2701311859708,240.63842868515786,
baseline,1938,DOBROMILSKI,412.77440259843956,256.486043316995,
baseline,1938,DOLIŃSKI,469.3885857154027,291.6644548945655,
baseline,1938,DROHICKI,459.63234100891697,285.60220736505175,
baseline,1938,DROHOBYCKI,426.7494985690858,265.16976267537143,
baseline,1938,DUBIEŃSKI,487.9571169609275,303.2024017231285,
baseline,1938,DZIAŁDOWSKI,418.5781689081367,260.0923353926178,
baseline,1938,DZIŚNIEŃSKI,744.2546086758904,462.45823044754667,
baseline,1938,DĄBROWSKI,391.6066971897115,243.33304503946823,
baseline,1938,GARWOLIŃSKI,335.8912008673415,208.71305137414086,
baseline,1938,GNIEŹNIEŃSKI,438.7281443247092,272.6129457671889,
baseline,1938,GORLICKI,404.6464742786662,251.4355843690091,
baseline,1938,GOSTYNIŃSKI,385.1338374920774,239.31099773628964,
baseline,1938,GOSTYŃSKI,468.38925027610367,291.0434968333128,
baseline,1938,GRODZIEŃSKI,473.6659731697068,294.32229941443387,
baseline,1938,GRUDZIĄDZKI,446.6808222857699,277.55450922453116,
baseline,1938,GRÓDECKI,418.5494470512022,260.0744884636526,
baseline,1938,GRÓJECKI,340.6085694110144,211.64428738349142,
baseline,1938,HOROCHOWSKI,459.68939300521725,285.63765782104485,
baseline,1938,HORODEŃSKI,577.4339760069141,358.80072710539224,
baseline,1938,HRUBIESZOWSKI,408.0154442126837,253.5289645858795,
baseline,1938,INOWROCŁAWSKI,422.24099096561076,262.3683067972925,
baseline,1938,IWACEWICKI,478.7622058091867,297.48895058586015,
baseline,1938,IŁŻECKI,343.0522624953955,213.16272739902638,
baseline,1938,JANOWSKI,346.919233406848,215.56555098124653,
baseline,1938,JAROCIŃSKI,444.1365420711646,275.97356728330163,
baseline,1938,JAROSŁAWSKI,367.0617049735718,228.0814986811333,
baseline,1938,JASIELSKI,403.623445259553,250.7999038043737,
baseline,1938,JAWOROWSKI,445.2024718414651,276.635905130603,
baseline,1938,JĘDRZEJOWSKI,360.2188854888161,223.82956909507115,
baseline,1938,KALISKI,432.18968928348426,268.5501394197679,
baseline,1938,KAMIONECKI,424.6356387682437,263.8562714970624,
baseline,1938,KARTUSKI,562.531251658888,349.5406063745349,
baseline,1938,KATOWICE,388.04472686393154,241.119739976168,
baseline,1938,KAŁUSKI,482.76165678473984,299.9740934379906,
baseline,1938,KIELECKI,340.6504646048248,211.67031984196458,
baseline,1938,KOBRYŃSKI,419.3860196428695,260.59431041150947,
baseline,1938,KOLBUSZOWSKI,368.56635213005865,229.01644278940668,
baseline,1938,KOLSKI,374.0628279001617,232.4317934351514,
baseline,1938,KONECKI,330.5878359550184,205.41769421520576,
baseline,1938,KONIŃSKI,406.8337568369056,252.79469831950487,
baseline,1938,KOPYCZYNIECKI,548.6887836285654,340.93929817206526,
baseline,1938,KOSOWSKI (KOSÓW HUCULSKI),582.7142440895847,362.08173256418934,
baseline,1938,KOSTOPOLSKI,507.79115011115726,315.5266947357199,
baseline,1938,KOSZYRSKI,534.1862008910655,331.9278138338823,
baseline,1938,KOWELSKI,405.8406685769746,252.1776220743433,
baseline,1938,KOZIENICKI,339.6800047590795,211.067304237154,
baseline,1938,KOŁOMYJSKI,537.4133135082,333.93304802790374,
baseline,1938,KOŚCIAŃSKI,487.23468217932407,302.7535017004488,
baseline,1938,KOŚCIERSKI,537.0650974910219,333.7166766930938,
baseline,1938,KRAKOWSKI,374.0343242493439,232.4140820931391,
baseline,1938,KRAKÓW (MIASTO),373.7606061041766,232.24400157555831,
baseline,1938,KRASNOSTAWSKI,362.47202458170517,225.22960438635872,
baseline,1938,KROTOSZYŃSKI,447.07595437235784,277.8000328443064,
baseline,1938,KROŚNIEŃSKI,413.20126209227084,256.7512814275364,
baseline,1938,KRZEMIENIECKI,520.9098591599284,323.6782800960639,
baseline,1938,KUTNOWSKI,358.06393972732997,222.49054829231073,
baseline,1938,KĘPIŃSKI,436.5037539521577,271.2307740970062,
baseline,1938,LESKI,478.28446446224933,297.1920959673723,
baseline,1938,LESZCZYŃSKI,486.86607006482353,302.5244568222495,
baseline,1938,LIDZKI,530.6687343445534,329.74216212840946,
baseline,1938,LIMANOWSKI,419.63581376992653,260.749525238033,
baseline,1938,LIPNOWSKI,409.1867156220618,254.25675867279617,
baseline,1938,LUBACZOWSKI,440.6658605956837,273.81698646420057,
baseline,1938,LUBARTOWSKI,345.1230091454618,214.44942931572476,
baseline,1938,LUBAWSKI,440.82367546518543,273.91504804747774,
baseline,1938,LUBELSKI,330.01079872653344,205.05914001550482,
baseline,1938,LUBLINIECKI,396.23800019089,246.2108024166135,
