year,District,weighted_distance_to_center_km,weighted_distance_to_center_miles
1924,RADOMSZCZAŃSKI,296.0020070375095,183.9270631149043
1924,RADZIECHOWSKI,409.5215885513283,254.46483899972742
1924,RADZYMIŃSKI,130.66725100487207,81.19284042414836
1924,RADZYŃSKI,69.33278277181638,43.08138056370632
1924,RAWICKI,441.79509226592614,274.5186582763708
1924,RAWSKI (RAWA MAZOWIECKA),262.5251698518601,163.12552731602017
1924,RAWSKI (RAWA RUSKA),271.45476678372546,168.67411989117028
1924,ROHATYŃSKI,419.8251254149905,260.8671580042381
1924,ROPCZYCKI,260.6570563032306,161.9647357321947
1924,RUDECKI,359.4651138695789,223.3611972702541
1924,RYBNICKI,340.153704742295,211.3616476694246
1924,RYPIŃSKI,287.56315783106464,178.68340694464646
1924,RZESZOWSKI,279.0316758487778,173.38219145383093
1924,RÓWIEŃSKI,387.83632107967014,240.99024266559573
1924,SAMBORSKI,334.9478476077978,208.12687901590493
1924,SANDOMIERSKI,262.7368550196064,163.25706234038788
1924,SANOCKI,382.80131607099935,237.86163656835294
1924,SARNEŃSKI,381.5413982191255,237.07876015281622
1924,SIEDLECKI,72.59860679405936,45.11066890223146
1924,SIERADZKI,308.1916548821563,191.50135678578033
1924,SIERPECKI,269.08817841135243,167.20359050764048
1924,SKAŁACKI,488.6713384046184,303.6461982158161
1924,SKIERNIEWICKI,228.28356020416243,141.8487840876206
1924,SOCHACZEWSKI,198.9676970927476,123.63275691021768
1924,SOKALSKI,325.4002909458476,202.19430418531226
1924,SOKOŁOWSKI,96.79043556633471,60.14276973828896
1924,SOKÓLSKI,264.6307157261132,164.43385246145067
1924,STANISŁAWOWSKI,442.9071154872077,275.20963725740177
1924,STAROGARDZKI,435.94043119052515,270.88074166928783
1924,STOLIŃSKI,406.4985210586066,252.58639252870745
1924,STOPNICKI,278.3618000725003,172.96595007284958
1924,STOŁPECKI,408.70805721792004,253.9593342215562
1924,STRYJSKI,395.171348751926,245.54801614533304
1924,SUWALSKI,383.89350252654305,238.54028955842057
1924,SZAMOTULSKI,465.0144134834912,288.9464711206504
1924,SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),294.14684748556704,182.77432076895428
1924,SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),311.9445196013758,193.8332780892265
1924,SZUBIŃSKI,423.73219610513615,263.29489842604454
1924,SĘPOLEŃSKI,463.50516073043246,288.0086652282296
1924,SŁONIMSKI,315.7384038285137,196.1906877253274
1924,TARNOBRZESKI,183.99471231596522,114.32897838648363
1924,TARNOGÓRSKI,317.2966210085291,197.15891869269072
1924,TARNOPOLSKI,446.92006971601205,277.70317063950813
1924,TARNOWSKI,291.67940707055175,181.2411248508358
1924,TCZEWSKI,453.31092391534327,281.67426210420075
1924,TOMASZOWSKI,267.1822222544877,166.01928462449328
1924,TORUŃSKI,364.85389081603415,226.70962699024997
1924,TREMBOWELSKI,476.662002507773,296.18394516025745
1924,TUCHOLSKI,425.1101646860239,264.15112814111933
1924,TURCZAŃSKI,381.61113710951315,237.1220938768753
1924,TURECKI,419.56862135945613,260.7077738227466
1924,TŁUMACKI,467.46863261023935,290.471451713657
1924,WADOWICKI,337.6169835668457,209.78540269591448
1924,WARSZAWSKI,137.76409061576166,85.60261075000643
1924,WIELUŃSKI,495.98559883418346,308.1910675331954
1924,WILEJSKI,496.14133190324554,308.2878355460516
1924,WILEŃSKO-TROCKI,454.92805603221694,282.67910110479465
1924,WILNO (MIASTO),440.67044530309767,273.8198352684311
1924,WOLSZTYŃSKI,484.5403119374387,301.0792981688782
1924,WOŁKOWYSKI,248.64345762554976,154.49983390824548
1924,WOŁOŻYŃSKI,455.93018182098376,283.3017930082865
1924,WRZESIŃSKI,380.13689418831814,236.20604207868942
1924,WYRZYSKI,443.3870851558123,275.50787649035226
1924,WYSOKOMAZOWIECKI,204.87540166310663,127.30363320680623
1924,WĄBRZESKI,351.0165205554507,218.11148639406096
1924,WĄGROWIECKI,444.95209614254674,276.4803289321904
1924,WĘGROWSKI,112.57108837372742,69.94840975387139
1924,WŁOCŁAWSKI,303.0843456334913,188.32782293062812
1924,WŁODAWSKI,190.66298770008095,118.472451330187
1924,WŁODZIMIERSKI,274.937961914559,170.83847633281147
1924,WŁOSZCZOWSKI,206.0654819808581,128.0431146039278
1924,ZALESZCZYCKI,553.524406585336,343.9440140443368
1924,ZAMOJSKI,188.1019493560426,116.88109637331355
1924,ZBARASKI,469.6865017816863,291.84957129858816
1924,ZBOROWSKI,415.0932736656708,257.9269225509115
1924,ZDOŁBUNOWSKI,417.48243508034477,259.4114781683089
1924,ZŁOCZOWSKI,392.2139204988597,243.71035599429695
1924,ŁASKI,296.6821472558422,184.34968252250994
1924,ŁAŃCUCKI,224.73300052674387,139.64256927030337
1924,ŁOMŻYŃSKI,222.52769335397358,138.27225534705192
1924,ŁOWICKI,207.1030228996759,128.6878124421945
1924,ŁUCKI,320.53183899250513,199.1691893266119
1924,ŁUKOWSKI,51.0582144767691,31.726093787644494
1924,ŁUNINIECKI,371.92576775802314,231.1038862375706
1924,ŁÓDZKI,254.3973795062283,158.0751541011646
1924,ŁÓDŹ (MIASTO),248.1416385940951,154.18801811485147
1924,ŁĘCZYCKI,271.48988501248925,168.69594134009546
1924,ŚNIATYŃSKI,532.4483306943758,330.847951691895
1924,ŚREDZKI,444.82419976490024,276.40085783211583
1924,ŚREMSKI,468.55864800952025,291.1487556723236
1924,ŚWIECKI,385.70294812733266,239.66462658082884
1924,ŚWIĘCIAŃSKI,527.9588772636926,328.0583355242179
1924,ŚWIĘTOCHŁOWICKI,301.23495130707704,187.17866292862976
1924,ŻNIŃSKI,427.64666280292647,265.7272345125172
1924,ŻYDACZOWSKI,387.55405712386727,240.81485202911452
1924,ŻYWIECKI,364.09234589523624,226.23642506126885
1924,ŻÓŁKIEWSKI,305.4946736200268,189.82553084194967
1929,AUGUSTOWSKI,359.48493065049047,223.37351084322592
1929,BARANOWICKI,335.9641310637832,208.75836808323405
1929,BIALSKI (BIAŁA KRAKOWSKA),344.074579487603,213.79796553079137
1929,BIALSKI (BIAŁA PODLASKA),96.67917281349928,60.07363429029686
1929,BIAŁOSTOCKI,221.30599877625315,137.5131297655992
1929,BIELSKI (BIELSK PODLASKI),182.53701292161296,113.42320625611556
1929,BIELSKO,347.6924695527426,216.04601749845722
1929,BIŁGORAJSKI,225.93269965623887,140.3880275180968
1929,BOCHEŃSKI,328.7758700630676,204.29179115695837
1929,BORSZCZOWSKI,565.5369197240169,351.4082413458321
1929,BRASŁAWSKI,613.7187779987106,381.3470508038368
1929,BRODNICKI,310.46116309534847,192.9115633737198
1929,BRODZKI,406.5653529376899,252.62791992024532
1929,BRZESKI (BRZESKO),306.70244654691334,190.57600591330208
1929,BRZESKI (BRZEŚĆ N.BUG.),131.49511063076508,81.70724838774913
1929,BRZEZIŃSKI,219.8501596729618,136.60851356614796
1929,BRZEŻAŃSKI,415.2676566154822,258.0352790588188
1929,BRZOZOWSKI,285.82636975863943,177.60421720329555
1929,BUCZACKI,501.2081448883384,311.4362061974117
1929,BYDGOSKI,414.6205818169,257.633205544149
1929,BÓBRECKI,387.05671833179713,240.50582012654712
1929,BĘDZIŃSKI,302.8300897303316,188.1698356858259
1929,BŁOŃSKI,252.65306131649461,156.99128536329158
1929,CHEŁMIŃSKI,401.4974970320674,249.47890122831274
1929,CHEŁMSKI,160.37059788787033,99.64963878018388
1929,CHODZIESKI,482.02021287155844,299.51338169221316
1929,CHOJNICKI,453.97448707853647,282.0865810104773
1929,CHORZÓW,298.8915796094992,185.72255971353414
1929,CHRZANOWSKI,295.434957592542,183.57471503423542
1929,CIECHANOWSKI,210.4775323300574,130.78463474146008
1929,CIESZYŃSKI,368.2692880558008,228.831855788521
1929,CZARNKOWSKI,500.653259826538,311.0914167116757
1929,CZORTKOWSKI,519.3554454714337,322.7124125080302
1929,CZĘSTOCHOWSKI,264.7476731140643,164.50652639055926
1929,DOBROMILSKI,332.6552124000125,206.70230198420816
1929,DOLIŃSKI,432.5769492523595,268.7907715338879
1929,DROHICKI,240.1303028030783,149.21000638305156
1929,DROHOBYCKI,369.17879484538116,229.39699693186935
1929,DUBIEŃSKI,433.66696498509367,269.46807569975266
1929,DZIAŁDOWSKI,272.26578811657635,169.17806502778515
1929,DZIŚNIEŃSKI,594.3985232063952,369.342004763281
1929,DĄBROWSKI,309.8265445234606,192.51722979708723
1929,GARWOLIŃSKI,81.82392289914311,50.84301279576346
1929,GNIEŹNIEŃSKI,389.2373929989964,241.8608281251794
1929,GORLICKI,338.727628647706,210.47552534045374
1929,GOSTYNIŃSKI,280.2541862253709,174.14182394904495
1929,GOSTYŃSKI,445.8390481038823,277.03145515935745
1929,GRODZIEŃSKI,305.6070466853137,189.89535620590007
1929,GRUDZIĄDZKI,356.4130975287563,221.46476282454083
1929,GRÓDECKI,348.1651773701231,216.33974442765077
1929,GRÓJECKI,335.79818292195915,208.65525272040068
1929,HOROCHOWSKI,419.7534967622271,260.8226500366418
1929,HORODEŃSKI,540.7791512963328,336.0244820201536
1929,HRUBIESZOWSKI,238.8586908876318,148.41986361553867
1929,INOWROCŁAWSKI,398.16906473148487,247.41070992126748
1929,IWACEWICKI,270.82000590705513,168.27969789047276
1929,IŁŻECKI,173.54678723789056,107.8369407327953
1929,JANOWSKI,136.84884443313686,85.03390331426269
1929,JAROCIŃSKI,421.27765401721723,261.7697171543323
1929,JAROSŁAWSKI,255.54192529055697,158.7863416597187
1929,JASIELSKI,327.5824094494928,203.55020934204077
1929,JAWOROWSKI,371.5957181296645,230.89880296994775
1929,JĘDRZEJOWSKI,184.3940378153024,114.57710767133227
1929,KALISKI,379.8691000247398,236.03964255147258
1929,KAMIONECKI,363.7691420877002,226.03559558817634
1929,KARTUSKI,497.1009456669681,308.88411171002963
1929,KATOWICE,301.5871134499138,187.39748627148637
1929,KAŁUSKI,444.4393142005453,276.16170110410707
1929,KIELECKI,153.2958049810134,95.25356763685727
1929,KOBRYŃSKI,192.2714811831245,119.47192253423925
1929,KOLBUSZOWSKI,258.2753743737801,160.48482765001012
1929,KOLSKI,300.5697055416198,186.7652985021018
1929,KONECKI,152.2355611573348,94.59476287189429
1929,KONIŃSKI,335.2923820222526,208.3409627095491
1929,KOPYCZYNIECKI,506.6496429399165,314.81739528321884
1929,KOSOWSKI (KOSÓW HUCULSKI),537.954293294373,334.26919717861784
1929,KOSTOPOLSKI,415.69067310932434,258.298129240614
1929,KOSZYRSKI,336.2612714681339,208.94300251342582
1929,KOWELSKI,254.6264044236752,158.21746354314348
1929,KOZIENICKI,54.81161070095899,34.05834535286559
1929,KOŁOMYJSKI,492.9024343236043,306.27527851809236
1929,KOŚCIAŃSKI,460.608833816278,286.20897167725445
1929,KOŚCIERSKI,470.8807469318006,292.5916406017599
1929,KRAKOWSKI,335.3726236118176,208.3908225062987
1929,KRAKÓW (MIASTO),335.06345338369454,208.19871309247966
1929,KRASNOSTAWSKI,169.963028559159,105.61009701883319
1929,KROTOSZYŃSKI,420.98582606871076,261.5883837301409
1929,KROŚNIEŃSKI,347.27080858631933,215.78400960208984
1929,KRZEMIENIECKI,466.6737323235584,289.9775237276218
1929,KUTNOWSKI,249.90188476989482,155.2817840413543
1929,KĘPIŃSKI,422.5759215915664,262.5764229752732
1929,LESKI,414.7654159131776,257.7232012513871
1929,LESZCZYŃSKI,468.5681896891525,291.1546845953384
