scenario,District,avg_inverse_distance_1924,avg_inverse_distance_1938,avg_inverse_distance_change_ratio_1938_vs_1924,avg_inverse_distance_proportional_change_1938_vs_1924
baseline,KRAKÓW (MIASTO),0.00633329584081989,0.006818486261830371,1.0766094673618893,0.07660946736188931
baseline,KRASNOSTAWSKI,0.005401911025917049,0.005445324469943222,1.0080366825402873,0.008036682540287379
baseline,KROTOSZYŃSKI,0.005252263517998434,0.005535196831689114,1.0538688344027534,0.05386883440275331
baseline,KROŚNIEŃSKI,0.00527534951939903,0.005367011119916932,1.0173754554424943,0.01737545544249433
baseline,KRZEMIENIECKI,0.0038652028949295947,0.0038937726604829407,1.0073915306207661,0.007391530620766124
baseline,KUTNOWSKI,0.0061308375022073305,0.006657132381127129,1.0858438800131813,0.08584388001318129
baseline,KĘPIŃSKI,0.004440659002506743,0.005059882922721247,1.1394441500383061,0.13944415003830607
baseline,LESKI,0.004184451267676556,0.004234059394791286,1.0118553482742016,0.011855348274201562
baseline,LESZCZYŃSKI,0.0050204530095214845,0.005238163345219459,1.0433646794990568,0.043364679499056744
baseline,LIDZKI,0.0036999969548525916,0.0037377947294274377,1.0102156231575472,0.01021562315754716
baseline,LIMANOWSKI,0.004980411019816891,0.005152410085066135,1.0345351145848938,0.03453511458489384
baseline,LIPNOWSKI,0.003881242579063649,0.005637018634976428,1.452374727975998,0.4523747279759979
baseline,LUBACZOWSKI,0.004615136348621382,0.004635079367644429,1.0043212198983036,0.004321219898303553
baseline,LUBARTOWSKI,0.005660589928945919,0.005714027998444989,1.0094403710867323,0.009440371086732452
baseline,LUBAWSKI,0.0046133945260421385,0.004840492113408656,1.0492257026977803,0.04922570269778028
baseline,LUBELSKI,0.006036203022145263,0.00609921535766634,1.0104390682834725,0.010439068283472486
baseline,LUBLINIECKI,0.004526247486457069,0.0057356161999258274,1.2671901430682473,0.26719014306824723
baseline,LUBOMELSKI,0.004786501328281187,0.004827972110464603,1.008664111704803,0.008664111704803008
baseline,LWOWSKI,0.006998228090665987,0.007012594659001582,1.0020528865520626,0.002052886552062576
baseline,LWÓW (MIASTO),0.007390239422842248,0.007402150824727684,1.0016117748294622,0.0016117748294621813
baseline,M. ST. WARSZAWA,0.006443920602358332,0.007314702207326743,1.135132267869614,0.13513226786961402
baseline,MAKOWSKI (MAKÓW MAZOWIECKI),0.003982499667036932,0.004396837541097011,1.1040396506469403,0.1040396506469403
baseline,MIECHOWSKI,0.005083082264454132,0.005700564771295315,1.1214779684285698,0.1214779684285699
baseline,MIELECKI,0.005978253014460307,0.005974869322068286,0.9994339998016416,-0.0005660001983584195
baseline,MIĘDZYCHODZKI,0.004083185355749554,0.004260764289643881,1.0434902945672737,0.04349029456727379
baseline,MIŃSKI,0.006025158633442575,0.006251302208516758,1.0375332151122088,0.03753321511220886
baseline,MOGILEŃSKI,0.0051963415262075985,0.0057467266961228735,1.1059178206704512,0.10591782067045118
baseline,MORSKI,0.0030155391112477803,0.003471345982248138,1.1511526974729744,0.15115269747297438
